onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9895833,9.897917,48,76,1,0,n0,-10.0,-10.0
0.990625,9.679167,36,66,1,0,n1,0.990104,0.0
1.4010416,0.36354166,72,77,1,0,n2,0.990104,0.0
1.7010417,0.33020833,74,79,1,0,n3,0.990104,0.0
1.9864583,0.36770833,76,82,1,0,n4,0.990104,0.0
2.2510417,0.35625,67,72,1,0,n5,0.990104,0.0
2.5104167,0.3375,76,85,1,0,n6,2.251042,1.0
2.775,0.35104167,65,69,1,0,n7,2.251042,1.0
3.0239584,0.25729167,74,82,1,0,n8,2.251042,1.0
3.290625,0.50625,64,76,1,0,n9,3.290625,2.0
3.41875,0.23333333,72,80,1,0,n10,3.290625,2.0
3.5427084,0.24479167,71,78,1,0,n11,3.290625,2.0
3.6572917,0.253125,69,77,1,0,n12,3.290625,2.0
3.80625,0.36458334,67,79,1,0,n13,3.290625,2.0
4.0833335,0.6625,70,77,1,0,n14,3.290625,2.0
4.3614583,0.39375,64,75,1,0,n15,4.361458,3.0
4.6145835,0.5708333,67,77,1,0,n16,4.361458,3.0
4.884375,1.7197917,60,73,1,0,n17,4.361458,3.0
5.14375,0.28645834,70,76,1,0,n18,4.361458,3.0
5.4354167,0.3125,69,70,1,0,n19,4.361458,3.0
5.569792,0.25,67,72,1,0,n20,5.435417,4.0
5.686458,0.14895834,65,81,1,0,n21,5.435417,4.0
5.8010416,0.21354167,64,85,1,0,n22,5.435417,4.0
5.9416666,0.328125,65,84,1,0,n23,5.435417,4.0
6.2302084,0.38333333,69,77,1,0,n24,5.435417,4.0
6.4947915,0.325,62,74,1,0,n25,5.435417,4.0
6.753125,0.553125,65,75,1,0,n26,6.494792,5.0
7.014583,0.30520833,57,66,1,0,n27,6.494792,5.0
7.264583,0.47083333,60,68,1,0,n28,6.494792,5.0
7.6052084,0.884375,59,56,1,0,n29,7.605208,6.0
7.8958335,0.33333334,62,69,1,0,n30,7.605208,6.0
8.15625,0.328125,64,79,1,0,n31,7.605208,6.0
8.423959,0.37916666,65,75,1,0,n32,7.605208,6.0
8.7,1.71875,55,71,1,0,n33,8.7,7.0
8.95625,0.54375,65,72,1,0,n34,8.7,7.0
9.222917,0.353125,64,78,1,0,n35,8.7,7.0
9.495833,0.33125,62,83,1,0,n36,8.7,7.0
9.778125,5.8958335,64,82,1,0,n37,9.778125,8.0
10.090625,4.188542,60,59,1,0,n38,9.778125,8.0
10.35625,0.30625,59,59,1,0,n39,9.778125,8.0
10.634375,0.35208333,57,60,1,0,n40,9.778125,8.0
10.909375,3.4895833,55,47,1,0,n41,10.909375,9.0
11.175,0.38125,53,56,1,0,n42,10.909375,9.0
11.422916,0.35729167,52,69,1,0,n43,10.909375,9.0
11.689584,0.29895833,50,69,1,0,n44,10.909375,9.0
11.946875,0.16354166,48,67,1,0,n45,11.946875,10.0
12.089583,0.17083333,50,73,1,0,n46,11.946875,10.0
12.209375,0.1375,48,76,1,0,n47,11.946875,10.0
12.334375,0.184375,47,80,1,0,n48,11.946875,10.0
12.460417,0.35625,48,85,1,0,n49,11.946875,10.0
12.755208,1.6791667,52,82,1,0,n50,11.946875,10.0
13.015625,0.40729168,43,76,1,0,n51,13.015625,11.0
13.283334,0.32083333,46,80,1,0,n52,13.015625,11.0
13.552083,0.31354168,45,80,1,0,n53,13.015625,11.0
13.808333,0.48229167,43,79,1,0,n54,13.015625,11.0
14.15,2.5916667,41,50,1,0,n55,13.015625,11.0
14.166667,1.2625,57,74,1,0,n56,14.158334,12.0
14.46875,0.43125,48,63,1,0,n57,14.158334,12.0
14.748959,0.50208336,50,75,1,0,n58,14.158334,12.0
15.022917,0.534375,52,75,1,0,n59,14.158334,12.0
15.305208,0.8125,53,65,1,0,n60,15.305208,13.0
15.566667,0.6197917,62,77,1,0,n61,15.305208,13.0
15.839583,0.78020835,52,54,1,0,n62,15.305208,13.0
16.105207,0.30208334,60,66,1,0,n63,15.305208,13.0
16.373959,0.35625,59,60,1,0,n64,15.305208,13.0
16.378124,1.2770833,50,41,1,0,n65,16.378124,14.0
16.382292,0.81145835,55,49,1,0,n66,16.378124,14.0
16.65625,0.63645834,62,71,1,0,n67,16.378124,14.0
16.909374,0.4125,67,80,1,0,n68,16.378124,14.0
17.177084,0.32916668,59,84,1,0,n69,16.378124,14.0
17.440624,0.8822917,60,80,1,0,n70,16.378124,14.0
