onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,9.0,0.0,9.0,0,72,36,5,n19-1,0.0,0.984896
0.0,9.0,0.0,9.0,0,72,48,5,n20-1,0.0,0.984896
0.25,0.25,0.25,0.25,2,2,72,1,n2-1,0.0,0.984896
0.5,0.25,0.5,0.25,4,2,74,1,n3-1,0.0,0.984896
0.75,0.25,0.75,0.25,6,2,76,1,n4-1,0.0,0.984896
1.0,0.25,1.0,0.25,8,2,67,1,n5-1,1.0,2.494792
1.25,0.25,1.25,0.25,10,2,76,1,n6-1,1.0,2.494792
1.5,0.25,1.5,0.25,12,2,65,1,n7-1,1.0,2.494792
1.75,0.25,1.75,0.25,14,2,74,1,n8-1,1.0,2.494792
2.0,0.125,2.0,0.125,16,1,64,1,n9-1,2.0,3.545833
2.125,0.125,2.125,0.125,17,1,72,1,n10-1,2.0,3.545833
2.25,0.125,2.25,0.125,18,1,71,1,n11-1,2.0,3.545833
2.375,0.125,2.375,0.125,19,1,69,1,n12-1,2.0,3.545833
2.5,0.25,2.5,0.25,20,2,67,1,n13-1,2.0,3.545833
2.75,0.25,2.75,0.25,22,2,70,1,n14-1,2.0,3.545833
3.0,0.25,3.0,0.25,24,2,64,1,n15-1,3.0,4.485417
3.25,0.25,3.25,0.25,26,2,67,1,n16-1,3.0,4.485417
3.5,0.25,3.5,0.25,28,2,60,1,n17-1,3.0,4.485417
3.75,0.25,3.75,0.25,30,2,70,1,n18-1,3.0,4.485417
4.0,0.125,4.0,0.125,32,1,69,1,n21-1,4.0,5.471875
4.125,0.125,4.125,0.125,33,1,67,1,n22-1,4.0,5.471875
4.25,0.125,4.25,0.125,34,1,65,1,n23-1,4.0,5.471875
4.375,0.125,4.375,0.125,35,1,64,1,n24-1,4.0,5.471875
4.5,0.25,4.5,0.25,36,2,65,1,n25-1,4.0,5.471875
4.75,0.25,4.75,0.25,38,2,69,1,n26-1,4.0,5.471875
5.0,0.25,5.0,0.25,40,2,62,1,n27-1,5.0,6.405208
