idx,matchtype,partid,ppartid
0,0,n19-1,n1
1,0,n20-1,n0
2,0,n7-1,n7
3,0,n5-1,n5
4,0,n2-1,n2
5,0,n3-1,n3
6,0,n8-1,n8
7,0,n4-1,n4
8,0,n6-1,n6
9,0,n9-1,n9
10,0,n13-1,n13
11,0,n12-1,n12
12,0,n14-1,n14
13,0,n11-1,n11
14,0,n10-1,n10
15,0,n17-1,n17
16,0,n15-1,n15
17,0,n16-1,n16
18,0,n18-1,n18
19,0,n24-1,n22
20,0,n23-1,n21
21,0,n25-1,n23
22,0,n22-1,n20
23,0,n21-1,n19
24,0,n26-1,n24
25,0,n29-1,n27
26,0,n30-1,n28
27,0,n27-1,n25
28,0,n28-1,n26
29,0,n31-1,n29
30,0,n32-1,n30
31,0,n33-1,n31
32,0,n34-1,n32
33,0,n35-1,n33
34,0,n38-1,n36
35,0,n37-1,n35
36,0,n36-1,n34
37,0,n44-1,n40
38,0,n43-1,n39
39,0,n42-1,n38
40,1,n47-1,undefined
41,0,n41-1,n37
42,0,n55-1,n44
43,0,n54-1,n43
44,0,n53-1,n42
45,0,n45-1,n41
46,0,n59-1,n48
47,0,n56-1,n45
48,0,n58-1,n47
49,0,n60-1,n49
50,0,n57-1,n46
51,0,n61-1,n50
52,0,n62-1,n51
53,0,n65-1,n54
54,0,n64-1,n53
55,0,n63-1,n52
56,0,n88-1,n56
57,0,n81-1,n57
58,0,n82-1,n58
59,0,n83-1,n59
60,0,n77-1,n55
61,0,n85-1,n62
62,0,n84-1,n60
63,0,n69-1,n63
64,0,n68-1,n61
65,0,n86-1,n66
66,0,n78-1,n65
67,0,n70-1,n64
68,0,n79-1,n69
69,0,n71-1,n67
70,0,n72-1,n68
71,0,n90-1,n72
72,0,n91-1,n75
73,0,n87-1,n71
74,0,n80-1,n70
75,0,n76-1,n76
76,0,n75-1,n74
77,0,n74-1,n73
78,0,n108-1,n79
79,0,n104-1,n78
80,0,n101-1,n82
81,0,n99-1,n80
82,0,n100-1,n81
83,0,n92-1,n77
84,0,n109-1,n84
85,0,n102-1,n83
86,0,n96-1,n87
87,0,n95-1,n86
88,0,n94-1,n85
89,0,n110-1,n90
90,0,n111-1,n91
91,0,n112-1,n92
92,0,n113-1,n93
93,1,n105-1,undefined
94,0,n103-1,n89
95,1,n129-1,undefined
96,0,n97-1,n88
97,0,n116-1,n96
