onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,0.5,0,24,49,5,n14-1,0.0,1.51603
1.0,1.0,0.5,0.5,24,24,52,5,n15-1,0.0,1.51603
2.0,1.0,1.0,0.5,48,24,56,5,n16-1,0.0,1.51603
3.0,7.0,1.5,3.5,72,168,61,5,n17-1,3.0,2.7062
5.0,1.0,2.5,0.5,120,24,68,1,n4-1,3.0,2.7062
6.0,3.0,3.0,1.5,144,72,64,2,n9-1,6.0,3.844555
6.0,2.0,3.0,1.0,144,48,73,1,n5-1,6.0,3.844555
6.0,0.125,3.0,0.0625,144,3,73,3,n11-1,6.0,3.844555
6.125,0.125,3.0625,0.0625,147,3,71,3,n12-1,6.0,3.844555
6.25,1.75,3.125,0.875,150,42,73,3,n13-1,6.0,3.844555
8.0,1.0,4.0,0.5,192,24,76,1,n6-1,6.0,3.844555
9.0,3.0,4.5,1.5,216,72,66,2,n25-1,9.0,5.129005
9.0,4.5,4.5,2.25,216,108,75,1,n18-1,9.0,5.129005
10.0,1.0,5.0,0.5,240,24,59,5,n32-1,9.0,5.129005
11.0,1.0,5.5,0.5,264,24,57,5,n33-1,9.0,5.129005
12.0,4.5,6.0,2.25,288,108,59,5,n34-1,12.0,6.35791
12.0,3.0,6.0,1.5,288,72,68,2,n26-1,12.0,6.35791
13.5,0.5,6.75,0.25,324,12,75,1,n20-1,12.0,6.35791
14.0,0.5,7.0,0.25,336,12,76,1,n21-1,12.0,6.35791
14.5,0.5,7.25,0.25,348,12,78,1,n22-1,12.0,6.35791
15.0,3.0,7.5,1.5,360,72,63,2,n27-1,15.0,7.58227
15.0,0.125,7.5,0.0625,360,3,80,3,n28-1,15.0,7.58227
15.0,2.0,7.5,1.0,360,48,80,1,n23-1,15.0,7.58227
15.125,0.125,7.5625,0.0625,363,3,78,3,n29-1,15.0,7.58227
15.25,1.75,7.625,0.875,366,42,80,3,n30-1,15.0,7.58227
