onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5160271,0.44017136,49,34,0,0,n0,-10.0,-10.0
1.8899591,0.16239332,52,46,0,0,n1,1.51603,0.0
2.2478654,0.20833354,56,60,0,0,n2,1.51603,0.0
2.7061992,2.9294899,61,58,0,0,n3,1.51603,0.0
3.4925246,0.1816241,68,44,0,0,n4,2.7062,3.0
3.8258584,0.08440179,73,57,0,0,n5,2.7062,3.0
3.8632514,1.6955144,64,34,0,0,n6,3.844555,6.0
3.9091918,0.09508556,72,59,0,0,n7,3.844555,6.0
3.9679525,0.8023512,73,30,0,0,n8,3.844555,6.0
4.707269,0.29914558,76,60,0,0,n9,3.844555,6.0
5.1153893,0.5000005,76,60,0,0,n10,3.844555,6.0
5.142099,0.9455137,66,37,0,0,n11,5.129005,9.0
5.5032105,1.3183774,75,51,0,0,n12,5.129005,9.0
5.5299196,0.21260704,59,36,0,0,n13,5.129005,9.0
5.9091935,0.29166695,57,45,0,0,n14,5.129005,9.0
6.357912,1.4294885,59,37,0,0,n15,6.35791,12.0
6.357912,1.2264969,68,39,0,0,n16,6.35791,12.0
6.9968014,0.1025642,75,53,0,0,n17,6.35791,12.0
7.1688104,0.08333341,76,69,0,0,n18,6.35791,12.0
7.3450923,0.10470095,78,72,0,0,n19,6.35791,12.0
7.567315,0.074786395,80,66,0,0,n20,6.35791,12.0
7.5972295,0.9529924,63,41,0,0,n21,7.58227,15.0
7.6399646,0.0886753,78,68,0,0,n22,7.58227,15.0
7.7222295,0.48183808,80,56,0,0,n23,7.58227,15.0
8.1239395,0.06623938,52,53,0,0,n24,7.58227,15.0
8.32052,0.14957279,80,74,0,0,n25,7.58227,15.0
8.332273,0.059829116,54,57,0,0,n26,7.58227,15.0
8.4882555,0.07264964,56,64,0,0,n27,7.58227,15.0
8.690179,0.8589752,80,68,0,0,n28,7.58227,15.0
8.699795,1.9177369,61,43,0,0,n29,7.58227,15.0
8.731846,0.4294876,56,39,0,0,n30,8.707273,18.0
9.108983,1.3557705,57,44,0,0,n31,8.707273,18.0
9.524582,0.15598306,73,64,0,0,n32,8.707273,18.0
9.866463,0.065171,78,52,0,0,n33,9.86646,21.0
9.950864,0.08012828,76,56,0,0,n34,9.86646,21.0
10.01924,1.360044,78,59,0,0,n35,9.86646,21.0
10.495736,0.11752148,76,67,0,0,n36,9.86646,21.0
10.501079,0.15064117,56,42,0,0,n37,9.86646,21.0
10.682702,0.14850442,75,74,0,0,n38,9.86646,21.0
10.693386,0.041666705,54,56,0,0,n39,9.86646,21.0
10.869668,0.12713687,73,77,0,0,n40,9.86646,21.0
10.871805,0.09829069,52,55,0,0,n41,9.86646,21.0
11.076934,0.504274,73,62,0,0,n42,9.86646,21.0
11.084413,0.6100433,51,42,0,0,n43,11.08065,24.0
11.514968,0.26709428,72,60,0,0,n44,11.08065,24.0
11.953003,0.2788464,78,58,0,0,n45,11.08065,24.0
11.964755,0.2147438,75,43,0,0,n46,11.08065,24.0
11.985054,0.18482924,54,38,0,0,n47,11.08065,24.0
12.392106,0.5769236,78,66,0,0,n48,11.08065,24.0
12.41561,0.569445,48,37,0,0,n49,12.408467,27.0
12.417747,0.32371825,69,37,0,0,n50,12.408467,27.0
12.809841,0.32585502,68,53,0,0,n51,12.408467,27.0
13.235055,0.252137,80,59,0,0,n52,12.408467,27.0
13.240397,0.23717971,72,55,0,0,n53,12.408467,27.0
13.247876,0.21260704,44,40,0,0,n54,12.408467,27.0
13.670953,0.504274,78,49,0,0,n55,12.408467,27.0
13.684842,0.059829116,49,42,0,0,n56,13.6802,30.0
13.684842,1.7831213,73,48,0,0,n57,13.6802,30.0
13.767107,0.1164531,48,50,0,0,n58,13.6802,30.0
13.8974495,0.8247871,49,38,0,0,n59,13.6802,30.0
14.096168,1.3856851,76,54,0,0,n60,13.6802,30.0
15.011766,0.8685906,37,38,0,0,n61,13.6802,30.0
15.464758,0.5032056,75,47,0,0,n62,15.0118,33.0
15.480783,0.4839748,72,47,0,0,n63,15.0118,33.0
15.913477,0.5181629,73,42,0,0,n64,15.0118,33.0
15.913477,0.32906014,76,53,0,0,n65,15.0118,33.0
16.387836,0.4337611,76,46,0,0,n66,15.0118,33.0
16.41134,0.47222266,44,37,0,0,n67,16.399893,36.0
16.420956,2.872866,72,44,0,0,n68,16.399893,36.0
16.782066,1.3974372,75,49,0,0,n69,16.399893,36.0
16.80664,0.24786349,48,49,0,0,n70,16.399893,36.0
17.223307,0.2799148,51,60,0,0,n71,16.399893,36.0
17.653862,0.5940177,56,59,0,0,n72,16.399893,36.0
18.190187,0.12820525,57,60,0,0,n73,17.6539,39.0
18.402796,0.08547017,56,69,0,0,n74,17.6539,39.0
18.407068,0.24145322,75,63,0,0,n75,17.6539,39.0
18.561983,0.12286337,54,72,0,0,n76,17.6539,39.0
18.74788,0.4615389,75,64,0,0,n77,17.6539,39.0
18.750017,0.091880426,56,61,0,0,n78,18.74895,42.0
18.844034,0.082265034,54,67,0,0,n79,18.74895,42.0
18.920958,0.5267099,56,55,0,0,n80,18.74895,42.0
19.1763,0.2564105,76,70,0,0,n81,18.74895,42.0
19.614334,0.30555585,72,72,0,0,n82,18.74895,42.0
19.637838,0.2617524,56,46,0,0,n83,18.74895,42.0
19.642113,0.30555585,68,54,0,0,n84,18.74895,42.0
20.061985,0.521368,72,64,0,0,n85,18.74895,42.0
20.07801,0.6485049,56,50,0,0,n86,20.073032,45.0
20.079079,2.8803446,69,53,0,0,n87,20.073032,45.0
20.507498,1.373933,73,53,0,0,n88,20.073032,45.0
20.676302,0.11004284,49,53,0,0,n89,20.073032,45.0
