idx,matchtype,partid,ppartid
0,0,n14-1,n0
1,0,n15-1,n1
2,0,n16-1,n2
3,0,n17-1,n3
4,0,n9-1,n6
5,0,n4-1,n4
6,1,n12-1,undefined
7,0,n5-1,n5
8,0,n13-1,n8
9,1,n11-1,undefined
10,0,n25-1,n11
11,0,n18-1,n12
12,0,n6-1,n9
13,0,n33-1,n14
14,0,n32-1,n13
15,0,n34-1,n15
16,0,n26-1,n16
17,0,n27-1,n21
18,0,n20-1,n17
19,0,n21-1,n18
20,0,n22-1,n19
21,0,n29-1,n22
22,0,n28-1,n20
23,0,n30-1,n23
24,1,n23-1,undefined
25,0,n36-1,n24
26,0,n37-1,n26
27,0,n38-1,n27
28,0,n56-1,n30
29,1,n64-1,undefined
30,1,n57-1,undefined
31,0,n44-1,n29
32,0,n24-1,n25
33,0,n39-1,n28
34,0,n65-1,n31
35,0,n40-1,n32
36,0,n53-1,n34
37,0,n41-1,n33
38,0,n54-1,n35
39,1,n52-1,undefined
40,0,n62-1,n43
41,0,n61-1,n41
42,0,n60-1,n39
43,0,n59-1,n37
44,0,n48-1,n40
45,0,n49-1,n42
46,0,n47-1,n38
47,0,n46-1,n36
48,0,n84-1,n49
49,0,n63-1,n47
50,0,n81-1,n51
51,1,n74-1,undefined
52,0,n73-1,n50
53,1,n80-1,undefined
54,0,n50-1,n44
55,0,n51-1,n46
56,0,n43-1,n45
57,0,n66-1,n48
58,0,n85-1,n54
59,0,n86-1,n56
60,0,n75-1,n53
61,0,n76-1,n57
62,1,n69-1,undefined
63,0,n68-1,n55
64,1,n82-1,undefined
65,0,n67-1,n52
66,0,n87-1,n61
67,0,n83-1,n60
68,0,n102-1,n67
69,0,n78-1,n63
70,0,n95-1,n68
71,0,n79-1,n64
72,0,n71-1,n62
73,0,n88-1,n69
74,0,n72-1,n65
75,0,n103-1,n70
76,0,n104-1,n71
77,0,n105-1,n72
78,0,n108-1,n76
79,0,n112-1,n79
80,0,n107-1,n74
81,0,n109-1,n78
82,1,n111-1,undefined
83,0,n113-1,n80
84,0,n106-1,n73
85,0,n91-1,n75
86,0,n100-1,n77
87,1,n92-1,undefined
88,1,n93-1,undefined
89,0,n110-1,n83
90,0,n132-1,n86
91,0,n99-1,n84
92,0,n123-1,n87
93,0,n94-1,n82
94,0,n128-1,n85
95,1,n114-1,undefined
96,1,n115-1,undefined
97,0,n101-1,n81
98,0,n133-1,n89
99,0,n134-1,n90
100,0,n135-1,n91
101,0,n136-1,n92
102,0,n142-1,n94
103,0,n129-1,n88
104,0,n139-1,n100
105,0,n138-1,n98
106,0,n140-1,n102
107,0,n137-1,n96
108,0,n119-1,n99
109,0,n130-1,n101
110,0,n120-1,n106
111,0,n118-1,n97
112,0,n117-1,n95
113,1,n121-1,undefined
114,0,n141-1,n108
115,0,n159-1,n110
116,0,n148-1,n111
117,0,n127-1,n107
118,0,n144-1,n112
119,0,n122-1,n109
120,0,n131-1,n105
121,0,n163-1,n117
122,0,n162-1,n116
123,0,n164-1,n118
124,0,n161-1,n114
125,0,n160-1,n113
126,0,n145-1,n115
127,0,n154-1,n119
128,1,n146-1,undefined
129,0,n155-1,n120
130,1,n147-1,undefined
131,0,n151-1,n123
132,0,n152-1,n124
133,0,n156-1,n121
134,0,n157-1,n122
135,0,n167-1,n127
136,0,n166-1,n125
137,0,n183-1,n129
138,0,n172-1,n128
139,0,n153-1,n126
140,1,n179-1,undefined
141,0,n185-1,n132
142,0,n184-1,n130
143,0,n186-1,n134
144,1,n171-1,undefined
145,0,n170-1,n133
146,1,n180-1,undefined
147,0,n169-1,n131
148,1,n189-1,undefined
149,0,n194-1,n144
150,0,n187-1,n138
151,0,n188-1,n141
152,1,n193-1,undefined
153,0,n174-1,n136
154,0,n175-1,n137
155,0,n176-1,n139
156,0,n177-1,n140
157,0,n181-1,n135
158,0,n190-1,n145
159,0,n191-1,n147
160,0,n192-1,n148
161,0,n213-1,n149
162,0,n178-1,n146
163,0,n201-1,n150
164,0,n206-1,n157
165,0,n208-1,n159
166,0,n216-1,n156
167,0,n215-1,n153
168,0,n214-1,n151
169,0,n202-1,n152
170,0,n203-1,n155
171,0,n196-1,n154
172,0,n207-1,n158
173,0,n209-1,n161
174,0,n219-1,n167
175,0,n218-1,n165
176,0,n217-1,n160
177,0,n197-1,n164
178,0,n211-1,n166
179,1,n198-1,undefined
180,0,n199-1,n163
181,0,n242-1,n174
182,0,n221-1,n172
183,0,n220-1,n169
184,0,n205-1,n171
185,0,n229-1,n175
186,1,n223-1,undefined
187,0,n212-1,n168
188,0,n235-1,n173
189,1,n222-1,undefined
190,0,n200-1,n170
191,0,n244-1,n178
192,0,n243-1,n176
193,0,n245-1,n181
194,0,n231-1,n182
195,0,n240-1,n184
196,1,n238-1,undefined
197,0,n239-1,n183
198,0,n236-1,n177
199,0,n230-1,n179
200,0,n248-1,n189
201,0,n247-1,n187
202,0,n246-1,n185
203,0,n227-1,n186
204,0,n228-1,n188
205,0,n267-1,n195
206,0,n250-1,n193
207,0,n249-1,n191
208,0,n233-1,n190
209,0,n258-1,n194
210,0,n234-1,n192
211,0,n269-1,n198
212,0,n268-1,n196
213,0,n270-1,n200
214,0,n254-1,n201
215,0,n253-1,n199
216,0,n260-1,n202
217,0,n252-1,n197
218,0,n272-1,n209
219,0,n271-1,n204
220,0,n273-1,n211
221,0,n259-1,n210
222,0,n261-1,n203
223,0,n263-1,n206
224,0,n262-1,n205
225,0,n274-1,n213
226,0,n275-1,n215
227,0,n287-1,n217
228,1,n281-1,undefined
229,0,n256-1,n212
230,1,n277-1,undefined
231,0,n257-1,n214
232,0,n276-1,n216
233,1,n285-1,undefined
234,0,n290-1,n222
235,0,n289-1,n220
236,0,n288-1,n219
237,0,n282-1,n221
238,0,n286-1,n218
239,0,n293-1,n228
240,0,n292-1,n224
241,0,n294-1,n231
242,0,n291-1,n223
243,0,n283-1,n226
244,0,n284-1,n229
245,0,n279-1,n225
246,0,n280-1,n227
247,0,n314-1,n235
248,0,n296-1,n234
249,0,n295-1,n233
250,0,n305-1,n237
251,0,n306-1,n242
252,0,n299-1,n238
253,0,n300-1,n239
254,1,n309-1,undefined
255,0,n298-1,n236
256,0,n310-1,n241
257,1,n301-1,undefined
258,0,n316-1,n245
259,0,n319-1,n246
260,1,n317-1,undefined
261,1,n318-1,undefined
262,0,n311-1,n243
263,0,n312-1,n244
264,0,n320-1,n247
265,1,n344-1,undefined
266,0,n308-1,n249
267,0,n329-1,n251
268,0,n303-1,n248
269,0,n333-1,n252
270,0,n332-1,n250
271,0,n334-1,n253
272,1,n321-1,undefined
273,0,n338-1,n259
274,0,n337-1,n256
275,0,n336-1,n254
276,0,n330-1,n258
277,0,n322-1,n255
278,0,n323-1,n257
279,0,n340-1,n263
280,0,n350-1,n267
281,1,n346-1,undefined
282,1,n348-1,undefined
283,1,n352-1,undefined
284,0,n347-1,n266
285,0,n351-1,n268
286,1,n345-1,undefined
287,1,n349-1,undefined
