xml_id	midi_id	track	channel	pitch	onset
n16-1	n1	1	0	38	0.9739583333333334
n15-1	n0	1	0	50	0.96875
n2-1	n2	1	0	62	1.2369791666666667
n3-1	n3	1	0	64	1.3294270833333333
n4-1	n4	1	0	66	1.43359375
n5-1	n5	1	0	67	1.5299479166666667
n6-1	n6	1	0	69	1.6367187500000002
n7-1	n7	1	0	66	1.8697916666666667
n8-1	n8	1	0	69	2.0533854166666665
n9-1	n9	1	0	74	2.2408854166666665
n10-1	n10	1	0	69	2.4401041666666665
n11-1	n11	1	0	74	2.6328125
n12-1	n12	1	0	78	2.83203125
n13-1	n13	1	0	74	3.0286458333333335
n14-1	n14	1	0	78	3.2018229166666665
n17-1	n15	1	0	81	3.442708333333333
n29-1	n17	1	0	62	4.205729166666667
n23-1	n18	1	0	78	4.20703125
n18-1	n16	1	0	81	4.186197916666667
n30-1	n21	1	0	69	4.882812499999998
n24-1	n20	1	0	78	4.872395833333331
n19-1	n19	1	0	81	4.867187499999998
n31-1	n25	1	0	57	5.56770833333333
n25-1	n22	1	0	76	5.225260416666664
n26-1	n26	1	0	76	5.570312499999997
n20-1	n23	1	0	79	5.225260416666664
n21-1	n24	1	0	79	5.55989583333333
n47-1	n31	1	0	62	6.26692708333333
n27-1	n27	1	0	74	5.90755208333333
n33-1	n30	1	0	74	6.25911458333333
n22-1	n28	1	0	78	5.910156249999997
n32-1	n29	1	0	78	6.253906249999997
n34-1	n32	1	0	50	6.5976562499999964
n35-1	n33	1	0	52	6.6835937499999964
n36-1	n34	1	0	54	6.783854166666663
n37-1	n35	1	0	55	6.846354166666663
n38-1	n36	1	0	57	6.963541666666663
n39-1	n37	1	0	54	7.1575520833333295
n40-1	n38	1	0	57	7.3489583333333295
n41-1	n39	1	0	62	7.5390624999999964
n42-1	n40	1	0	57	7.75520833333333
n43-1	n41	1	0	62	7.937499999999997
n44-1	n42	1	0	66	8.131510416666664
n45-1	n44	1	0	62	8.326822916666664
n46-1	n45	1	0	66	8.518229166666664
n53-1	n46	1	0	69	8.78255208333333
n60-1	n48	1	0	50	9.502604166666666
n54-1	n49	1	0	69	9.506510416666666
n48-1	n47	1	0	78	9.489583333333334
n61-1	n51	1	0	57	10.194010416666666
n55-1	n52	1	0	69	10.208333333333332
n49-1	n50	1	0	78	10.190104166666666
n62-1	n55	1	0	45	10.854166666666666
n56-1	n54	1	0	67	10.518229166666666
n57-1	n57	1	0	67	10.868489583333332
n50-1	n53	1	0	76	10.509114583333332
n51-1	n56	1	0	76	10.860677083333332
n80-1	n62	1	0	50	11.555989583333329
n58-1	n59	1	0	66	11.209635416666666
n71-1	n61	1	0	66	11.553385416666663
n52-1	n58	1	0	74	11.197916666666666
n63-1	n60	1	0	74	11.539062499999996
n81-1	n66	1	0	38	12.019531249999998
n82-1	n69	1	0	50	12.21875
n76-1	n68	1	0	59	12.203125
n75-1	n67	1	0	61	12.102864583333332
n74-1	n65	1	0	62	12.006510416666664
n73-1	n64	1	0	64	11.929687499999996
n72-1	deletion
n83-1	n71	1	0	50	12.58203125
n84-1	n74	1	0	50	12.81510416666667
n79-1	n73	1	0	56	12.804687500000002
n78-1	n72	1	0	59	12.595052083333334
n77-1	n70	1	0	62	12.40234375
n64-1	n75	1	0	64	13.046875000000005
n65-1	n76	1	0	66	13.143229166666671
n66-1	n77	1	0	68	13.22786458333334
n67-1	n78	1	0	69	13.328125000000007
n68-1	n79	1	0	71	13.421875000000009
n89-1	n85	1	0	47	13.941406250000009
n88-1	n83	1	0	49	13.847656250000009
n106-1	n86	1	0	49	14.045572916666675
n87-1	n82	1	0	50	13.763020833333343
n86-1	n80	1	0	52	13.644531250000009
n69-1	n81	1	0	68	13.651041666666675
n70-1	n84	1	0	71	13.861979166666675
n90-1	n87	1	0	76	14.048177083333341
n107-1	n91	1	0	37	14.485677083333341
n108-1	n94	1	0	49	14.684895833333341
n102-1	n93	1	0	57	14.664062500000007
n101-1	n92	1	0	59	14.550781250000007
n100-1	n90	1	0	61	14.460937500000007
n99-1	n89	1	0	62	14.363281250000007
n98-1	n88	1	0	64	14.266927083333341
n109-1	n96	1	0	49	15.110677083333341
n110-1	n98	1	0	49	15.338541666666675
n105-1	n99	1	0	54	15.342447916666675
n104-1	n97	1	0	57	15.115885416666675
n103-1	n95	1	0	61	14.898437500000009
n91-1	n100	1	0	62	15.585937500000009
n92-1	n101	1	0	64	15.674479166666673
n93-1	n102	1	0	66	15.769531250000007
n94-1	n103	1	0	68	15.871093750000007
n95-1	n104	1	0	69	15.968750000000007
n114-1	n110	1	0	45	16.47395833333334
n113-1	n108	1	0	47	16.381510416666675
n127-1	n111	1	0	47	16.593750000000007
n112-1	n107	1	0	49	16.295572916666675
n111-1	n105	1	0	50	16.195312500000007
n96-1	n106	1	0	66	16.197916666666675
n97-1	n109	1	0	69	16.406250000000007
n115-1	n112	1	0	74	16.604166666666675
n132-1	n118	1	0	47	17.229166666666675
n131-1	n117	1	0	49	17.118489583333343
n130-1	n115	1	0	50	17.045572916666675
n129-1	n114	1	0	52	16.942708333333343
n128-1	n113	1	0	54	16.84375000000001
n116-1	n116	1	0	66	17.072916666666675
n124-1	n120	1	0	66	17.278645833333343
n117-1	n119	1	0	74	17.260416666666675
n135-1	n126	1	0	44	17.92057291666668
n134-1	n123	1	0	47	17.69531250000001
n133-1	n122	1	0	50	17.48046875000001
n126-1	n128	1	0	64	17.94401041666668
n125-1	n125	1	0	66	17.72265625000001
n118-1	n124	1	0	74	17.72135416666668
n119-1	n127	1	0	74	17.92968750000001
n138-1	n131	1	0	40	18.58463541666668
n137-1	n130	1	0	44	18.36328125000001
