onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.034375,0.6166667,50,87,1,0,n0,-10.0,-10.0
1.04375,0.62291664,38,76,1,0,n1,1.039063,0.0
1.3333334,0.11145833,62,89,1,0,n2,1.039063,0.0
1.428125,0.14166667,64,86,1,0,n3,1.039063,0.0
1.5229167,0.08958333,66,79,1,0,n4,1.039063,0.0
1.6072917,0.121875,67,82,1,0,n5,1.039063,0.0
1.70625,0.0375,69,95,1,0,n6,1.70625,3.0
1.9197917,0.038541667,66,83,1,0,n7,1.70625,3.0
2.11875,0.034375,69,82,1,0,n8,1.70625,3.0
2.325,0.044791665,74,98,1,0,n9,2.325,6.0
2.5208333,0.063541666,69,90,1,0,n10,2.325,6.0
2.7260416,0.048958335,74,101,1,0,n11,2.325,6.0
2.9208333,0.057291668,78,101,1,0,n12,2.920833,9.0
3.1166666,0.059375,74,97,1,0,n13,2.920833,9.0
3.3197916,0.051041666,78,102,1,0,n14,2.920833,9.0
3.5822916,0.7729167,81,96,1,0,n15,2.920833,9.0
4.320833,0.715625,81,84,1,0,n16,3.582292,12.0
4.3322916,0.91041666,62,49,1,0,n17,4.331944,15.0
4.342708,0.69375,78,75,1,0,n18,4.331944,15.0
5.045833,0.36770833,81,80,1,0,n19,4.331944,15.0
5.0583334,0.91041666,69,57,1,0,n20,5.056944,18.0
5.0666666,0.40208334,78,71,1,0,n21,5.056944,18.0
5.4041667,0.23541667,76,79,1,0,n22,5.056944,18.0
5.409375,0.2375,79,79,1,0,n23,5.056944,18.0
5.7770834,0.70729166,57,65,1,0,n24,5.056944,18.0
5.7770834,0.38958332,79,79,1,0,n25,5.056944,18.0
5.782292,0.40520832,76,76,1,0,n26,5.778819,21.0
6.146875,0.24791667,78,71,1,0,n27,5.778819,21.0
6.1510415,0.22395833,74,57,1,0,n28,5.778819,21.0
6.498958,0.29270834,78,69,1,0,n29,5.778819,21.0
6.503125,0.228125,62,62,1,0,n30,5.778819,21.0
6.514583,0.30625,74,65,1,0,n31,6.505555,24.0
6.7520833,0.123958334,50,77,1,0,n32,6.505555,24.0
6.8416667,0.11666667,52,73,1,0,n33,6.505555,24.0
6.93125,0.108333334,54,83,1,0,n34,6.505555,24.0
7.030208,0.098958336,55,82,1,0,n35,6.505555,24.0
7.123958,0.053125,57,97,1,0,n36,7.123958,27.0
7.328125,0.061458334,54,86,1,0,n37,7.123958,27.0
7.540625,0.0375,57,93,1,0,n38,7.123958,27.0
7.7302084,0.05,62,102,1,0,n39,7.730208,30.0
7.9395833,0.059375,57,92,1,0,n40,7.730208,30.0
8.15,0.044791665,62,95,1,0,n41,7.730208,30.0
8.357291,0.052083332,66,97,1,0,n42,7.730208,30.0
8.548959,0.0625,62,89,1,0,n43,8.357292,33.0
8.758333,0.044791665,66,96,1,0,n44,8.357292,33.0
9.008333,0.7625,69,94,1,0,n45,9.008333,36.0
9.746875,0.74583334,78,93,1,0,n46,9.008333,36.0
9.759375,0.73333335,69,70,1,0,n47,9.759028,39.0
9.770833,0.96666664,50,47,1,0,n48,9.759028,39.0
10.517709,0.36770833,78,91,1,0,n49,9.759028,39.0
10.530209,1.0104166,57,64,1,0,n50,10.526041,42.0
10.530209,0.2125,69,70,1,0,n51,10.526041,42.0
10.879167,0.19895834,67,67,1,0,n52,10.526041,42.0
10.885417,0.190625,76,78,1,0,n53,10.526041,42.0
11.244792,0.75416666,45,61,1,0,n54,10.526041,42.0
11.254167,0.19375,76,77,1,0,n55,11.252431,45.0
11.258333,0.41770834,67,57,1,0,n56,11.252431,45.0
11.623959,0.203125,66,63,1,0,n57,11.252431,45.0
11.628125,0.16979167,74,62,1,0,n58,11.252431,45.0
11.985416,0.10625,74,66,1,0,n59,11.252431,45.0
11.994792,0.42604166,50,53,1,0,n60,11.993056,48.0
11.998959,0.13541667,66,64,1,0,n61,11.993056,48.0
12.276042,0.077083334,66,77,1,0,n62,11.993056,48.0
12.369792,0.051041666,64,71,1,0,n63,11.993056,48.0
12.45,0.08229167,62,70,1,0,n64,11.993056,48.0
12.461458,0.045833334,38,57,1,0,n65,11.993056,48.0
12.553125,0.083333336,61,68,1,0,n66,11.993056,48.0
12.666667,0.03125,59,82,1,0,n67,11.993056,48.0
12.686459,0.23854166,50,60,1,0,n68,12.676562,51.0
12.886458,0.04375,62,80,1,0,n69,12.676562,51.0
13.097917,0.033333335,59,79,1,0,n70,12.676562,51.0
13.110416,0.041666668,50,74,1,0,n71,12.676562,51.0
13.358334,0.42604166,50,72,1,0,n72,13.358333,54.0
13.358334,0.43333334,56,75,1,0,n73,13.358333,54.0
13.597917,0.128125,64,78,1,0,n74,13.358333,54.0
13.703125,0.16041666,66,88,1,0,n75,13.358333,54.0
13.814584,0.098958336,68,85,1,0,n76,13.358333,54.0
13.908334,0.13333334,69,78,1,0,n77,13.358333,54.0
14.01875,0.036458332,71,95,1,0,n78,14.01875,57.0
14.239583,0.038541667,68,89,1,0,n79,14.01875,57.0
14.244792,0.06875,52,79,1,0,n80,14.01875,57.0
14.352083,0.090625,50,78,1,0,n81,14.01875,57.0
14.447917,0.09583333,49,77,1,0,n82,14.01875,57.0
14.45,0.040625,71,95,1,0,n83,14.01875,57.0
14.566667,0.11875,47,73,1,0,n84,14.01875,57.0
14.689584,0.43229166,49,74,1,0,n85,14.01875,57.0
14.696875,0.29479167,76,98,1,0,n86,14.693229,60.0
14.986459,0.028125,65,53,1,0,n87,14.693229,60.0
14.991667,0.07083333,64,60,1,0,n88,14.693229,60.0
15.067708,0.119791664,62,78,1,0,n89,14.693229,60.0
15.16875,0.039583333,37,53,1,0,n90,14.693229,60.0
15.183333,0.084375,61,65,1,0,n91,14.693229,60.0
15.275,0.08125,59,73,1,0,n92,14.693229,60.0
15.389584,0.033333335,57,76,1,0,n93,14.693229,60.0
15.39375,0.234375,49,67,1,0,n94,15.391666,63.0
15.611459,0.036458332,61,65,1,0,n95,15.391666,63.0
15.836458,0.038541667,57,67,1,0,n96,15.391666,63.0
15.845834,0.042708334,49,62,1,0,n97,15.391666,63.0
16.102083,0.4375,49,52,1,0,n98,15.391666,63.0
16.104166,0.40104166,54,56,1,0,n99,16.103125,66.0
16.371876,0.09166667,62,66,1,0,n100,16.103125,66.0
16.482292,0.1,64,74,1,0,n101,16.103125,66.0
16.591667,0.075,66,66,1,0,n102,16.103125,66.0
16.676043,0.121875,68,74,1,0,n103,16.103125,66.0
16.79375,0.034375,69,77,1,0,n104,16.79375,69.0
17.014584,0.036458332,66,75,1,0,n105,16.79375,69.0
17.028126,0.060416665,50,65,1,0,n106,16.79375,69.0
17.136457,0.058333334,49,65,1,0,n107,16.79375,69.0
17.222918,0.04375,69,70,1,0,n108,16.79375,69.0
17.24375,0.046875,47,67,1,0,n109,16.79375,69.0
17.345833,0.10729167,45,65,1,0,n110,16.79375,69.0
17.4625,0.5125,74,75,1,0,n111,16.79375,69.0
17.485416,0.055208333,47,57,1,0,n112,17.473959,72.0
17.722918,0.055208333,54,58,1,0,n113,17.473959,72.0
17.829166,0.067708336,52,61,1,0,n114,17.473959,72.0
17.930208,0.058333334,50,66,1,0,n115,17.473959,72.0
17.930208,0.078125,66,66,1,0,n116,17.473959,72.0
18.025,0.1125,49,65,1,0,n117,17.473959,72.0
18.163542,0.045833334,47,60,1,0,n118,17.473959,72.0
18.163542,0.35416666,74,82,1,0,n119,17.473959,72.0
18.171875,0.31770834,66,64,1,0,n120,18.16632,75.0
18.396875,0.05625,50,74,1,0,n121,18.16632,75.0
18.620832,0.04375,47,76,1,0,n122,18.16632,75.0
18.634375,0.10520833,66,84,1,0,n123,18.16632,75.0
18.634375,0.140625,74,87,1,0,n124,18.16632,75.0
18.870832,0.032291666,44,79,1,0,n125,18.16632,75.0
18.875,0.90833336,64,80,1,0,n126,18.873611,78.0
18.875,0.9135417,74,83,1,0,n127,18.873611,78.0
19.107292,0.039583333,47,72,1,0,n128,18.873611,78.0
19.335417,0.041666668,44,76,1,0,n129,18.873611,78.0
19.56875,0.034375,40,70,1,0,n130,19.56875,81.0
19.8,0.05,44,67,1,0,n131,19.56875,81.0
19.80625,0.090625,76,68,1,0,n132,19.56875,81.0
19.915625,0.075,74,62,1,0,n133,19.56875,81.0
20.0,0.08645833,73,67,1,0,n134,19.56875,81.0
20.023958,0.038541667,40,46,1,0,n135,19.56875,81.0
20.113543,0.11354167,71,62,1,0,n136,19.56875,81.0
20.240625,0.21875,73,60,1,0,n137,19.56875,81.0
20.247917,0.038541667,45,60,1,0,n138,20.24427,84.0
20.485416,0.040625,49,58,1,0,n139,20.24427,84.0
20.491667,0.060416665,69,56,1,0,n140,20.24427,84.0
20.59375,0.11875,71,65,1,0,n141,20.24427,84.0
20.701042,0.041666668,45,51,1,0,n142,20.24427,84.0
20.707293,0.077083334,73,74,1,0,n143,20.24427,84.0
20.825,0.10625,74,60,1,0,n144,20.24427,84.0
20.919792,0.24895833,76,82,1,0,n145,20.24427,84.0
20.93125,0.041666668,42,62,1,0,n146,20.925522,87.0
21.157291,0.054166667,44,71,1,0,n147,20.925522,87.0
21.172916,0.121875,74,75,1,0,n148,20.925522,87.0
21.271875,0.10104167,73,82,1,0,n149,20.925522,87.0
21.375,0.094791666,71,78,1,0,n150,20.925522,87.0
21.409374,0.060416665,43,32,1,0,n151,20.925522,87.0
21.475,0.16666667,69,80,1,0,n152,20.925522,87.0
21.602083,0.2375,74,90,1,0,n153,20.925522,87.0
21.610416,0.040625,47,71,1,0,n154,21.60625,90.0
21.84375,0.092708334,71,87,1,0,n155,21.60625,90.0
21.851042,0.041666668,50,76,1,0,n156,21.60625,90.0
21.941668,0.10729167,73,93,1,0,n157,21.60625,90.0
22.053125,0.039583333,47,68,1,0,n158,21.60625,90.0
22.053125,0.14375,74,94,1,0,n159,21.60625,90.0
22.171875,0.13645834,76,79,1,0,n160,21.60625,90.0
22.171875,0.096875,77,78,1,0,n161,21.60625,90.0
22.272917,0.07395833,44,76,1,0,n162,21.60625,90.0
22.278126,0.23958333,78,95,1,0,n163,22.27552,93.0
22.508333,0.094791666,76,87,1,0,n164,22.27552,93.0
22.517708,0.042708334,47,73,1,0,n165,22.27552,93.0
22.6125,0.13229166,74,91,1,0,n166,22.27552,93.0
22.726042,0.11875,73,91,1,0,n167,22.27552,93.0
22.733334,0.04375,44,60,1,0,n168,22.27552,93.0
22.833334,0.16458334,71,86,1,0,n169,22.27552,93.0
22.948957,0.23645833,49,61,1,0,n170,22.27552,93.0
22.963541,2.134375,76,92,1,0,n171,22.95625,96.0
23.220833,0.11666667,57,80,1,0,n172,22.95625,96.0
23.332293,0.11145833,59,79,1,0,n173,22.95625,96.0
23.423958,0.11875,61,83,1,0,n174,22.95625,96.0
23.527082,0.078125,62,88,1,0,n175,22.95625,96.0
23.623959,0.25625,64,89,1,0,n176,23.623959,99.0
23.871876,0.08229167,62,72,1,0,n177,23.623959,99.0
23.989584,0.078125,61,70,1,0,n178,23.623959,99.0
24.097918,0.06666667,59,75,1,0,n179,23.623959,99.0
24.203125,0.06458333,57,71,1,0,n180,23.623959,99.0
24.310417,0.215625,50,58,1,0,n181,23.623959,99.0
24.322916,0.371875,66,72,1,0,n182,24.316668,102.0
24.588541,0.07395833,59,76,1,0,n183,24.316668,102.0
24.689583,0.108333334,61,73,1,0,n184,24.316668,102.0
24.794792,0.071875,62,85,1,0,n185,24.316668,102.0
24.897917,0.15520833,64,87,1,0,n186,24.316668,102.0
25.016666,0.7572917,74,98,1,0,n187,24.316668,102.0
25.030209,0.22604166,66,86,1,0,n188,25.023438,105.0
25.282291,0.10625,64,82,1,0,n189,25.023438,105.0
25.388542,0.092708334,62,84,1,0,n190,25.023438,105.0
25.485416,0.054166667,61,77,1,0,n191,25.023438,105.0
25.583334,0.13541667,59,72,1,0,n192,25.023438,105.0
25.709375,0.24895833,68,84,1,0,n193,25.023438,105.0
25.735416,0.42291668,52,67,1,0,n194,25.722397,108.0
25.976042,0.057291668,64,63,1,0,n195,25.722397,108.0
26.085417,0.10625,66,69,1,0,n196,25.722397,108.0
26.195833,0.036458332,40,61,1,0,n197,25.722397,108.0
26.195833,0.061458334,68,76,1,0,n198,25.722397,108.0
26.295834,0.041666668,69,76,1,0,n199,25.722397,108.0
26.421875,0.478125,74,89,1,0,n200,25.722397,108.0
26.427084,0.278125,40,64,1,0,n201,25.722397,108.0
26.4375,0.092708334,71,84,1,0,n202,26.42882,111.0
26.670834,0.040625,68,86,1,0,n203,26.42882,111.0
26.903126,0.3,71,89,1,0,n204,26.42882,111.0
26.909374,0.040625,40,75,1,0,n205,26.42882,111.0
27.158333,0.51875,80,101,1,0,n206,26.42882,111.0
27.165625,1.0541667,40,69,1,0,n207,27.164583,114.0
27.169792,0.1625,74,81,1,0,n208,27.164583,114.0
27.40625,0.07604167,71,88,1,0,n209,27.164583,114.0
27.635416,0.49895832,74,93,1,0,n210,27.164583,114.0
27.866667,0.740625,83,98,1,0,n211,27.164583,114.0
27.898958,0.23541667,80,71,1,0,n212,27.882812,117.0
28.121876,0.06458333,74,94,1,0,n213,27.882812,117.0
28.229166,0.11354167,47,81,1,0,n214,27.882812,117.0
28.332293,0.11145833,49,82,1,0,n215,27.882812,117.0
28.334375,0.06875,80,83,1,0,n216,27.882812,117.0
28.432291,0.15208334,50,87,1,0,n217,27.882812,117.0
28.555208,0.48541668,52,92,1,0,n218,27.882812,117.0
28.58125,0.609375,73,93,1,0,n219,28.56823,120.0
28.842709,0.20520833,81,84,1,0,n220,28.56823,120.0
28.965626,0.20208333,80,78,1,0,n221,28.56823,120.0
29.03125,0.052083332,40,61,1,0,n222,28.56823,120.0
29.058332,0.13229166,78,81,1,0,n223,28.56823,120.0
29.167707,0.039583333,76,82,1,0,n224,28.56823,120.0
29.288542,0.2625,40,51,1,0,n225,28.56823,120.0
29.294792,0.5104167,69,87,1,0,n226,28.56823,120.0
29.310417,0.036458332,75,74,1,0,n227,29.297916,123.0
29.523958,0.067708336,78,84,1,0,n228,29.297916,123.0
29.760416,0.041666668,75,76,1,0,n229,29.297916,123.0
29.779167,0.046875,40,58,1,0,n230,29.297916,123.0
30.007292,0.53020835,66,75,1,0,n231,29.297916,123.0
30.007292,0.24166666,69,66,1,0,n232,29.297916,123.0
30.011457,0.92395836,40,55,1,0,n233,30.00868,126.0
30.244791,0.048958335,75,76,1,0,n234,30.00868,126.0
30.475,0.055208333,69,69,1,0,n235,30.00868,126.0
30.725,0.2375,66,61,1,0,n236,30.00868,126.0
30.733334,0.31875,63,63,1,0,n237,30.729168,129.0
30.960417,0.05625,69,61,1,0,n238,30.729168,129.0
31.202084,0.053125,66,62,1,0,n239,30.729168,129.0
31.245832,0.048958335,64,33,1,0,n240,30.729168,129.0
31.428125,0.25208333,68,79,1,0,n241,30.729168,129.0
31.432291,0.044791665,64,62,1,0,n242,31.430208,132.0
31.651041,0.04375,66,71,1,0,n243,31.430208,132.0
31.888542,0.052083332,64,76,1,0,n244,31.430208,132.0
31.902082,0.038541667,62,67,1,0,n245,31.430208,132.0
31.90625,0.038541667,52,64,1,0,n246,31.430208,132.0
32.130207,0.20416667,69,73,1,0,n247,31.430208,132.0
32.134377,0.2,61,69,1,0,n248,31.430208,132.0
32.14375,0.048958335,54,75,1,0,n249,32.136112,135.0
32.380207,0.033333335,52,72,1,0,n250,32.136112,135.0
32.611458,0.37083334,74,89,1,0,n251,32.136112,135.0
32.615623,0.030208332,50,83,1,0,n252,32.136112,135.0
32.620834,0.029166667,69,74,1,0,n253,32.136112,135.0
32.902084,0.80833334,73,91,1,0,n254,32.136112,135.0
32.903126,0.95104164,52,85,1,0,n255,32.90278,138.0
32.903126,0.8072917,69,76,1,0,n256,32.90278,138.0
33.7375,0.094791666,73,80,1,0,n257,32.90278,138.0
33.76146,0.50104165,68,72,1,0,n258,32.90278,138.0
33.770832,0.7447917,40,63,1,0,n259,33.770832,141.0
33.791668,0.19375,71,83,1,0,n260,33.770832,141.0
34.009377,0.05,69,68,1,0,n261,33.770832,141.0
34.246876,0.053125,71,71,1,0,n262,33.770832,141.0
34.504166,0.28541666,69,64,1,0,n263,33.770832,141.0
34.515625,0.45104167,45,62,1,0,n264,34.509895,144.0
34.75729,0.140625,73,78,1,0,n265,34.509895,144.0
34.878124,0.083333336,71,83,1,0,n266,34.509895,144.0
34.96146,0.032291666,52,74,1,0,n267,34.509895,144.0
34.979168,0.10208333,69,75,1,0,n268,34.509895,144.0
35.065624,0.11666667,68,90,1,0,n269,34.509895,144.0
35.16875,0.038541667,57,77,1,0,n270,35.16875,147.0
35.16875,0.24791667,66,88,1,0,n271,35.16875,147.0
35.229168,0.11770833,56,79,1,0,n272,35.16875,147.0
35.30521,0.7916667,57,86,1,0,n273,35.16875,147.0
35.420834,0.13854167,69,83,1,0,n274,35.16875,147.0
35.52396,0.11354167,68,84,1,0,n275,35.16875,147.0
35.63229,0.08541667,66,80,1,0,n276,35.16875,147.0
35.734375,0.13541667,64,85,1,0,n277,35.16875,147.0
35.8625,0.039583333,63,87,1,0,n278,35.8625,150.0
36.10104,0.026041666,66,90,1,0,n279,35.8625,150.0
36.120834,0.08229167,59,74,1,0,n280,35.8625,150.0
36.21979,0.092708334,57,76,1,0,n281,35.8625,150.0
36.321877,0.0875,56,78,1,0,n282,35.8625,150.0
36.335415,0.029166667,71,89,1,0,n283,35.8625,150.0
36.429165,0.16458334,54,69,1,0,n284,35.8625,150.0
36.56354,0.25520834,53,68,1,0,n285,35.8625,150.0
36.583332,0.7604167,71,91,1,0,n286,36.573437,153.0
36.85104,0.05625,54,71,1,0,n287,36.573437,153.0
36.85104,0.029166667,68,78,1,0,n288,36.573437,153.0
36.958332,0.08125,53,67,1,0,n289,36.573437,153.0
37.05625,0.08645833,51,73,1,0,n290,36.573437,153.0
37.06875,0.042708334,65,69,1,0,n291,36.573437,153.0
37.16875,0.121875,49,65,1,0,n292,36.573437,153.0
37.31354,0.44375,54,65,1,0,n293,36.573437,153.0
37.31875,0.29583332,61,68,1,0,n294,37.316147,156.0
37.589584,0.115625,69,65,1,0,n295,37.316147,156.0
37.701042,0.119791664,68,68,1,0,n296,37.316147,156.0
37.779167,0.041666668,42,53,1,0,n297,37.316147,156.0
37.797916,0.079166666,66,60,1,0,n298,37.316147,156.0
37.89896,0.09375,64,69,1,0,n299,37.316147,156.0
38.01875,0.21979167,62,64,1,0,n300,37.316147,156.0
38.029167,0.04375,54,64,1,0,n301,38.023956,159.0
38.09479,0.090625,52,69,1,0,n302,38.023956,159.0
38.19479,0.7,54,62,1,0,n303,38.023956,159.0
38.2375,0.10104167,66,66,1,0,n304,38.023956,159.0
38.34375,0.078125,64,73,1,0,n305,38.023956,159.0
38.45729,0.060416665,62,69,1,0,n306,38.023956,159.0
38.552082,0.1,61,61,1,0,n307,38.023956,159.0
38.677082,0.20833333,59,66,1,0,n308,38.677082,162.0
38.904167,0.032291666,62,74,1,0,n309,38.677082,162.0
38.925,0.054166667,55,61,1,0,n310,38.677082,162.0
39.013542,0.07604167,54,67,1,0,n311,38.677082,162.0
39.14375,0.0625,52,64,1,0,n312,38.677082,162.0
39.14375,0.029166667,67,78,1,0,n313,38.677082,162.0
39.234375,0.11875,50,66,1,0,n314,38.677082,162.0
39.377083,0.265625,49,60,1,0,n315,38.677082,162.0
39.390625,1.0947917,67,86,1,0,n316,39.383854,165.0
