xml_id	midi_id	track	channel	pitch	onset
n13-1	n7	1	0	38	1.1510416666666665
n12-1	n0	1	0	50	0.6145833333333333
n7-1	n10	1	0	64	1.4921874999999996
n6-1	n9	1	0	65	1.3776041666666663
n5-1	n8	1	0	67	1.2578124999999998
n4-1	n6	1	0	69	1.1432291666666665
n3-1	n5	1	0	70	1.0208333333333333
n2-1	n4	1	0	72	0.8997395833333333
n1-1	n1	1	0	74	0.6263020833333333
n8-1	n11	1	0	62	1.6015624999999996
n11-1	n14	1	0	62	1.9231770833333326
n10-1	n13	1	0	64	1.8216145833333328
n9-1	n12	1	0	65	1.7096354166666663
n28-1	n18	1	0	38	2.304687499999999
n17-1	n17	1	0	62	2.2838541666666656
n16-1	n16	1	0	67	2.160156249999999
n18-1	n19	1	0	67	2.407552083333332
n15-1	n15	1	0	70	2.0442708333333326
n29-1	n21	1	0	43	2.5416666666666656
n30-1	n23	1	0	46	2.7643229166666656
n21-1	n24	1	0	62	2.7643229166666656
n20-1	n22	1	0	67	2.656249999999999
n22-1	n25	1	0	67	2.8776041666666656
n19-1	n20	1	0	70	2.531249999999999
n31-1	n26	1	0	50	2.9908854166666656
n25-1	n31	1	0	62	3.226562499999999
n24-1	n29	1	0	67	3.1106770833333326
n26-1	n32	1	0	67	3.3723958333333326
n23-1	n27	1	0	70	3.011718749999999
n45-1	n35	1	0	38	3.7070312499999996
n34-1	n36	1	0	62	3.723958333333333
n33-1	n34	1	0	67	3.6054687499999996
n35-1	n37	1	0	67	3.8515625
n32-1	n33	1	0	69	3.475260416666666
n46-1	n38	1	0	41	3.9401041666666665
n47-1	n41	1	0	45	4.173177083333333
n38-1	n42	1	0	62	4.1796875
n37-1	n40	1	0	65	4.063802083333333
n39-1	n43	1	0	65	4.298177083333333
n36-1	n39	1	0	69	3.9583333333333335
n48-1	n44	1	0	50	4.419270833333333
n42-1	n49	1	0	62	4.640624999999999
n41-1	n47	1	0	65	4.51953125
n43-1	n50	1	0	65	4.752604166666666
n40-1	n45	1	0	69	4.420572916666666
n62-1	n53	1	0	58	5.104166666666666
n51-1	n54	1	0	62	5.113281249999999
n50-1	n52	1	0	64	4.977864583333332
n52-1	n55	1	0	64	5.216145833333332
n49-1	n51	1	0	67	4.874999999999999
n63-1	n57	1	0	52	5.334635416666666
n64-1	n59	1	0	55	5.567708333333331
n55-1	n60	1	0	61	5.578124999999998
n54-1	n58	1	0	64	5.471354166666665
n56-1	n61	1	0	64	5.686197916666665
n53-1	n56	1	0	67	5.332031249999999
n65-1	n63	1	0	49	5.816406249999998
n66-1	n65	1	0	57	6.046874999999998
n59-1	n66	1	0	61	6.069010416666664
n58-1	n64	1	0	64	5.949218749999998
n60-1	n67	1	0	64	6.164062499999997
n57-1	n62	1	0	67	5.815104166666665
n72-1	n69	1	0	50	6.291666666666663
n70-1	n72	1	0	58	6.6367187499999964
n69-1	n71	1	0	60	6.522135416666663
n68-1	n70	1	0	62	6.3984374999999964
n67-1	n68	1	0	65	6.29036458333333
n76-1	n76	1	0	52	7.089843749999996
n75-1	n75	1	0	53	6.976562499999996
n74-1	n74	1	0	55	6.8606770833333295
n71-1	n73	1	0	57	6.7499999999999964
n77-1	n77	1	0	50	7.2174479166666625
n80-1	n80	1	0	50	7.56770833333333
n79-1	n79	1	0	52	7.46223958333333
n78-1	n78	1	0	53	7.358072916666663
n88-1	n83	1	0	50	7.944010416666663
n87-1	n82	1	0	55	7.81380208333333
n89-1	n85	1	0	55	8.104166666666664
n86-1	n81	1	0	58	7.705729166666663
