onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.6145833,0.067708336,50,77,1,0,n0,-10.0,-10.0
0.62630206,0.30729166,74,90,1,0,n1,0.620443,0.0
0.67057294,0.098958336,49,78,1,0,n2,0.620443,0.0
0.7578125,0.375,50,73,1,0,n3,0.620443,0.0
0.89973956,0.140625,72,85,1,0,n4,0.620443,0.0
1.0208334,0.15494792,70,79,1,0,n5,0.620443,0.0
1.1432291,0.111979164,69,77,1,0,n6,0.620443,0.0
1.1510416,0.5260417,38,77,1,0,n7,1.147136,1.0
1.2578125,0.13932292,67,78,1,0,n8,1.147136,1.0
1.3776041,0.13671875,65,82,1,0,n9,1.147136,1.0
1.4921875,0.11328125,64,81,1,0,n10,1.147136,1.0
1.6015625,0.125,62,81,1,0,n11,1.601562,2.0
1.7096354,0.118489586,65,78,1,0,n12,1.601562,2.0
1.8216146,0.088541664,64,76,1,0,n13,1.601562,2.0
1.9231771,0.111979164,62,76,1,0,n14,1.601562,2.0
2.0442708,0.08984375,70,66,1,0,n15,1.601562,2.0
2.1601562,0.07421875,67,59,1,0,n16,2.044271,3.0
2.2838542,0.1171875,62,64,1,0,n17,2.044271,3.0
2.3046875,0.053385418,38,62,1,0,n18,2.044271,3.0
2.407552,0.09375,67,55,1,0,n19,2.044271,3.0
2.53125,0.08984375,70,68,1,0,n20,2.044271,3.0
2.5416667,0.037760418,43,69,1,0,n21,2.536459,4.0
2.65625,0.084635414,67,61,1,0,n22,2.536459,4.0
2.764323,0.044270832,46,75,1,0,n23,2.536459,4.0
2.764323,0.09765625,62,61,1,0,n24,2.536459,4.0
2.8776042,0.0859375,67,50,1,0,n25,2.536459,4.0
2.9908855,0.0703125,50,79,1,0,n26,2.536459,4.0
3.0117188,0.09375,70,74,1,0,n27,3.001302,5.0
3.0533855,0.09375,49,74,1,0,n28,3.001302,5.0
3.110677,0.09765625,67,74,1,0,n29,3.001302,5.0
3.1497395,0.26822916,50,75,1,0,n30,3.001302,5.0
3.2265625,0.1484375,62,67,1,0,n31,3.001302,5.0
