xml_id	midi_id	track	channel	pitch	onset
n13-1	n7	1	0	38	1.5833333333333333
n12-1	n0	1	0	50	0.9822916666666667
n7-1	n10	1	0	64	1.9354166666666663
n6-1	n9	1	0	65	1.8281249999999998
n5-1	n8	1	0	67	1.7031249999999998
n4-1	n6	1	0	69	1.5739583333333333
n3-1	n5	1	0	70	1.4729166666666667
n2-1	n4	1	0	72	1.359375
n1-1	n1	1	0	74	1.0083333333333333
n8-1	n11	1	0	62	2.0562499999999995
n11-1	n14	1	0	62	2.3947916666666664
n10-1	n13	1	0	64	2.2781249999999997
n9-1	n12	1	0	65	2.152083333333333
n28-1	n17	1	0	38	2.7187499999999996
n17-1	n18	1	0	62	2.7322916666666663
n16-1	n16	1	0	67	2.6187499999999995
n18-1	n19	1	0	67	2.8437499999999996
n15-1	n15	1	0	70	2.4999999999999996
n29-1	n20	1	0	43	2.945833333333333
n30-1	n23	1	0	46	3.1697916666666663
n21-1	n24	1	0	62	3.1822916666666665
n20-1	n22	1	0	67	3.0656249999999994
n22-1	n25	1	0	67	3.2895833333333333
n19-1	n21	1	0	70	2.9510416666666663
n31-1	n27	1	0	50	3.3875
n25-1	n30	1	0	62	3.6218750000000006
n24-1	n28	1	0	67	3.5000000000000004
n26-1	n32	1	0	67	3.7343750000000004
n23-1	n26	1	0	70	3.3822916666666667
n45-1	n35	1	0	38	4.0791666666666675
n34-1	n36	1	0	62	4.0895833333333345
n33-1	n34	1	0	67	3.976041666666667
n35-1	n37	1	0	67	4.193750000000001
n32-1	n33	1	0	69	3.8468750000000007
n46-1	n38	1	0	41	4.305208333333335
n47-1	n41	1	0	45	4.535416666666667
n38-1	n42	1	0	62	4.550000000000001
n37-1	n40	1	0	65	4.421875000000001
n39-1	n43	1	0	65	4.664583333333334
n36-1	n39	1	0	69	4.305208333333335
n48-1	n44	1	0	50	4.760416666666667
n42-1	n49	1	0	62	5.009375
n41-1	n47	1	0	65	4.882291666666667
n43-1	n50	1	0	65	5.119791666666667
n40-1	n45	1	0	69	4.763541666666667
n62-1	n53	1	0	58	5.469791666666666
n51-1	n54	1	0	62	5.479166666666666
n50-1	n52	1	0	64	5.347916666666666
n52-1	n55	1	0	64	5.584375
n49-1	n51	1	0	67	5.228125
n63-1	n57	1	0	52	5.704166666666667
n64-1	n59	1	0	55	5.925
n55-1	n60	1	0	61	5.930208333333333
n54-1	n58	1	0	64	5.810416666666667
n56-1	n61	1	0	64	6.042708333333333
n53-1	n56	1	0	67	5.69375
n65-1	n63	1	0	49	6.160416666666666
n66-1	n66	1	0	57	6.414583333333333
n59-1	n65	1	0	61	6.386458333333333
n58-1	n64	1	0	64	6.272916666666666
n60-1	n67	1	0	64	6.497916666666667
n57-1	n62	1	0	67	6.14375
n72-1	n69	1	0	50	6.636458333333334
n70-1	n72	1	0	58	7.0
n69-1	n71	1	0	60	6.871875
n68-1	n70	1	0	62	6.766666666666667
n67-1	n68	1	0	65	6.622916666666667
n76-1	n76	1	0	52	7.48125
n75-1	n75	1	0	53	7.372916666666667
n74-1	n74	1	0	55	7.257291666666667
n71-1	n73	1	0	57	7.125
n77-1	n77	1	0	50	7.609375
n80-1	n80	1	0	50	7.960416666666667
n79-1	n79	1	0	52	7.852083333333334
n78-1	n78	1	0	53	7.729166666666667
n88-1	n83	1	0	50	8.318750000000003
n87-1	n82	1	0	55	8.194791666666669
n89-1	n85	1	0	55	8.458333333333337
n86-1	n81	1	0	58	8.093750000000002
n82-1	n84	1	0	62	8.318750000000003
n92-1	n90	1	0	50	8.779166666666672
n91-1	n88	1	0	55	8.672916666666671
n93-1	n91	1	0	55	8.922916666666671
n90-1	n87	1	0	58	8.564583333333339
n83-1	n86	1	0	67	8.545833333333338
n84-1	n89	1	0	70	8.773958333333338
n96-1	n97	1	0	50	9.223958333333336
n95-1	n96	1	0	55	9.146875000000003
n97-1	n98	1	0	55	9.339583333333335
n94-1	n93	1	0	58	9.026041666666671
n85-1	n92	1	0	74	8.998958333333338
n105-1	n102	1	0	50	9.727083333333336
n104-1	n100	1	0	55	9.612500000000002
n106-1	n103	1	0	55	9.834375000000003
n103-1	n99	1	0	57	9.495833333333337
n99-1	n101	1	0	62	9.725000000000003
n109-1	n108	1	0	50	10.191666666666672
n108-1	n106	1	0	53	10.08541666666667
n110-1	n109	1	0	53	10.308333333333339
n107-1	n104	1	0	57	9.946875000000004
n100-1	n105	1	0	65	9.959375000000003
n101-1	n107	1	0	69	10.182291666666671
n113-1	n115	1	0	50	10.602083333333338
n112-1	n113	1	0	53	10.491666666666672
n114-1	n116	1	0	53	10.71041666666667
n111-1	n110	1	0	57	10.411458333333337
n102-1	n111	1	0	74	10.414583333333338
n123-1	n120	1	0	50	11.122916666666672
n122-1	n118	1	0	52	10.977083333333338
n124-1	n121	1	0	52	11.227083333333338
n121-1	n117	1	0	55	10.871875000000005
