onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,1.0,0,8,50,5,n12-1,0.0,0.973958
0.0,0.5,0.0,0.5,0,4,74,1,n1-1,0.0,0.973958
0.5,0.25,0.5,0.25,4,2,72,1,n2-1,0.0,0.973958
0.75,0.25,0.75,0.25,6,2,70,1,n3-1,0.0,0.973958
1.0,1.0,1.0,1.0,8,8,38,5,n13-1,1.0,1.505729
1.0,0.25,1.0,0.25,8,2,69,1,n4-1,1.0,1.505729
1.25,0.25,1.25,0.25,10,2,67,1,n5-1,1.0,1.505729
1.5,0.25,1.5,0.25,12,2,65,1,n6-1,1.0,1.505729
1.75,0.25,1.75,0.25,14,2,64,1,n7-1,1.0,1.505729
2.0,0.25,2.0,0.25,16,2,62,1,n8-1,2.0,1.920833
2.25,0.25,2.25,0.25,18,2,65,1,n9-1,2.0,1.920833
2.5,0.25,2.5,0.25,20,2,64,1,n10-1,2.0,1.920833
2.75,0.25,2.75,0.25,22,2,62,1,n11-1,2.0,1.920833
3.0,0.25,3.0,0.25,24,2,70,1,n15-1,3.0,2.359375
3.25,0.25,3.25,0.25,26,2,67,1,n16-1,3.0,2.359375
3.5,0.5,3.5,0.5,28,4,38,5,n28-1,3.0,2.359375
3.5,0.25,3.5,0.25,28,2,62,1,n17-1,3.0,2.359375
3.75,0.25,3.75,0.25,30,2,67,1,n18-1,3.0,2.359375
4.0,0.5,4.0,0.5,32,4,43,5,n29-1,4.0,2.814062
4.0,0.25,4.0,0.25,32,2,70,1,n19-1,4.0,2.814062
4.25,0.25,4.25,0.25,34,2,67,1,n20-1,4.0,2.814062
4.5,0.5,4.5,0.5,36,4,46,5,n30-1,4.0,2.814062
4.5,0.25,4.5,0.25,36,2,62,1,n21-1,4.0,2.814062
4.75,0.25,4.75,0.25,38,2,67,1,n22-1,4.0,2.814062
5.0,1.0,5.0,1.0,40,8,50,5,n31-1,5.0,3.269271
5.0,0.25,5.0,0.25,40,2,70,1,n23-1,5.0,3.269271
5.25,0.25,5.25,0.25,42,2,67,1,n24-1,5.0,3.269271
5.5,0.25,5.5,0.25,44,2,62,1,n25-1,5.0,3.269271
5.75,0.25,5.75,0.25,46,2,67,1,n26-1,5.0,3.269271
6.0,0.25,6.0,0.25,48,2,69,1,n32-1,6.0,3.723958
6.25,0.25,6.25,0.25,50,2,67,1,n33-1,6.0,3.723958
6.5,0.5,6.5,0.5,52,4,38,5,n45-1,6.0,3.723958
6.5,0.25,6.5,0.25,52,2,62,1,n34-1,6.0,3.723958
6.75,0.25,6.75,0.25,54,2,67,1,n35-1,6.0,3.723958
7.0,0.5,7.0,0.5,56,4,41,5,n46-1,7.0,4.148958
7.0,0.25,7.0,0.25,56,2,69,1,n36-1,7.0,4.148958
7.25,0.25,7.25,0.25,58,2,65,1,n37-1,7.0,4.148958
7.5,0.5,7.5,0.5,60,4,45,5,n47-1,7.0,4.148958
7.5,0.25,7.5,0.25,60,2,62,1,n38-1,7.0,4.148958
7.75,0.25,7.75,0.25,62,2,65,1,n39-1,7.0,4.148958
8.0,1.0,8.0,1.0,64,8,50,5,n48-1,8.0,4.613542
8.0,0.25,8.0,0.25,64,2,69,1,n40-1,8.0,4.613542
8.25,0.25,8.25,0.25,66,2,65,1,n41-1,8.0,4.613542
8.5,0.25,8.5,0.25,68,2,62,1,n42-1,8.0,4.613542
8.75,0.25,8.75,0.25,70,2,65,1,n43-1,8.0,4.613542
9.0,0.25,9.0,0.25,72,2,67,1,n49-1,9.0,5.039583
9.25,0.25,9.25,0.25,74,2,64,1,n50-1,9.0,5.039583
9.5,0.5,9.5,0.5,76,4,58,5,n62-1,9.0,5.039583
9.5,0.25,9.5,0.25,76,2,62,1,n51-1,9.0,5.039583
9.75,0.25,9.75,0.25,78,2,64,1,n52-1,9.0,5.039583
10.0,0.5,10.0,0.5,80,4,52,5,n63-1,10.0,5.467187
10.0,0.25,10.0,0.25,80,2,67,1,n53-1,10.0,5.467187
10.25,0.25,10.25,0.25,82,2,64,1,n54-1,10.0,5.467187
10.5,0.5,10.5,0.5,84,4,55,5,n64-1,10.0,5.467187
10.5,0.25,10.5,0.25,84,2,61,1,n55-1,10.0,5.467187
10.75,0.25,10.75,0.25,86,2,64,1,n56-1,10.0,5.467187
11.0,0.5,11.0,0.5,88,4,49,5,n65-1,11.0,5.9125
11.0,0.25,11.0,0.25,88,2,67,1,n57-1,11.0,5.9125
11.25,0.25,11.25,0.25,90,2,64,1,n58-1,11.0,5.9125
11.5,0.5,11.5,0.5,92,4,57,5,n66-1,11.0,5.9125
11.5,0.25,11.5,0.25,92,2,61,1,n59-1,11.0,5.9125
11.75,0.25,11.75,0.25,94,2,64,1,n60-1,11.0,5.9125
12.0,1.0,12.0,1.0,96,8,50,5,n72-1,12.0,6.359896
12.0,1.0,12.0,1.0,96,8,65,1,n67-1,12.0,6.359896
12.25,0.25,12.25,0.25,98,2,62,2,n68-1,12.0,6.359896
12.5,0.25,12.5,0.25,100,2,60,2,n69-1,12.0,6.359896
12.75,0.25,12.75,0.25,102,2,58,2,n70-1,12.0,6.359896
13.0,0.25,13.0,0.25,104,2,57,2,n71-1,13.0,6.823958
13.25,0.25,13.25,0.25,106,2,55,5,n74-1,13.0,6.823958
13.5,0.25,13.5,0.25,108,2,53,5,n75-1,13.0,6.823958
13.75,0.25,13.75,0.25,110,2,52,5,n76-1,13.0,6.823958
14.0,0.25,14.0,0.25,112,2,50,5,n77-1,14.0,7.26875
14.25,0.25,14.25,0.25,114,2,53,5,n78-1,14.0,7.26875
14.5,0.25,14.5,0.25,116,2,52,5,n79-1,14.0,7.26875
14.75,0.25,14.75,0.25,118,2,50,5,n80-1,14.0,7.26875
15.0,0.25,15.0,0.25,120,2,58,5,n86-1,15.0,7.704167
15.25,0.25,15.25,0.25,122,2,55,5,n87-1,15.0,7.704167
15.5,0.25,15.5,0.25,124,2,50,5,n88-1,15.0,7.704167
15.5,0.5,15.5,0.5,124,4,62,1,n82-1,15.0,7.704167
15.75,0.25,15.75,0.25,126,2,55,5,n89-1,15.0,7.704167
16.0,0.25,16.0,0.25,128,2,58,5,n90-1,16.0,8.147396
16.0,0.5,16.0,0.5,128,4,67,1,n83-1,16.0,8.147396
16.25,0.25,16.25,0.25,130,2,55,5,n91-1,16.0,8.147396
16.5,0.25,16.5,0.25,132,2,50,5,n92-1,16.0,8.147396
16.5,0.5,16.5,0.5,132,4,70,1,n84-1,16.0,8.147396
16.75,0.25,16.75,0.25,134,2,55,5,n93-1,16.0,8.147396
17.0,0.25,17.0,0.25,136,2,58,5,n94-1,17.0,8.626042
17.0,1.0,17.0,1.0,136,8,74,1,n85-1,17.0,8.626042
