onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.97083336,0.31875,74,76,1,0,n0,-10.0,-10.0
0.9770833,0.052083332,50,53,1,0,n1,0.973958,0.0
1.040625,0.055208333,49,59,1,0,n2,0.973958,0.0
1.125,0.27916667,50,61,1,0,n3,0.973958,0.0
1.2552084,0.14583333,72,69,1,0,n4,0.973958,0.0
1.3697916,0.15,70,72,1,0,n5,0.973958,0.0
1.5052084,0.094791666,69,72,1,0,n6,0.973958,0.0
1.50625,0.4375,38,57,1,0,n7,1.505729,1.0
1.6010417,0.108333334,67,71,1,0,n8,1.505729,1.0
1.703125,0.12708333,65,71,1,0,n9,1.505729,1.0
1.8083333,0.10729167,64,68,1,0,n10,1.505729,1.0
1.9208333,0.103125,62,68,1,0,n11,1.920833,2.0
2.0239584,0.110416666,65,71,1,0,n12,1.920833,2.0
2.1427083,0.084375,64,67,1,0,n13,1.920833,2.0
2.253125,0.079166666,62,65,1,0,n14,1.920833,2.0
2.359375,0.104166664,70,71,1,0,n15,2.359375,3.0
2.471875,0.11354167,67,61,1,0,n16,2.359375,3.0
2.5802083,0.055208333,38,74,1,0,n17,2.359375,3.0
2.596875,0.09583333,62,66,1,0,n18,2.359375,3.0
2.7072916,0.103125,67,67,1,0,n19,2.359375,3.0
2.8041666,0.0375,43,80,1,0,n20,2.359375,3.0
2.8239584,0.094791666,70,70,1,0,n21,2.814062,4.0
2.940625,0.09583333,67,59,1,0,n22,2.814062,4.0
3.03125,0.034375,46,73,1,0,n23,2.814062,4.0
3.0489583,0.096875,62,68,1,0,n24,2.814062,4.0
3.1614583,0.10625,67,67,1,0,n25,2.814062,4.0
3.2572916,0.06458333,50,79,1,0,n26,2.814062,4.0
3.28125,0.10520833,70,67,1,0,n27,3.269271,5.0
3.31875,0.08229167,49,69,1,0,n28,3.269271,5.0
3.375,0.12916666,67,63,1,0,n29,3.269271,5.0
3.4010417,0.31145832,50,67,1,0,n30,3.269271,5.0
3.5114584,0.109375,62,66,1,0,n31,3.269271,5.0
3.6166666,0.10520833,67,67,1,0,n32,3.269271,5.0
3.7239583,0.108333334,69,71,1,0,n33,3.723958,6.0
3.8302083,0.108333334,67,64,1,0,n34,3.723958,6.0
3.9239583,0.052083332,38,73,1,0,n35,3.723958,6.0
3.9458334,0.096875,62,69,1,0,n36,3.723958,6.0
4.0416665,0.10625,67,62,1,0,n37,3.723958,6.0
4.147917,0.035416666,41,77,1,0,n38,3.723958,6.0
4.15,0.104166664,69,68,1,0,n39,4.148958,7.0
4.2635417,0.098958336,65,62,1,0,n40,4.148958,7.0
4.359375,0.03125,45,80,1,0,n41,4.148958,7.0
4.3697915,0.09375,62,68,1,0,n42,4.148958,7.0
4.4791665,0.1125,65,60,1,0,n43,4.148958,7.0
4.60625,0.10104167,69,67,1,0,n44,4.148958,7.0
4.6208334,0.047916666,50,74,1,0,n45,4.613542,8.0
4.6677084,0.07395833,49,70,1,0,n46,4.613542,8.0
4.695833,0.110416666,65,59,1,0,n47,4.613542,8.0
4.7520833,0.28229168,50,76,1,0,n48,4.613542,8.0
4.828125,0.123958334,62,60,1,0,n49,4.613542,8.0
4.925,0.104166664,65,66,1,0,n50,4.613542,8.0
5.039583,0.123958334,67,68,1,0,n51,5.039583,9.0
5.155208,0.08645833,64,64,1,0,n52,5.039583,9.0
5.2479167,0.09791667,62,67,1,0,n53,5.039583,9.0
5.2625,0.034375,58,60,1,0,n54,5.039583,9.0
5.3635416,0.09166667,64,63,1,0,n55,5.039583,9.0
5.461458,0.052083332,52,60,1,0,n56,5.039583,9.0
5.4729166,0.11145833,67,67,1,0,n57,5.467187,10.0
5.592708,0.1,64,66,1,0,n58,5.467187,10.0
5.695833,0.042708334,55,64,1,0,n59,5.467187,10.0
5.70625,0.08541667,61,62,1,0,n60,5.467187,10.0
5.805208,0.0875,64,66,1,0,n61,5.467187,10.0
5.907292,0.035416666,49,63,1,0,n62,5.467187,10.0
5.9177084,0.094791666,67,63,1,0,n63,5.9125,11.0
6.0270834,0.098958336,64,67,1,0,n64,5.9125,11.0
6.133333,0.035416666,57,57,1,0,n65,5.9125,11.0
6.1427083,0.09583333,61,62,1,0,n66,5.9125,11.0
6.25625,0.045833334,64,68,1,0,n67,5.9125,11.0
6.353125,0.64166665,50,61,1,0,n68,5.9125,11.0
6.366667,0.85,65,72,1,0,n69,6.359896,12.0
6.48125,0.18333334,62,69,1,0,n70,6.359896,12.0
6.6125,0.108333334,60,74,1,0,n71,6.359896,12.0
6.71875,0.11666667,58,74,1,0,n72,6.359896,12.0
6.8239584,0.17916666,57,76,1,0,n73,6.823958,13.0
6.9239583,0.12291667,55,66,1,0,n74,6.823958,13.0
7.0427084,0.10729167,53,68,1,0,n75,6.823958,13.0
7.1520834,0.12083333,52,67,1,0,n76,6.823958,13.0
7.26875,0.103125,50,71,1,0,n77,7.26875,14.0
7.371875,0.10729167,53,69,1,0,n78,7.26875,14.0
7.483333,0.128125,52,66,1,0,n79,7.26875,14.0
7.6041665,0.07395833,50,73,1,0,n80,7.26875,14.0
7.704167,0.10625,58,78,1,0,n81,7.704167,15.0
7.813542,0.104166664,55,67,1,0,n82,7.704167,15.0
7.9177084,0.046875,62,79,1,0,n83,7.704167,15.0
7.929167,0.110416666,50,65,1,0,n84,7.704167,15.0
8.040625,0.08958333,55,59,1,0,n85,7.704167,15.0
8.1375,0.11145833,58,65,1,0,n86,7.704167,15.0
8.157291,0.035416666,67,77,1,0,n87,8.147396,16.0
8.254167,0.108333334,55,63,1,0,n88,8.147396,16.0
8.38125,0.11875,50,61,1,0,n89,8.147396,16.0
