idx,matchtype,partid,ppartid
0,0,n10-1,n3
1,0,n9-1,n2
2,0,n11-1,n4
3,0,n4-1,n1
4,0,n1-1,n0
5,0,n14-1,n7
6,0,n13-1,n6
7,0,n12-1,n5
8,0,n21-1,n11
9,0,n7-1,n8
10,1,n2-1,undefined
11,1,n18-1,undefined
12,0,n3-1,n9
13,0,n17-1,n10
14,1,n23-1,undefined
15,0,n27-1,n14
16,0,n26-1,n12
17,0,n28-1,n15
18,0,n24-1,n13
19,0,n31-1,n18
20,0,n30-1,n17
21,0,n29-1,n16
22,0,n45-1,n22
23,0,n19-1,n19
24,0,n20-1,n20
25,0,n34-1,n21
26,0,n48-1,n26
27,0,n35-1,n23
28,0,n37-1,n25
29,1,n43-1,undefined
30,0,n36-1,n24
31,1,n51-1,undefined
32,0,n40-1,n30
33,1,n44-1,undefined
34,0,n38-1,n27
35,0,n39-1,n28
36,0,n58-1,n34
37,0,n59-1,n35
38,0,n41-1,n31
39,0,n62-1,n37
40,1,n55-1,undefined
41,0,n42-1,n32
42,0,n54-1,n33
43,1,n61-1,undefined
44,0,n65-1,n38
45,0,n64-1,n36
46,0,n66-1,n39
47,0,n69-1,n42
48,0,n68-1,n41
49,0,n67-1,n40
50,0,n57-1,n44
51,0,n56-1,n43
52,0,n70-1,n45
53,0,n72-1,n47
54,0,n71-1,n46
55,0,n73-1,n48
56,0,n82-1,n50
57,0,n83-1,n53
58,1,n79-1,undefined
59,0,n80-1,n54
60,0,n75-1,n51
61,0,n74-1,n49
62,0,n76-1,n52
63,0,n100-1,n58
64,1,n84-1,undefined
65,0,n94-1,n59
66,0,n81-1,n57
67,0,n78-1,n56
68,0,n85-1,n60
69,0,n77-1,n55
70,0,n96-1,n65
71,0,n95-1,n63
72,0,n87-1,n62
73,0,n86-1,n61
74,0,n88-1,n64
75,0,n101-1,n69
76,0,n102-1,n72
77,0,n97-1,n67
78,0,n98-1,n71
79,0,n90-1,n68
80,0,n89-1,n66
81,0,n91-1,n70
82,0,n103-1,n76
83,0,n99-1,n75
84,0,n119-1,n79
85,0,n113-1,n77
86,0,n93-1,n74
87,0,n104-1,n78
88,0,n92-1,n73
89,0,n115-1,n83
90,0,n114-1,n81
91,0,n106-1,n82
92,0,n105-1,n80
93,0,n107-1,n84
94,0,n116-1,n86
95,0,n117-1,n89
96,0,n109-1,n87
97,0,n108-1,n85
98,0,n110-1,n88
99,0,n123-1,n94
100,0,n140-1,n95
101,0,n124-1,n91
102,0,n141-1,n98
103,0,n118-1,n92
104,0,n134-1,n97
105,0,n125-1,n96
106,0,n112-1,n93
107,0,n111-1,n90
108,0,n135-1,n100
109,0,n136-1,n102
110,0,n127-1,n101
111,0,n126-1,n99
112,0,n128-1,n103
113,0,n138-1,n108
114,0,n137-1,n106
115,0,n130-1,n105
116,0,n129-1,n104
117,0,n131-1,n107
118,0,n139-1,n111
119,0,n151-1,n112
120,0,n133-1,n110
121,0,n132-1,n109
122,0,n142-1,n113
123,0,n153-1,n118
124,0,n152-1,n116
125,0,n144-1,n115
126,0,n143-1,n114
127,0,n145-1,n117
128,0,n154-1,n121
129,0,n156-1,n124
130,0,n155-1,n122
131,0,n147-1,n120
132,0,n146-1,n119
133,0,n150-1,n123
134,0,n166-1,n130
135,0,n157-1,n125
136,0,n158-1,n127
137,0,n159-1,n128
138,0,n149-1,n129
139,0,n148-1,n126
140,0,n164-1,n131
141,0,n168-1,n133
142,0,n167-1,n132
143,0,n169-1,n134
144,0,n172-1,n137
145,0,n171-1,n136
146,0,n170-1,n135
147,0,n185-1,n141
148,0,n165-1,n138
149,1,n162-1,undefined
150,0,n175-1,n140
151,0,n163-1,n139
152,0,n188-1,n144
153,0,n177-1,n143
154,0,n178-1,n145
155,0,n176-1,n142
156,0,n191-1,n148
157,0,n181-1,n149
158,1,n184-1,undefined
159,0,n180-1,n147
160,0,n179-1,n146
161,0,n197-1,n152
162,0,n183-1,n151
163,0,n182-1,n150
164,0,n194-1,n153
165,0,n201-1,n155
166,0,n200-1,n154
167,0,n202-1,n156
168,0,n205-1,n159
169,0,n204-1,n158
170,0,n203-1,n157
171,0,n196-1,n161
172,0,n195-1,n160
173,0,n208-1,n162
174,0,n218-1,n165
175,0,n217-1,n163
176,0,n219-1,n167
177,0,n210-1,n166
178,0,n209-1,n164
179,0,n211-1,n168
180,0,n225-1,n173
181,0,n226-1,n174
182,0,n221-1,n171
183,0,n220-1,n169
184,0,n222-1,n175
