xml_id	midi_id	track	channel	pitch	onset
n10-1	n3	1	0	62	1.4713541666666667
n9-1	n2	1	0	63	1.2838541666666667
n11-1	n4	1	0	63	1.701822916666667
n4-1	n1	1	0	67	1.0390625
n1-1	n0	1	0	70	1.0286458333333333
n14-1	n7	1	0	51	2.2890625
n13-1	n6	1	0	55	2.0807291666666665
n12-1	n5	1	0	58	1.8984375
n21-1	n10	1	0	65	2.873697916666667
n7-1	n8	1	0	67	2.4791666666666665
n2-1	deletion
n18-1	deletion
n3-1	n9	1	0	75	2.671875
n17-1	n11	1	0	75	2.885416666666667
n23-1	deletion
n27-1	n14	1	0	57	3.291666666666667
n26-1	n13	1	0	58	3.100260416666667
n28-1	n15	1	0	58	3.510416666666667
n24-1	n12	1	0	74	3.0950520833333335
n31-1	n18	1	0	46	4.111979166666666
n30-1	n17	1	0	50	3.90625
n29-1	n16	1	0	53	3.71484375
n45-1	n22	1	0	53	4.709635416666665
n19-1	n19	1	0	65	4.305989583333332
n20-1	n20	1	0	67	4.480468749999999
n34-1	n21	1	0	68	4.708333333333332
n48-1	n25	1	0	58	5.305989583333332
n35-1	n23	1	0	60	4.915364583333332
n37-1	n26	1	0	62	5.324218749999999
n43-1	deletion
n36-1	n24	1	0	63	5.088541666666665
n51-1	deletion
n40-1	n30	1	0	58	5.940104166666666
n44-1	deletion
n38-1	n27	1	0	65	5.524739583333332
n39-1	n28	1	0	70	5.726562499999999
n58-1	n34	1	0	58	6.576822916666666
n59-1	n35	1	0	63	6.582031249999999
n41-1	n31	1	0	65	6.138020833333333
n55-1	deletion
n42-1	n32	1	0	68	6.335937499999999
n54-1	n33	1	0	68	6.558593749999999
n61-1	deletion
n65-1	n38	1	0	50	6.981770833333333
n64-1	n36	1	0	51	6.765624999999999
n66-1	n39	1	0	51	7.186197916666666
n62-1	n37	1	0	67	6.792968749999999
n69-1	n42	1	0	39	7.819010416666666
n68-1	n41	1	0	43	7.58203125
n67-1	n40	1	0	46	7.384114583333333
n57-1	n44	1	0	50	8.2265625
n56-1	n43	1	0	51	8.014322916666666
n70-1	n45	1	0	51	8.415364583333334
n72-1	n47	1	0	53	8.809895833333332
n71-1	n46	1	0	55	8.604166666666666
n73-1	n48	1	0	55	9.020833333333332
n82-1	n51	1	0	39	9.404947916666666
n83-1	n54	1	0	39	9.600260416666666
n79-1	deletion
n80-1	n52	1	0	51	9.596354166666666
n75-1	n50	1	0	56	9.399739583333332
n74-1	n49	1	0	58	9.205729166666664
n76-1	n53	1	0	58	9.598958333333332
n84-1	n58	1	0	39	10.01953125
n100-1	n61	1	0	39	10.21614583333333
n94-1	n59	1	0	48	10.209635416666664
n81-1	n56	1	0	49	10.006510416666666
n78-1	n57	1	0	55	10.014322916666666
n85-1	n60	1	0	56	10.209635416666664
n77-1	n55	1	0	61	9.821614583333334
n96-1	n65	1	0	44	10.832031249999996
n95-1	n63	1	0	51	10.619791666666663
n87-1	n64	1	0	58	10.627604166666663
n86-1	n62	1	0	60	10.421874999999996
n88-1	n66	1	0	60	10.839843749999996
n101-1	n70	1	0	39	11.252604166666663
n102-1	n73	1	0	39	11.453124999999993
n97-1	n69	1	0	46	11.244791666666663
n98-1	n72	1	0	48	11.442708333333327
n90-1	n68	1	0	61	11.233072916666663
n89-1	n67	1	0	63	11.029947916666663
n91-1	n71	1	0	63	11.430989583333327
n103-1	n77	1	0	39	11.848958333333325
n99-1	n75	1	0	44	11.829427083333325
n119-1	n79	1	0	51	12.053385416666659
n113-1	n81	1	0	53	12.087239583333325
n93-1	n76	1	0	60	11.845052083333325
n104-1	n78	1	0	62	12.041666666666659
n92-1	n74	1	0	68	11.647135416666659
n115-1	n85	1	0	50	12.62760416666666
n114-1	n84	1	0	56	12.430989583333325
n106-1	n83	1	0	63	12.429687499999991
n105-1	n82	1	0	65	12.236979166666659
n107-1	n86	1	0	65	12.634114583333329
n116-1	n88	1	0	51	13.026041666666663
n117-1	n91	1	0	53	13.236979166666663
n109-1	n89	1	0	67	13.028645833333329
n108-1	n87	1	0	68	12.845052083333329
n110-1	n90	1	0	68	13.226562499999996
n123-1	n94	1	0	39	13.613281249999995
n140-1	n99	1	0	39	13.83723958333333
n124-1	n95	1	0	46	13.61979166666666
n141-1	n100	1	0	46	13.83723958333333
n118-1	n93	1	0	50	13.606770833333329
n134-1	n97	1	0	51	13.81380208333333
n125-1	n98	1	0	67	13.828124999999996
