onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,3.0,0.0,1.5,0,6,67,2,n4-1,0.0,1.033854
0.0,3.0,0.0,1.5,0,6,70,1,n1-1,0.0,1.033854
1.0,1.0,0.5,0.5,2,2,63,5,n9-1,0.0,1.033854
2.0,1.0,1.0,0.5,4,2,62,5,n10-1,0.0,1.033854
3.0,1.0,1.5,0.5,6,2,63,5,n11-1,3.0,1.701823
4.0,1.0,2.0,0.5,8,2,58,5,n12-1,3.0,1.701823
5.0,1.0,2.5,0.5,10,2,55,5,n13-1,3.0,1.701823
6.0,1.0,3.0,0.5,12,2,51,5,n14-1,6.0,2.289062
7.0,2.0,3.5,1.0,14,4,67,2,n7-1,6.0,2.289062
7.0,1.0,3.5,0.5,14,2,67,1,n2-1,6.0,2.289062
8.0,1.0,4.0,0.5,16,2,75,1,n3-1,6.0,2.289062
9.0,3.0,4.5,1.5,18,6,65,2,n21-1,9.0,2.879557
9.0,3.0,4.5,1.5,18,6,74,1,n18-1,9.0,2.879557
9.0,0.0,4.5,0.0,18,0,75,1,n17-1,9.0,2.879557
9.0,1.0,4.5,0.5,18,2,75,3,n23-1,9.0,2.879557
10.0,1.0,5.0,0.5,20,2,58,5,n26-1,9.0,2.879557
10.0,2.0,5.0,1.0,20,4,74,3,n24-1,9.0,2.879557
11.0,1.0,5.5,0.5,22,2,57,5,n27-1,9.0,2.879557
12.0,1.0,6.0,0.5,24,2,58,5,n28-1,12.0,3.510417
13.0,1.0,6.5,0.5,26,2,53,5,n29-1,12.0,3.510417
14.0,1.0,7.0,0.5,28,2,50,5,n30-1,12.0,3.510417
15.0,1.0,7.5,0.5,30,2,46,5,n31-1,15.0,4.111979
16.0,1.0,8.0,0.5,32,2,65,1,n19-1,15.0,4.111979
17.0,1.0,8.5,0.5,34,2,67,1,n20-1,15.0,4.111979
18.0,1.0,9.0,0.5,36,2,53,5,n45-1,18.0,4.708984
18.0,1.0,9.0,0.5,36,2,68,1,n34-1,18.0,4.708984
19.0,1.0,9.5,0.5,38,2,60,1,n35-1,18.0,4.708984
20.0,1.0,10.0,0.5,40,2,63,1,n36-1,18.0,4.708984
21.0,1.0,10.5,0.5,42,2,58,5,n48-1,21.0,5.315105
21.0,1.0,10.5,0.5,42,2,62,1,n37-1,21.0,5.315105
21.0,3.0,10.5,1.5,42,6,62,2,n43-1,21.0,5.315105
22.0,1.0,11.0,0.5,44,2,65,1,n38-1,21.0,5.315105
23.0,1.0,11.5,0.5,46,2,70,1,n39-1,21.0,5.315105
24.0,1.0,12.0,0.5,48,2,46,5,n51-1,24.0,5.939453
24.0,1.0,12.0,0.5,48,2,58,1,n40-1,24.0,5.939453
24.0,3.0,12.0,1.5,48,6,58,2,n44-1,24.0,5.939453
25.0,1.0,12.5,0.5,50,2,65,1,n41-1,24.0,5.939453
26.0,1.0,13.0,0.5,52,2,68,1,n42-1,24.0,5.939453
27.0,3.0,13.5,1.5,54,6,58,2,n58-1,27.0,6.572483
27.0,3.0,13.5,1.5,54,6,63,2,n59-1,27.0,6.572483
27.0,3.0,13.5,1.5,54,6,67,1,n55-1,27.0,6.572483
27.0,0.0,13.5,0.0,54,0,68,1,n54-1,27.0,6.572483
27.0,1.0,13.5,0.5,54,2,68,3,n61-1,27.0,6.572483
28.0,1.0,14.0,0.5,56,2,51,5,n64-1,27.0,6.572483
28.0,2.0,14.0,1.0,56,4,67,3,n62-1,27.0,6.572483
29.0,1.0,14.5,0.5,58,2,50,5,n65-1,27.0,6.572483
30.0,1.0,15.0,0.5,60,2,51,5,n66-1,30.0,7.186198
