xml_id	midi_id	track	channel	pitch	onset
n16-1	n0	1	0	41	0.959375
n17-1	n5	1	0	53	1.89375
n8-1	n8	1	0	72	2.5385416666666667
n7-1	n7	1	0	74	2.31875
n2-1	n1	1	0	76	1.234375
n6-1	n6	1	0	76	2.097916666666667
n3-1	n2	1	0	77	1.4510416666666668
n5-1	n4	1	0	77	1.8791666666666667
n4-1	n3	1	0	79	1.6677083333333333
n15-1	n10	1	0	57	2.7666666666666666
n12-1	n13	1	0	69	3.4229166666666666
n11-1	n12	1	0	70	3.20625
n10-1	n11	1	0	72	2.9854166666666666
n9-1	n9	1	0	74	2.765625
n28-1	n15	1	0	62	3.6781249999999996
n22-1	n18	1	0	65	4.324999999999999
n21-1	n17	1	0	67	4.121874999999999
n20-1	n16	1	0	69	3.8927083333333328
n18-1	n14	1	0	70	3.659375
n29-1	n19	1	0	58	4.549999999999999
n26-1	n23	1	0	62	5.221875
n25-1	n22	1	0	64	5.004166666666666
n24-1	n21	1	0	65	4.773958333333333
n23-1	n20	1	0	67	4.552083333333332
n30-1	n24	1	0	55	5.45
n31-1	n26	1	0	58	5.688541666666667
n32-1	n27	1	0	60	5.909375
n33-1	n28	1	0	62	6.140625
n27-1	n25	1	0	64	5.467708333333333
n47-1	n32	1	0	55	7.0406249999999995
n46-1	n31	1	0	57	6.828125
n45-1	n30	1	0	58	6.595833333333333
n44-1	n29	1	0	60	6.373958333333333
n54-1	n39	1	0	52	7.948958333333333
n53-1	n38	1	0	53	7.7375
n52-1	n37	1	0	55	7.503125
n48-1	n35	1	0	57	7.2749999999999995
n38-1	n36	1	0	60	7.276041666666666
n39-1	n34	1	0	65	7.272916666666666
n40-1	n33	1	0	69	7.262499999999999
n58-1	n46	1	0	47	8.8625
n57-1	n45	1	0	48	8.622916666666667
n56-1	n44	1	0	50	8.397916666666667
n49-1	n41	1	0	53	8.179166666666667
n55-1	deletion
n41-1	n42	1	0	62	8.196875
n42-1	n43	1	0	65	8.201041666666667
n43-1	n40	1	0	68	8.166666666666666
n78-1	n47	1	0	48	9.092708333333334
n73-1	n54	1	0	50	9.81875
n72-1	n52	1	0	52	9.590625000000001
n71-1	n50	1	0	53	9.3625
n70-1	deletion
n64-1	n48	1	0	60	9.117708333333335
n62-1	n53	1	0	65	9.792708333333334
n61-1	n51	1	0	67	9.568750000000001
n60-1	n49	1	0	68	9.344791666666667
n74-1	n55	1	0	52	10.032291666666666
n75-1	n59	1	0	55	10.514583333333334
n68-1	n60	1	0	62	10.737499999999999
n67-1	n58	1	0	64	10.513541666666667
n66-1	n57	1	0	65	10.272916666666667
n63-1	n56	1	0	67	10.0375
n82-1	n66	1	0	46	11.70520833333333
n81-1	n65	1	0	48	11.478124999999997
n80-1	n63	1	0	50	11.231249999999998
n77-1	n64	1	0	55	11.47395833333333
n76-1	n61	1	0	60	10.990624999999998
n69-1	n62	1	0	64	10.993749999999999
n102-1	n67	1	0	45	11.991666666666664
n98-1	n70	1	0	55	12.48020833333333
n89-1	n68	1	0	60	12.23958333333333
n90-1	n69	1	0	62	12.47395833333333
n91-1	n71	1	0	63	12.701041666666663
n103-1	n74	1	0	50	12.943749999999996
n99-1	n73	1	0	54	12.936458333333329
n100-1	n77	1	0	58	13.396874999999996
n92-1	n72	1	0	62	12.926041666666663
n93-1	n75	1	0	64	13.162499999999996
n94-1	n76	1	0	66	13.379166666666663
n95-1	n78	1	0	67	13.615624999999996
n101-1	n80	1	0	57	13.864583333333329
n96-1	n79	1	0	66	13.862499999999995
n86-1	n81	1	0	69	14.088541666666663
n87-1	n82	1	0	70	14.326041666666663
n88-1	n83	1	0	72	14.56770833333333
n124-1	n84	1	0	43	14.857291666666665
n121-1	n87	1	0	50	15.369791666666664
n119-1	n88	1	0	66	15.587499999999999
n118-1	n86	1	0	67	15.363541666666665
n117-1	n85	1	0	69	15.129166666666665
n125-1	n90	1	0	46	15.834374999999998
n122-1	n93	1	0	55	16.301041666666663
n110-1	n89	1	0	67	15.832291666666665
n111-1	n94	1	0	67	16.51145833333333
n106-1	n91	1	0	69	16.057291666666664
n107-1	n92	1	0	70	16.284374999999997
n126-1	n96	1	0	43	16.754166666666663
n123-1	n99	1	0	55	17.22604166666666
n112-1	n95	1	0	62	16.736458333333328
n115-1	n100	1	0	62	17.43229166666666
n114-1	n98	1	0	64	17.202083333333327
n113-1	n97	1	0	65	16.968749999999996
n143-1	n101	1	0	48	17.68333333333333
n139-1	n103	1	0	58	17.957291666666663
n140-1	n104	1	0	60	18.18541666666666
n141-1	n105	1	0	61	18.399999999999995
n132-1	n102	1	0	64	17.707291666666663
n144-1	n107	1	0	52	18.658333333333328
n142-1	n106	1	0	60	18.63020833333333
n134-1	n108	1	0	62	18.86458333333333
n135-1	n109	1	0	64	19.09895833333333
n136-1	n110	1	0	65	19.33333333333333
n145-1	n112	1	0	48	19.563541666666662
n137-1	n111	1	0	64	19.56041666666666
n129-1	n113	1	0	67	19.79166666666666
n130-1	n114	1	0	69	20.02604166666666
n131-1	n115	1	0	70	20.25729166666666
n163-1	n116	1	0	53	20.49374999999999
n154-1	n119	1	0	64	21.184374999999996
n153-1	n118	1	0	65	20.968749999999996
n152-1	n117	1	0	67	20.737499999999994
n164-1	n121	1	0	57	21.441666666666663
n155-1	n120	1	0	65	21.423958333333328
n156-1	n124	1	0	65	22.11458333333333
n148-1	n122	1	0	67	21.657291666666662
n149-1	n123	1	0	69	21.88020833333333
n165-1	n125	1	0	53	22.357291666666665
n162-1	n128	1	0	60	23.053124999999994
n161-1	n127	1	0	62	22.82083333333333
n160-1	n126	1	0	63	22.60833333333333
n184-1	n132	1	0	57	23.714583333333323
n183-1	n130	1	0	58	23.29062499999999
n181-1	n129	1	0	62	23.271874999999994
n167-1	n131	1	0	72	23.50937499999999
n168-1	n133	1	0	74	23.745833333333323
n169-1	n134	1	0	75	23.964583333333323
n185-1	n136	1	0	58	24.19999999999999
n182-1	n140	1	0	62	24.684374999999992
n172-1	n139	1	0	67	24.677083333333325
n179-1	n141	1	0	69	24.878124999999994
n178-1	n138	1	0	70	24.653124999999992
n177-1	n137	1	0	72	24.427083333333325
n170-1	n135	1	0	74	24.188541666666655
n176-1	n145	1	0	65	25.756249999999987
n175-1	n144	1	0	67	25.56562499999999
n174-1	n143	1	0	69	25.362499999999994
n180-1	n142	1	0	70	25.13229166666666
n196-1	n149	1	0	58	26.30624999999998
n197-1	n150	1	0	60	26.538541666666646
n192-1	deletion
n198-1	n151	1	0	62	26.774999999999977
n190-1	n146	1	0	67	25.885416666666654
n186-1	n147	1	0	72	25.978124999999984
n187-1	n148	1	0	76	26.055208333333315
n202-1	n155	1	0	55	27.66770833333332
n201-1	n154	1	0	57	27.443749999999984
n200-1	n153	1	0	58	27.214583333333316
n199-1	n152	1	0	60	26.991666666666646
n206-1	n162	1	0	52	28.614583333333314
n205-1	n161	1	0	53	28.381249999999984
n204-1	n160	1	0	55	28.139583333333317
n203-1	n157	1	0	57	27.916666666666654
n191-1	n158	1	0	65	27.92708333333332
n189-1	n156	1	0	77	27.89895833333332
n223-1	n163	1	0	50	28.858333333333317
n221-1	n166	1	0	57	29.336458333333315
n226-1	n174	1	0	57	30.686458333333313
n208-1	n164	1	0	76	29.098958333333318
n209-1	n165	1	0	77	29.320833333333315
n210-1	n167	1	0	79	29.557291666666647
n224-1	n171	1	0	52	30.220833333333314
n219-1	n169	1	0	62	29.791666666666647
n214-1	n173	1	0	72	30.467708333333313
n213-1	n172	1	0	74	30.229166666666647
n212-1	n170	1	0	76	30.00729166666665
n211-1	n168	1	0	77	29.788541666666646
n225-1	n176	1	0	53	30.71249999999998
n218-1	n179	1	0	69	31.370833333333316
n217-1	n178	1	0	71	31.14687499999998
n216-1	n177	1	0	72	30.92916666666665
n215-1	n175	1	0	74	30.70624999999998
n240-1	n180	1	0	55	31.624999999999982
n238-1	n184	1	0	65	32.308333333333316
n237-1	n183	1	0	67	32.09062499999998
n236-1	n182	1	0	69	31.851041666666646
n227-1	n181	1	0	71	31.626041666666648
n234-1	n188	1	0	62	33.22395833333331
n233-1	n187	1	0	64	33.01145833333331
n232-1	n186	1	0	65	32.770833333333314
n239-1	n185	1	0	67	32.53749999999998
n247-1	n189	1	0	52	33.46458333333331
n243-1	n193	1	0	59	33.711458333333304
n244-1	n194	1	0	60	33.93854166666664
n245-1	n195	1	0	62	34.17187499999997
n235-1	n192	1	0	64	33.492708333333304
n228-1	n191	1	0	67	33.49166666666664
n229-1	n190	1	0	72	33.46666666666664
n258-1	n199	1	0	55	35.07708333333331
n257-1	n198	1	0	57	34.85729166666664
n256-1	n197	1	0	59	34.62812499999997
n255-1	n196	1	0	60	34.40624999999997
n264-1	n205	1	0	52	36.00208333333332
n263-1	n204	1	0	53	35.78541666666665
n262-1	n202	1	0	55	35.52812499999998
n259-1	n201	1	0	57	35.31145833333332
n254-1	n200	1	0	65	35.306249999999984
n249-1	n203	1	0	72	35.76354166666665
n268-1	n211	1	0	48	36.931249999999984
n267-1	n210	1	0	50	36.71145833333332
n266-1	n208	1	0	52	36.45208333333331
n265-1	n206	1	0	53	36.22083333333332
n250-1	n207	1	0	74	36.223958333333314
n251-1	deletion
n287-1	n217	1	0	45	37.83437499999998
n286-1	n215	1	0	47	37.60729166666665
n285-1	n214	1	0	48	37.38958333333331
n284-1	n213	1	0	50	37.16041666666665
n269-1	n212	1	0	71	37.14895833333332
n270-1	n216	1	0	72	37.60833333333331
n289-1	n222	1	0	43	38.555208333333304
n288-1	n218	1	0	47	38.082291666666634
n283-1	n219	1	0	55	38.108333333333306
n280-1	n224	1	0	62	38.79062499999998
n279-1	n223	1	0	64	38.58124999999997
n278-1	n221	1	0	65	38.34687499999997
n271-1	n220	1	0	74	38.11458333333331
n291-1	n228	1	0	47	39.480208333333316
n290-1	n226	1	0	48	39.036458333333314
n281-1	n225	1	0	64	39.032291666666644
n273-1	n227	1	0	67	39.261458333333316
n274-1	n229	1	0	69	39.48854166666665
n275-1	n230	1	0	71	39.71874999999998
n312-1	n235	1	0	43	40.42916666666665
n311-1	n232	1	0	45	39.960416666666646
n306-1	n231	1	0	57	39.94687499999998
n297-1	n234	1	0	64	40.19999999999999
n298-1	n236	1	0	65	40.43229166666665
