xml_id	midi_id	track	channel	pitch	onset
n16-1	n0	0	0	41	2.4230792249999995
n17-1	n4	0	0	53	3.8354737291666665
n8-1	n8	0	0	72	4.7062010520833315
n7-1	n7	0	0	74	4.425217879166666
n2-1	n1	0	0	76	2.922011322916666
n6-1	n6	0	0	76	4.14423470625
n3-1	n2	0	0	77	3.24038769375
n5-1	n5	0	0	77	3.837610483333333
n4-1	n3	0	0	79	3.526712752083333
n15-1	n9	0	0	57	4.9636799291666645
n12-1	n13	0	0	69	5.8215867270833295
n11-1	n12	0	0	70	5.540603554166663
n10-1	n11	0	0	72	5.275646037499996
n9-1	n10	0	0	74	4.981842339583332
n28-1	n15	0	0	62	6.1367579666666625
n22-1	n18	0	0	65	6.979707485416663
n21-1	n17	0	0	67	6.71261321458333
n20-1	n16	0	0	69	6.435903549999996
n18-1	n14	0	0	70	6.128210949999996
n29-1	n20	0	0	58	7.277784691666663
n26-1	n23	0	0	62	8.091888029166665
n25-1	n22	0	0	64	7.8141099874999975
n24-1	n21	0	0	65	7.5502208479166635
n23-1	n19	0	0	67	7.261759035416663
n30-1	n24	0	0	55	8.389965235416666
n31-1	n26	0	0	58	8.72223050833333
n32-1	n27	0	0	60	8.988256402083332
n33-1	n28	0	0	62	9.261760935416666
n27-1	n25	0	0	64	8.413469531249998
n47-1	n32	0	0	55	10.422018447916665
n46-1	n31	0	0	57	10.113257470833332
n45-1	n30	0	0	58	9.828000789583333
n44-1	n29	0	0	60	9.542744108333332
n54-1	n39	0	0	52	11.654925602083331
n53-1	n38	0	0	53	11.363258658333333
n52-1	n37	0	0	55	11.089754124999999
n48-1	n33	0	0	57	10.769240999999997
n38-1	n35	0	0	60	10.803429066666665
n39-1	n36	0	0	65	10.815181214583331
n40-1	n34	0	0	69	10.772446131249998
n58-1	n46	0	0	47	12.982918316666664
n57-1	n45	0	0	48	12.688046241666664
n56-1	n44	0	0	50	12.407063068749997
n49-1	n40	0	0	53	12.030994335416663
n55-1	deletion
n41-1	n43	0	0	62	12.053430254166663
n42-1	n42	0	0	65	12.05236187708333
n43-1	n41	0	0	68	12.040609729166663
n78-1	n47	0	0	48	13.314115212499997
n73-1	n53	0	0	50	14.241466520833328
n72-1	n52	0	0	52	13.987192774999995
n71-1	n50	0	0	53	13.70300447083333
n70-1	deletion
n64-1	n48	0	0	60	13.326935737499998
n62-1	n54	0	0	65	14.245740029166662
n61-1	n51	0	0	67	13.962620102083328
n60-1	n49	0	0	68	13.69659420833333
n74-1	n55	0	0	52	14.558774514583328
n75-1	n59	0	0	55	15.163475943749997
n68-1	n60	0	0	62	15.394245393749998
n67-1	n58	0	0	64	15.15172379583333
n66-1	n57	0	0	65	14.857920097916663
n63-1	n56	0	0	67	14.568389908333328
n82-1	n66	0	0	46	16.60151149791666
n81-1	n64	0	0	48	16.29595565208333
n80-1	n63	0	0	50	15.982921166666662
n77-1	n65	0	0	55	16.301297537499995
n76-1	n62	0	0	60	15.721168781249997
n69-1	n61	0	0	64	15.701937993749997
n102-1	n67	0	0	45	16.92202462291666
n98-1	n69	0	0	55	17.51176877291666
n89-1	n68	0	0	60	17.23292235416666
n90-1	n70	0	0	62	17.528862806249993
n91-1	n71	0	0	63	17.81625624166666
n103-1	n73	0	0	50	18.12074371041666
n99-1	n72	0	0	54	18.099376168749995
n100-1	n76	0	0	58	18.709419483333328
n92-1	n74	0	0	62	18.14317962916666
n93-1	n75	0	0	64	18.445530343749994
n94-1	n77	0	0	66	18.71369299166666
n95-1	n78	0	0	67	18.998949672916666
n101-1	n79	0	0	57	19.279932845833333
n96-1	n80	0	0	66	19.308779027083332
n86-1	n81	0	0	69	19.607924610416664
n87-1	n82	0	0	70	19.900659931249997
n88-1	n83	0	0	72	20.291685943749997
n124-1	n84	0	0	43	20.61433582291666
n121-1	n86	0	0	50	21.20194321875
n119-1	n88	0	0	66	21.490405031250003
n118-1	n87	0	0	67	21.216900497916665
n117-1	n85	0	0	69	20.911344652083333
n125-1	n90	0	0	46	21.75215741666667
n122-1	n92	0	0	55	22.38143151875001
n110-1	n89	0	0	67	21.751089039583338
n111-1	n94	0	0	67	22.761773760416677
n106-1	n91	0	0	69	22.056644885416677
n107-1	n93	0	0	70	22.442329012500007
n126-1	n96	0	0	43	23.03848342500001
n123-1	n98	0	0	55	23.613270295833356
n112-1	n95	0	0	62	23.031004785416677
n115-1	n100	0	0	62	23.90493723958337
n114-1	n99	0	0	64	23.623954066666688
n113-1	n97	0	0	65	23.329081991666683
n143-1	n101	0	0	48	24.19019392083337
n139-1	n103	0	0	58	24.540621604166706
n140-1	n104	0	0	60	24.828015039583374
n141-1	n105	0	0	61	25.116476852083377
n132-1	n102	0	0	64	24.252159791666703
n144-1	n106	0	0	52	25.39852840208338
n142-1	n107	0	0	60	25.40493866458338
n134-1	n108	0	0	62	25.69446885416672
n135-1	n109	0	0	64	25.973315272916718
n136-1	n110	0	0	65	26.254298445833385
n145-1	n111	0	0	48	26.52459784791672
n137-1	n112	0	0	64	26.53528161875005
n129-1	n113	0	0	67	26.809854529166717
n130-1	n114	0	0	69	27.110068489583384
n131-1	n115	0	0	70	27.495752616666717
n163-1	n116	0	0	53	27.819470872916717
n154-1	n119	0	0	64	28.67096740833339
n153-1	n118	0	0	65	28.38036884166673
n152-1	n117	0	0	67	28.074812995833394
n164-1	n121	0	0	57	28.982933516666723
n155-1	n120	0	0	65	28.954087335416723
n156-1	n124	0	0	65	29.861139479166738
n148-1	n122	0	0	67	29.246822656250067
n149-1	n123	0	0	69	29.55344687916674
n165-1	n125	0	0	53	30.100455945833403
n162-1	n128	0	0	60	30.9530208583334
n161-1	n127	0	0	62	30.6966103583334
n160-1	n126	0	0	63	30.40066990625007
n184-1	n133	0	0	57	31.92310725000006
n183-1	n129	0	0	58	31.29490152500006
n181-1	n130	0	0	62	31.29490152500006
n167-1	n131	0	0	72	31.628235175000057
n168-1	n132	0	0	74	31.909218347916728
n169-1	n134	0	0	75	32.17738099583339
n185-1	n135	0	0	58	32.44554364375006
n182-1	deletion
n172-1	n139	0	0	67	33.05665533541673
n179-1	n140	0	0	69	33.3152025895834
n178-1	n138	0	0	70	33.04062967916673
n177-1	n137	0	0	72	32.77353540833339
n170-1	n136	0	0	74	32.46691118541672
n176-1	n144	0	0	65	34.41563098541671
n175-1	n143	0	0	67	34.154946977083384
n174-1	n142	0	0	69	33.88357919791673
n180-1	n141	0	0	70	33.59298063125007
n196-1	n149	0	0	58	35.03849482500004
n192-1	n145	0	0	60	34.65922096041671
n197-1	n150	0	0	60	35.31413611250003
n198-1	n151	0	0	62	35.59405090833336
n190-1	n147	0	0	67	34.77994757083337
n186-1	n148	0	0	72	34.792768095833374
n187-1	n146	0	0	76	34.76071678333337
n202-1	n155	0	0	55	36.67845364791668
n201-1	n154	0	0	57	36.400675606250026
n200-1	n153	0	0	58	36.14319672916669
n199-1	n152	0	0	60	35.87823921250003
n206-1	n162	0	0	52	37.86435221041668
n205-1	n161	0	0	53	37.55452285625002
n204-1	n160	0	0	55	37.28529183125002
n203-1	n156	0	0	57	36.98614624791668
n191-1	n159	0	0	65	37.045975364583356
n189-1	n157	0	0	77	37.00217190416669
n223-1	n163	0	0	50	38.21477989375002
n221-1	n165	0	0	57	38.789566764583356
n226-1	deletion
n208-1	n164	0	0	76	38.50644683750002
n209-1	n166	0	0	77	38.81307106041669
n210-1	n167	0	0	79	39.084438839583356
n224-1	n172	0	0	52	39.96798668750002
n219-1	n168	0	0	62	39.37931091458336
n214-1	n173	0	0	72	40.22119205625002
n213-1	n171	0	0	74	39.940208883333355
n212-1	n170	0	0	76	39.666704350000025
n211-1	n169	0	0	77	39.384652800000026
n225-1	n174	0	0	53	40.49897009791669
n218-1	n178	0	0	69	41.35367176458335
n217-1	n177	0	0	71	41.07055183750002
n216-1	n176	0	0	72	40.787431910416686
n215-1	n175	0	0	74	40.50644873750002
n240-1	n179	0	0	55	41.67097975833335
n238-1	n183	0	0	65	42.519271162500026
n237-1	n182	0	0	67	42.25538202291669
n236-1	n181	0	0	69	41.97439885000002
n227-1	n180	0	0	71	41.68486866041668
n234-1	n187	0	0	62	43.701964593749985
n233-1	n186	0	0	64	43.43166519166667
n232-1	n185	0	0	65	43.118630706250016
n239-1	n184	0	0	67	42.83337402500002
n247-1	n188	0	0	52	44.053460654166656
n243-1	n191	0	0	59	44.454102060416645
n244-1	n192	0	0	60	44.73615361041666
n245-1	n193	0	0	62	45.010726520833316
n235-1	n190	0	0	64	44.11328977083332
n228-1	deletion
n229-1	n189	0	0	72	44.100469245833324
n258-1	n197	0	0	55	46.09406088333331
n257-1	n196	0	0	57	45.82589823541665
n256-1	n195	0	0	59	45.54705181666665
n255-1	n194	0	0	60	45.275684037499985
n264-1	n203	0	0	52	47.23188247708331
n263-1	n201	0	0	53	46.94876254999998
n262-1	n200	0	0	55	46.67098450833331
n259-1	n198	0	0	57	46.369702170833314
n254-1	n199	0	0	65	46.40923212291665
n249-1	n202	0	0	72	46.94876254999998
n268-1	n209	0	0	48	48.37718271041665
n267-1	n208	0	0	50	48.10367817708331
n266-1	n206	0	0	52	47.78316505208331
n265-1	n204	0	0	53	47.51072889583331
n250-1	n205	0	0	74	47.54278020833331
n251-1	deletion
n287-1	n215	0	0	45	49.48402136874998
n286-1	n213	0	0	47	49.19235442499999
n285-1	n212	0	0	48	48.93060203958332
n284-1	n211	0	0	50	48.66564452291665
n269-1	n210	0	0	71	48.62504619374998
n270-1	n214	0	0	72	49.21585872083332
