onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,2.0,0,4,41,6,n16-1,0.0,2.42308
0.25,0.25,0.5,0.5,1,1,76,1,n2-1,0.0,2.42308
0.5,0.25,1.0,0.5,2,1,77,1,n3-1,0.0,2.42308
0.75,0.25,1.5,0.5,3,1,79,1,n4-1,0.0,2.42308
1.0,5.0,2.0,10.0,4,20,53,6,n17-1,1.0,3.83654
1.0,0.25,2.0,0.5,4,1,77,1,n5-1,1.0,3.83654
1.25,0.25,2.5,0.5,5,1,76,1,n6-1,1.0,3.83654
1.5,0.25,3.0,0.5,6,1,74,1,n7-1,1.0,3.83654
1.75,0.25,3.5,0.5,7,1,72,1,n8-1,1.0,3.83654
2.0,1.0,4.0,2.0,8,4,57,5,n15-1,2.0,4.97276
2.0,0.25,4.0,0.5,8,1,74,1,n9-1,2.0,4.97276
2.25,0.25,4.5,0.5,9,1,72,1,n10-1,2.0,4.97276
2.5,0.25,5.0,0.5,10,1,70,1,n11-1,2.0,4.97276
2.75,0.25,5.5,0.5,11,1,69,1,n12-1,2.0,4.97276
3.0,1.0,6.0,2.0,12,4,62,5,n28-1,3.0,6.132485
3.0,4.0,6.0,8.0,12,16,70,1,n18-1,3.0,6.132485
3.25,0.25,6.5,0.5,13,1,69,2,n20-1,3.0,6.132485
3.5,0.25,7.0,0.5,14,1,67,2,n21-1,3.0,6.132485
3.75,0.25,7.5,0.5,15,1,65,2,n22-1,3.0,6.132485
4.0,1.0,8.0,2.0,16,4,58,5,n29-1,4.0,7.26977
4.0,3.0,8.0,6.0,16,12,67,2,n23-1,4.0,7.26977
4.25,0.25,8.5,0.5,17,1,65,4,n24-1,4.0,7.26977
4.5,0.25,9.0,0.5,18,1,64,4,n25-1,4.0,7.26977
4.75,0.25,9.5,0.5,19,1,62,4,n26-1,4.0,7.26977
5.0,0.25,10.0,0.5,20,1,55,5,n30-1,5.0,8.40172
5.0,2.0,10.0,4.0,20,8,64,4,n27-1,5.0,8.40172
5.25,0.25,10.5,0.5,21,1,58,5,n31-1,5.0,8.40172
5.5,0.25,11.0,0.5,22,1,60,5,n32-1,5.0,8.40172
5.75,0.25,11.5,0.5,23,1,62,5,n33-1,5.0,8.40172
6.0,0.25,12.0,0.5,24,1,60,5,n44-1,6.0,9.54274
6.25,0.25,12.5,0.5,25,1,58,5,n45-1,6.0,9.54274
6.5,0.25,13.0,0.5,26,1,57,5,n46-1,6.0,9.54274
6.75,0.25,13.5,0.5,27,1,55,5,n47-1,6.0,9.54274
7.0,1.0,14.0,2.0,28,4,57,5,n48-1,7.0,10.79005
7.0,1.0,14.0,2.0,28,4,60,1,n38-1,7.0,10.79005
7.0,1.0,14.0,2.0,28,4,65,1,n39-1,7.0,10.79005
7.0,1.0,14.0,2.0,28,4,69,1,n40-1,7.0,10.79005
7.25,0.25,14.5,0.5,29,1,55,6,n52-1,7.0,10.79005
7.5,0.25,15.0,0.5,30,1,53,6,n53-1,7.0,10.79005
7.75,0.25,15.5,0.5,31,1,52,6,n54-1,7.0,10.79005
8.0,2.25,16.0,4.5,32,9,53,5,n49-1,8.0,12.04435
8.0,0.25,16.0,0.5,32,1,53,6,n55-1,8.0,12.04435
8.0,1.0,16.0,2.0,32,4,62,1,n41-1,8.0,12.04435
8.0,1.5,16.0,3.0,32,6,65,1,n42-1,8.0,12.04435
8.0,1.25,16.0,2.5,32,5,68,1,n43-1,8.0,12.04435
8.25,0.25,16.5,0.5,33,1,50,6,n56-1,8.0,12.04435
8.5,0.25,17.0,0.5,34,1,48,6,n57-1,8.0,12.04435
8.75,0.25,17.5,0.5,35,1,47,6,n58-1,8.0,12.04435
9.0,2.25,18.0,4.5,36,9,48,6,n78-1,9.0,13.3205
9.0,0.25,18.0,0.5,36,1,53,5,n70-1,9.0,13.3205
9.0,0.5,18.0,1.0,36,2,60,2,n64-1,9.0,13.3205
9.25,0.25,18.5,0.5,37,1,53,5,n71-1,9.0,13.3205
9.25,0.25,18.5,0.5,37,1,68,1,n60-1,9.0,13.3205
9.5,0.25,19.0,0.5,38,1,52,5,n72-1,9.0,13.3205
9.5,0.25,19.0,0.5,38,1,67,1,n61-1,9.0,13.3205
9.75,0.25,19.5,0.5,39,1,50,5,n73-1,9.0,13.3205
9.75,0.25,19.5,0.5,39,1,65,1,n62-1,9.0,13.3205
10.0,0.5,20.0,1.0,40,2,52,5,n74-1,10.0,14.5636
10.0,2.0,20.0,4.0,40,8,67,1,n63-1,10.0,14.5636
10.25,0.25,20.5,0.5,41,1,65,2,n66-1,10.0,14.5636
10.5,0.5,21.0,1.0,42,2,55,5,n75-1,10.0,14.5636
10.5,0.25,21.0,0.5,42,1,64,2,n67-1,10.0,14.5636
10.75,0.25,21.5,0.5,43,1,62,2,n68-1,10.0,14.5636
11.0,0.5,22.0,1.0,44,2,60,5,n76-1,11.0,15.71155
11.0,1.0,22.0,2.0,44,4,64,2,n69-1,11.0,15.71155
11.25,0.25,22.5,0.5,45,1,50,6,n80-1,11.0,15.71155
11.5,0.25,23.0,0.5,46,1,48,6,n81-1,11.0,15.71155
11.5,1.0,23.0,2.0,46,4,55,5,n77-1,11.0,15.71155
11.75,0.25,23.5,0.5,47,1,46,6,n82-1,11.0,15.71155
12.0,1.0,24.0,2.0,48,4,45,6,n102-1,12.0,16.922
12.25,0.25,24.5,0.5,49,1,60,2,n89-1,12.0,16.922
12.5,0.5,25.0,1.0,50,2,55,5,n98-1,12.0,16.922
12.5,0.25,25.0,0.5,50,1,62,2,n90-1,12.0,16.922
12.75,0.25,25.5,0.5,51,1,63,2,n91-1,12.0,16.922
13.0,2.0,26.0,4.0,52,8,50,6,n103-1,13.0,18.1211
13.0,0.5,26.0,1.0,52,2,54,5,n99-1,13.0,18.1211
13.0,3.0,26.0,6.0,52,12,62,2,n92-1,13.0,18.1211
13.25,0.25,26.5,0.5,53,1,64,3,n93-1,13.0,18.1211
13.5,0.5,27.0,1.0,54,2,58,5,n100-1,13.0,18.1211
13.5,0.25,27.0,0.5,54,1,66,3,n94-1,13.0,18.1211
13.75,0.25,27.5,0.5,55,1,67,3,n95-1,13.0,18.1211
14.0,1.5,28.0,3.0,56,6,57,5,n101-1,14.0,19.29435
14.0,1.25,28.0,2.5,56,5,66,3,n96-1,14.0,19.29435
14.25,0.25,28.5,0.5,57,1,69,1,n86-1,14.0,19.29435
14.5,0.25,29.0,0.5,58,1,70,1,n87-1,14.0,19.29435
14.75,1.5,29.5,3.0,59,6,72,1,n88-1,14.0,19.29435
15.0,1.0,30.0,2.0,60,4,43,6,n124-1,15.0,20.6143
15.25,0.25,30.5,0.5,61,1,69,3,n117-1,15.0,20.6143
15.5,1.0,31.0,2.0,62,4,50,5,n121-1,15.0,20.6143
15.5,0.25,31.0,0.5,62,1,67,3,n118-1,15.0,20.6143
15.75,0.25,31.5,0.5,63,1,66,3,n119-1,15.0,20.6143
16.0,1.0,32.0,2.0,64,4,46,6,n125-1,16.0,21.75165
16.0,0.75,32.0,1.5,64,3,67,2,n110-1,16.0,21.75165
16.25,0.25,32.5,0.5,65,1,69,1,n106-1,16.0,21.75165
16.5,1.0,33.0,2.0,66,4,55,5,n122-1,16.0,21.75165
16.5,3.75,33.0,7.5,66,15,70,1,n107-1,16.0,21.75165
16.75,0.25,33.5,0.5,67,1,67,2,n111-1,16.0,21.75165
17.0,1.0,34.0,2.0,68,4,43,6,n126-1,17.0,23.03475
17.0,0.25,34.0,0.5,68,1,62,2,n112-1,17.0,23.03475
