xml_id	midi_id	track	channel	pitch	onset
n16-1	n1	1	0	54	1.0114583333333333
n18-1	n8	1	0	56	3.3989583333333346
n11-1	n3	1	0	57	1.830208333333333
n12-1	n4	1	0	61	2.495833333333334
n13-1	n5	1	0	66	3.080208333333335
n3-1	n6	1	0	69	3.083333333333335
n4-1	n7	1	0	71	3.3906250000000013
n2-1	n2	1	0	73	1.8166666666666664
n1-1	n0	1	0	78	1.0
n19-1	n10	1	0	57	3.7479166666666677
n20-1	n15	1	0	61	4.335416666666665
n15-1	n13	1	0	65	4.320833333333332
n10-1	n17	1	0	68	4.738541666666664
n7-1	n12	1	0	69	4.124999999999999
n9-1	n16	1	0	69	4.516666666666665
n6-1	n11	1	0	71	3.958333333333334
n8-1	n14	1	0	71	4.321874999999999
n5-1	n9	1	0	73	3.740625000000001
n37-1	n20	1	0	54	5.092708333333328
n36-1	n23	1	0	61	5.759374999999989
n35-1	n18	1	0	66	5.044791666666662
n24-1	n24	1	0	68	6.044791666666653
n21-1	n19	1	0	69	5.072916666666662
n23-1	n22	1	0	69	5.745833333333322
n22-1	n21	1	0	71	5.410416666666658
n38-1	n28	1	0	57	6.936458333333313
n39-1	n30	1	0	59	7.244791666666645
n25-1	n25	1	0	69	6.339583333333318
n26-1	n26	1	0	73	6.631249999999982
n27-1	n27	1	0	78	6.929166666666647
n28-1	n29	1	0	80	7.213541666666645
n45-1	n42	1	0	56	8.50520833333331
n42-1	n36	1	0	57	7.930208333333305
n44-1	n39	1	0	57	8.292708333333309
n41-1	n34	1	0	59	7.776041666666639
n43-1	n37	1	0	59	8.09166666666664
n40-1	n31	1	0	61	7.526041666666642
n34-1	n41	1	0	77	8.50208333333331
n31-1	n35	1	0	78	7.917708333333305
n33-1	n40	1	0	78	8.297916666666643
n30-1	n33	1	0	80	7.73541666666664
n32-1	n38	1	0	80	8.11666666666664
n29-1	n32	1	0	81	7.536458333333308
n63-1	n47	1	0	56	9.48124999999998
n56-1	n44	1	0	57	8.824999999999978
n57-1	n46	1	0	59	9.455208333333314
n47-1	n45	1	0	73	9.14374999999998
n48-1	n48	1	0	77	9.756249999999984
n46-1	n43	1	0	78	8.80208333333331
n64-1	n50	1	0	57	10.095833333333319
n65-1	n54	1	0	59	10.747916666666656
n58-1	n51	1	0	61	10.121874999999985
n59-1	n53	1	0	68	10.736458333333323
n50-1	n52	1	0	73	10.401041666666652
n51-1	n55	1	0	77	11.037499999999993
n49-1	n49	1	0	78	10.069791666666651
n67-1	n62	1	0	56	11.972916666666672
n66-1	n57	1	0	57	11.353124999999997
n61-1	n61	1	0	65	11.96041666666667
n60-1	n58	1	0	66	11.369791666666664
n53-1	n59	1	0	73	11.650000000000004
n52-1	n56	1	0	78	11.35208333333333
n54-1	n60	1	0	78	11.946875000000004
n55-1	n63	1	0	80	12.233333333333341
n89-1	n69	1	0	52	13.183333333333344
n88-1	n66	1	0	54	12.564583333333344
n83-1	n70	1	0	61	13.192708333333345
n82-1	n64	1	0	66	12.551041666666677
n69-1	n67	1	0	77	12.862500000000011
n70-1	n68	1	0	78	13.167708333333344
n68-1	n65	1	0	81	12.551041666666677
n71-1	n71	1	0	81	13.483333333333347
n90-1	n72	1	0	50	13.810416666666681
n85-1	n77	1	0	53	14.426041666666688
n84-1	n74	1	0	54	13.819791666666681
n72-1	n73	1	0	71	13.811458333333348
n74-1	n76	1	0	80	14.415625000000022
n73-1	n75	1	0	81	14.105208333333353
n75-1	n78	1	0	81	14.715625000000026
n86-1	n79	1	0	54	15.025000000000027
n87-1	n83	1	0	59	15.739583333333359
n81-1	n86	1	0	78	16.168750000000028
n78-1	n82	1	0	80	15.513541666666693
n80-1	n85	1	0	80	15.951041666666693
n77-1	n81	1	0	81	15.316666666666693
n79-1	n84	1	0	81	15.744791666666693
n76-1	n80	1	0	83	15.082291666666691
n108-1	n87	1	0	49	16.475000000000026
n104-1	n90	1	0	56	17.19479166666669
n92-1	n89	1	0	72	16.876041666666694
n93-1	n91	1	0	73	17.513541666666683
n91-1	n88	1	0	77	16.475000000000026
n106-1	n95	1	0	54	18.51041666666667
n105-1	n92	1	0	57	17.82708333333335
n95-1	n94	1	0	72	18.197916666666675
n96-1	n96	1	0	73	18.842708333333334
n94-1	n93	1	0	78	17.856250000000014
n107-1	n97	1	0	53	19.139583333333334
n98-1	n99	1	0	71	19.55937499999999
n102-1	n103	1	0	71	20.37812499999998
n99-1	n100	1	0	73	19.776041666666654
n101-1	n102	1	0	73	20.171874999999986
n100-1	n101	1	0	74	19.97395833333332
n97-1	n98	1	0	80	19.243749999999995
n122-1	n105	1	0	53	20.78645833333331
n126-1	n109	1	0	53	21.50937499999997
n123-1	n106	1	0	54	20.962499999999977
n125-1	n108	1	0	54	21.31666666666664
n127-1	n110	1	0	54	21.693749999999962
n124-1	n107	1	0	56	21.151041666666643
n109-1	n104	1	0	69	20.583333333333314
n128-1	n112	1	0	56	21.885416666666625
n132-1	n120	1	0	56	22.65104166666662
n129-1	n114	1	0	57	22.05833333333329
n131-1	n117	1	0	57	22.44895833333329
n130-1	n116	1	0	59	22.264583333333288
n113-1	n115	1	0	65	22.253124999999955
n112-1	n113	1	0	66	22.051041666666624
n114-1	n118	1	0	66	22.454166666666623
n111-1	n111	1	0	68	21.869791666666625
n115-1	n119	1	0	68	22.637499999999953
n136-1	n125	1	0	48	23.54166666666662
n133-1	n122	1	0	57	22.855208333333287
n117-1	n123	1	0	65	23.05729166666662
n116-1	n121	1	0	66	22.84583333333329
n118-1	n124	1	0	66	23.287499999999955
n120-1	n127	1	0	66	24.22604166666661
n119-1	n126	1	0	75	23.586458333333287
n157-1	n128	1	0	49	24.405208333333274
n154-1	n131	1	0	54	25.103124999999928
n153-1	n130	1	0	56	24.991666666666596
n155-1	n132	1	0	56	25.237499999999926
n139-1	n134	1	0	63	25.82708333333325
n138-1	n133	1	0	65	25.732291666666583
n137-1	n129	1	0	66	24.454166666666605
n158-1	n138	1	0	49	26.608333333333242
n141-1	n136	1	0	61	26.193749999999913
n142-1	n137	1	0	63	26.409374999999912
n140-1	n135	1	0	65	25.97291666666658
n143-1	n139	1	0	65	26.626041666666573
n144-1	n140	1	0	66	26.818749999999905
n145-1	n141	1	0	68	27.023958333333237
n159-1	n142	1	0	51	27.226041666666575
n160-1	n147	1	0	53	27.858333333333224
n147-1	n144	1	0	65	27.441666666666563
n146-1	n143	1	0	66	27.238541666666574
n148-1	n145	1	0	66	27.63541666666656
n149-1	n146	1	0	68	27.84999999999989
n150-1	n148	1	0	69	28.05937499999989
n151-1	n149	1	0	71	28.30520833333322
n180-1	n154	1	0	42	29.224999999999884
n179-1	n150	1	0	54	28.566666666666553
