onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.75,0.0,1.75,0,42,54,5,n16-1,0.0,1.005729
0.0,0.5,0.0,0.5,0,12,78,1,n1-1,0.0,1.005729
0.5,0.5,0.5,0.5,12,12,57,2,n11-1,0.0,1.005729
0.5,1.0,0.5,1.0,12,24,73,1,n2-1,0.0,1.005729
1.0,0.5,1.0,0.5,24,12,61,2,n12-1,1.0,2.495833
1.5,1.0,1.5,1.0,36,24,66,2,n13-1,1.0,2.495833
1.5,0.25,1.5,0.25,36,6,69,1,n3-1,1.0,2.495833
1.75,0.25,1.75,0.25,42,6,56,5,n18-1,1.0,2.495833
1.75,0.25,1.75,0.25,42,6,71,1,n4-1,1.0,2.495833
2.0,0.5,2.0,0.5,48,12,57,5,n19-1,2.0,3.744271
2.0,0.16666667,2.0,0.16666667,48,4,73,1,n5-1,2.0,3.744271
2.1666667,0.16666667,2.1666667,0.16666667,52,4,71,1,n6-1,2.0,3.744271
2.3333333,0.16666667,2.3333333,0.16666667,56,4,69,1,n7-1,2.0,3.744271
2.5,0.5,2.5,0.5,60,12,61,5,n20-1,2.0,3.744271
2.5,0.5,2.5,0.5,60,12,65,2,n15-1,2.0,3.744271
2.5,0.16666667,2.5,0.16666667,60,4,71,1,n8-1,2.0,3.744271
2.6666667,0.16666667,2.6666667,0.16666667,64,4,69,1,n9-1,2.0,3.744271
2.8333333,0.16666667,2.8333333,0.16666667,68,4,68,1,n10-1,2.0,3.744271
3.0,3.5,3.0,3.5,72,84,54,5,n37-1,3.0,5.070139
3.0,0.5,3.0,0.5,72,12,66,2,n35-1,3.0,5.070139
3.0,0.25,3.0,0.25,72,6,69,1,n21-1,3.0,5.070139
3.25,0.25,3.25,0.25,78,6,71,1,n22-1,3.0,5.070139
3.5,1.0,3.5,1.0,84,24,61,2,n36-1,3.0,5.070139
3.5,0.25,3.5,0.25,84,6,69,1,n23-1,3.0,5.070139
3.75,0.25,3.75,0.25,90,6,68,1,n24-1,3.0,5.070139
4.0,0.25,4.0,0.25,96,6,69,1,n25-1,4.0,6.339583
4.25,0.25,4.25,0.25,102,6,73,1,n26-1,4.0,6.339583
4.5,0.25,4.5,0.25,108,6,57,7,n38-1,4.0,6.339583
4.5,0.25,4.5,0.25,108,6,78,1,n27-1,4.0,6.339583
4.75,0.25,4.75,0.25,114,6,59,7,n39-1,4.0,6.339583
4.75,0.25,4.75,0.25,114,6,80,1,n28-1,4.0,6.339583
5.0,0.16666667,5.0,0.16666667,120,4,61,7,n40-1,5.0,7.53125
5.0,0.16666667,5.0,0.16666667,120,4,81,1,n29-1,5.0,7.53125
5.1666665,0.16666667,5.1666665,0.16666667,124,4,59,7,n41-1,5.0,7.53125
5.1666665,0.16666667,5.1666665,0.16666667,124,4,80,1,n30-1,5.0,7.53125
5.3333335,0.16666667,5.3333335,0.16666667,128,4,57,7,n42-1,5.0,7.53125
5.3333335,0.16666667,5.3333335,0.16666667,128,4,78,1,n31-1,5.0,7.53125
5.5,0.16666667,5.5,0.16666667,132,4,59,7,n43-1,5.0,7.53125
5.5,0.16666667,5.5,0.16666667,132,4,80,1,n32-1,5.0,7.53125
5.6666665,0.16666667,5.6666665,0.16666667,136,4,57,7,n44-1,5.0,7.53125
5.6666665,0.16666667,5.6666665,0.16666667,136,4,78,1,n33-1,5.0,7.53125
5.8333335,0.16666667,5.8333335,0.16666667,140,4,56,7,n45-1,5.0,7.53125
5.8333335,0.16666667,5.8333335,0.16666667,140,4,77,1,n34-1,5.0,7.53125
6.0,0.5,6.0,0.5,144,12,57,2,n56-1,6.0,8.813541
6.0,0.25,6.0,0.25,144,6,78,1,n46-1,6.0,8.813541
6.25,0.5,6.25,0.5,150,12,73,1,n47-1,6.0,8.813541
6.5,0.5,6.5,0.5,156,12,56,5,n63-1,6.0,8.813541
