onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0,0.90833336,78,63,1,0,n0,-10.0,-10.0
1.0114583,2.4770834,54,34,1,0,n1,1.005729,0.0
1.8166667,1.2875,73,53,1,0,n2,1.005729,0.0
1.8302083,0.76666665,57,23,1,0,n3,1.005729,0.0
2.4958334,0.65729165,61,36,1,0,n4,2.495833,1.0
3.0802083,1.2927083,66,34,1,0,n5,2.495833,1.0
3.0833333,0.33229166,69,53,1,0,n6,2.495833,1.0
3.390625,0.33541667,71,62,1,0,n7,2.495833,1.0
3.3989584,0.378125,56,40,1,0,n8,2.495833,1.0
3.740625,0.196875,73,54,1,0,n9,2.495833,1.0
3.7479167,0.625,57,35,1,0,n10,3.744271,2.0
3.9583333,0.41458333,71,51,1,0,n11,3.744271,2.0
4.125,0.24791667,69,60,1,0,n12,3.744271,2.0
4.320833,0.39479166,65,33,1,0,n13,3.744271,2.0
4.321875,0.17083333,71,48,1,0,n14,3.744271,2.0
4.335417,0.79479164,61,36,1,0,n15,3.744271,2.0
4.516667,0.15729167,69,44,1,0,n16,3.744271,2.0
4.7385416,0.39166668,68,37,1,0,n17,3.744271,2.0
5.0447917,0.84479165,66,48,1,0,n18,3.744271,2.0
5.0729165,0.34166667,69,45,1,0,n19,5.070139,3.0
5.092708,4.477083,54,37,1,0,n20,5.070139,3.0
5.4104166,0.47916666,71,43,1,0,n21,5.070139,3.0
5.7458334,0.28020832,69,47,1,0,n22,5.070139,3.0
5.759375,1.225,61,48,1,0,n23,5.070139,3.0
6.0447917,0.30104166,68,52,1,0,n24,5.070139,3.0
6.3395834,0.29583332,69,60,1,0,n25,6.339583,4.0
6.63125,0.36145833,73,61,1,0,n26,6.339583,4.0
6.929167,0.32395834,78,68,1,0,n27,6.339583,4.0
6.936458,0.26979166,57,37,1,0,n28,6.339583,4.0
7.2135415,0.346875,80,73,1,0,n29,6.339583,4.0
7.2447915,0.29375,59,38,1,0,n30,6.339583,4.0
7.5260415,0.22395833,61,37,1,0,n31,6.339583,4.0
7.5364585,0.23645833,81,65,1,0,n32,7.53125,5.0
7.735417,0.20208333,80,67,1,0,n33,7.53125,5.0
7.7760415,0.12083333,59,39,1,0,n34,7.53125,5.0
7.9177084,0.20104167,78,69,1,0,n35,7.53125,5.0
