onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
6.822656,2.9903874,54,34,0,0,n0,-10.0,-10.0
6.830135,1.1506422,78,57,0,0,n1,6.826395,0.0
7.6591954,1.9006429,73,59,0,0,n2,6.826395,0.0
7.6784263,1.881412,57,40,0,0,n3,6.826395,0.0
8.397444,1.3376081,61,49,0,0,n4,8.39744,1.0
9.089752,0.5149577,69,53,0,0,n5,8.39744,1.0
9.095094,1.3547021,66,42,0,0,n6,8.39744,1.0
9.455137,0.40812004,71,63,0,0,n7,8.39744,1.0
9.474368,0.38568413,56,44,0,0,n8,8.39744,1.0
9.813044,0.8205136,57,38,0,0,n9,8.39744,1.0
9.826932,0.31944475,73,58,0,0,n10,9.819985,2.0
10.121804,0.20726515,71,61,0,0,n11,9.819985,2.0
10.356848,0.20192327,69,56,0,0,n12,9.819985,2.0
10.588685,0.24786349,71,54,0,0,n13,9.819985,2.0
10.597232,0.8760692,61,38,0,0,n14,9.819985,2.0
10.607916,0.78953063,65,35,0,0,n15,9.819985,2.0
10.836549,0.2051284,69,55,0,0,n16,9.819985,2.0
11.049156,0.34829092,68,60,0,0,n17,9.819985,2.0
11.326934,1.0811976,66,58,0,0,n18,9.819985,2.0
11.346165,0.3632482,69,46,0,0,n19,11.340467,3.0
11.348301,5.4743643,54,38,0,0,n20,11.340467,3.0
11.72437,0.68376136,71,55,0,0,n21,11.340467,3.0
12.09296,1.6143178,61,61,0,0,n22,11.340467,3.0
12.108986,0.42200896,69,46,0,0,n23,11.340467,3.0
12.453003,0.37393197,68,60,0,0,n24,11.340467,3.0
12.800226,0.48824832,69,58,0,0,n25,12.8002,4.0
13.149585,0.62606895,73,63,0,0,n26,12.8002,4.0
13.51497,0.44123974,57,48,0,0,n27,12.8002,4.0
13.532064,0.5170945,78,62,0,0,n28,12.8002,4.0
13.893175,0.44337648,80,72,0,0,n29,12.8002,4.0
13.894244,0.5138894,59,56,0,0,n30,12.8002,4.0
14.274587,0.3963679,81,66,0,0,n31,12.8002,4.0
14.297022,0.3536328,61,47,0,0,n32,14.2858,5.0
14.573731,0.2190173,59,52,0,0,n33,14.2858,5.0
14.575869,0.26282075,80,68,0,0,n34,14.2858,5.0
14.809843,0.26495752,78,66,0,0,n35,14.2858,5.0
14.822663,0.19871813,57,50,0,0,n36,14.2858,5.0
15.0331335,0.2788464,80,59,0,0,n37,14.2858,5.0
15.034203,0.33012852,59,40,0,0,n38,14.2858,5.0
15.26604,0.27670968,78,56,0,0,n39,14.2858,5.0
15.283134,0.22863269,57,38,0,0,n40,14.2858,5.0
15.508562,0.260684,77,55,0,0,n41,14.2858,5.0
15.513904,0.22970107,56,38,0,0,n42,14.2858,5.0
15.767109,1.0555565,78,57,0,0,n43,14.2858,5.0
15.770314,1.0801293,57,38,0,0,n44,15.7687,6.0
16.271383,1.1901721,73,57,0,0,n45,15.7687,6.0
16.691256,0.8258555,59,39,0,0,n46,15.7687,6.0
16.696596,0.76495796,56,42,0,0,n47,15.7687,6.0
17.061981,0.41773543,77,63,0,0,n48,15.7687,6.0
17.415615,0.9252145,78,62,0,0,n49,15.7687,6.0
17.420958,0.9337616,61,44,0,0,n50,15.7687,6.0
17.43164,0.9091889,57,41,0,0,n51,17.422733,7.0
17.822666,1.2179499,73,66,0,0,n52,17.422733,7.0
18.217966,0.8226504,68,59,0,0,n53,17.422733,7.0
18.22117,0.81944525,59,49,0,0,n54,17.422733,7.0
18.569462,0.4711543,77,63,0,0,n55,17.422733,7.0
18.929504,0.8493598,66,48,0,0,n56,17.422733,7.0
18.944462,0.8344025,78,64,0,0,n57,17.422733,7.0
18.96583,0.81303495,57,41,0,0,n58,18.9466,8.0
19.303436,0.4754278,73,66,0,0,n59,18.9466,8.0
19.645317,0.83226573,65,53,0,0,n60,18.9466,8.0
19.653864,0.8237187,78,68,0,0,n61,18.9466,8.0
19.658138,0.81944525,56,44,0,0,n62,18.9466,8.0
20.019249,0.45833376,80,69,0,0,n63,18.9466,8.0
20.39318,0.90384704,66,50,0,0,n64,18.9466,8.0
20.397455,0.8995735,81,59,0,0,n65,18.9466,8.0
20.406002,0.8910265,54,42,0,0,n66,20.3989,9.0
20.767115,0.53312016,77,66,0,0,n67,20.3989,9.0
21.130362,0.98504364,61,59,0,0,n68,20.3989,9.0
21.135704,0.97970176,52,54,0,0,n69,20.3989,9.0
21.143183,0.97222316,78,63,0,0,n70,20.3989,9.0
21.506432,0.60897493,81,68,0,0,n71,20.3989,9.0
21.872885,1.0224369,54,54,0,0,n72,20.3989,9.0
21.88891,1.0064112,71,50,0,0,n73,21.887833,10.0
21.90173,2.7350454,50,42,0,0,n74,21.887833,10.0
22.252157,0.643163,81,66,0,0,n75,21.887833,10.0
22.608995,0.5502142,80,68,0,0,n76,21.887833,10.0
22.615406,0.92948806,53,52,0,0,n77,21.887833,10.0
22.98186,0.44978675,81,69,0,0,n78,21.887833,10.0
23.355791,0.8846162,54,43,0,0,n79,21.887833,10.0
23.36968,0.44444486,83,64,0,0,n80,23.36275,11.0
23.661346,0.29914558,81,71,0,0,n81,23.36275,11.0
23.9028,0.2884618,80,69,0,0,n82,23.36275,11.0
24.143185,1.8087624,59,44,0,0,n83,23.36275,11.0
24.152802,0.3322653,81,60,0,0,n84,23.36275,11.0
24.41028,0.24465835,80,62,0,0,n85,23.36275,11.0
24.641048,0.3311969,78,60,0,0,n86,23.36275,11.0
24.962631,0.9893172,77,58,0,0,n87,23.36275,11.0
24.97545,6.606844,49,36,0,0,n88,24.96905,12.0
25.519255,1.0715822,72,61,0,0,n89,24.96905,12.0
25.892118,0.8760692,56,57,0,0,n90,24.96905,12.0
26.244682,0.44765,73,69,0,0,n91,24.96905,12.0
26.611135,0.9252145,57,51,0,0,n92,24.96905,12.0
26.614342,0.8162401,78,65,0,0,n93,26.6127,13.0
27.007504,0.84188116,72,64,0,0,n94,26.6127,13.0
27.347248,0.8910265,54,47,0,0,n95,26.6127,13.0
27.716908,0.4326927,73,59,0,0,n96,26.6127,13.0
28.117548,1.6388905,53,38,0,0,n97,26.6127,13.0
28.119684,0.44337648,80,55,0,0,n98,28.1186,14.0
28.434856,0.31730798,71,46,0,0,n99,28.1186,14.0
28.670967,0.2745729,73,59,0,0,n100,28.1186,14.0
28.908148,0.31517124,74,60,0,0,n101,28.1186,14.0
29.145327,0.27777803,73,61,0,0,n102,28.1186,14.0
29.381437,0.260684,71,54,0,0,n103,28.1186,14.0
29.652805,1.8611128,69,44,0,0,n104,29.6528,15.0
29.922037,0.504274,53,35,0,0,n105,29.6528,15.0
30.174173,0.2927353,54,40,0,0,n106,29.6528,15.0
30.410286,0.32264987,56,50,0,0,n107,29.6528,15.0
30.643192,0.25427374,54,52,0,0,n108,29.6528,15.0
30.893192,0.22970107,53,52,0,0,n109,29.6528,15.0
31.13785,0.22649594,54,46,0,0,n110,29.6528,15.0
31.384645,0.2329062,56,47,0,0,n111,31.1379,16.0
31.393192,0.37927386,68,52,0,0,n112,31.1379,16.0
31.620756,0.26388913,57,51,0,0,n113,31.1379,16.0
31.634645,0.25000024,66,58,0,0,n114,31.1379,16.0
31.864347,0.31410286,65,54,0,0,n115,31.1379,16.0
31.866484,0.22863269,59,45,0,0,n116,31.1379,16.0
32.08764,0.31730798,66,57,0,0,n117,31.1379,16.0
32.095116,0.23504296,57,51,0,0,n118,31.1379,16.0
32.32268,0.3632482,68,62,0,0,n119,31.1379,16.0
32.33016,0.3397439,56,56,0,0,n120,31.1379,16.0
32.571613,0.28525668,66,62,0,0,n121,31.1379,16.0
32.589775,2.000002,57,47,0,0,n122,32.5807,17.0
32.81841,0.30662423,65,61,0,0,n123,32.5807,17.0
33.04704,0.37393197,66,59,0,0,n124,32.5807,17.0
33.31734,0.96581286,48,32,0,0,n125,32.5807,17.0
33.333366,0.6933767,75,59,0,0,n126,32.5807,17.0
34.018196,0.15918818,66,51,0,0,n127,32.5807,17.0
34.29063,2.838678,49,40,0,0,n128,32.5807,17.0
34.306656,1.3344029,66,46,0,0,n129,34.29865,18.0
34.86328,0.16880357,56,46,0,0,n130,34.29865,18.0
34.99469,0.1399574,54,46,0,0,n131,34.29865,18.0
35.150673,2.697652,56,44,0,0,n132,34.29865,18.0
35.64106,0.13247876,65,44,0,0,n133,34.29865,18.0
35.79277,0.130342,63,43,0,0,n134,34.29865,18.0
35.96157,0.2425216,65,45,0,0,n135,34.29865,18.0
36.21905,0.9102573,61,39,0,0,n136,35.9616,19.0
36.44982,0.6794878,63,48,0,0,n137,35.9616,19.0
36.69448,0.9380351,49,46,0,0,n138,35.9616,19.0
36.70089,0.4284192,65,48,0,0,n139,35.9616,19.0
36.93166,0.2660259,66,53,0,0,n140,35.9616,19.0
37.15495,0.3493593,68,59,0,0,n141,35.9616,19.0
37.39854,0.8450863,51,50,0,0,n142,35.9616,19.0
37.406017,0.29700884,66,52,0,0,n143,37.40225,20.0
37.64961,0.30448747,65,58,0,0,n144,37.40225,20.0
37.89106,0.36004308,66,62,0,0,n145,37.40225,20.0
38.13999,0.29059857,68,59,0,0,n146,37.40225,20.0
38.146404,0.9668813,53,47,0,0,n147,37.40225,20.0
38.373966,0.3215815,69,60,0,0,n148,37.40225,20.0
38.62931,0.34401742,71,57,0,0,n149,37.40225,20.0
38.9776,0.17094034,69,51,0,0,n150,37.40225,20.0
38.993626,1.9551301,54,36,0,0,n151,38.9856,21.0
39.17525,0.18055573,68,47,0,0,n152,38.9856,21.0
39.394268,1.5512835,66,40,0,0,n153,38.9856,21.0
39.824825,1.1207275,42,38,0,0,n154,38.9856,21.0
40.26179,0.68376136,69,44,0,0,n155,38.9856,21.0
40.428455,0.5170945,73,60,0,0,n156,38.9856,21.0
40.61756,1.0470096,45,48,0,0,n157,38.9856,21.0
40.62931,0.33760715,78,59,0,0,n158,40.62345,22.0
40.876106,0.37179524,73,65,0,0,n159,40.62345,22.0
41.112217,0.2884618,75,69,0,0,n160,40.62345,22.0
41.356876,0.7970093,49,52,0,0,n161,40.62345,22.0
41.36008,0.3322653,77,62,0,0,n162,40.62345,22.0
41.59085,0.33760715,78,75,0,0,n163,40.62345,22.0
41.831238,0.31837636,80,73,0,0,n164,40.62345,22.0
42.07162,0.77029985,81,64,0,0,n165,40.62345,22.0
42.07269,2.3803442,54,57,0,0,n166,42.07215,23.0
42.30346,0.53846204,80,68,0,0,n167,42.07215,23.0
42.53957,0.33333364,78,72,0,0,n168,42.07215,23.0
42.812008,0.8685906,59,60,0,0,n169,42.07215,23.0
42.823757,0.28525668,80,61,0,0,n170,42.07215,23.0
43.03957,0.48290643,78,71,0,0,n171,42.07215,23.0
43.25645,0.35256442,76,71,0,0,n172,42.07215,23.0
43.54171,0.81837684,75,68,0,0,n173,43.5417,24.0
43.557735,1.7211555,57,59,0,0,n174,43.5417,24.0
43.958374,0.47756454,76,75,0,0,n175,43.5417,24.0
44.352608,1.4465826,78,68,0,0,n176,43.5417,24.0
44.35688,0.9220094,51,48,0,0,n177,43.5417,24.0
44.757523,0.57585526,57,70,0,0,n178,43.5417,24.0
45.1603,0.9326932,56,63,0,0,n179,43.5417,24.0
45.175255,2.3301303,48,48,0,0,n180,45.1678,25.0
45.517136,0.44444486,76,66,0,0,n181,45.1678,25.0
45.89748,0.7008554,75,65,0,0,n182,45.1678,25.0
45.918846,1.0331206,54,56,0,0,n183,45.1678,25.0
46.306667,0.48290643,81,68,0,0,n184,45.1678,25.0
46.67419,0.35256442,80,61,0,0,n185,45.1678,25.0
46.678463,0.90064186,52,46,0,0,n186,46.67635,26.0
46.945557,0.49145347,78,68,0,0,n187,46.67635,26.0
47.185944,0.29166695,76,67,0,0,n188,46.67635,26.0
47.42953,0.9882488,51,47,0,0,n189,46.67635,26.0
47.435944,0.30341908,78,61,0,0,n190,46.67635,26.0
47.454105,0.8568384,44,39,0,0,n191,46.67635,26.0
47.6806,0.27777803,76,62,0,0,n192,46.67635,26.0
47.914574,0.38034225,75,67,0,0,n193,46.67635,26.0
48.243637,0.5235048,76,57,0,0,n194,46.67635,26.0
48.244705,3.555559,49,43,0,0,n195,48.24415,27.0
48.68701,0.5224364,75,57,0,0,n196,48.24415,27.0
49.08445,1.2414541,73,53,0,0,n197,48.24415,27.0
49.447697,2.051284,47,43,0,0,n198,48.24415,27.0
49.828037,0.8739325,45,50,0,0,n199,49.828,28.0
50.21586,0.63461596,75,56,0,0,n200,49.828,28.0
50.57163,0.8675222,44,44,0,0,n201,49.828,28.0
50.591927,0.50106883,73,56,0,0,n202,49.828,28.0
50.95945,0.5566245,72,54,0,0,n203,49.828,28.0
51.343,2.306626,42,39,0,0,n204,51.343,29.0
51.343,0.49145347,73,55,0,0,n205,51.343,29.0
51.7415,0.45940214,76,52,0,0,n206,51.343,29.0
52.09727,0.521368,49,55,0,0,n207,51.343,29.0
52.102615,0.45940214,69,49,0,0,n208,51.343,29.0
52.469067,0.5993596,68,52,0,0,n209,51.343,29.0
52.851547,3.8963711,54,58,0,0,n210,51.343,29.0
52.86223,0.44978675,69,49,0,0,n211,52.85685,30.0
53.25005,0.54700905,72,51,0,0,n212,52.85685,30.0
53.58659,0.83867604,44,43,0,0,n213,52.85685,30.0
53.598343,0.48824832,66,50,0,0,n214,52.85685,30.0
53.97548,0.53418857,64,57,0,0,n215,52.85685,30.0
54.30347,1.0865395,45,50,0,0,n216,52.85685,30.0
54.333385,0.45299187,66,52,0,0,n217,54.31845,31.0
54.709454,0.49252182,72,60,0,0,n218,54.31845,31.0
55.059883,0.8760692,42,42,0,0,n219,54.31845,31.0
55.07484,0.5288467,73,64,0,0,n220,54.31845,31.0
55.46159,0.43910298,75,69,0,0,n221,54.31845,31.0
55.83873,1.895301,44,47,0,0,n222,54.31845,31.0
55.848343,0.3322653,76,59,0,0,n223,55.8435,32.0
56.136806,0.6111117,75,63,0,0,n224,55.8435,32.0
56.388943,0.3589747,73,64,0,0,n225,55.8435,32.0
56.663517,2.1869678,54,51,0,0,n226,55.8435,32.0
