onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0229167,0.628125,78,60,1,0,n0,-10.0,-10.0
1.059375,2.21875,54,23,1,0,n1,1.041146,0.0
1.8177084,1.175,73,57,1,0,n2,1.041146,0.0
1.8322917,1.1604167,57,36,1,0,n3,1.041146,0.0
2.4395833,0.58020836,61,44,1,0,n4,2.439583,1.0
2.9979167,0.28020832,69,66,1,0,n5,2.439583,1.0
3.0239584,0.27916667,66,39,1,0,n6,2.439583,1.0
3.26875,0.30104166,71,73,1,0,n7,2.439583,1.0
3.2864583,0.29791668,56,50,1,0,n8,2.439583,1.0
3.590625,0.19479166,73,62,1,0,n9,2.439583,1.0
3.6020834,0.496875,57,41,1,0,n10,3.596354,2.0
3.8010416,0.14166667,71,63,1,0,n11,3.596354,2.0
3.959375,0.16666667,69,63,1,0,n12,3.596354,2.0
4.141667,0.55625,61,35,1,0,n13,3.596354,2.0
4.141667,0.15104167,71,64,1,0,n14,3.596354,2.0
4.1625,0.30729166,65,34,1,0,n15,3.596354,2.0
4.33125,0.15729167,69,53,1,0,n16,3.596354,2.0
4.516667,0.27708334,68,56,1,0,n17,3.596354,2.0
4.825,0.46458334,66,59,1,0,n18,3.596354,2.0
4.836458,3.071875,54,49,1,0,n19,3.596354,2.0
4.8645835,0.409375,69,42,1,0,n20,4.842014,3.0
5.219792,0.35625,71,51,1,0,n21,4.842014,3.0
5.5572915,1.13125,61,62,1,0,n22,4.842014,3.0
5.5989585,0.25104168,69,45,1,0,n23,4.842014,3.0
5.865625,0.259375,68,66,1,0,n24,4.842014,3.0
6.141667,0.28854167,69,65,1,0,n25,6.141667,4.0
6.425,0.28958333,73,73,1,0,n26,6.141667,4.0
6.6833334,0.325,78,73,1,0,n27,6.141667,4.0
6.696875,0.41666666,57,51,1,0,n28,6.141667,4.0
6.9625,0.359375,80,70,1,0,n29,6.141667,4.0
6.9895835,0.27604166,59,51,1,0,n30,6.141667,4.0
7.2760415,0.27708334,81,66,1,0,n31,6.141667,4.0
7.288542,0.16875,61,49,1,0,n32,7.282292,5.0
7.4895835,0.16875,59,50,1,0,n33,7.282292,5.0
7.4895835,0.18020834,80,69,1,0,n34,7.282292,5.0
7.6427083,0.19895834,78,81,1,0,n35,7.282292,5.0
7.6583333,0.15520833,57,59,1,0,n36,7.282292,5.0
7.809375,0.171875,80,74,1,0,n37,7.282292,5.0
7.825,0.165625,59,57,1,0,n38,7.282292,5.0
7.976042,0.14791666,78,79,1,0,n39,7.282292,5.0
7.985417,0.15833333,57,56,1,0,n40,7.282292,5.0
8.138541,0.23854166,77,68,1,0,n41,7.282292,5.0
8.163542,0.25729167,56,57,1,0,n42,7.282292,5.0
8.392709,0.334375,78,62,1,0,n43,7.282292,5.0
8.407291,1.7447916,57,49,1,0,n44,8.4,6.0
8.736459,1.415625,73,68,1,0,n45,8.4,6.0
9.0375,1.1145834,59,43,1,0,n46,8.4,6.0
9.041667,0.178125,61,31,1,0,n47,8.4,6.0
9.296875,0.85520834,77,71,1,0,n48,8.4,6.0
9.584375,0.5677083,78,73,1,0,n49,8.4,6.0
9.610416,0.5416667,59,36,1,0,n50,9.607292,7.0
9.627084,0.525,61,31,1,0,n51,9.607292,7.0
9.8875,0.865625,73,74,1,0,n52,9.607292,7.0
10.145833,0.60729164,59,49,1,0,n53,9.607292,7.0
10.157291,0.59583336,68,51,1,0,n54,9.607292,7.0
10.379167,0.37395832,77,77,1,0,n55,9.607292,7.0
10.68125,0.071875,66,51,1,0,n56,9.607292,7.0
10.713542,0.5395833,78,71,1,0,n57,9.607292,7.0
10.747916,0.5052083,56,53,1,0,n58,10.714236,8.0
10.996875,0.25625,73,75,1,0,n59,10.714236,8.0
11.254167,0.5395833,78,79,1,0,n60,10.714236,8.0
11.259375,0.534375,65,39,1,0,n61,10.714236,8.0
11.26875,0.525,56,49,1,0,n62,10.714236,8.0
11.536458,0.29270834,80,79,1,0,n63,10.714236,8.0
11.833333,0.5572917,81,62,1,0,n64,10.714236,8.0
11.852083,0.13229166,66,38,1,0,n65,11.851736,9.0
11.869792,0.5208333,54,34,1,0,n66,11.851736,9.0
12.127084,0.31145832,77,65,1,0,n67,11.851736,9.0
12.414583,0.678125,78,61,1,0,n68,11.851736,9.0
12.440625,0.65208334,52,39,1,0,n69,11.851736,9.0
12.448958,0.64375,61,31,1,0,n70,11.851736,9.0
12.720834,0.371875,81,54,1,0,n71,11.851736,9.0
