onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,9.0,0.0,9.0,0,72,55,6,n19-1,0.0,0.989931
0.0,0.5,0.0,0.5,0,4,59,5,n13-1,0.0,0.989931
0.0,0.25,0.0,0.25,0,2,67,1,n1-1,0.0,0.989931
0.25,0.25,0.25,0.25,2,2,74,1,n2-1,0.0,0.989931
0.5,0.5,0.5,0.5,4,4,57,5,n14-1,0.0,0.989931
0.5,0.25,0.5,0.25,4,2,66,1,n3-1,0.0,0.989931
0.75,0.25,0.75,0.25,6,2,74,1,n4-1,0.0,0.989931
1.0,0.5,1.0,0.5,8,4,59,5,n15-1,1.0,1.440104
1.0,0.25,1.0,0.25,8,2,67,1,n5-1,1.0,1.440104
1.25,0.25,1.25,0.25,10,2,74,1,n6-1,1.0,1.440104
1.5,0.5,1.5,0.5,12,4,60,5,n16-1,1.0,1.440104
1.5,0.25,1.5,0.25,12,2,69,1,n7-1,1.0,1.440104
1.75,0.25,1.75,0.25,14,2,74,1,n8-1,1.0,1.440104
2.0,0.5,2.0,0.5,16,4,62,5,n17-1,2.0,1.882292
2.0,0.25,2.0,0.25,16,2,71,1,n9-1,2.0,1.882292
2.25,0.25,2.25,0.25,18,2,74,1,n10-1,2.0,1.882292
2.5,0.5,2.5,0.5,20,4,64,5,n18-1,2.0,1.882292
2.5,0.25,2.5,0.25,20,2,72,1,n11-1,2.0,1.882292
2.75,0.25,2.75,0.25,22,2,74,1,n12-1,2.0,1.882292
3.0,0.5,3.0,0.5,24,4,62,5,n32-1,3.0,2.334375
3.0,0.25,3.0,0.25,24,2,71,1,n20-1,3.0,2.334375
3.25,0.25,3.25,0.25,26,2,74,1,n21-1,3.0,2.334375
3.5,0.5,3.5,0.5,28,4,60,5,n33-1,3.0,2.334375
3.5,0.25,3.5,0.25,28,2,69,1,n22-1,3.0,2.334375
3.75,0.25,3.75,0.25,30,2,74,1,n23-1,3.0,2.334375
4.0,0.5,4.0,0.5,32,4,59,5,n34-1,4.0,2.779167
4.0,0.25,4.0,0.25,32,2,67,1,n24-1,4.0,2.779167
4.25,0.25,4.25,0.25,34,2,74,1,n25-1,4.0,2.779167
4.5,0.5,4.5,0.5,36,4,64,5,n35-1,4.0,2.779167
4.5,0.25,4.5,0.25,36,2,72,1,n26-1,4.0,2.779167
4.75,0.25,4.75,0.25,38,2,74,1,n27-1,4.0,2.779167
5.0,0.5,5.0,0.5,40,4,62,5,n36-1,5.0,3.215104
5.0,0.25,5.0,0.25,40,2,71,1,n28-1,5.0,3.215104
5.25,0.25,5.25,0.25,42,2,74,1,n29-1,5.0,3.215104
5.5,0.5,5.5,0.5,44,4,60,5,n37-1,5.0,3.215104
5.5,0.25,5.5,0.25,44,2,69,1,n30-1,5.0,3.215104
5.75,0.25,5.75,0.25,46,2,74,1,n31-1,5.0,3.215104
6.0,0.5,6.0,0.5,48,4,62,5,n51-1,6.0,3.658333
6.0,0.25,6.0,0.25,48,2,71,1,n39-1,6.0,3.658333
6.25,0.25,6.25,0.25,50,2,74,1,n40-1,6.0,3.658333
6.5,0.5,6.5,0.5,52,4,60,5,n52-1,6.0,3.658333
6.5,0.25,6.5,0.25,52,2,69,1,n41-1,6.0,3.658333
6.75,0.25,6.75,0.25,54,2,74,1,n42-1,6.0,3.658333
7.0,0.5,7.0,0.5,56,4,59,5,n53-1,7.0,4.084375
7.0,0.25,7.0,0.25,56,2,67,1,n43-1,7.0,4.084375
7.25,0.25,7.25,0.25,58,2,74,1,n44-1,7.0,4.084375
7.5,0.5,7.5,0.5,60,4,62,5,n54-1,7.0,4.084375
7.5,0.25,7.5,0.25,60,2,71,1,n45-1,7.0,4.084375
7.75,0.25,7.75,0.25,62,2,74,1,n46-1,7.0,4.084375
8.0,0.5,8.0,0.5,64,4,60,5,n55-1,8.0,4.515104
8.0,0.25,8.0,0.25,64,2,69,1,n47-1,8.0,4.515104
8.25,0.25,8.25,0.25,66,2,74,1,n48-1,8.0,4.515104
8.5,0.5,8.5,0.5,68,4,59,5,n56-1,8.0,4.515104
8.5,0.25,8.5,0.25,68,2,67,1,n49-1,8.0,4.515104
8.75,9.75,8.75,9.75,70,78,74,1,n50-1,8.0,4.515104
9.0,0.25,9.0,0.25,72,2,50,5,n65-1,9.0,4.985416
9.0,0.5,9.0,0.5,72,4,66,2,n59-1,9.0,4.985416
9.25,0.25,9.25,0.25,74,2,57,5,n66-1,9.0,4.985416
9.5,0.25,9.5,0.25,76,2,49,5,n67-1,9.0,4.985416
9.5,0.5,9.5,0.5,76,4,64,2,n60-1,9.0,4.985416
9.75,0.25,9.75,0.25,78,2,57,5,n68-1,9.0,4.985416
10.0,0.25,10.0,0.25,80,2,50,5,n69-1,10.0,5.432291
10.0,0.5,10.0,0.5,80,4,66,2,n61-1,10.0,5.432291
10.25,0.25,10.25,0.25,82,2,57,5,n70-1,10.0,5.432291
10.5,0.25,10.5,0.25,84,2,52,5,n71-1,10.0,5.432291
10.5,0.5,10.5,0.5,84,4,67,2,n62-1,10.0,5.432291
10.75,0.25,10.75,0.25,86,2,57,5,n72-1,10.0,5.432291
11.0,0.25,11.0,0.25,88,2,54,5,n73-1,11.0,5.861979
11.0,0.5,11.0,0.5,88,4,69,2,n63-1,11.0,5.861979
11.25,0.25,11.25,0.25,90,2,57,5,n74-1,11.0,5.861979
11.5,0.25,11.5,0.25,92,2,55,5,n75-1,11.0,5.861979
11.5,0.5,11.5,0.5,92,4,71,2,n64-1,11.0,5.861979
11.75,0.25,11.75,0.25,94,2,57,5,n76-1,11.0,5.861979
12.0,0.25,12.0,0.25,96,2,54,5,n84-1,12.0,6.294792
12.0,0.5,12.0,0.5,96,4,69,2,n78-1,12.0,6.294792
12.25,0.25,12.25,0.25,98,2,57,5,n85-1,12.0,6.294792
12.5,0.25,12.5,0.25,100,2,52,5,n86-1,12.0,6.294792
