onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9791667,0.246875,59,52,1,0,n0,-10.0,-10.0
0.9927083,0.0875,67,51,1,0,n1,0.989931,0.0
0.99791664,3.7135417,55,40,1,0,n2,0.989931,0.0
1.1114583,0.09583333,74,58,1,0,n3,0.989931,0.0
1.2177083,0.06979167,57,49,1,0,n4,0.989931,0.0
1.2208333,0.05625,66,63,1,0,n5,0.989931,0.0
1.3375,0.058333334,74,48,1,0,n6,0.989931,0.0
1.4395833,0.045833334,59,55,1,0,n7,0.989931,0.0
1.440625,0.05625,67,58,1,0,n8,1.440104,1.0
1.546875,0.092708334,74,48,1,0,n9,1.440104,1.0
1.659375,0.072916664,69,67,1,0,n10,1.440104,1.0
1.671875,0.0375,60,51,1,0,n11,1.440104,1.0
1.7833333,0.052083332,74,63,1,0,n12,1.440104,1.0
1.8802084,0.04375,62,61,1,0,n13,1.440104,1.0
1.884375,0.060416665,71,69,1,0,n14,1.882292,2.0
1.9854167,0.09375,74,66,1,0,n15,1.882292,2.0
2.1072917,0.08020833,72,66,1,0,n16,1.882292,2.0
2.1083333,0.036458332,64,61,1,0,n17,1.882292,2.0
2.2135417,0.10625,74,42,1,0,n18,1.882292,2.0
2.334375,0.038541667,62,53,1,0,n19,2.334375,3.0
2.334375,0.09791667,71,68,1,0,n20,2.334375,3.0
2.459375,0.06458333,74,64,1,0,n21,2.334375,3.0
2.5489583,0.034375,60,49,1,0,n22,2.334375,3.0
2.5635417,0.06458333,69,63,1,0,n23,2.334375,3.0
2.671875,0.060416665,74,61,1,0,n24,2.334375,3.0
2.7708333,0.083333336,67,63,1,0,n25,2.334375,3.0
2.7875,0.0375,59,38,1,0,n26,2.779167,4.0
2.896875,0.0875,74,58,1,0,n27,2.779167,4.0
2.990625,0.036458332,64,59,1,0,n28,2.779167,4.0
2.996875,0.09166667,72,65,1,0,n29,2.779167,4.0
3.0947917,0.072916664,74,54,1,0,n30,2.779167,4.0
3.2104166,0.092708334,71,64,1,0,n31,2.779167,4.0
3.2197917,0.038541667,62,59,1,0,n32,3.215104,5.0
