onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,4.0,0.0,4.0,0,64,43,6,n20-1,0.0,0.507479
0.375,0.125,0.375,0.125,6,2,67,1,n2-1,0.0,0.507479
0.5,0.375,0.5,0.375,8,6,62,1,n3-1,0.0,0.507479
0.875,0.125,0.875,0.125,14,2,65,1,n4-1,0.0,0.507479
1.0,1.375,1.0,1.375,16,22,63,1,n5-1,1.0,2.51923
1.375,0.125,1.375,0.125,22,2,58,5,n16-1,1.0,2.51923
1.5,0.375,1.5,0.375,24,6,57,5,n17-1,1.0,2.51923
1.875,0.125,1.875,0.125,30,2,60,5,n18-1,1.0,2.51923
2.0,2.0,2.0,2.0,32,32,54,5,n19-1,2.0,4.41347
2.375,0.125,2.375,0.125,38,2,63,1,n7-1,2.0,4.41347
2.5,0.375,2.5,0.375,40,6,62,1,n8-1,2.0,4.41347
2.875,0.125,2.875,0.125,46,2,60,1,n9-1,2.0,4.41347
3.0,0.375,3.0,0.375,48,6,69,1,n10-1,3.0,6.31838
3.375,0.125,3.375,0.125,54,2,60,1,n11-1,3.0,6.31838
3.5,0.375,3.5,0.375,56,6,58,1,n12-1,3.0,6.31838
3.875,0.125,3.875,0.125,62,2,57,1,n13-1,3.0,6.31838
4.0,4.0,4.0,4.0,64,64,55,6,n41-1,4.0,8.22063
4.0,0.5,4.0,0.5,64,8,58,5,n34-1,4.0,8.22063
4.375,0.125,4.375,0.125,70,2,74,1,n22-1,4.0,8.22063
4.5,0.5,4.5,0.5,72,8,60,5,n35-1,4.0,8.22063
4.5,0.375,4.5,0.375,72,6,69,1,n23-1,4.0,8.22063
4.875,0.125,4.875,0.125,78,2,72,1,n24-1,4.0,8.22063
5.0,0.375,5.0,0.375,80,6,62,5,n36-1,5.0,10.0481
5.0,1.375,5.0,1.375,80,22,70,1,n25-1,5.0,10.0481
5.375,0.125,5.375,0.125,86,2,65,5,n37-1,5.0,10.0481
5.5,0.375,5.5,0.375,88,6,64,5,n38-1,5.0,10.0481
5.875,0.125,5.875,0.125,94,2,67,5,n39-1,5.0,10.0481
6.0,2.0,6.0,2.0,96,32,61,5,n40-1,6.0,11.9316
6.375,0.125,6.375,0.125,102,2,70,1,n27-1,6.0,11.9316
6.5,0.375,6.5,0.375,104,6,69,1,n28-1,6.0,11.9316
6.875,0.125,6.875,0.125,110,2,67,1,n29-1,6.0,11.9316
7.0,0.375,7.0,0.375,112,6,76,1,n30-1,7.0,13.8558
7.375,0.125,7.375,0.125,118,2,67,1,n31-1,7.0,13.8558
7.5,0.375,7.5,0.375,120,6,66,1,n32-1,7.0,13.8558
7.875,0.125,7.875,0.125,126,2,64,1,n33-1,7.0,13.8558
8.0,3.75,8.0,3.75,128,60,50,6,n65-1,8.0,15.767433
8.0,0.75,8.0,0.75,128,12,62,5,n60-1,8.0,15.767433
8.0,0.375,8.0,0.375,128,6,66,1,n42-1,8.0,15.767433
8.375,0.125,8.375,0.125,134,2,67,1,n43-1,8.0,15.767433
8.5,0.875,8.5,0.875,136,14,69,1,n44-1,8.0,15.767433
8.75,0.25,8.75,0.25,140,4,60,5,n61-1,8.0,15.767433
9.0,1.0,9.0,1.0,144,16,58,5,n62-1,9.0,17.4851
9.375,0.125,9.375,0.125,150,2,62,1,n46-1,9.0,17.4851
9.5,0.875,9.5,0.875,152,14,67,2,n54-1,9.0,17.4851
9.5,0.375,9.5,0.375,152,6,67,1,n47-1,9.0,17.4851
9.875,0.125,9.875,0.125,158,2,70,1,n48-1,9.0,17.4851
10.0,1.5,10.0,1.5,160,24,57,5,n63-1,10.0,19.2895
10.0,1.375,10.0,1.375,160,22,72,1,n49-1,10.0,19.2895
10.375,0.125,10.375,0.125,166,2,67,2,n56-1,10.0,19.2895
10.5,0.375,10.5,0.375,168,6,66,2,n57-1,10.0,19.2895
10.875,0.125,10.875,0.125,174,2,64,2,n58-1,10.0,19.2895
11.0,1.0,11.0,1.0,176,16,66,2,n59-1,11.0,21.1175
11.375,0.125,11.375,0.125,182,2,74,1,n51-1,11.0,21.1175
11.5,1.25,11.5,1.25,184,20,62,5,n64-1,11.0,21.1175
11.5,0.375,11.5,0.375,184,6,69,1,n52-1,11.0,21.1175
11.75,0.25,11.75,0.25,188,4,51,6,n67-1,11.0,21.1175
11.875,0.125,11.875,0.125,190,2,72,1,n53-1,11.0,21.1175
12.0,1.0,12.0,1.0,192,16,55,6,n95-1,12.0,22.7607
12.0,1.0,12.0,1.0,192,16,67,2,n80-1,12.0,22.7607
12.0,0.375,12.0,0.375,192,6,71,1,n68-1,12.0,22.7607
12.375,0.125,12.375,0.125,198,2,72,1,n69-1,12.0,22.7607
12.5,0.875,12.5,0.875,200,14,74,1,n70-1,12.0,22.7607
12.75,0.25,12.75,0.25,204,4,59,5,n89-1,12.0,22.7607
13.0,1.0,13.0,1.0,208,16,51,6,n96-1,13.0,24.47975
13.0,0.5,13.0,0.5,208,8,55,5,n90-1,13.0,24.47975
13.375,0.125,13.375,0.125,214,2,67,1,n72-1,13.0,24.47975
13.5,0.5,13.5,0.5,216,8,63,5,n91-1,13.0,24.47975
13.5,0.375,13.5,0.375,216,6,72,1,n73-1,13.0,24.47975
13.5,0.875,13.5,0.875,216,14,72,2,n82-1,13.0,24.47975
13.875,0.125,13.875,0.125,222,2,75,1,n74-1,13.0,24.47975
14.0,1.0,14.0,1.0,224,16,50,6,n97-1,14.0,26.216867
14.0,0.5,14.0,0.5,224,8,56,5,n92-1,14.0,26.216867
14.0,1.375,14.0,1.375,224,22,77,1,n75-1,14.0,26.216867
14.375,0.125,14.375,0.125,230,2,72,2,n84-1,14.0,26.216867
14.5,0.5,14.5,0.5,232,8,53,5,n93-1,14.0,26.216867
14.5,0.375,14.5,0.375,232,6,71,2,n85-1,14.0,26.216867
14.875,0.125,14.875,0.125,238,2,69,2,n86-1,14.0,26.216867
15.0,2.0,15.0,2.0,240,32,55,5,n94-1,15.0,28.0246
15.0,0.5,15.0,0.5,240,8,55,6,n98-1,15.0,28.0246
15.0,1.0,15.0,1.0,240,16,71,2,n87-1,15.0,28.0246
15.375,0.125,15.375,0.125,246,2,79,1,n77-1,15.0,28.0246
15.5,0.5,15.5,0.5,248,8,43,6,n99-1,15.0,28.0246
15.5,0.375,15.5,0.375,248,6,74,1,n78-1,15.0,28.0246
