onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.98828125,6.9140625,43,96,1,0,n0,0.988281,0.0
1.8684896,0.1328125,67,92,1,0,n1,0.988281,0.0
1.9882812,0.80078125,62,90,1,0,n2,0.988281,0.0
2.7617188,0.14973958,65,85,1,0,n3,0.988281,0.0
2.8841145,2.3932292,63,92,1,0,n4,0.988281,0.0
3.7239583,0.104166664,58,73,1,0,n5,2.884115,1.0
3.84375,0.81640625,57,67,1,0,n6,2.884115,1.0
4.6367188,0.171875,60,68,1,0,n7,2.884115,1.0
4.7447915,3.2096355,54,67,1,0,n8,2.884115,1.0
5.4440103,0.096354164,63,76,1,0,n9,4.744792,2.0
5.5507812,0.071614586,62,84,1,0,n10,4.744792,2.0
5.6145835,0.055989582,63,76,1,0,n11,4.744792,2.0
5.6822915,0.6901042,62,80,1,0,n12,4.744792,2.0
6.372396,0.20182292,60,90,1,0,n13,4.744792,2.0
6.5260415,0.6458333,69,90,1,0,n14,4.744792,2.0
7.2109375,0.087239586,60,78,1,0,n15,6.526042,3.0
7.3111978,0.067708336,58,80,1,0,n16,6.526042,3.0
7.3645835,0.067708336,60,69,1,0,n17,6.526042,3.0
7.4427085,0.71875,58,76,1,0,n18,6.526042,3.0
8.154948,0.203125,57,88,1,0,n19,6.526042,3.0
8.300781,0.9791667,58,87,1,0,n20,6.526042,3.0
8.303386,7.1393228,55,84,1,0,n21,8.302083,4.0
9.079427,0.14453125,74,91,1,0,n22,8.302083,4.0
9.199219,0.9817708,60,72,1,0,n23,8.302083,4.0
9.204427,0.7447917,69,94,1,0,n24,8.302083,4.0
9.921875,0.15364583,72,89,1,0,n25,8.302083,4.0
10.045573,2.3046875,70,93,1,0,n26,8.302083,4.0
10.050781,0.9479167,62,69,1,0,n27,10.048177,5.0
10.8359375,0.1015625,65,75,1,0,n28,10.048177,5.0
10.963542,0.7708333,64,65,1,0,n29,10.048177,5.0
11.7057295,0.15885417,67,75,1,0,n30,10.048177,5.0
11.829427,3.6536458,61,73,1,0,n31,11.829427,6.0
12.485677,0.075520836,70,77,1,0,n32,11.829427,6.0
12.578125,0.065104164,69,82,1,0,n33,11.829427,6.0
12.6380205,0.048177082,70,75,1,0,n34,11.829427,6.0
12.704427,0.72526044,69,79,1,0,n35,11.829427,6.0
13.436198,0.20442708,67,92,1,0,n36,11.829427,6.0
13.5911455,0.640625,76,92,1,0,n37,11.829427,6.0
14.243489,0.08203125,67,72,1,0,n38,13.591146,7.0
14.272136,0.029947916,65,58,1,0,n39,13.591146,7.0
14.334636,0.0703125,66,77,1,0,n40,13.591146,7.0
14.394531,0.059895832,67,70,1,0,n41,13.591146,7.0
14.475261,0.68880206,66,74,1,0,n42,13.591146,7.0
15.170573,0.18619792,64,66,1,0,n43,13.591146,7.0
15.347656,0.72526044,66,62,1,0,n44,13.591146,7.0
15.368489,1.5520834,62,66,1,0,n45,13.591146,7.0
15.397136,6.4010415,50,40,1,0,n46,15.371094,8.0
16.054688,0.13671875,67,63,1,0,n47,15.371094,8.0
16.203125,1.6484375,69,57,1,0,n48,15.371094,8.0
16.643229,0.5911458,60,58,1,0,n49,15.371094,8.0
17.088541,1.8958334,58,55,1,0,n50,15.371094,8.0
17.804688,0.1484375,62,71,1,0,n51,17.088543,9.0
17.9375,1.3489584,67,68,1,0,n52,17.088543,9.0
18.665365,0.16015625,70,74,1,0,n53,17.088543,9.0
18.804688,2.3841145,72,75,1,0,n54,17.088543,9.0
18.809896,2.6744792,57,60,1,0,n55,18.807293,10.0
19.550781,0.12109375,67,73,1,0,n56,18.807293,10.0
19.679688,0.66536456,66,67,1,0,n57,18.807293,10.0
20.345053,0.14322917,64,61,1,0,n58,18.807293,10.0
20.503906,1.5039062,66,58,1,0,n59,20.503906,11.0
21.145834,0.17057292,74,73,1,0,n60,20.503906,11.0
21.311197,0.7213542,69,71,1,0,n61,20.503906,11.0
21.320312,1.6953125,62,83,1,0,n62,20.503906,11.0
21.742188,0.48828125,51,67,1,0,n63,20.503906,11.0
22.00651,0.15494792,72,74,1,0,n64,20.503906,11.0
22.140625,0.69661456,71,76,1,0,n65,20.503906,11.0
22.152344,1.7565104,53,66,1,0,n66,22.148872,12.0
22.153646,1.9088541,67,69,1,0,n67,22.148872,12.0
22.824219,0.171875,72,80,1,0,n68,22.148872,12.0
22.972656,1.6888021,74,82,1,0,n69,22.148872,12.0
23.365885,0.4908854,59,78,1,0,n70,22.148872,12.0
23.83724,1.0533854,55,79,1,0,n71,22.148872,12.0
23.842447,1.8424479,51,60,1,0,n72,23.839844,13.0
24.606771,0.39583334,67,78,1,0,n73,23.839844,13.0
24.740885,0.87630206,63,79,1,0,n74,23.839844,13.0
24.748697,1.1809896,72,73,1,0,n75,23.839844,13.0
25.479166,0.17578125,75,87,1,0,n76,23.839844,13.0
25.617188,0.9375,56,82,1,0,n77,23.839844,13.0
25.61849,2.3229167,77,90,1,0,n78,23.839844,13.0
25.628906,1.9401041,50,58,1,0,n79,25.621529,14.0
26.332031,0.16276042,72,84,1,0,n80,25.621529,14.0
26.481771,1.0364584,53,76,1,0,n81,25.621529,14.0
26.486979,0.765625,71,81,1,0,n82,25.621529,14.0
27.221354,0.14192708,69,82,1,0,n83,25.621529,14.0
27.360678,2.1002605,71,87,1,0,n84,25.621529,14.0
27.382812,3.9153645,55,80,1,0,n85,27.371744,15.0
27.941406,0.20182292,77,4,1,0,n86,27.371744,15.0
28.106771,0.15755208,79,91,1,0,n87,27.371744,15.0
28.234375,0.99088544,43,80,1,0,n88,27.371744,15.0
28.235678,0.83463544,74,90,1,0,n89,27.371744,15.0
29.054688,0.15494792,77,98,1,0,n90,27.371744,15.0
29.186197,1.78125,75,95,1,0,n91,27.371744,15.0
29.191406,6.9596353,48,83,1,0,n92,29.188803,16.0
30.018229,0.119791664,72,91,1,0,n93,29.188803,16.0
30.154947,0.7864583,67,84,1,0,n94,29.188803,16.0
30.933594,0.119791664,70,90,1,0,n95,29.188803,16.0
31.066406,2.4283855,68,89,1,0,n96,31.066406,17.0
31.854166,0.109375,63,76,1,0,n97,31.066406,17.0
31.984375,0.828125,62,71,1,0,n98,31.066406,17.0
32.795574,0.17317708,65,75,1,0,n99,31.066406,17.0
32.927082,3.3125,59,77,1,0,n100,32.927082,18.0
33.677082,0.123697914,68,93,1,0,n101,32.927082,18.0
33.79948,0.7473958,67,89,1,0,n102,32.927082,18.0
34.541668,0.18619792,65,92,1,0,n103,32.927082,18.0
34.677082,2.6197917,74,92,1,0,n104,34.677082,19.0
35.421875,0.13802083,65,80,1,0,n105,34.677082,19.0
35.553387,0.85026044,63,77,1,0,n106,34.677082,19.0
36.39323,0.15885417,62,88,1,0,n107,34.677082,19.0
36.535156,2.4765625,60,74,1,0,n108,34.677082,19.0
36.536457,0.9192708,63,83,1,0,n109,36.53581,20.0
37.28125,0.15104167,79,88,1,0,n110,36.53581,20.0
37.39974,0.89192706,65,75,1,0,n111,36.53581,20.0
37.40625,0.88411456,71,80,1,0,n112,36.53581,20.0
37.40625,0.73567706,74,89,1,0,n113,36.53581,20.0
38.135418,0.1796875,77,91,1,0,n114,36.53581,20.0
38.272137,2.9140625,72,83,1,0,n115,36.53581,20.0
38.272137,1.6627604,75,90,1,0,n116,36.53581,20.0
38.283855,0.7786458,67,80,1,0,n117,38.27604,21.0
38.334637,0.045572918,74,29,1,0,n118,38.27604,21.0
39.023438,0.1796875,58,73,1,0,n119,38.27604,21.0
39.160156,0.9010417,57,74,1,0,n120,38.27604,21.0
39.16797,0.5260417,66,79,1,0,n121,38.27604,21.0
39.859375,0.059895832,67,75,1,0,n122,38.27604,21.0
39.877605,0.23567708,60,59,1,0,n123,38.27604,21.0
39.934895,0.375,75,6,1,0,n124,38.27604,21.0
40.002605,1.0117188,69,87,1,0,n125,38.27604,21.0
40.007812,3.4882812,54,64,1,0,n126,40.005207,22.0
40.716145,0.19140625,75,88,1,0,n127,40.005207,22.0
40.848957,0.73046875,74,87,1,0,n128,40.005207,22.0
