xml_id	midi_id	track	channel	pitch	onset
n20-1	n0	1	0	43	1.0494791666666665
n17-1	n6	1	0	57	3.688802083333334
n16-1	n5	1	0	58	3.552083333333334
n18-1	n7	1	0	60	4.41015625
n3-1	n2	1	0	62	1.9882812499999998
n5-1	n4	1	0	63	2.834635416666667
n4-1	n3	1	0	65	2.6888020833333335
n2-1	n1	1	0	67	1.8593749999999998
n19-1	n8	1	0	54	4.536458333333333
n9-1	n13	1	0	60	6.1080729166666625
n8-1	n12	1	0	62	5.39192708333333
n7-1	n9	1	0	63	5.18098958333333
n13-1	n19	1	0	57	7.938802083333327
n12-1	n18	1	0	58	7.188802083333328
insertion	n16	1	0	58	7.049479166666661
n11-1	n15	1	0	60	6.908854166666661
n10-1	n14	1	0	69	6.2486979166666625
n41-1	n20	1	0	55	8.052083333333327
n34-1	n21	1	0	58	8.05729166666666
n35-1	n24	1	0	60	8.96354166666666
n23-1	n23	1	0	69	8.946614583333327
n24-1	n25	1	0	72	9.639322916666663
n22-1	n22	1	0	74	8.817708333333327
n36-1	n27	1	0	62	9.807291666666663
n38-1	n29	1	0	64	10.660156249999996
n37-1	n28	1	0	65	10.523437499999996
n39-1	n30	1	0	67	11.374999999999996
n25-1	n26	1	0	70	9.787760416666663
n40-1	n31	1	0	61	11.492187499999996
n29-1	n36	1	0	67	13.10026041666667
n28-1	n35	1	0	69	12.378906250000002
insertion	n33	1	0	69	12.247395833333334
n27-1	n32	1	0	70	12.165364583333334
n33-1	n42	1	0	64	14.958333333333341
n32-1	n41	1	0	66	14.194010416666671
insertion	n39	1	0	66	14.058593750000004
n31-1	n38	1	0	67	13.923177083333337
n30-1	n37	1	0	76	13.242187500000002
n65-1	n44	1	0	50	15.105468750000009
n61-1	n48	1	0	60	16.700520833333343
n60-1	n45	1	0	62	15.106770833333343
n42-1	n43	1	0	66	15.100260416666675
n43-1	n40	1	0	67	14.126302083333337
n54-1	n46	1	0	67	15.858072916666677
n47-1	n51	1	0	67	17.701822916666675
n44-1	n47	1	0	69	15.998697916666677
n62-1	n49	1	0	58	16.83984375000001
n46-1	n50	1	0	62	17.572916666666675
n48-1	n52	1	0	70	18.414062500000004
n63-1	n54	1	0	57	18.574218749999996
n58-1	n57	1	0	64	20.13932291666666
n57-1	n56	1	0	66	19.416666666666664
n56-1	n55	1	0	67	19.27734375
n49-1	n53	1	0	72	18.557291666666664
n67-1	n62	1	0	51	21.863281249999986
n64-1	n61	1	0	62	21.162760416666657
n59-1	n58	1	0	66	20.27604166666666
n52-1	n60	1	0	69	21.14453124999999
n53-1	n63	1	0	72	21.872395833333318
n51-1	n59	1	0	74	20.998697916666657
n95-1	deletion
n89-1	n69	1	0	59	23.604166666666654
n80-1	n65	1	0	67	22.026041666666654
n68-1	n64	1	0	71	22.018229166666654
n69-1	n67	1	0	72	22.740885416666654
n70-1	n68	1	0	74	22.89973958333332
n96-1	n70	1	0	51	23.75130208333332
n90-1	n71	1	0	55	23.756510416666654
n91-1	n74	1	0	63	24.661458333333314
n72-1	n72	1	0	67	24.516927083333314
n73-1	n73	1	0	72	24.648437499999982
n82-1	deletion
n74-1	n75	1	0	75	25.42447916666664
n97-1	n78	1	0	50	25.579427083333307
n93-1	n81	1	0	53	26.47265624999997
n92-1	n77	1	0	56	25.567708333333307
n86-1	n82	1	0	69	27.2356770833333
n85-1	n80	1	0	71	26.46093749999997
n84-1	n79	1	0	72	26.334635416666636
n75-1	n76	1	0	77	25.559895833333307
n99-1	n86	1	0	43	28.335937499999964
n94-1	n84	1	0	55	27.37499999999997
n98-1	n91	1	0	55	29.434895833333304
n87-1	n83	1	0	71	27.36328124999997
n78-1	n87	1	0	74	28.337239583333297
n79-1	n88	1	0	77	29.179687499999968
n77-1	n85	1	0	79	28.191406249999968
n122-1	n89	1	0	48	29.312499999999968
n105-1	n93	1	0	67	30.22135416666664
n106-1	n94	1	0	70	30.930989583333304
n104-1	n92	1	0	72	30.07421874999997
n100-1	n90	1	0	75	29.329427083333304
n119-1	n97	1	0	62	31.93359374999997
n118-1	n96	1	0	63	31.783854166666636
n120-1	n98	1	0	65	32.60156249999998
n107-1	n95	1	0	68	31.067708333333304
n121-1	n99	1	0	59	32.75781249999998
n111-1	n102	1	0	65	34.29296875000001
n110-1	n101	1	0	67	33.572916666666664
n109-1	n100	1	0	68	33.43359374999999
n115-1	n106	1	0	62	36.04687500000003
n114-1	n105	1	0	63	35.33984375000002
n113-1	n104	1	0	65	35.17317708333335
n103-1	n103	1	0	74	34.44401041666668
n112-1	deletion
n146-1	n107	1	0	60	36.18619791666669
n140-1	n108	1	0	63	36.18880208333336
n141-1	n112	1	0	65	37.09244791666669
n133-1	n111	1	0	71	37.07161458333336
n124-1	n110	1	0	74	37.06510416666669
n125-1	n113	1	0	77	37.81770833333337
n123-1	n109	1	0	79	36.92057291666669
n149-1	n118	1	0	57	38.79036458333338
n148-1	n117	1	0	58	38.64583333333338
n150-1	n120	1	0	60	39.53645833333339
n143-1	n119	1	0	66	38.815104166666714
n142-1	n116	1	0	67	37.97395833333338
n144-1	n121	1	0	67	39.53645833333339
n134-1	n114	1	0	72	37.94791666666671
n126-1	n115	1	0	75	37.95312500000004
n151-1	n122	1	0	54	39.69531250000006
n152-1	n126	1	0	57	40.57682291666673
n145-1	n123	1	0	69	39.70442708333339
n130-1	n127	1	0	72	41.28906250000008
n129-1	n125	1	0	74	40.570312500000064
n128-1	n124	1	0	75	40.4231770833334
n153-1	n130	1	0	62	42.30208333333342
n139-1	n132	1	0	69	43.03906250000009
n138-1	n131	1	0	70	42.304687500000085
n137-1	n129	1	0	72	42.140625000000085
n131-1	n128	1	0	81	41.45182291666674
n172-1	n133	1	0	55	43.19661458333342
n165-1	n137	1	0	67	44.13411458333343
n162-1	n134	1	0	70	43.20182291666676
n156-1	n136	1	0	74	44.11067708333343
n157-1	n138	1	0	77	44.8437500000001
n155-1	n135	1	0	79	43.95703125000009
n168-1	n141	1	0	62	45.850260416666785
n169-1	n143	1	0	65	46.56640625000013
n167-1	n140	1	0	67	45.694010416666785
n158-1	n139	1	0	75	44.99088541666677
n159-1	n142	1	0	79	45.86067708333345
n175-1	n148	1	0	52	47.588541666666806
n176-1	n149	1	0	55	48.31901041666681
n174-1	n147	1	0	57	47.45312500000014
n170-1	n146	1	0	64	46.73697916666679
n163-1	n145	1	0	69	46.72656250000013
n160-1	n144	1	0	73	46.720052083333464
n179-1	n154	1	0	45	49.325520833333485
n180-1	n155	1	0	48	50.062500000000156
n178-1	n153	1	0	50	49.18229166666681
n177-1	n151	1	0	53	48.473958333333485
n171-1	n152	1	0	65	48.477864583333485
n161-1	n150	1	0	74	48.47265625000015
n211-1	n156	1	0	46	50.203125000000156
n192-1	n159	1	0	62	51.76953125000016
n190-1	n157	1	0	64	50.97395833333349
n191-1	n158	1	0	65	51.105468750000156
n181-1	n164	1	0	74	52.11197916666683
n212-1	n161	1	0	47	51.98437500000016
n204-1	n165	1	0	49	52.71484375000017
n205-1	n166	1	0	50	52.864583333333506
n206-1	n168	1	0	52	53.580729166666835
n193-1	n160	1	0	68	51.96484375000016
n194-1	n167	1	0	68	53.56250000000017
n213-1	n171	1	0	45	53.74218750000017
n207-1	n170	1	0	53	53.740885416666835
n208-1	n175	1	0	55	54.59114583333351
n195-1	n169	1	0	69	53.721354166666835
n196-1	n174	1	0	70	54.58593750000018
n183-1	n172	1	0	74	54.43359375000017
n184-1	n173	1	0	76	54.58072916666684
