xml_id	midi_id	track	channel	pitch	onset
n20-1	n0	0	0	43	2.050215622916667
n17-1	n6	0	0	57	5.075859522916665
n16-1	n5	0	0	58	4.948722649999999
n18-1	n7	0	0	60	5.894236368749997
n3-1	n2	0	0	62	3.100430295833334
n5-1	n4	0	0	63	4.108978262500001
n4-1	n3	0	0	65	3.973294372916668
n2-1	n1	0	0	67	2.973293422916667
n19-1	n8	0	0	54	6.048082668749998
n9-1	n13	0	0	60	7.870733972916662
n8-1	n12	0	0	62	7.050220372916664
n7-1	n9	0	0	63	6.817314168749998
n13-1	n19	0	0	57	9.899582054166656
n12-1	n18	0	0	58	9.102572749999991
insertion	n16	0	0	58	8.939111056249992
n11-1	n15	0	0	60	8.81304256041666
n10-1	n14	0	0	69	8.026717027083329
n41-1	n21	0	0	55	10.073727518749989
n34-1	n20	0	0	58	10.021377041666655
n35-1	n24	0	0	60	11.05556605833332
n23-1	n23	0	0	69	11.016036106249986
n24-1	n25	0	0	72	11.857917247916651
n22-1	n22	0	0	74	10.875010331249987
n36-1	n27	0	0	62	12.04701999166665
n38-1	n29	0	0	64	12.975439677083312
n37-1	n28	0	0	65	12.840824164583314
n39-1	n30	0	0	67	13.773517358333308
n25-1	n26	0	0	70	12.001079777083318
n40-1	n31	0	0	61	13.919885018749973
n29-1	n36	0	0	67	15.707279879166636
n28-1	n35	0	0	69	14.882492770833306
n27-1	n32	0	0	70	14.662407091666637
n33-1	n42	0	0	64	17.740401468749987
n32-1	n41	0	0	66	16.90279383541665
insertion	n39	0	0	66	16.766041568749976
n31-1	n38	0	0	67	16.637836318749976
n30-1	n37	0	0	76	15.858989424999969
n65-1	n45	0	0	50	17.907068293749987
n61-1	n48	0	0	60	19.708352056249996
n60-1	n44	0	0	62	17.89211101458332
n42-1	n43	0	0	66	17.879290489583322
n43-1	n40	0	0	67	16.84296471874998
n54-1	n46	0	0	67	18.736128910416653
n47-1	n51	0	0	67	20.82160097708334
n44-1	n47	0	0	69	18.883564947916657
n62-1	n49	0	0	58	19.853651339583333
n46-1	n50	0	0	62	20.679506825000004
n48-1	n52	0	0	70	21.632499183333344
n63-1	n54	0	0	57	21.808781402083344
n58-1	n57	0	0	64	23.519253112500014
n57-1	n56	0	0	66	22.724380562500013
n56-1	n55	0	0	67	22.58442316458335
n49-1	n53	0	0	72	21.774593335416675
n67-1	n64	0	0	51	25.47010966666669
n64-1	n61	0	0	62	24.645322558333355
n59-1	n58	0	0	66	23.65707375625002
n52-1	n60	0	0	69	24.61220286875002
n53-1	n62	0	0	72	25.454084010416693
n51-1	n59	0	0	74	24.46904033958336
n95-1	deletion
n89-1	n70	0	0	59	27.36327385833337
n80-1	n66	0	0	67	25.61220381875002
n68-1	n65	0	0	71	25.600451670833355
n69-1	n68	0	0	72	26.424170402083362
n70-1	n69	0	0	74	26.578016702083364
