idx,matchtype,partid,ppartid
0,0,n20-1,n0
1,0,n17-1,n6
2,0,n16-1,n5
3,0,n18-1,n7
4,0,n3-1,n2
5,0,n5-1,n4
6,0,n4-1,n3
7,0,n2-1,n1
8,0,n19-1,n8
9,0,n9-1,n13
10,0,n8-1,n12
11,0,n7-1,n9
12,0,n13-1,n19
13,0,n12-1,n18
14,2,undefined,n16
15,0,n11-1,n15
16,0,n10-1,n14
17,0,n41-1,n21
18,0,n34-1,n20
19,0,n35-1,n24
20,0,n23-1,n23
21,0,n24-1,n25
22,0,n22-1,n22
23,0,n36-1,n27
24,0,n38-1,n29
25,0,n37-1,n28
26,0,n39-1,n30
27,0,n25-1,n26
28,0,n40-1,n31
29,0,n29-1,n36
30,0,n28-1,n35
31,0,n27-1,n32
32,0,n33-1,n42
33,0,n32-1,n41
34,2,undefined,n39
35,0,n31-1,n38
36,0,n30-1,n37
37,0,n65-1,n45
38,0,n61-1,n48
39,0,n60-1,n44
40,0,n42-1,n43
41,0,n43-1,n40
42,0,n54-1,n46
43,0,n47-1,n51
44,0,n44-1,n47
45,0,n62-1,n49
46,0,n46-1,n50
47,0,n48-1,n52
48,0,n63-1,n54
49,0,n58-1,n57
50,0,n57-1,n56
51,0,n56-1,n55
52,0,n49-1,n53
53,0,n67-1,n64
54,0,n64-1,n61
55,0,n59-1,n58
56,0,n52-1,n60
57,0,n53-1,n62
58,0,n51-1,n59
59,1,n95-1,undefined
60,0,n89-1,n70
61,0,n80-1,n66
62,0,n68-1,n65
63,0,n69-1,n68
64,0,n70-1,n69
65,0,n96-1,n72
66,0,n90-1,n71
67,0,n91-1,n75
68,0,n72-1,n73
69,0,n73-1,n74
70,1,n82-1,undefined
71,0,n74-1,n76
72,0,n97-1,n79
73,0,n93-1,n82
74,0,n92-1,n78
75,0,n86-1,n83
76,0,n85-1,n81
77,0,n84-1,n80
78,0,n75-1,n77
79,0,n99-1,n88
80,0,n94-1,n85
81,1,n98-1,undefined
82,0,n87-1,n84
83,0,n78-1,n87
84,0,n79-1,n89
85,0,n77-1,n86
86,0,n122-1,n91
87,0,n105-1,n93
88,0,n106-1,n94
89,0,n104-1,n92
90,0,n100-1,n90
91,0,n119-1,n97
92,0,n118-1,n96
93,0,n120-1,n98
94,0,n107-1,n95
95,0,n121-1,n99
96,0,n111-1,n104
97,0,n110-1,n103
98,0,n109-1,n100
99,0,n115-1,n108
100,0,n114-1,n107
101,0,n113-1,n106
102,0,n103-1,n105
103,1,n112-1,undefined
104,0,n146-1,n110
105,0,n140-1,n109
106,0,n141-1,n114
107,0,n133-1,n113
108,0,n124-1,n112
109,0,n125-1,n115
