onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.1036346,7.402785,43,79,0,0,n0,2.10363,0.0
2.9444473,0.10363258,67,80,0,0,n1,2.10363,0.0
3.0694473,0.87927437,62,78,0,0,n2,2.10363,0.0
3.8258584,0.12286337,65,82,0,0,n3,2.10363,0.0
3.972226,2.6816266,63,79,0,0,n4,2.10363,0.0
4.730774,0.10363258,58,75,0,0,n5,3.97223,1.0
4.8771415,0.9561975,57,70,0,0,n6,3.97223,1.0
5.6346207,0.19871813,60,73,0,0,n7,3.97223,1.0
5.797014,3.7094052,54,69,0,0,n8,5.79701,2.0
6.4583397,0.19551301,63,63,0,0,n9,5.79701,2.0
6.5373993,0.1164531,62,77,0,0,n10,5.79701,2.0
6.607912,0.055555608,63,78,0,0,n11,5.79701,2.0
6.6848354,0.9284197,62,77,0,0,n12,5.79701,2.0
7.420947,0.19230787,60,76,0,0,n13,5.79701,2.0
7.5844088,0.8899581,69,75,0,0,n14,5.79701,2.0
8.295948,0.17841898,60,65,0,0,n15,7.58441,3.0
8.410264,0.07905991,58,69,0,0,n16,7.58441,3.0
8.481846,0.111111216,60,67,0,0,n17,7.58441,3.0
8.5512905,0.9551291,58,65,0,0,n18,7.58441,3.0
9.284197,0.22222243,57,78,0,0,n19,7.58441,3.0
9.429496,1.0555565,58,77,0,0,n20,7.58441,3.0
9.4572735,7.587614,55,64,0,0,n21,9.443385,4.0
10.289539,0.19551301,74,83,0,0,n22,9.443385,4.0
10.43377,0.97222316,69,82,0,0,n23,9.443385,4.0
10.50642,0.8995735,60,43,0,0,n24,9.443385,4.0
11.2190275,0.18696599,72,81,0,0,n25,9.443385,4.0
11.36219,2.7264984,70,80,0,0,n26,9.443385,4.0
11.425224,1.8418821,62,41,0,0,n27,11.3937,5.0
12.162405,0.12286337,65,80,0,0,n28,11.3937,5.0
12.298089,0.96901804,64,76,0,0,n29,11.3937,5.0
13.049158,0.21794893,67,78,0,0,n30,11.3937,5.0
13.207277,3.8376105,61,76,0,0,n31,11.3937,5.0
13.887834,0.2008549,70,65,0,0,n32,13.2073,6.0
13.960484,0.12820525,69,75,0,0,n33,13.2073,6.0
14.033133,0.055555608,70,81,0,0,n34,13.2073,6.0
14.100441,0.98611206,69,79,0,0,n35,13.2073,6.0
14.846168,0.24038485,67,84,0,0,n36,13.2073,6.0
15.027792,0.94017184,76,80,0,0,n37,13.2073,6.0
15.743605,0.22435918,67,71,0,0,n38,15.0278,7.0
15.895314,0.07264964,66,71,0,0,n39,15.0278,7.0
15.972238,0.09722231,67,75,0,0,n40,15.0278,7.0
16.032066,1.0128214,66,75,0,0,n41,15.0278,7.0
16.80557,0.23931646,64,84,0,0,n42,15.0278,7.0
16.962624,1.0224369,66,85,0,0,n43,15.0278,7.0
16.976511,1.8739334,62,75,0,0,n44,16.976133,8.0
16.989332,6.751075,50,68,0,0,n45,16.976133,8.0
