onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,1.0,0,16,56,5,n16-1,0.0,1.070573
0.0,1.0,0.0,1.0,0,16,59,5,n17-1,0.0,1.070573
0.0,1.0,0.0,1.0,0,16,63,5,n18-1,0.0,1.070573
0.0,0.25,0.0,0.25,0,4,68,1,n1-1,0.0,1.070573
0.25,0.25,0.25,0.25,4,4,70,1,n2-1,0.0,1.070573
0.5,0.25,0.5,0.25,8,4,71,1,n3-1,0.0,1.070573
0.75,0.25,0.75,0.25,12,4,73,1,n4-1,0.0,1.070573
1.0,0.25,1.0,0.25,16,4,75,1,n5-1,1.0,1.576042
1.25,0.25,1.25,0.25,20,4,71,1,n6-1,1.0,1.576042
1.5,0.25,1.5,0.25,24,4,70,1,n7-1,1.0,1.576042
1.75,0.25,1.75,0.25,28,4,68,1,n8-1,1.0,1.576042
2.0,1.0,2.0,1.0,32,16,56,5,n20-1,2.0,2.098959
2.0,1.0,2.0,1.0,32,16,58,5,n21-1,2.0,2.098959
2.0,1.0,2.0,1.0,32,16,61,5,n22-1,2.0,2.098959
2.0,0.25,2.0,0.25,32,4,67,1,n9-1,2.0,2.098959
2.25,0.25,2.25,0.25,36,4,68,1,n10-1,2.0,2.098959
2.5,0.25,2.5,0.25,40,4,70,1,n11-1,2.0,2.098959
2.75,0.25,2.75,0.25,44,4,64,1,n12-1,2.0,2.098959
3.0,0.25,3.0,0.25,48,4,63,1,n13-1,3.0,2.613542
3.25,0.25,3.25,0.25,52,4,61,5,n24-1,3.0,2.613542
3.5,0.25,3.5,0.25,56,4,59,5,n25-1,3.0,2.613542
3.75,0.25,3.75,0.25,60,4,58,5,n26-1,3.0,2.613542
4.0,0.25,4.0,0.25,64,4,56,5,n41-1,4.0,3.102083
4.25,0.25,4.25,0.25,68,4,63,5,n42-1,4.0,3.102083
4.5,0.25,4.5,0.25,72,4,56,5,n43-1,4.0,3.102083
4.5,0.5,4.5,0.5,72,8,68,1,n28-1,4.0,3.102083
4.5,0.5,4.5,0.5,72,8,71,1,n29-1,4.0,3.102083
4.75,0.25,4.75,0.25,76,4,63,5,n44-1,4.0,3.102083
5.0,0.25,5.0,0.25,80,4,55,5,n45-1,5.0,3.605903
5.0,0.0,5.0,0.0,80,0,68,1,n30-1,5.0,3.605903
5.0,1.0,5.0,1.0,80,16,70,1,n32-1,5.0,3.605903
5.0,0.0,5.0,0.0,80,0,71,1,n31-1,5.0,3.605903
5.0,1.0,5.0,1.0,80,16,73,1,n33-1,5.0,3.605903
5.25,0.25,5.25,0.25,84,4,63,5,n46-1,5.0,3.605903
5.5,0.25,5.5,0.25,88,4,55,5,n47-1,5.0,3.605903
5.75,0.25,5.75,0.25,92,4,63,5,n48-1,5.0,3.605903
6.0,0.25,6.0,0.25,96,4,56,5,n49-1,6.0,4.121875
6.25,0.25,6.25,0.25,100,4,63,5,n50-1,6.0,4.121875
6.5,0.25,6.5,0.25,104,4,56,5,n51-1,6.0,4.121875
6.5,0.5,6.5,0.5,104,8,68,1,n35-1,6.0,4.121875
6.5,0.5,6.5,0.5,104,8,71,1,n36-1,6.0,4.121875
6.75,0.25,6.75,0.25,108,4,63,5,n52-1,6.0,4.121875
7.0,0.25,7.0,0.25,112,4,51,5,n53-1,7.0,4.652778
7.0,1.0,7.0,1.0,112,16,67,1,n39-1,7.0,4.652778
7.0,0.0,7.0,0.0,112,0,68,1,n37-1,7.0,4.652778
7.0,1.0,7.0,1.0,112,16,70,1,n40-1,7.0,4.652778
7.0,0.0,7.0,0.0,112,0,71,1,n38-1,7.0,4.652778
7.25,0.25,7.25,0.25,116,4,63,5,n54-1,7.0,4.652778
7.5,0.25,7.5,0.25,120,4,51,5,n55-1,7.0,4.652778
7.75,0.25,7.75,0.25,124,4,63,5,n56-1,7.0,4.652778
8.0,1.0,8.0,1.0,128,16,56,5,n72-1,8.0,5.226042
8.0,1.0,8.0,1.0,128,16,59,5,n73-1,8.0,5.226042
