xml_id	midi_id	track	channel	pitch	onset
n16-1	n6	1	0	49	1.8291666666666666
n15-1	n4	1	0	52	1.5791666666666666
n14-1	n1	1	0	57	1.0666666666666667
n1-1	n0	1	0	64	1.0552083333333333
n3-1	n3	1	0	68	1.5552083333333333
n2-1	n2	1	0	69	1.2958333333333334
n4-1	n5	1	0	69	1.8041666666666667
n18-1	n11	1	0	45	2.575
n17-1	n9	1	0	52	2.3270833333333334
n8-1	n12	1	0	57	2.575
n6-1	n8	1	0	71	2.308333333333333
n5-1	n7	1	0	73	2.0729166666666665
n7-1	n10	1	0	73	2.56875
n19-1	n14	1	0	47	3.0427083333333336
n20-1	n17	1	0	49	3.328125
n10-1	n15	1	0	62	3.059375
n9-1	n13	1	0	64	2.803125
n11-1	n16	1	0	64	3.3125
n21-1	n20	1	0	45	3.7864583333333335
n36-1	n22	1	0	52	4.014583333333333
n13-1	n19	1	0	66	3.7729166666666667
n12-1	n18	1	0	68	3.5479166666666666
n29-1	n21	1	0	68	4.005208333333333
n37-1	n24	1	0	40	4.484374999999998
n38-1	n27	1	0	40	4.761458333333332
n24-1	n25	1	0	69	4.484374999999998
n23-1	n23	1	0	71	4.251041666666667
n25-1	n26	1	0	71	4.745833333333332
n39-1	n30	1	0	52	5.235416666666664
n40-1	n32	1	0	52	5.495833333333328
n27-1	n29	1	0	73	5.229166666666664
n26-1	n28	1	0	74	4.984374999999998
n28-1	n31	1	0	74	5.488541666666662
n42-1	n37	1	0	49	6.263541666666656
n41-1	n35	1	0	50	5.982291666666657
n32-1	n34	1	0	64	5.978124999999991
n31-1	n33	1	0	66	5.736458333333325
n33-1	n36	1	0	66	6.22499999999999
n57-1	n42	1	0	45	6.960416666666656
n43-1	n39	1	0	47	6.704166666666656
n35-1	n40	1	0	68	6.708333333333322
n34-1	n38	1	0	69	6.458333333333322
n56-1	n41	1	0	69	6.94687499999999
n59-1	n46	1	0	56	7.447916666666655
n58-1	n43	1	0	57	7.193749999999989
n60-1	n48	1	0	57	7.70520833333332
n46-1	n45	1	0	71	7.436458333333322
n45-1	n44	1	0	73	7.198958333333322
n47-1	n47	1	0	73	7.694791666666654
n62-1	n52	1	0	59	8.21458333333332
n61-1	n49	1	0	61	7.9562499999999865
n63-1	n54	1	0	61	8.447916666666654
n49-1	n51	1	0	74	8.196874999999986
n48-1	n50	1	0	76	7.95833333333332
n50-1	n53	1	0	76	8.44270833333332
n65-1	n58	1	0	57	8.954166666666653
n64-1	n56	1	0	59	8.703124999999986
n66-1	n60	1	0	59	9.20833333333332
n52-1	n57	1	0	73	8.932291666666654
n51-1	n55	1	0	74	8.695833333333319
n53-1	n59	1	0	74	9.187499999999986
n68-1	n64	1	0	61	9.693749999999989
n67-1	n62	1	0	62	9.466666666666654
n86-1	n65	1	0	62	9.947916666666655
n55-1	n63	1	0	76	9.676041666666656
n54-1	n61	1	0	78	9.438541666666653
n69-1	n66	1	0	78	9.947916666666655
n88-1	n71	1	0	59	10.703124999999993
n87-1	n69	1	0	61	10.447916666666657
n79-1	n67	1	0	71	10.184374999999989
n80-1	n68	1	0	73	10.42499999999999
