onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,2.0,0.0,1.0,0,4,57,5,n14-1,0.0,1.060938
0.0,1.0,0.0,0.5,0,2,64,1,n1-1,0.0,1.060938
1.0,1.0,0.5,0.5,2,2,69,1,n2-1,0.0,1.060938
2.0,1.0,1.0,0.5,4,2,52,5,n15-1,0.0,1.060938
2.0,1.0,1.0,0.5,4,2,68,1,n3-1,0.0,1.060938
3.0,2.0,1.5,1.0,6,4,49,5,n16-1,3.0,1.816667
3.0,1.0,1.5,0.5,6,2,69,1,n4-1,3.0,1.816667
4.0,1.0,2.0,0.5,8,2,73,1,n5-1,3.0,1.816667
5.0,1.0,2.5,0.5,10,2,52,5,n17-1,3.0,1.816667
5.0,1.0,2.5,0.5,10,2,71,1,n6-1,3.0,1.816667
6.0,2.0,3.0,1.0,12,4,45,5,n18-1,6.0,2.572917
6.0,1.0,3.0,0.5,12,2,57,2,n8-1,6.0,2.572917
6.0,7.0,3.0,3.5,12,14,73,1,n7-1,6.0,2.572917
7.0,1.0,3.5,0.5,14,2,64,2,n9-1,6.0,2.572917
8.0,1.0,4.0,0.5,16,2,47,5,n19-1,6.0,2.572917
8.0,1.0,4.0,0.5,16,2,62,2,n10-1,6.0,2.572917
9.0,2.0,4.5,1.0,18,4,49,5,n20-1,9.0,3.320313
9.0,1.0,4.5,0.5,18,2,64,2,n11-1,9.0,3.320313
10.0,1.0,5.0,0.5,20,2,68,2,n12-1,9.0,3.320313
11.0,1.0,5.5,0.5,22,2,45,5,n21-1,9.0,3.320313
11.0,1.0,5.5,0.5,22,2,66,2,n13-1,9.0,3.320313
12.0,2.0,6.0,1.0,24,4,52,5,n36-1,12.0,4.009896
12.0,7.0,6.0,3.5,24,14,68,2,n29-1,12.0,4.009896
13.0,1.0,6.5,0.5,26,2,71,1,n23-1,12.0,4.009896
14.0,1.0,7.0,0.5,28,2,40,5,n37-1,12.0,4.009896
14.0,1.0,7.0,0.5,28,2,69,1,n24-1,12.0,4.009896
15.0,2.0,7.5,1.0,30,4,40,5,n38-1,15.0,4.753646
15.0,1.0,7.5,0.5,30,2,71,1,n25-1,15.0,4.753646
16.0,1.0,8.0,0.5,32,2,74,1,n26-1,15.0,4.753646
17.0,1.0,8.5,0.5,34,2,52,5,n39-1,15.0,4.753646
17.0,1.0,8.5,0.5,34,2,73,1,n27-1,15.0,4.753646
18.0,2.0,9.0,1.0,36,4,52,5,n40-1,18.0,5.492188
18.0,7.0,9.0,3.5,36,14,74,1,n28-1,18.0,5.492188
19.0,1.0,9.5,0.5,38,2,66,2,n31-1,18.0,5.492188
20.0,1.0,10.0,0.5,40,2,50,5,n41-1,18.0,5.492188
20.0,1.0,10.0,0.5,40,2,64,2,n32-1,18.0,5.492188
21.0,2.0,10.5,1.0,42,4,49,5,n42-1,21.0,6.244271
21.0,1.0,10.5,0.5,42,2,66,2,n33-1,21.0,6.244271
22.0,1.0,11.0,0.5,44,2,69,2,n34-1,21.0,6.244271
