xml_id	midi_id	track	channel	pitch	onset
n18-1	n0	1	0	45	1.0208333333333333
n21-1	n10	1	0	55	2.596875
n20-1	n7	1	0	56	2.0614583333333334
n19-1	n5	1	0	57	1.5499999999999998
n10-1	n12	1	0	70	2.8666666666666663
n7-1	n8	1	0	71	2.066666666666667
n2-1	n1	1	0	72	1.171875
n6-1	n6	1	0	72	1.8166666666666667
n3-1	n2	1	0	74	1.2947916666666666
n8-1	n9	1	0	75	2.339583333333333
n4-1	n3	1	0	76	1.3906249999999998
n9-1	n11	1	0	76	2.5999999999999996
n5-1	n4	1	0	77	1.5437499999999997
n23-1	n16	1	0	53	3.6520833333333336
n22-1	n13	1	0	54	3.098958333333333
n14-1	n18	1	0	68	3.95625
n11-1	n14	1	0	69	3.1291666666666664
n12-1	n15	1	0	73	3.4010416666666665
n13-1	n17	1	0	74	3.66875
n25-1	n21	1	0	50	4.705208333333333
n24-1	n19	1	0	52	4.194791666666666
n16-1	n20	1	0	69	4.453125
n17-1	n22	1	0	71	4.959375
n35-1	n24	1	0	48	5.367708333333333
n39-1	n29	1	0	48	5.992708333333331
n36-1	n25	1	0	50	5.484374999999999
n37-1	n26	1	0	52	5.581249999999999
n38-1	n27	1	0	53	5.718749999999999
n26-1	n23	1	0	64	5.231249999999999
n27-1	n28	1	0	69	5.731249999999998
n43-1	n35	1	0	46	7.020833333333332
n40-1	n30	1	0	47	6.233333333333331
n41-1	n32	1	0	51	6.495833333333332
n42-1	n33	1	0	52	6.745833333333332
n29-1	n34	1	0	67	6.752083333333331
n28-1	n31	1	0	68	6.2468749999999975
n47-1	n41	1	0	44	8.064583333333333
n44-1	n36	1	0	45	7.268749999999999
n45-1	n38	1	0	49	7.538541666666665
n46-1	n39	1	0	50	7.797916666666666
n31-1	n40	1	0	65	7.810416666666666
n30-1	n37	1	0	66	7.271874999999999
n49-1	n43	1	0	45	8.591666666666669
n50-1	n45	1	0	47	9.136458333333335
n33-1	n44	1	0	62	8.870833333333335
n32-1	n42	1	0	64	8.336458333333335
n69-1	n46	1	0	40	9.421875000000002
n70-1	n50	1	0	45	9.954166666666667
n53-1	n48	1	0	59	9.811458333333334
n52-1	n47	1	0	60	9.709375000000001
n54-1	n49	1	0	60	9.950000000000001
n55-1	n51	1	0	69	10.246875000000001
n71-1	n52	1	0	47	10.491666666666667
n72-1	n54	1	0	49	11.017708333333335
n59-1	n56	1	0	67	11.335416666666667
n57-1	n53	1	0	68	10.753125
n58-1	n55	1	0	76	11.031250000000002
n74-1	n60	1	0	47	12.019791666666668
n73-1	n57	1	0	50	11.55625
n63-1	n61	1	0	63	12.042708333333335
n62-1	n59	1	0	64	11.918750000000001
n61-1	n58	1	0	65	11.811458333333334
n64-1	n62	1	0	71	12.284375000000002
n75-1	n63	1	0	49	12.509375000000002
n76-1	n65	1	0	51	13.04791666666667
n68-1	n67	1	0	69	13.358333333333336
n66-1	n64	1	0	70	12.786458333333336
n67-1	n66	1	0	78	13.069791666666669
n94-1	n68	1	0	52	13.586458333333336
n95-1	n72	1	0	64	14.094791666666667
n78-1	n69	1	0	67	13.752083333333337
n82-1	n74	1	0	67	14.386458333333334
n79-1	n70	1	0	69	13.87604166666667
n80-1	n71	1	0	71	13.960416666666669
n81-1	n73	1	0	72	14.119791666666668
n97-1	n78	1	0	62	15.170833333333333
n96-1	n75	1	0	63	14.637500000000001
n86-1	n80	1	0	65	15.421874999999998
n83-1	n76	1	0	66	14.646875000000001
n84-1	n77	1	0	70	14.911458333333334
n85-1	n79	1	0	71	15.176041666666666
n99-1	n85	1	0	60	16.226041666666664
n98-1	n81	1	0	61	15.688541666666666
n90-1	n86	1	0	63	16.535416666666666
n87-1	n82	1	0	64	15.692708333333332
n88-1	n83	1	0	68	15.958333333333332
n89-1	n84	1	0	69	16.221874999999997
n101-1	n89	1	0	57	17.290625
n100-1	n87	1	0	59	16.772916666666664
n92-1	n88	1	0	64	17.057291666666664
n93-1	n90	1	0	66	17.568749999999998
n111-1	n92	1	0	55	17.947916666666664
n115-1	n97	1	0	55	18.584374999999994
n112-1	n93	1	0	57	18.053124999999998
n102-1	n91	1	0	59	17.81458333333333
n113-1	n94	1	0	59	18.140624999999996
n114-1	n95	1	0	60	18.31041666666666
n103-1	n96	1	0	76	18.31979166666666
n119-1	n103	1	0	53	19.59583333333333
n116-1	n98	1	0	54	18.813541666666662
n117-1	n100	1	0	58	19.084374999999998
n118-1	n101	1	0	59	19.326041666666665
n105-1	n102	1	0	74	19.338541666666664
n104-1	n99	1	0	75	18.83333333333333
n123-1	n109	1	0	51	20.64270833333333
n120-1	n104	1	0	52	19.853125
n121-1	n106	1	0	56	20.122916666666665
n122-1	n107	1	0	57	20.357291666666665
n107-1	n108	1	0	72	20.379166666666666
n106-1	n105	1	0	73	19.857291666666665
n125-1	n111	1	0	52	21.194791666666664
n126-1	n113	1	0	54	21.701041666666665
n109-1	n112	1	0	69	21.429166666666664
n108-1	n110	1	0	71	20.915625
n143-1	n114	1	0	47	21.99375
n144-1	n117	1	0	52	22.49583333333333
n129-1	n116	1	0	66	22.39270833333333
n128-1	n115	1	0	67	22.27708333333333
n130-1	n118	1	0	67	22.540625
n131-1	n119	1	0	76	22.808333333333334
n145-1	n120	1	0	54	23.03125
n146-1	n122	1	0	56	23.565625
n135-1	n124	1	0	74	23.869791666666664
n133-1	n121	1	0	75	23.301041666666666
n134-1	n123	1	0	83	23.579166666666666
n148-1	n126	1	0	45	24.37291666666666
n147-1	n125	1	0	57	24.118749999999995
n149-1	n129	1	0	57	24.64479166666666
n140-1	n131	1	0	69	24.935416666666658
n138-1	n128	1	0	71	24.512499999999992
n137-1	n127	1	0	72	24.38854166666666
n139-1	n130	1	0	72	24.664583333333326
n153-1	n136	1	0	55	25.96874999999999
n151-1	n133	1	0	56	25.467708333333324
n152-1	n135	1	0	64	25.72499999999999
n141-1	n132	1	0	71	25.19374999999999
n142-1	n134	1	0	73	25.70416666666666
n172-1	n143	1	0	50	26.999999999999986
n170-1	n140	1	0	52	26.62187499999999
n169-1	n138	1	0	54	26.480208333333323
n171-1	n142	1	0	54	26.76770833333332
n155-1	n139	1	0	62	26.491666666666656
n154-1	n137	1	0	74	26.235416666666655
n156-1	n141	1	0	74	26.74687499999999
n173-1	n144	1	0	52	27.27708333333332
n174-1	n146	1	0	54	27.791666666666654
n160-1	n148	1	0	72	28.10624999999999
n158-1	n145	1	0	73	27.540624999999988
n159-1	n147	1	0	81	27.81770833333332
n176-1	n150	1	0	43	28.587499999999988
n175-1	n149	1	0	55	28.336458333333322
n177-1	n153	1	0	55	28.84062499999999
n165-1	n155	1	0	67	29.135416666666654
n163-1	n152	1	0	69	28.72395833333332
n162-1	n151	1	0	71	28.607291666666654
n164-1	n154	1	0	71	28.876041666666655
n181-1	n160	1	0	53	30.140624999999986
n179-1	n157	1	0	54	29.641666666666655
n180-1	n159	1	0	62	29.897916666666653
n166-1	n156	1	0	69	29.382291666666653
n167-1	n158	1	0	71	29.89270833333332
n191-1	n162	1	0	52	30.545833333333317
n195-1	n167	1	0	52	31.218749999999986
n192-1	n163	1	0	53	30.661458333333318
n193-1	n164	1	0	55	30.770833333333318
n194-1	n165	1	0	57	30.928124999999984
n182-1	n161	1	0	72	30.410416666666652
