xml_id	midi_id	track	channel	pitch	onset
n18-1	n0	1	0	45	0.5572916666666667
n21-1	n11	1	0	55	2.30078125
n20-1	n7	1	0	56	1.7473958333333328
n19-1	n5	1	0	57	1.1614583333333333
n10-1	n12	1	0	70	2.5716145833333335
n7-1	n8	1	0	71	1.7499999999999996
n2-1	n1	1	0	72	0.6966145833333334
n6-1	n6	1	0	72	1.4479166666666663
n3-1	n2	1	0	74	0.8645833333333334
n8-1	n9	1	0	75	2.0143229166666665
n4-1	n3	1	0	76	0.9908854166666667
n9-1	n10	1	0	76	2.28125
n5-1	n4	1	0	77	1.1432291666666665
n23-1	n16	1	0	53	3.3958333333333335
n22-1	n14	1	0	54	2.8567708333333335
n14-1	n18	1	0	68	3.690104166666667
n11-1	n13	1	0	69	2.8450520833333335
n12-1	n15	1	0	73	3.11328125
n13-1	n17	1	0	74	3.397135416666667
n25-1	n21	1	0	50	4.50390625
n24-1	n19	1	0	52	3.947916666666667
n16-1	n20	1	0	69	4.225260416666667
n17-1	n22	1	0	71	4.774739583333333
n35-1	n24	1	0	48	5.1796875
n39-1	n29	1	0	48	5.891927083333333
n36-1	n25	1	0	50	5.31640625
n37-1	n26	1	0	52	5.450520833333333
n38-1	n28	1	0	53	5.609375
n26-1	n23	1	0	64	5.037760416666666
n27-1	n27	1	0	69	5.583333333333333
n43-1	n35	1	0	46	6.967447916666668
n40-1	n30	1	0	47	6.147135416666667
n41-1	n32	1	0	51	6.44140625
n42-1	n33	1	0	52	6.709635416666667
n29-1	n34	1	0	67	6.723958333333334
n28-1	n31	1	0	68	6.16796875
n47-1	n41	1	0	44	8.079427083333336
n44-1	n36	1	0	45	7.243489583333335
n45-1	n38	1	0	49	7.544270833333335
n46-1	n39	1	0	50	7.809895833333336
n31-1	n40	1	0	65	7.816406250000003
n30-1	n37	1	0	66	7.256510416666668
n49-1	n43	1	0	45	8.652343750000002
n50-1	n45	1	0	47	9.178385416666668
n33-1	n44	1	0	62	8.929687500000002
n32-1	n42	1	0	64	8.360677083333336
n69-1	n46	1	0	40	9.485677083333336
n70-1	n49	1	0	45	10.046875000000002
n53-1	n48	1	0	59	9.908854166666668
n52-1	n47	1	0	60	9.791666666666668
n54-1	n50	1	0	60	10.049479166666668
n55-1	n51	1	0	69	10.332031250000002
n71-1	n52	1	0	47	10.605468750000002
n72-1	n55	1	0	49	11.167968750000004
n59-1	n56	1	0	67	11.444010416666671
n57-1	n53	1	0	68	10.876302083333336
n58-1	n54	1	0	76	11.14713541666667
n74-1	n61	1	0	47	12.25130208333334
n73-1	n57	1	0	50	11.707031250000005
n63-1	n60	1	0	63	12.22786458333334
n62-1	n59	1	0	64	12.097656250000005
n61-1	n58	1	0	65	11.97786458333334
n64-1	n62	1	0	71	12.526041666666673
n75-1	n63	1	0	49	12.803385416666673
n76-1	n66	1	0	51	13.380208333333341
n68-1	n67	1	0	69	13.653645833333341
n66-1	n64	1	0	70	13.08333333333334
n67-1	n65	1	0	78	13.355468750000007
n94-1	n68	1	0	52	13.917968750000007
n95-1	n73	1	0	64	14.51302083333334
n78-1	n69	1	0	67	14.069010416666675
n82-1	n74	1	0	67	14.832031250000007
n79-1	n70	1	0	69	14.208333333333341
n80-1	n71	1	0	71	14.320312500000007
n81-1	n72	1	0	72	14.50130208333334
n97-1	n78	1	0	62	15.64973958333334
n96-1	n75	1	0	63	15.100260416666673
n86-1	n80	1	0	65	15.924479166666673
n83-1	n76	1	0	66	15.10677083333334
n84-1	n77	1	0	70	15.371093750000005
n85-1	n79	1	0	71	15.66145833333334
n99-1	n84	1	0	60	16.740885416666675
n98-1	n81	1	0	61	16.21223958333334
n90-1	n86	1	0	63	17.022135416666675
n87-1	n82	1	0	64	16.21614583333334
n88-1	n83	1	0	68	16.47005208333334
n89-1	n85	1	0	69	16.743489583333343
n101-1	n89	1	0	57	17.832031250000007
n100-1	n87	1	0	59	17.295572916666675
n92-1	n88	1	0	64	17.576822916666675
n93-1	n90	1	0	66	18.100260416666675
n111-1	n92	1	0	55	18.50260416666668
n115-1	n97	1	0	55	19.184895833333346
n112-1	n93	1	0	57	18.630208333333346
n102-1	n91	1	0	59	18.352864583333343
n113-1	n94	1	0	59	18.755208333333346
n114-1	n96	1	0	60	18.91276041666668
n103-1	n95	1	0	76	18.88932291666668
n119-1	n103	1	0	53	20.292968750000014
n116-1	n99	1	0	54	19.46744791666668
n117-1	n100	1	0	58	19.74869791666668
n118-1	n101	1	0	59	20.020833333333346
n105-1	n102	1	0	74	20.028645833333346
n104-1	n98	1	0	75	19.466145833333346
n123-1	n109	1	0	51	21.41015625000001
n120-1	n104	1	0	52	20.583333333333346
n121-1	n106	1	0	56	20.872395833333346
n122-1	n108	1	0	57	21.13932291666668
n107-1	n107	1	0	72	21.126302083333346
n106-1	n105	1	0	73	20.602864583333346
n125-1	n111	1	0	52	21.971354166666675
n126-1	n113	1	0	54	22.540364583333336
n109-1	n112	1	0	69	22.23567708333334
n108-1	n110	1	0	71	21.701822916666675
n143-1	n114	1	0	47	22.834635416666668
n144-1	n118	1	0	52	23.367187500000004
n129-1	n116	1	0	66	23.23046875
n128-1	n115	1	0	67	23.11328125
n130-1	n117	1	0	67	23.364583333333336
n131-1	n119	1	0	76	23.640625000000004
n145-1	n120	1	0	54	23.949218750000004
n146-1	n122	1	0	56	24.475260416666668
n135-1	n124	1	0	74	24.755208333333332
n133-1	n121	1	0	75	24.192708333333336
n134-1	n123	1	0	83	24.475260416666668
n148-1	n127	1	0	45	25.283854166666664
n147-1	n125	1	0	57	25.013020833333332
n149-1	n130	1	0	57	25.5703125
n140-1	n131	1	0	69	25.834635416666668
n138-1	n128	1	0	71	25.412760416666664
n137-1	n126	1	0	72	25.279947916666664
n139-1	n129	1	0	72	25.563802083333332
n153-1	n136	1	0	55	26.936197916666668
n151-1	n133	1	0	56	26.36328125
n152-1	n135	1	0	64	26.673177083333336
n141-1	n132	1	0	71	26.10546875
n142-1	n134	1	0	73	26.66015625
n172-1	n143	1	0	50	28.03125
n170-1	n140	1	0	52	27.606770833333332
n169-1	n138	1	0	54	27.486979166666664
n171-1	n142	1	0	54	27.764322916666664
n155-1	n139	1	0	62	27.489583333333332
n154-1	n137	1	0	74	27.19140625
n156-1	n141	1	0	74	27.747395833333332
n173-1	n144	1	0	52	28.302083333333332
n174-1	n146	1	0	54	28.842447916666668
n160-1	n148	1	0	72	29.135416666666668
n158-1	n145	1	0	73	28.583333333333332
n159-1	n147	1	0	81	28.865885416666668
n176-1	n150	1	0	43	29.680989583333336
n175-1	n149	1	0	55	29.411458333333336
n177-1	n153	1	0	55	29.960937500000004
n165-1	n155	1	0	67	30.239583333333336
n163-1	n152	1	0	69	29.813802083333336
n162-1	n151	1	0	71	29.682291666666668
n164-1	n154	1	0	71	29.962239583333336
n181-1	n160	1	0	53	31.363281249999996
n179-1	n157	1	0	54	30.802083333333332
n180-1	n159	1	0	62	31.108072916666664
n166-1	n156	1	0	69	30.529947916666668
n167-1	n158	1	0	71	31.091145833333332
n191-1	n162	1	0	52	31.82942708333333
n195-1	n167	1	0	52	32.53645833333332
n192-1	n163	1	0	53	31.97135416666666
n193-1	n164	1	0	55	32.09374999999999
n194-1	n166	1	0	57	32.257812499999986
n182-1	n161	1	0	72	31.683593749999996
n183-1	n165	1	0	84	32.24739583333332
n199-1	n173	1	0	50	33.652343749999986
n196-1	n169	1	0	51	32.81510416666666
n197-1	n170	1	0	54	33.10416666666665
n198-1	n171	1	0	55	33.372395833333314
n185-1	n172	1	0	82	33.38151041666665
n184-1	n168	1	0	83	32.81380208333332
n203-1	n179	1	0	48	34.78124999999998
n200-1	n174	1	0	49	33.941406249999986
n201-1	n176	1	0	52	34.23697916666665
n202-1	n178	1	0	53	34.51953124999998
n187-1	n177	1	0	80	34.51171874999998
n186-1	n175	1	0	81	33.946614583333314
n205-1	n181	1	0	47	35.316406249999986
n206-1	n183	1	0	48	35.87239583333332
n207-1	n184	1	0	50	36.00520833333332
