xml_id	midi_id	track	channel	pitch	onset
n18-1	n0	1	0	45	0.875
n21-1	n11	1	0	55	2.45625
n20-1	n8	1	0	56	1.9406249999999998
n19-1	n4	1	0	57	1.4
n10-1	n12	1	0	70	2.697916666666667
n7-1	n7	1	0	71	1.9177083333333333
n2-1	n1	1	0	72	1.0260416666666667
n6-1	n6	1	0	72	1.6635416666666667
n3-1	n2	1	0	74	1.1604166666666667
n8-1	n9	1	0	75	2.1729166666666666
n4-1	n3	1	0	76	1.259375
n9-1	n10	1	0	76	2.4499999999999997
n5-1	n5	1	0	77	1.415625
n23-1	n17	1	0	53	3.5020833333333337
n22-1	n13	1	0	54	2.9781250000000004
n14-1	n18	1	0	68	3.7468750000000006
n11-1	n14	1	0	69	2.9781250000000004
n12-1	n15	1	0	73	3.225
n13-1	n16	1	0	74	3.497916666666667
n25-1	n21	1	0	50	4.532291666666667
n24-1	n19	1	0	52	4.015625
n16-1	n20	1	0	69	4.263541666666667
n17-1	n22	1	0	71	4.771875
n35-1	n24	1	0	48	5.132291666666666
n39-1	n29	1	0	48	5.770833333333331
n36-1	n25	1	0	50	5.2489583333333325
n37-1	n26	1	0	52	5.364583333333332
n38-1	n28	1	0	53	5.516666666666665
n26-1	n23	1	0	64	5.015624999999999
n27-1	n27	1	0	69	5.510416666666665
n43-1	n35	1	0	46	6.827083333333331
n40-1	n31	1	0	47	6.040624999999998
n41-1	n32	1	0	51	6.296874999999998
n42-1	n33	1	0	52	6.568749999999998
n29-1	n34	1	0	67	6.570833333333331
n28-1	n30	1	0	68	6.0385416666666645
n47-1	n41	1	0	44	7.870833333333329
n44-1	n36	1	0	45	7.082291666666664
n45-1	n38	1	0	49	7.33958333333333
n46-1	n40	1	0	50	7.6145833333333295
n31-1	n39	1	0	65	7.612499999999996
n30-1	n37	1	0	66	7.08645833333333
n49-1	n43	1	0	45	8.391666666666664
n50-1	n45	1	0	47	8.923958333333331
n33-1	n44	1	0	62	8.667708333333332
n32-1	n42	1	0	64	8.13645833333333
n69-1	n46	1	0	40	9.203124999999998
n70-1	n49	1	0	45	9.675
n53-1	n48	1	0	59	9.538541666666667
n52-1	n47	1	0	60	9.44375
n54-1	n50	1	0	60	9.676041666666668
n55-1	n51	1	0	69	9.942708333333336
n71-1	n52	1	0	47	10.195833333333335
n72-1	n54	1	0	49	10.725000000000003
n59-1	n56	1	0	67	10.970833333333337
n57-1	n53	1	0	68	10.443750000000003
n58-1	n55	1	0	76	10.725000000000003
n74-1	n60	1	0	47	11.697916666666671
n73-1	n57	1	0	50	11.21354166666667
n63-1	n61	1	0	63	11.698958333333339
n62-1	n59	1	0	64	11.581250000000004
n61-1	n58	1	0	65	11.475000000000003
n64-1	n62	1	0	71	11.95208333333334
n75-1	n63	1	0	49	12.209375000000005
n76-1	n65	1	0	51	12.710416666666672
n68-1	n67	1	0	69	12.971875000000004
n66-1	n64	1	0	70	12.456250000000006
n67-1	n66	1	0	78	12.712500000000006
n94-1	n68	1	0	52	13.212500000000004
n95-1	n72	1	0	64	13.696875000000006
n78-1	n69	1	0	67	13.333333333333337
n82-1	n74	1	0	67	13.960416666666672
n79-1	n70	1	0	69	13.445833333333338
n80-1	n71	1	0	71	13.55208333333334
n81-1	n73	1	0	72	13.700000000000006
n97-1	n79	1	0	62	14.781250000000005
n96-1	n76	1	0	63	14.246875000000006
n86-1	n80	1	0	65	15.025000000000006
n83-1	n75	1	0	66	14.244791666666673
n84-1	n77	1	0	70	14.49895833333334
n85-1	n78	1	0	71	14.761458333333339
n99-1	n85	1	0	60	15.816666666666672
n98-1	n82	1	0	61	15.298958333333339
n90-1	n86	1	0	63	16.053125000000005
n87-1	n81	1	0	64	15.279166666666672
n88-1	n83	1	0	68	15.534375000000006
n89-1	n84	1	0	69	15.798958333333339
n101-1	n89	1	0	57	16.820833333333344
n100-1	n87	1	0	59	16.29270833333334
n92-1	n88	1	0	64	16.561458333333345
n93-1	n90	1	0	66	17.054166666666678
n111-1	n92	1	0	55	17.41250000000001
n115-1	n97	1	0	55	18.03125000000001
n112-1	n93	1	0	57	17.526041666666675
n102-1	n91	1	0	59	17.301041666666677
n113-1	n94	1	0	59	17.628125000000008
n114-1	n95	1	0	60	17.77812500000001
n103-1	n96	1	0	76	17.77812500000001
n119-1	n103	1	0	53	19.072916666666675
n116-1	n99	1	0	54	18.30729166666668
n117-1	n100	1	0	58	18.547916666666676
n118-1	n101	1	0	59	18.812500000000007
n105-1	n102	1	0	74	18.81875000000001
n104-1	n98	1	0	75	18.30000000000001
n123-1	n109	1	0	51	20.104166666666675
n120-1	n104	1	0	52	19.316666666666674
n121-1	n106	1	0	56	19.596875000000008
n122-1	n108	1	0	57	19.857291666666676
n107-1	n107	1	0	72	19.85520833333334
n106-1	n105	1	0	73	19.329166666666673
n125-1	n111	1	0	52	20.610416666666676
n126-1	n113	1	0	54	21.128125000000015
n109-1	n112	1	0	69	20.877083333333346
n108-1	n110	1	0	71	20.36875000000001
n143-1	n114	1	0	47	21.359375000000014
n144-1	n117	1	0	52	21.837500000000013
n129-1	n116	1	0	66	21.708333333333346
n128-1	n115	1	0	67	21.609375000000014
n130-1	n118	1	0	67	21.848958333333346
n131-1	n119	1	0	76	22.118750000000013
n145-1	n120	1	0	54	22.361458333333346
n146-1	n123	1	0	56	22.877083333333346
n135-1	n124	1	0	74	23.11041666666668
n133-1	n121	1	0	75	22.59687500000001
n134-1	n122	1	0	83	22.87500000000001
n148-1	n127	1	0	45	23.598958333333346
n147-1	n125	1	0	57	23.36250000000001
n149-1	n130	1	0	57	23.84479166666668
n140-1	n131	1	0	69	24.09270833333335
n138-1	n128	1	0	71	23.698958333333348
n137-1	n126	1	0	72	23.58854166666668
n139-1	n129	1	0	72	23.83541666666668
n153-1	n136	1	0	55	25.10937500000001
n151-1	n133	1	0	56	24.59270833333335
n152-1	n134	1	0	64	24.858333333333345
n141-1	n132	1	0	71	24.357291666666683
n142-1	n135	1	0	73	24.87604166666668
n172-1	n144	1	0	50	26.068750000000012
n170-1	n141	1	0	52	25.694791666666678
n169-1	n140	1	0	54	25.595833333333346
n171-1	n142	1	0	54	25.83125000000001
n155-1	n139	1	0	62	25.59166666666668
n154-1	n138	1	0	74	25.35937500000001
n156-1	n143	1	0	74	25.83125000000001
n173-1	n145	1	0	52	26.33854166666668
n174-1	n148	1	0	54	26.834375000000012
n160-1	n149	1	0	72	27.069791666666678
n158-1	n146	1	0	73	26.553125000000012
n159-1	n147	1	0	81	26.830208333333346
n176-1	n151	1	0	43	27.54166666666668
n175-1	n150	1	0	55	27.309375000000014
n177-1	n154	1	0	55	27.77916666666668
n165-1	n156	1	0	67	28.04166666666668
n163-1	n153	1	0	69	27.653125000000014
n162-1	n152	1	0	71	27.54791666666668
n164-1	n155	1	0	71	27.790625000000013
n181-1	n161	1	0	53	29.035416666666677
n179-1	n158	1	0	54	28.53437500000001
n180-1	n159	1	0	62	28.790625000000013
n166-1	n157	1	0	69	28.29687500000001
n167-1	n160	1	0	71	28.80000000000001
n191-1	n163	1	0	52	29.397916666666678
n195-1	n168	1	0	52	30.01875000000001
n192-1	n164	1	0	53	29.51875000000001
n193-1	n165	1	0	55	29.626041666666676
n194-1	n167	1	0	57	29.775000000000013
n182-1	n162	1	0	72	29.26875000000001
n183-1	n166	1	0	84	29.748958333333345
n199-1	n174	1	0	50	31.04687500000001
n196-1	n169	1	0	51	30.282291666666676
n197-1	n171	1	0	54	30.530208333333345
n198-1	n173	1	0	55	30.810416666666676
n185-1	n172	1	0	82	30.80937500000001
n184-1	n170	1	0	83	30.285416666666677
n203-1	n180	1	0	48	32.08437500000001
n200-1	n175	1	0	49	31.307291666666675
n201-1	n177	1	0	52	31.57395833333334
n202-1	n179	1	0	53	31.84270833333334
n187-1	n178	1	0	80	31.82708333333334
n186-1	n176	1	0	81	31.319791666666674
n205-1	n182	1	0	47	32.58958333333335
n206-1	n184	1	0	48	33.05416666666668
n207-1	n185	1	0	50	33.16666666666668
n189-1	n183	1	0	77	32.832291666666684
n188-1	n181	1	0	79	32.328125000000014
n226-1	n186	1	0	43	33.298958333333346
n227-1	n190	1	0	55	33.76562500000001
n209-1	n187	1	0	71	33.42083333333335
n213-1	n192	1	0	71	34.02187500000001
n210-1	n188	1	0	72	33.52395833333335
n211-1	n189	1	0	74	33.63020833333334
n212-1	n191	1	0	76	33.77187500000001
n229-1	n197	1	0	53	34.798958333333346
n228-1	n193	1	0	54	34.28541666666668
n217-1	n198	1	0	69	35.04791666666668
n214-1	n194	1	0	70	34.288541666666674
n215-1	n195	1	0	73	34.527083333333344
n216-1	n196	1	0	74	34.79583333333335
n231-1	n202	1	0	51	35.81145833333334
n230-1	n200	1	0	52	35.32291666666668
n221-1	n204	1	0	67	36.08125000000001
n218-1	n199	1	0	68	35.30729166666668
n219-1	n201	1	0	71	35.56145833333334
n220-1	n203	1	0	72	35.81666666666668
n233-1	n207	1	0	48	36.84479166666669
n232-1	n205	1	0	50	36.33333333333334
n223-1	n206	1	0	66	36.593750000000014
n224-1	n208	1	0	67	37.092708333333356
n225-1	n209	1	0	69	37.18125000000003
n244-1	n212	1	0	45	37.68541666666669
n243-1	n211	1	0	47	37.58541666666669
n245-1	n214	1	0	47	37.83125000000002
n246-1	n215	1	0	55	38.07916666666668
n234-1	n210	1	0	62	37.327083333333356
n235-1	n213	1	0	67	37.81979166666669
n250-1	n220	1	0	53	39.08645833333335
n248-1	n217	1	0	54	38.56770833333335
n249-1	n218	1	0	62	38.83645833333335
n236-1	n216	1	0	69	38.33645833333335
n237-1	n219	1	0	71	38.845833333333346
n254-1	n224	1	0	49	39.82291666666667
n253-1	n223	1	0	50	39.683333333333344
n252-1	n222	1	0	52	39.58854166666668
n255-1	n226	1	0	57	40.07916666666668
n239-1	n225	1	0	69	39.82812500000001
n238-1	n221	1	0	72	39.32604166666668
n259-1	n231	1	0	55	41.07291666666667
