onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.87708336,0.90208334,45,42,1,0,n0,0.877083,0.0
1.0083333,0.228125,72,54,1,0,n1,0.877083,0.0
1.1072917,0.12916666,74,57,1,0,n2,0.877083,0.0
1.2010417,0.115625,76,66,1,0,n3,0.877083,0.0
1.2979167,0.74895835,77,71,1,0,n4,0.877083,0.0
1.3041667,0.671875,57,50,1,0,n5,0.877083,0.0
1.5458333,0.3,72,73,1,0,n6,0.877083,0.0
1.7520833,0.509375,56,55,1,0,n7,0.877083,0.0
1.7760416,0.29479167,71,74,1,0,n8,1.764063,1.0
1.984375,0.334375,75,75,1,0,n9,1.764063,1.0
2.215625,0.62395835,55,53,1,0,n10,1.764063,1.0
2.2177083,0.59791666,76,70,1,0,n11,1.764063,1.0
2.4239583,0.28020832,70,75,1,0,n12,1.764063,1.0
2.6416667,0.38541666,69,68,1,0,n13,1.764063,1.0
2.6572917,0.62395835,54,47,1,0,n14,2.649479,2.0
2.85625,0.33854166,73,64,1,0,n15,2.649479,2.0
3.078125,0.36979166,74,53,1,0,n16,2.649479,2.0
3.1104167,0.61145836,53,38,1,0,n17,2.649479,2.0
3.30625,0.6375,68,62,1,0,n18,2.649479,2.0
3.5322917,0.59270835,52,50,1,0,n19,2.649479,2.0
3.7572916,0.5395833,69,75,1,0,n20,3.532292,3.0
3.98125,0.596875,50,59,1,0,n21,3.532292,3.0
4.210417,0.35625,71,76,1,0,n22,3.532292,3.0
4.498958,0.48333332,64,63,1,0,n23,4.498958,4.0
4.577083,0.175,48,54,1,0,n24,4.498958,4.0
4.696875,0.13020833,50,65,1,0,n25,4.498958,4.0
4.7864585,0.140625,52,70,1,0,n26,4.498958,4.0
4.9125,0.5552083,69,72,1,0,n27,4.498958,4.0
4.913542,0.425,53,57,1,0,n28,4.498958,4.0
5.133333,0.24270834,48,63,1,0,n29,4.498958,4.0
5.359375,0.30208334,47,58,1,0,n30,4.498958,4.0
5.376042,0.515625,68,70,1,0,n31,5.367708,5.0
5.5875,0.60833335,51,50,1,0,n32,5.367708,5.0
5.811458,0.540625,67,55,1,0,n33,5.367708,5.0
5.815625,0.51354164,52,35,1,0,n34,5.367708,5.0
6.0375,0.24375,46,51,1,0,n35,5.367708,5.0
6.278125,0.47708333,45,46,1,0,n36,5.367708,5.0
6.282292,0.5,66,59,1,0,n37,6.280209,6.0
6.50625,0.30208334,49,53,1,0,n38,6.280209,6.0
6.719792,0.5541667,65,50,1,0,n39,6.280209,6.0
6.726042,0.29375,50,42,1,0,n40,6.280209,6.0
6.9552083,0.471875,44,50,1,0,n41,6.280209,6.0
7.2083335,0.39895833,64,47,1,0,n42,7.208333,7.0
7.4104166,0.5385417,45,46,1,0,n43,7.208333,7.0
7.6614585,0.625,62,50,1,0,n44,7.208333,7.0
7.876042,0.25729167,47,36,1,0,n45,7.208333,7.0
8.098958,0.45729166,40,46,1,0,n46,8.098958,8.0
8.339583,0.065625,60,56,1,0,n47,8.098958,8.0
8.438541,0.06458333,59,59,1,0,n48,8.098958,8.0
8.526042,0.6020833,45,43,1,0,n49,8.098958,8.0
8.534375,0.13854167,60,57,1,0,n50,8.098958,8.0
8.838542,0.46979168,69,61,1,0,n51,8.098958,8.0
9.041667,0.49270833,47,48,1,0,n52,9.041667,9.0
9.288542,0.46145833,68,75,1,0,n53,9.041667,9.0
9.494792,0.55104166,49,54,1,0,n54,9.041667,9.0
9.526042,0.153125,76,62,1,0,n55,9.041667,9.0
9.765625,0.346875,67,47,1,0,n56,9.041667,9.0
9.965625,0.453125,50,45,1,0,n57,9.965625,10.0
10.209375,0.067708336,65,59,1,0,n58,9.965625,10.0
10.308333,0.08125,64,71,1,0,n59,9.965625,10.0
10.395833,0.18854167,63,69,1,0,n60,9.965625,10.0
10.408334,0.54270834,47,58,1,0,n61,9.965625,10.0
10.647917,0.41666666,71,74,1,0,n62,9.965625,10.0
10.855208,0.69166666,49,67,1,0,n63,10.855208,11.0
11.080209,0.59791666,70,82,1,0,n64,10.855208,11.0
11.333333,0.309375,78,73,1,0,n65,10.855208,11.0
11.340625,0.54583335,51,56,1,0,n66,10.855208,11.0
11.577084,0.33958334,69,65,1,0,n67,10.855208,11.0
11.830209,0.74375,52,59,1,0,n68,11.830208,12.0
11.93125,0.14583333,67,67,1,0,n69,11.830208,12.0
12.046875,0.115625,69,78,1,0,n70,11.830208,12.0
12.1375,0.14583333,71,76,1,0,n71,11.830208,12.0
12.261458,0.7375,72,71,1,0,n72,11.830208,12.0
12.275,0.7864583,64,69,1,0,n73,11.830208,12.0
12.558333,0.28854167,67,68,1,0,n74,11.830208,12.0
12.792708,0.62083334,63,59,1,0,n75,11.830208,12.0
12.796875,0.4,66,70,1,0,n76,12.794791,13.0
13.020833,0.25104168,70,72,1,0,n77,12.794791,13.0
13.21875,0.70208335,71,73,1,0,n78,12.794791,13.0
13.247916,0.59791666,62,56,1,0,n79,12.794791,13.0
13.447917,0.27604166,65,71,1,0,n80,12.794791,13.0
13.669791,0.571875,61,58,1,0,n81,12.794791,13.0
13.689584,0.31354168,64,69,1,0,n82,13.679688,14.0
13.898958,0.27395833,68,73,1,0,n83,13.679688,14.0
14.117708,0.64166665,60,49,1,0,n84,13.679688,14.0
14.130208,0.31666666,69,68,1,0,n85,13.679688,14.0
14.372916,0.44583333,63,62,1,0,n86,13.679688,14.0
14.566667,0.50208336,59,56,1,0,n87,14.566667,15.0
14.794791,0.51979166,64,64,1,0,n88,14.566667,15.0
15.025,0.51458335,57,57,1,0,n89,14.566667,15.0
15.260417,0.21354167,66,69,1,0,n90,14.566667,15.0
15.484375,0.20625,59,69,1,0,n91,15.484375,16.0
15.569792,0.13020833,55,57,1,0,n92,15.484375,16.0
15.684375,0.088541664,57,72,1,0,n93,15.484375,16.0
15.773958,0.10104167,59,72,1,0,n94,15.484375,16.0
15.894792,0.415625,60,57,1,0,n95,15.484375,16.0
15.911458,0.58229166,76,74,1,0,n96,15.484375,16.0
16.132292,0.26458332,55,63,1,0,n97,15.484375,16.0
16.352083,0.51979166,75,69,1,0,n98,15.484375,16.0
16.375,0.29895833,54,54,1,0,n99,16.363543,17.0
16.602083,0.38020834,58,60,1,0,n100,16.363543,17.0
16.805208,0.5375,74,60,1,0,n101,16.363543,17.0
16.817709,0.42083332,59,56,1,0,n102,16.363543,17.0
17.032291,0.21666667,53,55,1,0,n103,16.363543,17.0
17.263542,0.35416666,52,48,1,0,n104,16.363543,17.0
17.265625,0.5,73,60,1,0,n105,17.264584,18.0
17.4875,0.31458333,56,52,1,0,n106,17.264584,18.0
17.7125,0.271875,57,43,1,0,n107,17.264584,18.0
17.723959,0.47083333,72,58,1,0,n108,17.264584,18.0
17.940624,0.5375,51,47,1,0,n109,17.264584,18.0
18.179167,0.35729167,71,53,1,0,n110,18.179167,19.0
18.421875,0.496875,52,41,1,0,n111,18.179167,19.0
18.648958,0.665625,69,51,1,0,n112,18.179167,19.0
18.854166,0.23125,54,47,1,0,n113,18.179167,19.0
19.097918,0.46979168,47,48,1,0,n114,19.097918,20.0
19.348959,0.08125,67,52,1,0,n115,19.097918,20.0
19.451042,0.08229167,66,63,1,0,n116,19.097918,20.0
19.539583,0.60833335,52,51,1,0,n117,19.097918,20.0
19.554167,0.090625,67,58,1,0,n118,19.097918,20.0
19.848959,0.475,76,60,1,0,n119,19.097918,20.0
20.077084,0.47291666,54,56,1,0,n120,20.077084,21.0
20.288542,0.42291668,75,77,1,0,n121,20.077084,21.0
20.508333,0.14166667,83,72,1,0,n122,20.077084,21.0
20.511457,0.42708334,56,56,1,0,n123,20.077084,21.0
20.741667,0.39375,74,62,1,0,n124,20.077084,21.0
20.964582,0.054166667,57,60,1,0,n125,20.964582,22.0
21.190624,0.084375,72,56,1,0,n126,20.964582,22.0
21.192709,0.041666668,45,59,1,0,n127,20.964582,22.0
21.2875,0.078125,71,66,1,0,n128,20.964582,22.0
21.402082,0.74895835,57,61,1,0,n129,20.964582,22.0
21.404167,0.509375,72,59,1,0,n130,20.964582,22.0
21.654167,0.396875,69,64,1,0,n131,20.964582,22.0
21.88125,0.62395835,71,73,1,0,n132,21.88125,23.0
22.114584,0.40416667,56,72,1,0,n133,21.88125,23.0
22.351042,0.4875,73,76,1,0,n134,21.88125,23.0
22.358334,0.303125,64,59,1,0,n135,21.88125,23.0
22.564583,0.49166667,55,68,1,0,n136,21.88125,23.0
22.801043,0.07395833,74,72,1,0,n137,22.801043,24.0
23.017708,0.09791667,54,55,1,0,n138,22.801043,24.0
23.040625,0.07604167,62,72,1,0,n139,22.801043,24.0
23.145834,0.12083333,52,54,1,0,n140,22.801043,24.0
23.275,0.74583334,74,74,1,0,n141,22.801043,24.0
23.280209,0.24791667,54,61,1,0,n142,22.801043,24.0
23.508333,0.27395833,50,59,1,0,n143,22.801043,24.0
23.738543,0.51354164,52,68,1,0,n144,23.738543,25.0
23.992708,0.56354165,73,75,1,0,n145,23.738543,25.0
24.219791,0.41666666,54,59,1,0,n146,23.738543,25.0
24.235416,0.26354167,81,67,1,0,n147,23.738543,25.0
24.461458,0.42291668,72,68,1,0,n148,23.738543,25.0
24.673958,0.06979167,55,57,1,0,n149,24.673958,26.0
24.913542,0.054166667,43,54,1,0,n150,24.673958,26.0
24.93125,0.072916664,71,56,1,0,n151,24.673958,26.0
25.042707,0.065625,69,58,1,0,n152,24.673958,26.0
25.132292,0.740625,55,54,1,0,n153,24.673958,26.0
25.145834,0.25208333,71,56,1,0,n154,24.673958,26.0
25.369791,0.26145834,67,52,1,0,n155,24.673958,26.0
25.601042,0.46666667,69,67,1,0,n156,25.601042,27.0
25.832293,0.44270834,54,58,1,0,n157,25.601042,27.0
26.057291,0.409375,62,49,1,0,n158,25.601042,27.0
26.064583,0.53229165,71,63,1,0,n159,25.601042,27.0
26.3125,0.35729167,53,60,1,0,n160,25.601042,27.0
26.616667,0.59791666,72,57,1,0,n161,26.616667,28.0
26.697916,0.109375,52,50,1,0,n162,26.616667,28.0
26.825,0.06458333,53,61,1,0,n163,26.616667,28.0
26.919792,0.1,55,55,1,0,n164,26.616667,28.0
27.070833,0.34375,57,45,1,0,n165,26.616667,28.0
27.086458,0.70104164,84,62,1,0,n166,26.616667,28.0
27.332293,0.246875,52,46,1,0,n167,26.616667,28.0
27.565624,0.29479167,51,46,1,0,n168,26.616667,28.0
27.579166,0.5708333,83,68,1,0,n169,27.572395,29.0
27.808332,0.52916664,54,68,1,0,n170,27.572395,29.0
28.021875,0.190625,55,54,1,0,n171,27.572395,29.0
28.025,0.5083333,82,78,1,0,n172,27.572395,29.0
28.247917,0.2625,50,62,1,0,n173,27.572395,29.0
28.477083,0.39375,49,62,1,0,n174,27.572395,29.0
28.478125,0.6927083,81,83,1,0,n175,28.477604,30.0
28.71875,0.45625,52,64,1,0,n176,28.477604,30.0
28.938541,0.33541667,53,65,1,0,n177,28.477604,30.0
28.944792,0.6010417,80,78,1,0,n178,28.477604,30.0
29.167707,0.51979166,48,68,1,0,n179,28.477604,30.0
29.447916,0.48541668,79,80,1,0,n180,28.477604,30.0
29.64375,0.51770836,47,61,1,0,n181,29.447918,31.0
29.905209,0.634375,77,77,1,0,n182,29.447918,31.0
30.117708,0.14479166,48,60,1,0,n183,29.447918,31.0
30.244791,0.13333334,50,68,1,0,n184,29.447918,31.0
30.360416,0.99583334,43,66,1,0,n185,30.360416,32.0
30.507292,0.15833333,71,68,1,0,n186,30.360416,32.0
30.610416,0.13020833,72,72,1,0,n187,30.360416,32.0
30.719791,0.12708333,74,68,1,0,n188,30.360416,32.0
30.836458,0.7239583,55,65,1,0,n189,30.360416,32.0
30.838541,0.76145834,76,69,1,0,n190,30.360416,32.0
31.134375,0.27083334,71,72,1,0,n191,30.360416,32.0
31.370832,0.496875,70,68,1,0,n192,30.360416,32.0
31.375,0.5572917,54,64,1,0,n193,31.372917,33.0
31.605207,0.275,73,69,1,0,n194,31.372917,33.0
31.828125,0.76458335,53,53,1,0,n195,31.372917,33.0
31.83125,0.39166668,74,65,1,0,n196,31.372917,33.0
32.0625,0.26041666,69,68,1,0,n197,31.372917,33.0
32.276043,0.44375,52,54,1,0,n198,31.372917,33.0
32.28854,0.25520834,68,68,1,0,n199,32.28229,34.0
32.51146,0.21979167,71,65,1,0,n200,32.28229,34.0
32.727085,0.48020834,51,44,1,0,n201,32.28229,34.0
32.740623,0.32083333,72,61,1,0,n202,32.28229,34.0
32.98125,0.53541666,67,48,1,0,n203,32.28229,34.0
33.202084,0.42291668,50,49,1,0,n204,33.202084,35.0
33.43646,0.428125,66,53,1,0,n205,33.202084,35.0
33.645832,0.7395833,48,40,1,0,n206,33.202084,35.0
33.885418,0.071875,67,42,1,0,n207,33.202084,35.0
33.982292,0.096875,69,51,1,0,n208,33.202084,35.0
34.104168,0.59166664,62,48,1,0,n209,34.104168,36.0
34.34375,0.0625,47,46,1,0,n210,34.104168,36.0
34.43854,0.08645833,45,48,1,0,n211,34.104168,36.0
34.535416,0.53020835,67,50,1,0,n212,34.104168,36.0
34.54271,0.061458334,47,55,1,0,n213,34.104168,36.0
34.7875,0.46979168,55,50,1,0,n214,34.104168,36.0
35.041668,0.58229166,69,65,1,0,n215,35.041668,37.0
35.252083,0.44479167,54,68,1,0,n216,35.041668,37.0
35.491665,0.44479167,71,72,1,0,n217,35.041668,37.0
35.5,0.30520833,62,58,1,0,n218,35.041668,37.0
35.716667,0.47916666,53,66,1,0,n219,35.041668,37.0
35.947918,0.440625,72,66,1,0,n220,35.947918,38.0
36.183334,0.061458334,52,50,1,0,n221,35.947918,38.0
36.2625,0.13958333,50,58,1,0,n222,35.947918,38.0
36.380207,0.090625,49,75,1,0,n223,35.947918,38.0
36.383335,0.60625,69,70,1,0,n224,35.947918,38.0
36.625,0.490625,57,72,1,0,n225,35.947918,38.0
36.84479,0.62916666,71,78,1,0,n226,36.84479,39.0
37.070835,0.440625,56,74,1,0,n227,36.84479,39.0
37.302082,0.5625,73,76,1,0,n228,36.84479,39.0
