onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,2.0,0,4,46,5,n7-1,0.0,1.066666
0.0,0.25,0.0,0.5,0,1,73,1,n1-1,0.0,1.066666
0.25,0.25,0.5,0.5,1,1,72,1,n2-1,0.0,1.066666
0.5,0.25,1.0,0.5,2,1,70,1,n3-1,0.0,1.066666
0.75,0.25,1.5,0.5,3,1,69,1,n4-1,0.0,1.066666
1.0,2.0,2.0,4.0,4,8,58,5,n8-1,1.0,2.076042
1.0,0.5,2.0,1.0,4,2,70,1,n5-1,1.0,2.076042
1.5,0.5,3.0,1.0,6,2,65,1,n6-1,1.0,2.076042
2.0,0.5,4.0,1.0,8,2,66,1,n9-1,2.0,3.117708
2.5,0.5,5.0,1.0,10,2,63,1,n10-1,2.0,3.117708
3.0,1.0,6.0,2.0,12,4,57,5,n14-1,3.0,4.118229
3.0,0.5,6.0,1.0,12,2,60,1,n11-1,3.0,4.118229
3.5,0.5,7.0,1.0,14,2,65,1,n12-1,3.0,4.118229
4.0,0.25,8.0,0.5,16,1,58,5,n24-1,4.0,5.142708
4.0,0.5,8.0,1.0,16,2,61,2,n20-1,4.0,5.142708
4.25,0.25,8.5,0.5,17,1,56,5,n25-1,4.0,5.142708
4.5,0.25,9.0,0.5,18,1,54,5,n26-1,4.0,5.142708
4.5,0.5,9.0,1.0,18,2,58,2,n21-1,4.0,5.142708
4.75,0.25,9.5,0.5,19,1,53,5,n27-1,4.0,5.142708
5.0,0.25,10.0,0.5,20,1,54,5,n28-1,5.0,6.096528
5.0,0.5,10.0,1.0,20,2,70,2,n22-1,5.0,6.096528
5.0,0.25,10.0,0.5,20,1,82,1,n16-1,5.0,6.096528
5.25,0.25,10.5,0.5,21,1,53,5,n29-1,5.0,6.096528
5.25,0.25,10.5,0.5,21,1,80,1,n17-1,5.0,6.096528
5.5,0.25,11.0,0.5,22,1,51,5,n30-1,5.0,6.096528
5.5,0.5,11.0,1.0,22,2,70,2,n23-1,5.0,6.096528
5.5,0.25,11.0,0.5,22,1,78,1,n18-1,5.0,6.096528
5.75,0.25,11.5,0.5,23,1,49,5,n31-1,5.0,6.096528
5.75,0.25,11.5,0.5,23,1,77,1,n19-1,5.0,6.096528
6.0,0.25,12.0,0.5,24,1,51,5,n45-1,6.0,7.003125
6.0,0.5,12.0,1.0,24,2,70,2,n40-1,6.0,7.003125
6.0,0.25,12.0,0.5,24,1,78,1,n32-1,6.0,7.003125
6.25,0.25,12.5,0.5,25,1,49,5,n46-1,6.0,7.003125
6.25,0.25,12.5,0.5,25,1,77,1,n33-1,6.0,7.003125
6.5,0.25,13.0,0.5,26,1,48,5,n47-1,6.0,7.003125
6.5,0.25,13.0,0.5,26,1,69,2,n41-1,6.0,7.003125
6.5,0.25,13.0,0.5,26,1,75,1,n34-1,6.0,7.003125
6.75,0.25,13.5,0.5,27,1,46,5,n48-1,6.0,7.003125
6.75,0.25,13.5,0.5,27,1,70,2,n42-1,6.0,7.003125
6.75,0.25,13.5,0.5,27,1,73,1,n35-1,6.0,7.003125
7.0,0.25,14.0,0.5,28,1,45,5,n49-1,7.0,7.917188
7.0,0.25,14.0,0.5,28,1,72,1,n36-1,7.0,7.917188
