onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0614583,0.70208335,73,49,1,0,n0,-10.0,-10.0
1.071875,0.765625,46,39,1,0,n1,1.066666,0.0
1.31875,0.39791667,72,57,1,0,n2,1.066666,0.0
1.565625,0.30416667,70,65,1,0,n3,1.066666,0.0
1.7864584,0.38229167,69,68,1,0,n4,1.066666,0.0
2.0708334,0.66979164,70,61,1,0,n5,1.066666,0.0
2.08125,1.88125,58,51,1,0,n6,2.076042,1.0
2.59375,0.7395833,65,57,1,0,n7,2.076042,1.0
3.1177084,0.79791665,66,63,1,0,n8,3.117708,2.0
3.6197917,0.6822917,63,64,1,0,n9,3.117708,2.0
4.1072917,0.7260417,60,63,1,0,n10,3.117708,2.0
4.1291666,0.70104164,57,44,1,0,n11,4.118229,3.0
4.63125,0.696875,65,56,1,0,n12,4.118229,3.0
5.126042,0.5729167,61,59,1,0,n13,4.118229,3.0
5.159375,0.21145834,58,41,1,0,n14,5.142708,4.0
5.3625,0.36979166,56,52,1,0,n15,5.142708,4.0
5.615625,0.175,58,63,1,0,n16,5.142708,4.0
5.625,0.23541667,54,55,1,0,n17,5.142708,4.0
5.842708,0.28125,53,61,1,0,n18,5.142708,4.0
6.078125,0.44375,82,53,1,0,n19,5.142708,4.0
6.102083,0.20520833,70,55,1,0,n20,6.096528,5.0
6.109375,0.18958333,54,51,1,0,n21,6.096528,5.0
6.297917,0.27708334,53,56,1,0,n22,6.096528,5.0
6.3072915,0.396875,80,71,1,0,n23,6.096528,5.0
6.545833,0.26770833,78,66,1,0,n24,6.096528,5.0
6.5489583,0.27708334,70,70,1,0,n25,6.096528,5.0
6.5510416,0.23125,51,57,1,0,n26,6.096528,5.0
6.746875,0.27083334,49,59,1,0,n27,6.096528,5.0
6.765625,0.28333333,77,70,1,0,n28,6.096528,5.0
7.0020833,0.26770833,51,60,1,0,n29,6.096528,5.0
7.003125,0.23333333,78,67,1,0,n30,7.003125,6.0
7.0041666,0.44166666,70,65,1,0,n31,7.003125,6.0
7.2239585,0.24479167,49,53,1,0,n32,7.003125,6.0
7.2302084,0.27708334,77,55,1,0,n33,7.003125,6.0
7.454167,0.34166667,75,62,1,0,n34,7.003125,6.0
7.4666667,0.21875,69,68,1,0,n35,7.003125,6.0
7.4729166,0.23958333,48,55,1,0,n36,7.003125,6.0
7.670833,0.30520833,73,65,1,0,n37,7.003125,6.0
7.680208,0.259375,46,64,1,0,n38,7.003125,6.0
7.6822915,0.28125,70,69,1,0,n39,7.003125,6.0
7.9114585,0.259375,72,77,1,0,n40,7.003125,6.0
7.922917,0.22916667,45,63,1,0,n41,7.917188,7.0
8.138541,0.35208333,41,58,1,0,n42,7.917188,7.0
8.140625,0.30104166,77,65,1,0,n43,7.917188,7.0
8.372916,0.21770833,75,68,1,0,n44,7.917188,7.0
8.379167,0.24270834,72,68,1,0,n45,7.917188,7.0
8.383333,0.23541667,43,60,1,0,n46,7.917188,7.0
8.597917,0.32604167,77,68,1,0,n47,7.917188,7.0
8.610416,0.25833333,45,55,1,0,n48,7.917188,7.0
8.852083,0.47916666,72,71,1,0,n49,7.917188,7.0
8.85625,0.46354166,73,68,1,0,n50,8.85625,8.0
8.860416,0.225,46,51,1,0,n51,8.85625,8.0
9.089583,0.234375,48,56,1,0,n52,8.85625,8.0
9.310416,0.203125,70,67,1,0,n53,8.85625,8.0
9.317708,0.21145834,49,57,1,0,n54,8.85625,8.0
9.334375,0.53125,65,57,1,0,n55,8.85625,8.0
9.520833,0.24270834,69,66,1,0,n56,8.85625,8.0
9.527083,0.3125,51,60,1,0,n57,8.85625,8.0
9.78125,1.1385417,70,71,1,0,n58,8.85625,8.0
9.805208,0.178125,49,60,1,0,n59,9.793229,9.0
9.998959,0.26666668,73,71,1,0,n60,9.793229,9.0
10.223958,0.315625,72,71,1,0,n61,9.793229,9.0
10.236459,0.228125,54,52,1,0,n62,9.793229,9.0
10.446875,0.33854166,73,73,1,0,n63,9.793229,9.0
10.682292,0.296875,75,68,1,0,n64,9.793229,9.0
10.697917,0.22708334,48,45,1,0,n65,10.690105,10.0
10.89375,0.28333333,49,54,1,0,n66,10.690105,10.0
10.909375,0.21145834,68,63,1,0,n67,10.690105,10.0
11.1125,0.22083333,70,68,1,0,n68,10.690105,10.0
11.122916,0.228125,66,53,1,0,n69,10.690105,10.0
11.1375,0.19479166,51,47,1,0,n70,10.690105,10.0
11.327084,0.34895834,65,69,1,0,n71,10.690105,10.0
11.342709,0.27604166,53,57,1,0,n72,10.690105,10.0
11.592709,1.0135417,72,74,1,0,n73,10.690105,10.0
11.614583,0.178125,51,51,1,0,n74,11.613541,11.0
11.633333,0.17291667,66,41,1,0,n75,11.613541,11.0
11.823958,0.21041666,63,53,1,0,n76,11.613541,11.0
12.069792,0.27916667,65,52,1,0,n77,11.613541,11.0
12.073958,0.25833333,56,46,1,0,n78,11.613541,11.0
12.30625,0.515625,66,55,1,0,n79,11.613541,11.0
12.561459,0.45416668,73,60,1,0,n80,11.613541,11.0
12.565625,0.19270833,49,49,1,0,n81,12.563541,12.0
12.76875,0.33958334,65,60,1,0,n82,12.563541,12.0
12.994792,0.23229167,48,57,1,0,n83,12.563541,12.0
12.994792,0.31666666,67,73,1,0,n84,12.563541,12.0
13.209375,0.34270832,69,72,1,0,n85,12.563541,12.0
13.452084,0.27083334,49,64,1,0,n86,12.563541,12.0
13.461458,0.21458334,70,70,1,0,n87,13.45677,13.0
13.670834,0.32291666,72,75,1,0,n88,13.45677,13.0
13.901042,0.26979166,73,71,1,0,n89,13.45677,13.0
13.903125,0.16458334,46,58,1,0,n90,13.45677,13.0
14.113542,0.28125,70,73,1,0,n91,13.45677,13.0
14.373959,0.29583332,80,70,1,0,n92,13.45677,13.0
14.415625,0.44895834,72,59,1,0,n93,13.45677,13.0
14.467709,0.29583332,53,33,1,0,n94,14.419097,14.0
14.492708,0.08125,55,14,1,0,n95,14.419097,14.0
14.608334,0.29375,79,72,1,0,n96,14.419097,14.0
14.836458,0.27395833,77,79,1,0,n97,14.419097,14.0
14.840625,0.1625,56,53,1,0,n98,14.419097,14.0
14.8625,0.190625,60,44,1,0,n99,14.419097,14.0
15.057292,0.3,76,77,1,0,n100,14.419097,14.0
15.285417,0.22916667,61,51,1,0,n101,14.419097,14.0
15.288542,0.54791665,77,71,1,0,n102,14.419097,14.0
15.316667,1.4989583,65,64,1,0,n103,15.296875,15.0
15.530209,0.225,60,57,1,0,n104,15.296875,15.0
15.747916,0.565625,72,74,1,0,n105,15.296875,15.0
15.757292,0.20208333,58,56,1,0,n106,15.296875,15.0
15.957292,0.23958333,56,54,1,0,n107,15.296875,15.0
16.189583,0.76354164,73,71,1,0,n108,15.296875,15.0
16.194792,0.24895833,58,55,1,0,n109,16.192186,16.0
16.429167,0.265625,55,57,1,0,n110,16.192186,16.0
16.655209,0.6125,70,70,1,0,n111,16.192186,16.0
16.664583,0.265625,56,51,1,0,n112,16.192186,16.0
16.882292,0.30625,58,50,1,0,n113,16.192186,16.0
17.114584,0.54583335,67,75,1,0,n114,16.192186,16.0
17.152082,0.234375,60,43,1,0,n115,17.150694,17.0
17.185417,0.93125,64,25,1,0,n116,17.150694,17.0
17.353125,0.26145834,58,52,1,0,n117,17.150694,17.0
17.573957,0.62916666,72,69,1,0,n118,17.150694,17.0
17.580208,0.24479167,56,54,1,0,n119,17.150694,17.0
17.804167,0.27916667,55,53,1,0,n120,17.150694,17.0
18.05625,0.534375,68,53,1,0,n121,17.150694,17.0
18.061459,1.1833333,53,60,1,0,n122,18.061111,18.0
18.065624,0.18020834,65,46,1,0,n123,18.061111,18.0
18.280209,0.21770833,64,50,1,0,n124,18.061111,18.0
18.532291,0.18541667,65,60,1,0,n125,18.061111,18.0
18.74375,0.2,67,61,1,0,n126,18.061111,18.0
18.970833,0.27708334,77,69,1,0,n127,18.061111,18.0
18.9875,0.171875,68,48,1,0,n128,18.979166,19.0
19.196875,0.28854167,55,51,1,0,n129,18.979166,19.0
19.198957,0.24166666,70,58,1,0,n130,18.979166,19.0
19.433332,0.28541666,77,73,1,0,n131,18.979166,19.0
19.454166,0.2375,56,51,1,0,n132,18.979166,19.0
19.458334,0.24166666,72,53,1,0,n133,18.979166,19.0
19.670834,0.27708334,68,58,1,0,n134,18.979166,19.0
19.710417,0.253125,53,51,1,0,n135,18.979166,19.0
19.905209,0.54791665,77,63,1,0,n136,18.979166,19.0
19.93125,0.20416667,55,58,1,0,n137,19.925,20.0
19.938541,0.16875,70,60,1,0,n138,19.925,20.0
20.126041,0.25833333,68,57,1,0,n139,19.925,20.0
20.15,0.29583332,56,51,1,0,n140,19.925,20.0
20.361458,0.25,76,73,1,0,n141,19.925,20.0
20.385416,0.27604166,67,45,1,0,n142,19.925,20.0
20.389584,0.53125,58,52,1,0,n143,19.925,20.0
20.582293,0.28854167,77,74,1,0,n144,19.925,20.0
20.604166,0.1875,68,66,1,0,n145,19.925,20.0
20.820833,0.28958333,79,78,1,0,n146,19.925,20.0
20.840626,0.684375,52,58,1,0,n147,19.925,20.0
20.867708,0.178125,70,42,1,0,n148,20.843056,21.0
21.060417,0.27083334,72,68,1,0,n149,20.843056,21.0
21.277082,0.315625,79,76,1,0,n150,20.843056,21.0
21.310417,0.2,73,56,1,0,n151,20.843056,21.0
21.313541,0.240625,53,51,1,0,n152,20.843056,21.0
21.5125,0.30208334,70,67,1,0,n153,20.843056,21.0
21.530209,0.26666668,55,48,1,0,n154,20.843056,21.0
21.741667,0.50104165,79,75,1,0,n155,20.843056,21.0
21.7625,1.390625,72,70,1,0,n156,21.757986,22.0
21.769793,0.225,56,58,1,0,n157,21.757986,22.0
21.967709,0.26979166,58,59,1,0,n158,21.757986,22.0
22.188541,0.26458332,56,56,1,0,n159,21.757986,22.0
22.2,0.26354167,77,77,1,0,n160,21.757986,22.0
22.391666,0.31041667,79,75,1,0,n161,21.757986,22.0
22.402082,0.24375,55,66,1,0,n162,21.757986,22.0
22.65625,0.24895833,80,79,1,0,n163,21.757986,22.0
22.663542,0.26875,53,58,1,0,n164,22.659897,23.0
22.876041,0.28645834,51,68,1,0,n165,22.659897,23.0
23.095833,0.28125,80,80,1,0,n166,22.659897,23.0
23.104166,0.20833333,77,58,1,0,n167,22.659897,23.0
23.109375,0.31875,49,63,1,0,n168,22.659897,23.0
23.316668,0.33020833,72,75,1,0,n169,22.659897,23.0
23.330208,0.29479167,53,60,1,0,n170,22.659897,23.0
23.572916,0.6375,80,73,1,0,n171,22.659897,23.0
23.586458,0.62395835,46,63,1,0,n172,23.584723,24.0
23.594791,0.18229167,73,58,1,0,n173,23.584723,24.0
23.775,0.43541667,75,70,1,0,n174,23.584723,24.0
24.017708,0.203125,73,58,1,0,n175,23.584723,24.0
24.017708,0.49375,77,74,1,0,n176,23.584723,24.0
24.233334,0.31875,72,72,1,0,n177,23.584723,24.0
24.470833,0.49583334,79,78,1,0,n178,23.584723,24.0
24.5,0.22916667,70,58,1,0,n179,24.485416,25.0
24.690624,0.2875,67,71,1,0,n180,24.485416,25.0
