xml_id	midi_id	track	channel	pitch	onset
n7-1	n1	1	0	46	1.0885416666666667
n8-1	n6	1	0	58	1.91796875
n6-1	n7	1	0	65	2.334635416666667
n4-1	n4	1	0	69	1.6731770833333333
n3-1	n3	1	0	70	1.484375
n5-1	n5	1	0	70	1.89453125
n2-1	n2	1	0	72	1.27734375
n1-1	n0	1	0	73	1.0703125
n10-1	n9	1	0	63	3.1393229166666674
n9-1	n8	1	0	66	2.7109375000000004
n14-1	n10	1	0	57	3.5338541666666674
n11-1	n11	1	0	60	3.5494791666666674
n12-1	n12	1	0	65	3.968750000000001
n27-1	n18	1	0	53	4.953125000000001
n26-1	n17	1	0	54	4.779947916666668
n25-1	n15	1	0	56	4.574218750000002
n24-1	n14	1	0	58	4.380208333333335
n21-1	n16	1	0	58	4.764322916666668
n20-1	n13	1	0	61	4.352864583333335
n31-1	n28	1	0	49	5.751302083333333
n30-1	n24	1	0	51	5.559895833333335
n29-1	n23	1	0	53	5.369791666666668
n28-1	n19	1	0	54	5.177083333333334
n22-1	n21	1	0	70	5.194010416666668
n23-1	n26	1	0	70	5.566406250000001
n19-1	n27	1	0	77	5.74609375
n18-1	n25	1	0	78	5.561197916666668
n17-1	n22	1	0	80	5.352864583333335
n16-1	n20	1	0	82	5.179687500000001
n48-1	n38	1	0	46	6.536458333333331
n47-1	n34	1	0	48	6.334635416666664
n46-1	n32	1	0	49	6.152343749999998
n45-1	n29	1	0	51	5.953124999999999
n41-1	n36	1	0	69	6.355468749999997
n40-1	n31	1	0	70	5.981770833333332
n42-1	n39	1	0	70	6.537760416666664
n35-1	n37	1	0	73	6.533854166666664
n34-1	n35	1	0	75	6.348958333333331
n33-1	n33	1	0	77	6.154947916666665
n32-1	n30	1	0	78	5.964843749999999
n50-1	n43	1	0	41	6.946614583333332
n51-1	n44	1	0	43	7.110677083333332
n49-1	n40	1	0	45	6.733072916666665
n52-1	n47	1	0	45	7.285156249999998
n36-1	n41	1	0	72	6.738281249999998
n44-1	n46	1	0	72	7.126302083333332
n43-1	deletion
n38-1	n45	1	0	75	7.119791666666665
n37-1	n42	1	0	77	6.928385416666665
n39-1	n48	1	0	77	7.292968749999998
n63-1	n49	1	0	46	7.498697916666665
n64-1	n52	1	0	48	7.680989583333331
n65-1	n53	1	0	49	7.89973958333333
n66-1	n57	1	0	51	8.109374999999996
n54-1	n55	1	0	65	7.9205729166666625
n61-1	n56	1	0	69	8.104166666666663
n60-1	n54	1	0	70	7.901041666666663
n59-1	n50	1	0	72	7.510416666666665
n53-1	n51	1	0	73	7.515624999999998
n67-1	n59	1	0	49	8.312499999999998
n68-1	n62	1	0	54	8.718749999999998
n62-1	n58	1	0	70	8.308593749999998
n57-1	n61	1	0	72	8.712239583333332
n56-1	n60	1	0	73	8.52083333333333
n58-1	n63	1	0	73	8.903645833333334
n80-1	n64	1	0	48	9.128906250000002
n81-1	n66	1	0	49	9.308593750000005
n82-1	n68	1	0	51	9.519531250000007
n83-1	n72	1	0	53	9.722656250000007
n75-1	n71	1	0	65	9.714843750000007
n74-1	n70	1	0	66	9.53255208333334
n73-1	n67	1	0	68	9.316406250000005
n70-1	n69	1	0	70	9.522135416666673
n69-1	n65	1	0	75	9.130208333333336
n84-1	n75	1	0	51	9.944010416666675
n85-1	n78	1	0	56	10.325520833333345
n77-1	n76	1	0	63	10.121093750000009
n78-1	n77	1	0	65	10.32031250000001
n76-1	n74	1	0	66	9.941406250000009
n79-1	n79	1	0	66	10.510416666666679
n71-1	n73	1	0	72	9.924479166666675
n98-1	n84	1	0	48	11.138020833333346
n97-1	n81	1	0	49	10.726562500000014
n90-1	n82	1	0	65	10.92838541666668
n91-1	n83	1	0	67	11.132812500000012
n92-1	n85	1	0	69	11.32291666666668
n86-1	n80	1	0	73	10.72526041666668
n100-1	n89	1	0	46	11.911458333333346
n99-1	n87	1	0	49	11.52604166666668
n93-1	n86	1	0	70	11.52213541666668
n96-1	n91	1	0	70	12.101562500000014
n94-1	n88	1	0	72	11.71744791666668
n95-1	n90	1	0	73	11.91666666666668
n110-1	n94	1	0	53	12.361979166666682
n111-1	n96	1	0	56	12.772135416666684
n108-1	n97	1	0	60	12.779947916666684
n107-1	n93	1	0	72	12.358072916666682
n104-1	n99	1	0	76	12.983072916666682
n103-1	n98	1	0	77	12.78645833333335
n102-1	n95	1	0	79	12.57552083333335
n101-1	n92	1	0	80	12.351562500000016
n115-1	n106	1	0	56	13.80989583333335
n114-1	n105	1	0	58	13.625000000000016
n113-1	n103	1	0	60	13.411458333333348
n112-1	n101	1	0	61	13.22005208333335
n109-1	n102	1	0	65	13.222656250000016
n106-1	n104	1	0	72	13.611979166666682
n105-1	n100	1	0	77	13.205729166666684
n123-1	n109	1	0	55	14.205729166666682
n124-1	n111	1	0	56	14.415364583333348
n122-1	n108	1	0	58	14.027343750000016
n125-1	n112	1	0	58	14.596354166666682
n117-1	n110	1	0	70	14.397135416666682
n116-1	n107	1	0	73	14.011718750000016
n129-1	n119	1	0	55	15.410156250000014
n128-1	n118	1	0	56	15.21354166666668
n127-1	n116	1	0	58	15.003906250000014
n126-1	n113	1	0	60	14.79947916666668
n121-1	n115	1	0	64	14.821614583333346
n118-1	n114	1	0	67	14.802083333333346
n119-1	n117	1	0	72	15.204427083333346
n142-1	n120	1	0	53	15.609375000000016
n135-1	n123	1	0	64	15.822916666666684
n134-1	n122	1	0	65	15.62630208333335
n136-1	n124	1	0	65	16.046875000000018
n131-1	deletion
n137-1	n125	1	0	67	16.24218750000002
n130-1	n121	1	0	68	15.61458333333335
n146-1	n134	1	0	53	17.024739583333353
n144-1	n129	1	0	55	16.634114583333353
n145-1	n130	1	0	56	16.82421875000002
n138-1	n127	1	0	68	16.447916666666686
n141-1	n133	1	0	68	17.020833333333353
n139-1	n128	1	0	70	16.619791666666686
n140-1	n132	1	0	72	16.84765625000002
n132-1	n126	1	0	77	16.444010416666686
n133-1	n131	1	0	77	16.833333333333353
n160-1	n137	1	0	55	17.23567708333335
n161-1	n139	1	0	56	17.42708333333335
n162-1	n141	1	0	58	17.62760416666668
n154-1	n142	1	0	67	17.645833333333346
n153-1	n138	1	0	68	17.420572916666682
n155-1	n144	1	0	68	17.81510416666668
n152-1	n135	1	0	70	17.22005208333335
n148-1	n140	1	0	76	17.622395833333346
n147-1	n136	1	0	77	17.22786458333335
n149-1	n143	1	0	77	17.81250000000001
n163-1	n146	1	0	52	18.04036458333334
n164-1	n149	1	0	53	18.40885416666667
n165-1	n153	1	0	55	18.61458333333334
n156-1	n147	1	0	70	18.04036458333334
n159-1	n152	1	0	70	18.59635416666667
n157-1	n148	1	0	72	18.214843750000004
n158-1	n151	1	0	73	18.425781250000004
