onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.96223956,0.51171875,47,60,1,0,n0,-10.0,-10.0
1.1132812,0.140625,59,68,1,0,n1,0.96224,0.0
1.2630209,0.13671875,61,72,1,0,n2,0.96224,0.0
1.3919271,0.078125,63,70,1,0,n3,0.96224,0.0
1.5195312,0.13671875,64,78,1,0,n4,1.519531,1.0
1.65625,0.12630208,66,70,1,0,n5,1.519531,1.0
1.7838541,0.14453125,68,71,1,0,n6,1.519531,1.0
1.9127604,0.05078125,70,67,1,0,n7,1.519531,1.0
2.0208333,0.059895832,71,75,1,0,n8,2.020833,2.0
2.0859375,0.032552082,70,80,1,0,n9,2.020833,2.0
2.1601562,0.22526042,71,73,1,0,n10,2.020833,2.0
2.204427,0.078125,59,50,1,0,n11,2.020833,2.0
2.3151042,0.14192708,58,60,1,0,n12,2.020833,2.0
2.4440105,0.07421875,73,74,1,0,n13,2.020833,2.0
2.451823,0.13802083,56,59,1,0,n14,2.020833,2.0
2.5703125,0.03515625,54,70,1,0,n15,2.020833,2.0
2.5742188,0.0390625,75,75,1,0,n16,2.572265,3.0
2.6848958,0.02734375,75,59,1,0,n17,2.572265,3.0
2.6992188,0.07421875,73,54,1,0,n18,2.572265,3.0
2.7265625,0.05859375,52,51,1,0,n19,2.572265,3.0
2.796875,0.057291668,75,78,1,0,n20,2.572265,3.0
2.8151042,0.095052086,51,59,1,0,n21,2.572265,3.0
2.8411458,0.087239586,73,67,1,0,n22,2.572265,3.0
2.9244792,0.13151042,49,60,1,0,n23,2.572265,3.0
2.9401042,0.063802086,71,69,1,0,n24,2.572265,3.0
2.9882812,0.100260414,73,54,1,0,n25,2.572265,3.0
3.0833333,0.115885414,47,51,1,0,n26,2.572265,3.0
3.0846355,0.1953125,75,78,1,0,n27,3.083984,4.0
3.2278645,0.12760417,70,75,1,0,n28,3.083984,4.0
3.3619792,0.13671875,71,80,1,0,n29,3.083984,4.0
3.4947917,0.122395836,75,79,1,0,n30,3.083984,4.0
3.5885417,0.055989582,51,70,1,0,n31,3.083984,4.0
3.6171875,0.115885414,76,73,1,0,n32,3.083984,4.0
3.6692708,0.048177082,49,59,1,0,n33,3.617188,5.0
3.7252605,0.075520836,51,59,1,0,n34,3.617188,5.0
3.7317708,0.065104164,70,74,1,0,n35,3.617188,5.0
3.8020833,0.140625,49,60,1,0,n36,3.617188,5.0
3.8515625,0.10546875,71,70,1,0,n37,3.617188,5.0
3.9752605,0.040364582,47,49,1,0,n38,3.617188,5.0
3.9804688,0.15494792,76,71,1,0,n39,3.617188,5.0
4.015625,0.106770836,49,53,1,0,n40,3.617188,5.0
4.1289062,0.11328125,78,81,1,0,n41,3.617188,5.0
4.1354165,0.118489586,51,77,1,0,n42,4.132161,6.0
4.2565103,0.12630208,71,79,1,0,n43,4.132161,6.0
4.3984375,0.19401042,80,84,1,0,n44,4.132161,6.0
4.5299478,0.119791664,78,79,1,0,n45,4.132161,6.0
4.544271,0.046875,52,65,1,0,n46,4.132161,6.0
4.671875,0.05078125,54,62,1,0,n47,4.610026,7.0
4.6757812,0.0546875,76,77,1,0,n48,4.610026,7.0
4.7278647,0.040364582,52,67,1,0,n49,4.610026,7.0
4.7929688,0.12760417,75,76,1,0,n50,4.610026,7.0
4.7981772,0.044270832,54,55,1,0,n51,4.610026,7.0
4.8554688,0.05859375,52,60,1,0,n52,4.610026,7.0
4.9114585,0.092447914,73,71,1,0,n53,4.610026,7.0
4.9270835,0.052083332,51,70,1,0,n54,4.610026,7.0
5.0143228,0.106770836,52,64,1,0,n55,4.610026,7.0
5.0273438,0.09375,71,70,1,0,n56,4.610026,7.0
5.1770835,0.09765625,70,59,1,0,n57,4.610026,7.0
5.1809897,0.0390625,54,65,1,0,n58,5.179037,8.0
5.3059897,0.104166664,65,58,1,0,n59,5.179037,8.0
5.4492188,0.040364582,58,66,1,0,n60,5.179037,8.0
5.4570312,0.1171875,66,56,1,0,n61,5.179037,8.0
5.59375,0.140625,73,60,1,0,n62,5.179037,8.0
5.7330728,0.040364582,61,64,1,0,n63,5.179037,8.0
5.752604,0.09375,70,60,1,0,n64,5.742838,9.0
5.872396,0.140625,73,58,1,0,n65,5.742838,9.0
6.0299478,0.104166664,66,57,1,0,n66,5.742838,9.0
6.033854,0.040364582,58,53,1,0,n67,5.742838,9.0
6.15625,0.15625,73,64,1,0,n68,5.742838,9.0
6.2851562,0.069010414,54,55,1,0,n69,5.742838,9.0
6.296875,0.1015625,70,60,1,0,n70,6.291016,10.0
6.4231772,0.14192708,65,56,1,0,n71,6.291016,10.0
6.5611978,0.063802086,58,54,1,0,n72,6.291016,10.0
6.5703125,0.118489586,66,60,1,0,n73,6.291016,10.0
6.6992188,0.14453125,73,61,1,0,n74,6.291016,10.0
6.8333335,0.06640625,61,60,1,0,n75,6.291016,10.0
6.8684897,0.109375,70,59,1,0,n76,6.850912,11.0
6.9934897,0.11328125,73,59,1,0,n77,6.850912,11.0
7.1197915,0.061197918,52,54,1,0,n78,6.850912,11.0
7.1263022,0.104166664,66,56,1,0,n79,6.850912,11.0
7.252604,0.140625,73,62,1,0,n80,6.850912,11.0
7.3867188,0.106770836,71,63,1,0,n81,6.850912,11.0
7.3984375,0.06640625,51,60,1,0,n82,7.392579,12.0
7.528646,0.118489586,65,57,1,0,n83,7.392579,12.0
7.6601562,0.07421875,59,59,1,0,n84,7.392579,12.0
7.6679688,0.114583336,66,63,1,0,n85,7.392579,12.0
7.7890625,0.14322917,75,60,1,0,n86,7.392579,12.0
7.9427085,0.041666668,63,64,1,0,n87,7.392579,12.0
7.953125,0.100260414,71,62,1,0,n88,7.947916,13.0
8.0859375,0.106770836,75,60,1,0,n89,7.947916,13.0
8.213542,0.0390625,59,63,1,0,n90,7.947916,13.0
8.223958,0.1171875,66,58,1,0,n91,7.947916,13.0
8.3567705,0.14192708,75,64,1,0,n92,7.947916,13.0
8.479167,0.048177082,54,62,1,0,n93,7.947916,13.0
8.489583,0.108072914,71,59,1,0,n94,8.484375,14.0
8.6223955,0.12890625,65,55,1,0,n95,8.484375,14.0
8.755208,0.0546875,59,59,1,0,n96,8.484375,14.0
8.765625,0.13151042,66,62,1,0,n97,8.484375,14.0
8.9036455,0.1328125,75,64,1,0,n98,8.484375,14.0
9.040364,0.041666668,63,68,1,0,n99,8.484375,14.0
9.040364,0.1328125,71,70,1,0,n100,8.484375,14.0
9.177083,0.13151042,75,75,1,0,n101,9.040365,15.0
9.302083,0.032552082,59,74,1,0,n102,9.040365,15.0
9.311198,0.12760417,66,74,1,0,n103,9.040365,15.0
9.4401045,0.20703125,75,80,1,0,n104,9.040365,15.0
9.569011,0.12630208,46,70,1,0,n105,9.040365,15.0
9.5911455,0.17057292,73,73,1,0,n106,9.580078,16.0
9.717448,0.17057292,65,73,1,0,n107,9.580078,16.0
9.868489,0.040364582,61,71,1,0,n108,9.580078,16.0
9.8723955,0.12890625,66,73,1,0,n109,9.580078,16.0
10.009114,0.13802083,76,66,1,0,n110,9.580078,16.0
10.128906,0.0390625,64,71,1,0,n111,9.580078,16.0
10.147136,0.115885414,73,73,1,0,n112,10.13802,17.0
10.276042,0.125,76,57,1,0,n113,10.13802,17.0
10.402344,0.0625,61,70,1,0,n114,10.13802,17.0
10.412761,0.09765625,70,60,1,0,n115,10.13802,17.0
10.524739,0.15364583,76,59,1,0,n116,10.13802,17.0
10.6744795,0.049479168,58,69,1,0,n117,10.13802,17.0
10.686198,0.125,73,65,1,0,n118,10.680338,18.0
10.8125,0.15494792,65,62,1,0,n119,10.680338,18.0
10.953125,0.045572918,61,70,1,0,n120,10.680338,18.0
10.970052,0.1328125,66,67,1,0,n121,10.680338,18.0
11.118489,0.13151042,76,61,1,0,n122,10.680338,18.0
11.223958,0.045572918,58,65,1,0,n123,10.680338,18.0
11.248698,0.108072914,73,69,1,0,n124,11.236328,19.0
11.3619795,0.13802083,76,64,1,0,n125,11.236328,19.0
11.5,0.063802086,54,64,1,0,n126,11.236328,19.0
11.5078125,0.1171875,70,66,1,0,n127,11.236328,19.0
11.6328125,0.13802083,76,69,1,0,n128,11.236328,19.0
11.772136,0.14973958,75,71,1,0,n129,11.236328,19.0
11.779948,0.084635414,47,66,1,0,n130,11.776041,20.0
11.917969,0.098958336,70,67,1,0,n131,11.776041,20.0
12.040364,0.15625,71,69,1,0,n132,11.776041,20.0
12.046875,0.045572918,63,67,1,0,n133,11.776041,20.0
12.177083,0.15104167,78,72,1,0,n134,11.776041,20.0
12.311198,0.059895832,66,73,1,0,n135,11.776041,20.0
12.3203125,0.16276042,75,71,1,0,n136,12.315755,21.0
12.453125,0.1171875,78,74,1,0,n137,12.315755,21.0
12.572917,0.17317708,71,71,1,0,n138,12.315755,21.0
12.578125,0.07421875,63,74,1,0,n139,12.315755,21.0
12.714844,0.19270833,78,81,1,0,n140,12.315755,21.0
12.855469,0.080729164,59,78,1,0,n141,12.315755,21.0
12.860677,0.19921875,75,79,1,0,n142,12.858073,22.0
12.996094,0.15625,70,77,1,0,n143,12.858073,22.0
13.1171875,0.057291668,63,87,1,0,n144,12.858073,22.0
13.1328125,0.28385416,71,78,1,0,n145,12.858073,22.0
13.255208,0.13802083,78,79,1,0,n146,12.858073,22.0
13.385417,0.140625,75,84,1,0,n147,12.858073,22.0
13.390625,0.05078125,59,75,1,0,n148,13.388021,23.0
13.506511,0.14973958,78,83,1,0,n149,13.388021,23.0
13.649739,0.063802086,54,65,1,0,n150,13.388021,23.0
13.6588545,0.18880208,71,83,1,0,n151,13.388021,23.0
13.770833,0.19791667,78,86,1,0,n152,13.388021,23.0
13.927083,0.063802086,51,56,1,0,n153,13.388021,23.0
13.9348955,0.18489583,81,79,1,0,n154,13.930989,24.0
14.0625,0.171875,76,78,1,0,n155,13.930989,24.0
14.203125,0.111979164,78,84,1,0,n156,13.930989,24.0
14.208333,0.041666668,59,42,1,0,n157,13.930989,24.0
14.300781,0.18098958,81,76,1,0,n158,13.930989,24.0
14.453125,0.17708333,75,85,1,0,n159,13.930989,24.0
14.4557295,0.05078125,54,60,1,0,n160,14.454427,25.0
14.5859375,0.115885414,78,80,1,0,n161,14.454427,25.0
14.712239,0.059895832,51,57,1,0,n162,14.454427,25.0
14.7213545,0.12890625,71,77,1,0,n163,14.454427,25.0
14.842448,0.15364583,78,82,1,0,n164,14.454427,25.0
14.994792,0.123697914,81,77,1,0,n165,14.454427,25.0
15.0026045,0.052083332,47,51,1,0,n166,14.998698,26.0
