xml_id	midi_id	track	channel	pitch	onset
n14-1	n0	1	0	47	0.959375
n2-1	n1	1	0	59	1.1010416666666667
n3-1	n2	1	0	61	1.2583333333333333
n4-1	n3	1	0	63	1.4093749999999998
n5-1	n4	1	0	64	1.5604166666666666
n6-1	n5	1	0	66	1.7062499999999998
n7-1	n6	1	0	68	1.8458333333333332
n8-1	n7	1	0	70	1.9947916666666665
n20-1	n14	1	0	56	2.608333333333334
n19-1	n12	1	0	58	2.4687500000000004
n18-1	n11	1	0	59	2.3218750000000004
n9-1	n8	1	0	71	2.1010416666666667
n10-1	n13	1	0	73	2.5968750000000007
n24-1	n24	1	0	49	3.179166666666667
n23-1	n21	1	0	51	3.021875
n22-1	n18	1	0	52	2.9000000000000004
n21-1	n15	1	0	54	2.754166666666667
n12-1	n25	1	0	71	3.1906250000000007
n11-1	n17	1	0	73	2.8406250000000006
n13-1	n26	1	0	73	3.2604166666666674
n41-1	n27	1	0	47	3.330208333333334
n26-1	n29	1	0	70	3.5104166666666674
n27-1	n30	1	0	71	3.6666666666666674
n25-1	n28	1	0	75	3.339583333333334
n28-1	n31	1	0	75	3.7885416666666676
n44-1	n39	1	0	47	4.357291666666669
n43-1	n34	1	0	49	4.038541666666667
n45-1	n41	1	0	49	4.494791666666669
n30-1	n35	1	0	70	4.119791666666667
n31-1	n38	1	0	71	4.259375000000001
n29-1	n33	1	0	76	3.9604166666666676
n32-1	n40	1	0	76	4.4145833333333355
n46-1	n43	1	0	51	4.588541666666668
n48-1	n47	1	0	52	5.082291666666667
n34-1	n44	1	0	71	4.734375000000001
n33-1	n42	1	0	78	4.580208333333335
n36-1	n46	1	0	78	5.051041666666667
n35-1	n45	1	0	80	4.888541666666668
n50-1	n54	1	0	51	5.495833333333334
n49-1	n50	1	0	52	5.25625
n51-1	n56	1	0	52	5.595833333333333
n40-1	n57	1	0	71	5.635416666666667
n39-1	n55	1	0	73	5.5
n38-1	n52	1	0	75	5.3479166666666655
n37-1	n49	1	0	76	5.2125
n68-1	n58	1	0	54	5.78125
n69-1	n62	1	0	58	6.120833333333334
n53-1	n60	1	0	65	5.939583333333333
n54-1	n61	1	0	66	6.101041666666667
n52-1	n59	1	0	70	5.797916666666667
n55-1	n63	1	0	73	6.256250000000001
n71-1	n67	1	0	58	6.737500000000002
n70-1	n65	1	0	61	6.437500000000001
n58-1	n68	1	0	66	6.751041666666668
n56-1	n64	1	0	70	6.430208333333335
n57-1	n66	1	0	73	6.587500000000001
n59-1	n69	1	0	73	6.892708333333335
n72-1	n70	1	0	54	7.056250000000001
n73-1	n73	1	0	58	7.367708333333334
n61-1	n72	1	0	65	7.200000000000001
n62-1	n74	1	0	66	7.36875
n60-1	n71	1	0	70	7.066666666666668
n63-1	n75	1	0	73	7.502083333333333
n75-1	n79	1	0	52	7.9677083333333325
n74-1	n76	1	0	61	7.6812499999999995
n66-1	n80	1	0	66	7.971874999999999
n64-1	n77	1	0	70	7.684374999999999
n65-1	n78	1	0	73	7.830208333333332
n67-1	n81	1	0	73	8.120833333333332
n92-1	n82	1	0	51	8.285416666666665
n93-1	n86	1	0	59	8.614583333333332
n77-1	n84	1	0	65	8.452083333333333
n78-1	n85	1	0	66	8.602083333333331
n76-1	n83	1	0	71	8.302083333333332
n79-1	n87	1	0	75	8.745833333333334
n95-1	n92	1	0	59	9.212499999999999
n94-1	n89	1	0	63	8.910416666666666
n82-1	n91	1	0	66	9.202083333333333
n80-1	n88	1	0	71	8.908333333333333
n81-1	n90	1	0	75	9.059375
n83-1	n93	1	0	75	9.353124999999999
n96-1	n94	1	0	54	9.517708333333331
n97-1	n98	1	0	59	9.835416666666664
n85-1	n96	1	0	65	9.68333333333333
n86-1	n97	1	0	66	9.831249999999997
n84-1	n95	1	0	71	9.526041666666664
n87-1	n99	1	0	75	9.976041666666664
n99-1	n104	1	0	59	10.447916666666664
n98-1	n101	1	0	63	10.134374999999997
n90-1	n103	1	0	66	10.430208333333331
n88-1	n100	1	0	71	10.132291666666664
n89-1	n102	1	0	75	10.28020833333333
n91-1	n105	1	0	75	10.579166666666664
n116-1	n106	1	0	46	10.71770833333333
n117-1	n110	1	0	61	11.046874999999998
n101-1	n108	1	0	65	10.884374999999999
n102-1	n109	1	0	66	11.039583333333331
n100-1	n107	1	0	73	10.729166666666664
n103-1	n111	1	0	76	11.194791666666664
n119-1	n115	1	0	61	11.655208333333329
n118-1	n112	1	0	64	11.351041666666664
n106-1	n116	1	0	70	11.65833333333333
n104-1	n113	1	0	73	11.357291666666663
n105-1	n114	1	0	76	11.49583333333333
n107-1	n117	1	0	76	11.796874999999996
n120-1	n118	1	0	58	11.962499999999997
n121-1	n121	1	0	61	12.260416666666664
n109-1	n120	1	0	65	12.104166666666664
n110-1	n122	1	0	66	12.267708333333331
n108-1	n119	1	0	73	11.965624999999998
n111-1	n123	1	0	76	12.412499999999998
n123-1	n127	1	0	54	12.855208333333332
n122-1	n125	1	0	58	12.570833333333331
n114-1	n128	1	0	70	12.858333333333333
n112-1	n124	1	0	73	12.56145833333333
n113-1	n126	1	0	76	12.718749999999998
n115-1	n129	1	0	76	13.009374999999999
n140-1	n131	1	0	47	13.185416666666665
n141-1	n134	1	0	63	13.482291666666665
n125-1	n132	1	0	70	13.330208333333331
n126-1	n133	1	0	71	13.479166666666664
n124-1	n130	1	0	75	13.181249999999999
n127-1	n135	1	0	78	13.611458333333331
n143-1	n140	1	0	63	14.077083333333333
