xml_id	midi_id	track	channel	pitch	onset
n9-1	n1	1	0	47	1.0638020833333333
n10-1	n4	1	0	50	1.5559895833333333
n15-1	n13	1	0	53	2.8242187500000004
n11-1	n7	1	0	54	2.0351562500000004
n14-1	n12	1	0	54	2.729166666666667
n13-1	n10	1	0	55	2.5898437500000004
n3-1	n3	1	0	59	1.5416666666666665
n7-1	n9	1	0	59	2.4830729166666674
n4-1	n5	1	0	61	1.7916666666666667
n1-1	n0	1	0	62	1.0494791666666665
n5-1	n6	1	0	62	2.022135416666667
n8-1	n11	1	0	62	2.615885416666667
n2-1	n2	1	0	66	1.2981770833333333
n6-1	n8	1	0	66	2.2721354166666674
n27-1	n18	1	0	46	3.444010416666667
n26-1	n14	1	0	54	2.967447916666667
n16-1	n15	1	0	61	2.975260416666667
n20-1	n20	1	0	65	3.662760416666667
n17-1	n16	1	0	66	3.2109375000000004
n19-1	n19	1	0	66	3.5625000000000004
n21-1	n21	1	0	66	3.7773437500000004
n18-1	n17	1	0	67	3.436197916666667
n28-1	n23	1	0	49	3.8984375
n29-1	n25	1	0	54	4.334635416666667
n25-1	n27	1	0	64	4.58984375
n23-1	n24	1	0	66	4.119791666666667
n22-1	n22	1	0	70	3.8919270833333335
n24-1	n26	1	0	73	4.34765625
n38-1	n29	1	0	47	4.838541666666667
n39-1	n31	1	0	50	5.291666666666667
n32-1	n32	1	0	59	5.299479166666667
n33-1	n33	1	0	61	5.527343750000001
n30-1	n28	1	0	62	4.83203125
n31-1	n30	1	0	66	5.069010416666667
n44-1	n41	1	0	53	6.550781249999999
n40-1	n34	1	0	54	5.779947916666667
n43-1	n40	1	0	54	6.447916666666666
n42-1	n38	1	0	55	6.32421875
n36-1	n37	1	0	59	6.235677083333333
n34-1	n35	1	0	62	5.794270833333334
n37-1	n39	1	0	62	6.37890625
n35-1	n36	1	0	66	6.022135416666667
n53-1	n45	1	0	42	7.16015625
n52-1	n43	1	0	54	6.713541666666666
n48-1	n47	1	0	58	7.391927083333333
n45-1	n42	1	0	61	6.699218749999999
n47-1	n46	1	0	61	7.165364583333333
n46-1	n44	1	0	66	6.94140625
n57-1	n51	1	0	49	8.359375
n56-1	n50	1	0	50	8.130208333333334
n55-1	n49	1	0	52	7.880208333333334
n49-1	n48	1	0	54	7.635416666666667
n64-1	n54	1	0	47	9.0703125
n65-1	n56	1	0	49	9.3046875
n62-1	n52	1	0	50	8.59765625
n63-1	n53	1	0	54	8.833333333333334
n59-1	n55	1	0	74	9.075520833333334
n68-1	n60	1	0	47	10.018229166666666
n66-1	n57	1	0	50	9.540364583333334
n69-1	n62	1	0	50	10.265625
n67-1	n59	1	0	54	9.78515625
n61-1	n61	1	0	66	10.033854166666666
n60-1	n58	1	0	71	9.54296875
n74-1	n63	1	0	49	10.4921875
n78-1	n68	1	0	53	11.156250000000002
n75-1	n64	1	0	54	10.72265625
n77-1	n67	1	0	54	11.061197916666668
n79-1	n69	1	0	54	11.273437500000002
n76-1	n65	1	0	55	10.954427083333334
n71-1	n66	1	0	76	10.958333333333334
n83-1	n75	1	0	52	12.117187500000002
n81-1	n72	1	0	54	11.639322916666668
n80-1	n70	1	0	58	11.404947916666668
n82-1	n74	1	0	61	11.901041666666668
n73-1	n73	1	0	66	11.886718750000002
n72-1	n71	1	0	73	11.404947916666668
n95-1	n79	1	0	47	12.835937500000002
n96-1	n80	1	0	49	13.053385416666668
n93-1	n76	1	0	50	12.358072916666668
n94-1	n77	1	0	54	12.570312500000002
n85-1	n78	1	0	78	12.830729166666668
n99-1	n85	1	0	47	13.703125000000002
n97-1	n81	1	0	50	13.265625000000002
n100-1	n88	1	0	50	13.911458333333334
n98-1	n83	1	0	54	13.523437500000002
n92-1	n90	1	0	71	14.024739583333336
n91-1	n89	1	0	73	13.933593750000002
n88-1	n84	1	0	74	13.609375000000002
n90-1	n87	1	0	74	13.832031250000002
n87-1	n82	1	0	76	13.503906250000002
n89-1	n86	1	0	76	13.733072916666668
n112-1	n96	1	0	46	14.852864583333337
n109-1	n91	1	0	49	14.134114583333336
n111-1	n94	1	0	49	14.638020833333337
n110-1	n93	1	0	54	14.398437500000004
n102-1	n95	1	0	70	14.640625000000004
n101-1	n92	1	0	71	14.16666666666667
n113-1	n97	1	0	42	15.106770833333337
n114-1	n100	1	0	58	15.569010416666671
n106-1	n101	1	0	61	15.572916666666671
n105-1	n99	1	0	62	15.453125000000005
n107-1	n102	1	0	62	15.675781250000005
n104-1	n98	1	0	64	15.356770833333337
n108-1	n103	1	0	64	15.828125000000005
n124-1	n105	1	0	47	16.06510416666667
n125-1	n109	1	0	59	16.522135416666668
n115-1	n104	1	0	62	16.06119791666667
n116-1	n106	1	0	71	16.302083333333336
n120-1	n111	1	0	71	16.759114583333336
n117-1	n107	1	0	73	16.404947916666668
n119-1	n110	1	0	73	16.608072916666668
n118-1	n108	1	0	74	16.5078125
n126-1	n112	1	0	61	16.989583333333336
n127-1	n114	1	0	63	17.449218750000004
n123-1	n115	1	0	69	17.68098958333334
n122-1	n113	1	0	78	17.214843750000004
n138-1	n120	1	0	52	18.39192708333334
n137-1	n116	1	0	64	17.929687500000007
n131-1	n119	1	0	68	18.37760416666667
n130-1	n118	1	0	69	18.29166666666667
n132-1	n121	1	0	69	18.49479166666667
n129-1	n117	1	0	71	18.16927083333334
n133-1	n122	1	0	71	18.634114583333336
n139-1	n123	1	0	54	18.880208333333336
n140-1	n125	1	0	56	19.337239583333336
n135-1	n124	1	0	62	19.118489583333336
n136-1	n126	1	0	71	19.589843750000004
n150-1	n128	1	0	45	19.835937500000004
n151-1	n132	1	0	57	20.277343750000004
n141-1	n127	1	0	61	19.832031250000004
n142-1	n129	1	0	69	20.032552083333336
n146-1	n134	1	0	69	20.490885416666668
n143-1	n130	1	0	71	20.15885416666667
n145-1	n133	1	0	71	20.352864583333336
n144-1	n131	1	0	73	20.26432291666667
n152-1	n135	1	0	59	20.760416666666668
n153-1	n137	1	0	61	21.217447916666668
n149-1	n138	1	0	67	21.44921875
n148-1	n136	1	0	76	20.986979166666668
n164-1	n142	1	0	50	22.11458333333334
n163-1	n139	1	0	62	21.678385416666668
n157-1	n143	1	0	66	22.148437500000007
n156-1	n141	1	0	67	22.04557291666667
n158-1	n144	1	0	67	22.244791666666675
n155-1	n140	1	0	69	21.929687500000004
n159-1	n145	1	0	69	22.368489583333343
n165-1	n146	1	0	52	22.600260416666675
n166-1	n148	1	0	54	23.08723958333334
n161-1	n147	1	0	61	22.871093750000007
n162-1	n149	1	0	69	23.332031250000007
n177-1	n151	1	0	43	23.58854166666667
n178-1	n153	1	0	47	24.03385416666667
n167-1	n150	1	0	59	23.55989583333334
n168-1	n152	1	0	66	23.81901041666667
n169-1	n154	1	0	69	24.28255208333334
n179-1	n155	1	0	50	24.51302083333334
n180-1	n158	1	0	52	24.975260416666675
n176-1	n162	1	0	62	25.30859375000001
n175-1	n161	1	0	64	25.21093750000001
n172-1	n157	1	0	66	24.875000000000007
n174-1	n160	1	0	66	25.087239583333343
n171-1	n156	1	0	67	24.769531250000007
n173-1	n159	1	0	67	24.985677083333343
n191-1	n163	1	0	45	25.446614583333343
n192-1	n166	1	0	49	25.911458333333343
n181-1	n164	1	0	61	25.459635416666675
n182-1	n165	1	0	67	25.683593750000007
n183-1	n167	1	0	71	26.149739583333343
n193-1	n168	1	0	52	26.372395833333343
n194-1	n172	1	0	54	26.845052083333343
n190-1	n175	1	0	64	27.160156250000007
n189-1	n174	1	0	66	27.058593750000007
n186-1	n170	1	0	67	26.739583333333343
n188-1	n173	1	0	67	26.94921875000001
n185-1	n169	1	0	69	26.631510416666675
n187-1	n171	1	0	69	26.834635416666675
n205-1	n176	1	0	47	27.276041666666675
n206-1	n179	1	0	50	27.73958333333334
n195-1	n177	1	0	62	27.304687500000007
n196-1	n178	1	0	69	27.52473958333334
n197-1	n180	1	0	72	27.96744791666667
n207-1	n181	1	0	54	28.199218750000004
n208-1	n184	1	0	55	28.628906250000004
n204-1	n188	1	0	66	28.966145833333336
n203-1	n187	1	0	67	28.848958333333336
n200-1	n183	1	0	69	28.54947916666667
n202-1	n186	1	0	69	28.759114583333336
n199-1	n182	1	0	71	28.437500000000004
n201-1	n185	1	0	71	28.652343750000004
n219-1	n189	1	0	49	29.087239583333336
n220-1	n192	1	0	52	29.532552083333336
n209-1	n190	1	0	64	29.102864583333336
n210-1	n191	1	0	71	29.31901041666667
n211-1	n193	1	0	74	29.774739583333336
n221-1	n194	1	0	55	30.003906250000004
n222-1	n197	1	0	57	30.44921875
n218-1	n201	1	0	67	30.779947916666668
n217-1	n200	1	0	69	30.66796875
n214-1	n196	1	0	71	30.368489583333336
n216-1	n199	1	0	71	30.555989583333332
n213-1	n195	1	0	73	30.242187500000004
n215-1	n198	1	0	73	30.453125
n231-1	n203	1	0	50	30.94140625
n232-1	n205	1	0	54	31.368489583333336
n225-1	n206	1	0	62	31.368489583333336
n226-1	n207	1	0	64	31.604166666666668
n223-1	n202	1	0	66	30.919270833333332
n224-1	n204	1	0	69	31.135416666666668
n237-1	n215	1	0	56	32.62239583333334
n233-1	n208	1	0	57	31.843750000000004
n236-1	n214	1	0	57	32.51822916666667
n235-1	n212	1	0	59	32.427083333333336
n229-1	n211	1	0	62	32.309895833333336
n227-1	n209	1	0	66	31.863281250000004
n230-1	n213	1	0	66	32.5078125
n228-1	n210	1	0	69	32.075520833333336
n249-1	n220	1	0	49	33.20833333333334
n248-1	n216	1	0	57	32.76041666666667
n238-1	n217	1	0	64	32.80338541666667
n242-1	n222	1	0	68	33.40234375000001
n239-1	n218	1	0	69	32.99739583333334
n241-1	n221	1	0	69	33.30729166666668
n243-1	n223	1	0	69	33.50651041666667
n240-1	n219	1	0	71	33.20442708333334
n250-1	n225	1	0	52	33.680989583333336
n251-1	n227	1	0	57	34.106770833333336
n247-1	n229	1	0	67	34.3359375
n245-1	n226	1	0	69	33.86588541666667
n244-1	n224	1	0	73	33.63541666666667
n246-1	n228	1	0	76	34.11328125
n260-1	n231	1	0	50	34.58203125
n261-1	n233	1	0	54	35.03255208333333
n254-1	n234	1	0	62	35.04036458333333
n255-1	n235	1	0	64	35.27604166666666
n252-1	n230	1	0	66	34.569010416666664
n253-1	n232	1	0	69	34.822916666666664
n266-1	n243	1	0	56	36.269531249999986
n262-1	n236	1	0	57	35.496093749999986
n265-1	n242	1	0	57	36.171874999999986
n264-1	n240	1	0	59	36.07291666666666
n258-1	n239	1	0	62	35.95572916666666
n256-1	n237	1	0	66	35.51692708333332
n259-1	n241	1	0	66	36.11588541666666
n257-1	n238	1	0	69	35.73567708333332
n275-1	n247	1	0	45	36.886718749999986
n274-1	n245	1	0	57	36.419270833333314
n270-1	n249	1	0	61	37.121093749999986
n267-1	n244	1	0	64	36.41666666666665
n269-1	n248	1	0	64	36.89713541666665
n268-1	n246	1	0	69	36.652343749999986
n279-1	n253	1	0	52	38.06380208333333
n278-1	n252	1	0	54	37.82031249999999
n277-1	n251	1	0	55	37.58463541666666
n271-1	n250	1	0	57	37.35937499999999
n289-1	n257	1	0	50	38.778645833333336
n290-1	n258	1	0	52	39.0
n287-1	n254	1	0	54	38.299479166666664
n288-1	n255	1	0	57	38.515625
n281-1	n256	1	0	69	38.76953125
