onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,0.5,0.0,1.0,0,4,47,5,n9-1,0.0,1.056641
0.0,0.25,0.0,0.5,0,2,62,1,n1-1,0.0,1.056641
0.25,0.25,0.5,0.5,2,2,66,1,n2-1,0.0,1.056641
0.5,0.5,1.0,1.0,4,4,50,5,n10-1,0.0,1.056641
0.5,0.25,1.0,0.5,4,2,59,1,n3-1,0.0,1.056641
0.75,0.25,1.5,0.5,6,2,61,1,n4-1,0.0,1.056641
1.0,0.625,2.0,1.25,8,5,54,5,n11-1,1.0,2.028646
1.0,0.25,2.0,0.5,8,2,62,1,n5-1,1.0,2.028646
1.25,0.25,2.5,0.5,10,2,66,1,n6-1,1.0,2.028646
1.5,0.25,3.0,0.5,12,2,59,1,n7-1,1.0,2.028646
1.625,0.125,3.25,0.25,13,1,55,5,n13-1,1.0,2.028646
1.75,0.125,3.5,0.25,14,1,54,5,n14-1,1.0,2.028646
1.75,0.25,3.5,0.5,14,2,62,1,n8-1,1.0,2.028646
1.875,0.125,3.75,0.25,15,1,53,5,n15-1,1.0,2.028646
2.0,0.5,4.0,1.0,16,4,54,5,n26-1,2.0,2.971354
2.0,0.25,4.0,0.5,16,2,61,1,n16-1,2.0,2.971354
2.25,0.25,4.5,0.5,18,2,66,1,n17-1,2.0,2.971354
2.5,0.5,5.0,1.0,20,4,46,5,n27-1,2.0,2.971354
2.5,0.125,5.0,0.25,20,1,67,1,n18-1,2.0,2.971354
2.625,0.125,5.25,0.25,21,1,66,1,n19-1,2.0,2.971354
2.75,0.125,5.5,0.25,22,1,65,1,n20-1,2.0,2.971354
2.875,0.125,5.75,0.25,23,1,66,1,n21-1,2.0,2.971354
3.0,0.5,6.0,1.0,24,4,49,5,n28-1,3.0,3.895182
3.0,0.25,6.0,0.5,24,2,70,1,n22-1,3.0,3.895182
3.25,0.25,6.5,0.5,26,2,66,1,n23-1,3.0,3.895182
3.5,0.5,7.0,1.0,28,4,54,5,n29-1,3.0,3.895182
