onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0494791,0.2981771,62,52,1,0,n0,-10.0,-10.0
1.0638021,0.3203125,47,31,1,0,n1,1.056641,0.0
1.2981771,0.3736979,66,60,1,0,n2,1.056641,0.0
1.5416666,0.3268229,59,56,1,0,n3,1.056641,0.0
1.5559896,0.46614584,50,49,1,0,n4,1.056641,0.0
1.7916666,0.1484375,61,64,1,0,n5,1.056641,0.0
2.0221355,0.23307292,62,63,1,0,n6,1.056641,0.0
2.0351562,0.5234375,54,54,1,0,n7,2.028646,1.0
2.2721355,0.23307292,66,57,1,0,n8,2.028646,1.0
2.483073,0.14192708,59,52,1,0,n9,2.028646,1.0
2.5898438,0.115885414,55,49,1,0,n10,2.028646,1.0
2.6158855,0.091145836,62,54,1,0,n11,2.028646,1.0
2.7291667,0.08984375,54,54,1,0,n12,2.028646,1.0
2.8242188,0.1171875,53,52,1,0,n13,2.028646,1.0
2.967448,0.2825521,54,49,1,0,n14,2.028646,1.0
2.9752605,0.26041666,61,57,1,0,n15,2.971354,2.0
3.2109375,0.1953125,66,57,1,0,n16,2.971354,2.0
3.436198,0.1171875,67,52,1,0,n17,2.971354,2.0
3.4440105,0.26171875,46,44,1,0,n18,2.971354,2.0
3.5625,0.065104164,66,61,1,0,n19,2.971354,2.0
3.6627605,0.09375,65,57,1,0,n20,2.971354,2.0
3.7773438,0.084635414,66,55,1,0,n21,2.971354,2.0
3.891927,0.30208334,70,66,1,0,n22,2.971354,2.0
3.8984375,0.2721354,49,47,1,0,n23,3.895182,3.0
4.1197915,0.18098958,66,67,1,0,n24,3.895182,3.0
4.3346353,0.3216146,54,46,1,0,n25,3.895182,3.0
4.3476562,0.21744792,73,62,1,0,n26,3.895182,3.0
4.5898438,0.14583333,64,51,1,0,n27,3.895182,3.0
4.8320312,0.24609375,62,64,1,0,n28,3.895182,3.0
4.8385415,0.34765625,47,45,1,0,n29,4.835286,4.0
5.0690103,0.43229166,66,65,1,0,n30,4.835286,4.0
5.2916665,0.3203125,50,53,1,0,n31,4.835286,4.0
5.299479,0.26041666,59,63,1,0,n32,4.835286,4.0
5.5273438,0.119791664,61,70,1,0,n33,4.835286,4.0
5.7799478,0.5052083,54,57,1,0,n34,4.835286,4.0
5.794271,0.24869792,62,64,1,0,n35,5.787109,5.0
6.0221353,0.37760416,66,64,1,0,n36,5.787109,5.0
6.2356772,0.13151042,59,47,1,0,n37,5.787109,5.0
6.3242188,0.102864586,55,47,1,0,n38,5.787109,5.0
6.3789062,0.0703125,62,45,1,0,n39,5.787109,5.0
6.4479165,0.100260414,54,52,1,0,n40,5.787109,5.0
6.5507812,0.115885414,53,53,1,0,n41,5.787109,5.0
6.6992188,0.23567708,61,55,1,0,n42,5.787109,5.0
6.7135415,0.22526042,54,52,1,0,n43,6.70638,6.0
6.9414062,0.33984375,66,58,1,0,n44,6.70638,6.0
7.1601562,0.41666666,42,35,1,0,n45,6.70638,6.0
7.1653647,0.24479167,61,51,1,0,n46,6.70638,6.0
7.3919272,0.13411458,58,55,1,0,n47,6.70638,6.0
7.6354165,0.30859375,54,48,1,0,n48,6.70638,6.0
7.8802085,0.296875,52,44,1,0,n49,7.635417,7.0
8.130208,0.2890625,50,45,1,0,n50,7.635417,7.0
8.359375,0.13411458,49,56,1,0,n51,7.635417,7.0
8.597656,0.3033854,50,56,1,0,n52,8.597656,8.0
8.833333,0.203125,54,63,1,0,n53,8.597656,8.0
9.0703125,0.25,47,50,1,0,n54,8.597656,8.0
9.0755205,0.40625,74,63,1,0,n55,8.597656,8.0
9.3046875,0.16536458,49,61,1,0,n56,8.597656,8.0
9.540364,0.2981771,50,50,1,0,n57,8.597656,8.0
9.542969,0.27734375,71,64,1,0,n58,9.541667,9.0
9.785156,0.234375,54,53,1,0,n59,9.541667,9.0
10.0182295,0.2955729,47,53,1,0,n60,9.541667,9.0
10.0338545,0.36979166,66,60,1,0,n61,9.541667,9.0
10.265625,0.20833333,50,57,1,0,n62,9.541667,9.0
10.4921875,0.21614583,49,60,1,0,n63,9.541667,9.0
10.722656,0.203125,54,60,1,0,n64,10.492188,10.0
10.954427,0.108072914,55,57,1,0,n65,10.492188,10.0
10.958333,0.48697916,76,66,1,0,n66,10.492188,10.0
11.061198,0.067708336,54,59,1,0,n67,10.492188,10.0
11.15625,0.09765625,53,49,1,0,n68,10.492188,10.0
11.2734375,0.11328125,54,63,1,0,n69,10.492188,10.0
11.404948,0.24088542,58,54,1,0,n70,11.404948,11.0
11.404948,0.3190104,73,75,1,0,n71,11.404948,11.0
11.639323,0.15234375,54,69,1,0,n72,11.404948,11.0
11.886719,0.34635416,66,73,1,0,n73,11.404948,11.0
11.901042,0.23567708,61,54,1,0,n74,11.404948,11.0
12.1171875,0.19401042,52,66,1,0,n75,11.404948,11.0
12.358073,0.20833333,50,67,1,0,n76,12.358073,12.0
12.5703125,0.3033854,54,59,1,0,n77,12.358073,12.0
12.8307295,0.65494794,78,81,1,0,n78,12.358073,12.0
12.8359375,0.20442708,47,51,1,0,n79,12.358073,12.0
13.053386,0.098958336,49,61,1,0,n80,12.358073,12.0
13.265625,0.29296875,50,57,1,0,n81,13.265625,13.0
13.503906,0.091145836,76,56,1,0,n82,13.265625,13.0
13.5234375,0.1875,54,41,1,0,n83,13.265625,13.0
13.609375,0.100260414,74,60,1,0,n84,13.265625,13.0
13.703125,0.16536458,47,45,1,0,n85,13.265625,13.0
13.733073,0.1171875,76,45,1,0,n86,13.265625,13.0
13.832031,0.092447914,74,53,1,0,n87,13.265625,13.0
13.911458,0.2643229,50,41,1,0,n88,13.265625,13.0
13.933594,0.100260414,73,59,1,0,n89,13.265625,13.0
14.024739,0.0390625,71,60,1,0,n90,13.265625,13.0
14.134114,0.2734375,49,41,1,0,n91,13.265625,13.0
14.166667,0.4908854,71,64,1,0,n92,14.150391,14.0
14.3984375,0.28515625,54,48,1,0,n93,14.150391,14.0
14.6380205,0.27083334,49,42,1,0,n94,14.150391,14.0
14.640625,0.3190104,70,58,1,0,n95,14.150391,14.0
14.852864,0.13671875,46,53,1,0,n96,14.150391,14.0
15.1067705,0.18489583,42,49,1,0,n97,14.150391,14.0
15.3567705,0.075520836,64,55,1,0,n98,15.106771,15.0
15.453125,0.100260414,62,61,1,0,n99,15.106771,15.0
15.569011,0.32552084,58,43,1,0,n100,15.106771,15.0
15.572917,0.087239586,61,59,1,0,n101,15.106771,15.0
15.675781,0.1171875,62,62,1,0,n102,15.106771,15.0
15.828125,0.18619792,64,58,1,0,n103,15.106771,15.0
16.061197,0.091145836,62,56,1,0,n104,15.106771,15.0
16.065104,0.3111979,47,50,1,0,n105,16.06315,16.0
16.302084,0.1015625,71,52,1,0,n106,16.06315,16.0
16.404947,0.079427086,73,60,1,0,n107,16.06315,16.0
16.507812,0.119791664,74,61,1,0,n108,16.06315,16.0
16.522135,0.2109375,59,38,1,0,n109,16.06315,16.0
16.608072,0.075520836,73,63,1,0,n110,16.06315,16.0
16.759115,0.40625,71,72,1,0,n111,16.06315,16.0
16.989584,0.265625,61,65,1,0,n112,16.989582,17.0
17.214844,0.4440104,78,75,1,0,n113,16.989582,17.0
17.449219,0.26302084,63,66,1,0,n114,16.989582,17.0
17.68099,0.4596354,69,73,1,0,n115,16.989582,17.0
17.929688,0.2721354,64,66,1,0,n116,17.929688,18.0
18.169271,0.106770836,71,54,1,0,n117,17.929688,18.0
18.291666,0.06640625,69,57,1,0,n118,17.929688,18.0
18.377604,0.109375,68,63,1,0,n119,17.929688,18.0
18.391928,0.22265625,52,39,1,0,n120,17.929688,18.0
18.494791,0.055989582,69,64,1,0,n121,17.929688,18.0
18.634115,0.3138021,71,65,1,0,n122,17.929688,18.0
18.880209,0.28125,54,50,1,0,n123,18.880207,19.0
19.11849,0.4296875,62,53,1,0,n124,18.880207,19.0
19.33724,0.2265625,56,52,1,0,n125,18.880207,19.0
