xml_id	midi_id	track	channel	pitch	onset
n9-1	n1	1	0	47	1.1002604166666665
n10-1	n3	1	0	50	1.552083333333333
n15-1	n13	1	0	53	2.7226562499999982
n11-1	n6	1	0	54	1.9960937499999996
n14-1	n11	1	0	54	2.6249999999999982
n13-1	n10	1	0	55	2.5234374999999987
n3-1	n4	1	0	59	1.5546874999999998
n7-1	n9	1	0	59	2.421874999999999
n4-1	n5	1	0	61	1.774739583333333
n1-1	n0	1	0	62	1.0872395833333333
n5-1	n7	1	0	62	1.9960937499999996
n8-1	n12	1	0	62	2.6249999999999982
n2-1	n2	1	0	66	1.3437499999999996
n6-1	n8	1	0	66	2.209635416666666
n27-1	n18	1	0	46	3.3098958333333313
n26-1	n15	1	0	54	2.8580729166666647
n16-1	n14	1	0	61	2.8476562499999982
n20-1	n20	1	0	65	3.5026041666666647
n17-1	n16	1	0	66	3.0794270833333313
n19-1	n19	1	0	66	3.4192708333333313
n21-1	n21	1	0	66	3.5976562499999982
n18-1	n17	1	0	67	3.2955729166666647
n28-1	n22	1	0	49	3.7161458333333317
n29-1	n25	1	0	54	4.208333333333332
n25-1	n27	1	0	64	4.420572916666665
n23-1	n24	1	0	66	3.958333333333332
n22-1	n23	1	0	70	3.7278645833333317
n24-1	n26	1	0	73	4.209635416666665
n38-1	n29	1	0	47	4.677083333333331
n39-1	n32	1	0	50	5.131510416666665
n32-1	n31	1	0	59	5.117187499999998
n33-1	n33	1	0	61	5.337239583333332
n30-1	n28	1	0	62	4.673177083333331
n31-1	n30	1	0	66	4.907552083333331
n44-1	n41	1	0	53	6.28515625
n40-1	n34	1	0	54	5.561197916666666
n43-1	n39	1	0	54	6.182291666666667
n42-1	n38	1	0	55	6.092447916666667
n36-1	n37	1	0	59	6.0
n34-1	n35	1	0	62	5.563802083333333
n37-1	n40	1	0	62	6.21484375
n35-1	n36	1	0	66	5.7890625
n53-1	n46	1	0	42	6.90625
n52-1	n43	1	0	54	6.432291666666666
n48-1	n47	1	0	58	7.105468750000001
n45-1	n42	1	0	61	6.419270833333333
n47-1	n45	1	0	61	6.88671875
n46-1	n44	1	0	66	6.65234375
n57-1	n51	1	0	49	8.028645833333334
