onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0872396,0.3294271,62,45,1,0,n0,-10.0,-10.0
1.1002604,0.5833333,47,42,1,0,n1,1.09375,0.0
1.34375,0.20442708,66,46,1,0,n2,1.09375,0.0
1.5520834,0.48697916,50,55,1,0,n3,1.09375,0.0
1.5546875,0.25520834,59,52,1,0,n4,1.09375,0.0
1.7747396,0.21614583,61,63,1,0,n5,1.09375,0.0
1.9960938,0.50130206,54,63,1,0,n6,1.09375,0.0
1.9960938,0.26302084,62,67,1,0,n7,1.09375,0.0
2.2096355,0.23046875,66,65,1,0,n8,1.996094,1.0
2.421875,0.18229167,59,62,1,0,n9,1.996094,1.0
2.5234375,0.098958336,55,67,1,0,n10,1.996094,1.0
2.625,0.075520836,54,61,1,0,n11,1.996094,1.0
2.625,0.2265625,62,59,1,0,n12,1.996094,1.0
2.7226562,0.1171875,53,65,1,0,n13,1.996094,1.0
2.8476562,0.27604166,61,64,1,0,n14,1.996094,1.0
2.858073,0.54817706,54,62,1,0,n15,2.852864,2.0
3.079427,0.106770836,66,63,1,0,n16,2.852864,2.0
3.295573,0.16145833,67,60,1,0,n17,2.852864,2.0
3.3098958,0.5182292,46,54,1,0,n18,2.852864,2.0
3.4192708,0.0546875,66,54,1,0,n19,2.852864,2.0
3.5026042,0.095052086,65,68,1,0,n20,2.852864,2.0
3.5976562,0.17838542,66,73,1,0,n21,2.852864,2.0
3.7161458,0.56380206,49,53,1,0,n22,2.852864,2.0
3.7278645,0.2890625,70,67,1,0,n23,3.722005,3.0
3.9583333,0.375,66,69,1,0,n24,3.722005,3.0
4.2083335,0.57682294,54,48,1,0,n25,3.722005,3.0
4.2096353,0.21614583,73,66,1,0,n26,3.722005,3.0
4.4205728,0.32291666,64,67,1,0,n27,3.722005,3.0
4.6731772,0.36328125,62,63,1,0,n28,3.722005,3.0
4.6770835,0.52473956,47,62,1,0,n29,4.67513,4.0
4.9075522,0.24348958,66,66,1,0,n30,4.67513,4.0
5.1171875,0.265625,59,66,1,0,n31,4.67513,4.0
5.1315103,0.4700521,50,55,1,0,n32,4.67513,4.0
5.3372397,0.2578125,61,69,1,0,n33,4.67513,4.0
5.5611978,0.5052083,54,62,1,0,n34,4.67513,4.0
5.5638022,0.2565104,62,63,1,0,n35,5.5625,5.0
5.7890625,0.2734375,66,60,1,0,n36,5.5625,5.0
6.0,0.19140625,59,59,1,0,n37,5.5625,5.0
6.0924478,0.083333336,55,60,1,0,n38,5.5625,5.0
6.1822915,0.0859375,54,56,1,0,n39,5.5625,5.0
6.2148438,0.25520834,62,54,1,0,n40,5.5625,5.0
6.2851562,0.12109375,53,61,1,0,n41,5.5625,5.0
6.419271,0.25260416,61,59,1,0,n42,5.5625,5.0
6.4322915,0.61588544,54,60,1,0,n43,6.425781,6.0
6.6523438,0.3190104,66,54,1,0,n44,6.425781,6.0
6.8867188,0.3828125,61,52,1,0,n45,6.425781,6.0
6.90625,0.30729166,42,41,1,0,n46,6.425781,6.0
7.1054688,0.3671875,58,56,1,0,n47,6.425781,6.0
7.3489585,0.34114584,54,55,1,0,n48,7.348958,7.0
7.5703125,0.25390625,52,59,1,0,n49,7.348958,7.0
7.799479,0.24088542,50,58,1,0,n50,7.348958,7.0
8.0286455,0.2513021,49,61,1,0,n51,7.348958,7.0
8.253906,0.24088542,50,61,1,0,n52,8.253906,8.0
8.4609375,0.36458334,54,59,1,0,n53,8.253906,8.0
8.7213545,0.58463544,74,63,1,0,n54,8.253906,8.0
8.733073,0.2734375,47,47,1,0,n55,8.253906,8.0
8.933594,0.23177083,49,54,1,0,n56,8.253906,8.0
9.177083,0.5520833,71,62,1,0,n57,8.253906,8.0
9.182292,0.2565104,50,50,1,0,n58,9.179688,9.0
9.394531,0.3033854,54,50,1,0,n59,9.179688,9.0
9.615886,0.35416666,66,58,1,0,n60,9.179688,9.0
9.625,0.21744792,47,51,1,0,n61,9.179688,9.0
9.839844,0.22135417,50,61,1,0,n62,9.179688,9.0
10.067708,0.22526042,49,65,1,0,n63,10.067708,10.0
10.265625,0.22786458,54,67,1,0,n64,10.067708,10.0
10.506511,0.55598956,76,68,1,0,n65,10.067708,10.0
10.509114,0.10546875,55,66,1,0,n66,10.067708,10.0
10.615886,0.06640625,54,60,1,0,n67,10.067708,10.0
10.694011,0.12109375,53,68,1,0,n68,10.067708,10.0
10.822917,0.1171875,54,65,1,0,n69,10.067708,10.0
10.9505205,0.8567708,73,67,1,0,n70,10.067708,10.0
10.951823,0.2513021,58,63,1,0,n71,10.951172,11.0
11.1692705,0.2565104,54,60,1,0,n72,10.951172,11.0
11.389323,0.40364584,66,66,1,0,n73,10.951172,11.0
11.401042,0.26171875,61,59,1,0,n74,10.951172,11.0
11.608073,0.25,52,66,1,0,n75,10.951172,11.0
11.8411455,0.21614583,50,68,1,0,n76,10.951172,11.0
12.055989,0.38541666,54,62,1,0,n77,11.841146,12.0
12.321614,0.6640625,78,74,1,0,n78,11.841146,12.0
12.3255205,0.2747396,47,52,1,0,n79,11.841146,12.0
12.553386,0.22526042,49,59,1,0,n80,11.841146,12.0
12.78125,0.23567708,50,58,1,0,n81,12.78125,13.0
12.996094,0.2421875,54,55,1,0,n82,12.78125,13.0
12.996094,0.092447914,76,61,1,0,n83,12.78125,13.0
13.0963545,0.100260414,74,63,1,0,n84,12.78125,13.0
13.204427,0.17447917,47,51,1,0,n85,12.78125,13.0
13.2161455,0.15494792,76,58,1,0,n86,12.78125,13.0
13.3203125,0.1171875,74,63,1,0,n87,12.78125,13.0
13.404948,0.2565104,50,49,1,0,n88,12.78125,13.0
13.412761,0.092447914,73,67,1,0,n89,12.78125,13.0
13.516927,0.053385418,71,68,1,0,n90,12.78125,13.0
13.667969,0.53255206,71,57,1,0,n91,12.78125,13.0
13.671875,0.19921875,49,51,1,0,n92,13.669922,14.0
13.899739,0.29296875,54,55,1,0,n93,13.669922,14.0
14.119792,0.2591146,70,53,1,0,n94,13.669922,14.0
14.144531,0.21354167,49,43,1,0,n95,13.669922,14.0
14.3515625,0.24609375,46,50,1,0,n96,13.669922,14.0
14.613281,0.25520834,42,45,1,0,n97,14.613281,15.0
14.8567705,0.102864586,64,44,1,0,n98,14.613281,15.0
14.9713545,0.080729164,62,48,1,0,n99,14.613281,15.0
15.074219,0.071614586,61,57,1,0,n100,14.613281,15.0
15.076823,0.102864586,58,44,1,0,n101,14.613281,15.0
15.183594,0.125,62,54,1,0,n102,14.613281,15.0
15.302083,0.055989582,64,51,1,0,n103,14.613281,15.0
15.569011,0.072916664,62,53,1,0,n104,14.613281,15.0
15.574219,0.5755208,47,36,1,0,n105,15.571614,16.0
15.8515625,0.2981771,71,53,1,0,n106,15.571614,16.0
15.947917,0.20182292,73,66,1,0,n107,15.571614,16.0
16.075521,0.118489586,74,67,1,0,n108,15.571614,16.0
16.084635,0.56901044,59,52,1,0,n109,15.571614,16.0
16.183594,0.1640625,73,70,1,0,n110,15.571614,16.0
16.31901,0.5677083,71,65,1,0,n111,15.571614,16.0
16.528646,0.58984375,61,58,1,0,n112,16.528646,17.0
16.773438,0.49739584,78,72,1,0,n113,16.528646,17.0
16.998697,0.4518229,63,62,1,0,n114,16.528646,17.0
17.227865,0.37239584,69,67,1,0,n115,16.528646,17.0
17.46224,0.54036456,64,63,1,0,n116,17.46224,18.0
17.684896,0.14192708,71,60,1,0,n117,17.46224,18.0
17.796875,0.110677086,69,72,1,0,n118,17.46224,18.0
17.916666,0.1015625,68,68,1,0,n119,17.46224,18.0
17.921875,0.56640625,52,48,1,0,n120,17.46224,18.0
18.02474,0.16536458,69,67,1,0,n121,17.46224,18.0
18.157553,0.4986979,71,56,1,0,n122,17.46224,18.0
18.385416,0.46354166,54,48,1,0,n123,17.46224,18.0
18.617188,0.8098958,62,55,1,0,n124,18.385418,19.0
18.852865,0.57421875,56,47,1,0,n125,18.385418,19.0
19.067709,0.359375,71,52,1,0,n126,18.385418,19.0
19.347656,0.54557294,45,44,1,0,n127,19.347656,20.0
19.347656,0.54557294,61,50,1,0,n128,19.347656,20.0
19.582031,0.3111979,69,64,1,0,n129,19.347656,20.0
19.682291,0.2109375,71,63,1,0,n130,19.347656,20.0
19.820312,0.12890625,73,65,1,0,n131,19.347656,20.0
19.833334,0.5651042,57,56,1,0,n132,19.347656,20.0
19.921875,0.21354167,71,64,1,0,n133,19.347656,20.0
20.05599,0.66536456,69,65,1,0,n134,19.347656,20.0
20.279947,0.5520833,59,60,1,0,n135,20.279947,21.0
20.515625,0.49739584,76,70,1,0,n136,20.279947,21.0
20.744791,0.50130206,61,60,1,0,n137,20.279947,21.0
20.964844,0.4700521,67,69,1,0,n138,20.279947,21.0
21.213541,0.56640625,62,65,1,0,n139,20.279947,21.0
21.4375,0.119791664,69,64,1,0,n140,21.213543,22.0
21.548178,0.104166664,67,65,1,0,n141,21.213543,22.0
21.661459,0.102864586,66,70,1,0,n142,21.213543,22.0
21.671875,0.6302083,50,50,1,0,n143,21.213543,22.0
21.776041,0.14583333,67,67,1,0,n144,21.213543,22.0
21.911459,0.50130206,69,61,1,0,n145,21.213543,22.0
22.148438,0.4466146,52,55,1,0,n146,22.148438,23.0
22.373697,0.81640625,61,57,1,0,n147,22.148438,23.0
22.596354,0.59375,54,54,1,0,n148,22.148438,23.0
22.85026,0.39453125,69,54,1,0,n149,22.148438,23.0
23.110678,0.23307292,59,55,1,0,n150,22.148438,23.0
23.128906,0.72526044,43,47,1,0,n151,23.119791,24.0
23.367188,0.57161456,66,60,1,0,n152,23.119791,24.0
23.588541,0.5963542,47,58,1,0,n153,23.119791,24.0
23.842447,0.4609375,69,63,1,0,n154,23.119791,24.0
24.06901,0.4856771,50,63,1,0,n155,24.06901,25.0
24.290365,0.096354164,67,60,1,0,n156,24.06901,25.0
24.391928,0.075520836,66,66,1,0,n157,24.06901,25.0
24.507812,0.13932292,67,59,1,0,n158,24.06901,25.0
24.518229,0.55078125,52,61,1,0,n159,24.06901,25.0
24.614584,0.13020833,66,69,1,0,n160,24.06901,25.0
24.733072,0.092447914,64,65,1,0,n161,24.06901,25.0
24.830729,0.09375,62,71,1,0,n162,24.06901,25.0
24.972656,0.1953125,61,67,1,0,n163,24.06901,25.0
24.973959,0.60286456,45,51,1,0,n164,24.973307,26.0
25.227865,0.55598956,67,64,1,0,n165,24.973307,26.0
25.434896,0.54036456,49,60,1,0,n166,24.973307,26.0
25.679688,0.4518229,71,68,1,0,n167,24.973307,26.0
25.907553,0.46484375,52,63,1,0,n168,25.907553,27.0
26.110678,0.098958336,69,67,1,0,n169,25.907553,27.0
26.214844,0.098958336,67,68,1,0,n170,25.907553,27.0
26.31901,0.5,54,57,1,0,n171,25.907553,27.0
26.322916,0.13541667,69,72,1,0,n172,25.907553,27.0
26.440104,0.1171875,67,70,1,0,n173,25.907553,27.0
26.544271,0.104166664,66,70,1,0,n174,25.907553,27.0
26.63151,0.13151042,64,71,1,0,n175,25.907553,27.0
26.783854,0.59375,47,59,1,0,n176,25.907553,27.0
26.78776,0.18359375,62,70,1,0,n177,26.785807,28.0
27.040365,0.56380206,69,70,1,0,n178,26.785807,28.0
27.25,0.53125,50,66,1,0,n179,26.785807,28.0
27.501303,0.46875,72,74,1,0,n180,26.785807,28.0
27.738281,0.47916666,54,73,1,0,n181,27.738281,29.0
27.960938,0.108072914,71,66,1,0,n182,27.738281,29.0
28.061197,0.108072914,69,77,1,0,n183,27.738281,29.0
28.182291,0.1328125,71,71,1,0,n184,27.738281,29.0
28.188803,0.5338542,55,62,1,0,n185,27.738281,29.0
