xml_id	midi_id	track	channel	pitch	onset
n9-1	n1	1	0	47	1.0520833333333333
n10-1	n3	1	0	50	1.6080729166666665
n15-1	n13	1	0	53	2.915364583333334
n11-1	n7	1	0	54	2.0872395833333335
n14-1	n11	1	0	54	2.796875
n13-1	n10	1	0	55	2.67578125
n3-1	n4	1	0	59	1.6132812499999998
n7-1	n9	1	0	59	2.57421875
n4-1	n5	1	0	61	1.8333333333333333
n1-1	n0	1	0	62	1.046875
n5-1	n6	1	0	62	2.0859375
n8-1	n12	1	0	62	2.8138020833333335
n2-1	n2	1	0	66	1.35546875
n6-1	n8	1	0	66	2.334635416666667
n27-1	n18	1	0	46	3.602864583333334
n26-1	n14	1	0	54	3.0820312500000004
n16-1	n15	1	0	61	3.1093750000000004
n20-1	n20	1	0	65	3.8164062500000004
n17-1	n16	1	0	66	3.365885416666667
n19-1	n19	1	0	66	3.7226562500000004
n21-1	n21	1	0	66	3.927083333333334
n18-1	n17	1	0	67	3.5976562500000004
n28-1	n23	1	0	49	4.079427083333335
n29-1	n26	1	0	54	4.587239583333335
n25-1	n27	1	0	64	4.812500000000002
n23-1	n24	1	0	66	4.321614583333335
n22-1	n22	1	0	70	4.072916666666668
n24-1	n25	1	0	73	4.571614583333335
n38-1	n29	1	0	47	5.108072916666669
n39-1	n32	1	0	50	5.604166666666669
n32-1	n31	1	0	59	5.589843750000002
n33-1	n33	1	0	61	5.824218750000002
n30-1	n28	1	0	62	5.098958333333336
n31-1	n30	1	0	66	5.338541666666669
n44-1	n41	1	0	53	6.907552083333335
n40-1	n35	1	0	54	6.085937500000002
n43-1	n39	1	0	54	6.783854166666669
n42-1	n38	1	0	55	6.683593750000002
n36-1	n37	1	0	59	6.584635416666668
n34-1	n34	1	0	62	6.084635416666669
n37-1	n40	1	0	62	6.808593750000002
n35-1	n36	1	0	66	6.333333333333335
n53-1	n46	1	0	42	7.601562500000001
n52-1	n42	1	0	54	7.061197916666668
n48-1	n47	1	0	58	7.846354166666668
n45-1	n43	1	0	61	7.087239583333335
n47-1	n45	1	0	61	7.600260416666668
n46-1	n44	1	0	66	7.345052083333335
n57-1	n51	1	0	49	8.877604166666668
n56-1	n50	1	0	50	8.615885416666668
