onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.046875,0.34114584,62,36,1,0,n0,-10.0,-10.0
1.0520834,0.24869792,47,32,1,0,n1,1.049479,0.0
1.3554688,0.5104167,66,48,1,0,n2,1.049479,0.0
1.6080729,0.18359375,50,51,1,0,n3,1.049479,0.0
1.6132812,0.49739584,59,50,1,0,n4,1.049479,0.0
1.8333334,0.4921875,61,66,1,0,n5,1.049479,0.0
2.0859375,0.2669271,62,64,1,0,n6,1.049479,0.0
2.0872395,0.53776044,54,52,1,0,n7,2.086589,1.0
2.3346355,0.46614584,66,59,1,0,n8,2.086589,1.0
2.5742188,0.30729166,59,54,1,0,n9,2.086589,1.0
2.6757812,0.110677086,55,56,1,0,n10,2.086589,1.0
2.796875,0.09375,54,61,1,0,n11,2.086589,1.0
2.813802,0.2734375,62,62,1,0,n12,2.086589,1.0
2.9153645,0.15104167,53,56,1,0,n13,2.086589,1.0
3.0820312,0.23697917,54,50,1,0,n14,2.086589,1.0
3.109375,0.3372396,61,60,1,0,n15,3.095703,2.0
3.3658855,0.22265625,66,69,1,0,n16,3.095703,2.0
3.5976562,0.106770836,67,61,1,0,n17,3.095703,2.0
3.6028645,0.16666667,46,46,1,0,n18,3.095703,2.0
3.7226562,0.079427086,66,73,1,0,n19,3.095703,2.0
3.8164062,0.123697914,65,74,1,0,n20,3.095703,2.0
3.9270833,0.21223958,66,78,1,0,n21,3.095703,2.0
4.0729165,0.296875,70,78,1,0,n22,3.095703,2.0
4.0794272,0.23828125,49,53,1,0,n23,4.076172,3.0
4.3216147,0.44921875,66,78,1,0,n24,4.076172,3.0
4.5716147,0.2265625,73,72,1,0,n25,4.076172,3.0
4.5872397,0.19921875,54,50,1,0,n26,4.076172,3.0
4.8125,0.26041666,64,61,1,0,n27,4.076172,3.0
5.0989585,0.3033854,62,57,1,0,n28,4.076172,3.0
5.1080728,0.1953125,47,36,1,0,n29,5.103516,4.0
5.3385415,0.57421875,66,61,1,0,n30,5.103516,4.0
5.5898438,0.48828125,59,55,1,0,n31,5.103516,4.0
5.6041665,0.17708333,50,46,1,0,n32,5.103516,4.0
5.8242188,0.39453125,61,65,1,0,n33,5.103516,4.0
6.0846353,0.2578125,62,64,1,0,n34,5.103516,4.0
6.0859375,0.51692706,54,59,1,0,n35,6.085286,5.0
6.3333335,0.65755206,66,62,1,0,n36,6.085286,5.0
6.5846353,0.22395833,59,58,1,0,n37,6.085286,5.0
6.6835938,0.08984375,55,49,1,0,n38,6.085286,5.0
6.783854,0.088541664,54,60,1,0,n39,6.085286,5.0
6.8085938,0.26822916,62,60,1,0,n40,6.085286,5.0
6.9075522,0.12890625,53,53,1,0,n41,6.085286,5.0
7.0611978,0.21354167,54,52,1,0,n42,6.085286,5.0
7.0872397,0.2421875,61,57,1,0,n43,7.074219,6.0
7.3450522,0.3684896,66,57,1,0,n44,7.074219,6.0
7.6002603,0.2513021,61,55,1,0,n45,7.074219,6.0
7.6015625,0.26171875,42,35,1,0,n46,7.074219,6.0
7.846354,0.26041666,58,54,1,0,n47,7.074219,6.0
8.130208,0.3125,54,50,1,0,n48,8.130208,7.0
8.368489,0.2513021,52,49,1,0,n49,8.130208,7.0
8.615886,0.2721354,50,61,1,0,n50,8.130208,7.0
8.8776045,0.29947916,49,61,1,0,n51,8.130208,7.0
9.162761,0.22916667,50,69,1,0,n52,9.16276,8.0
9.417969,0.54036456,54,61,1,0,n53,9.16276,8.0
9.670573,0.56119794,47,44,1,0,n54,9.16276,8.0
9.670573,0.94401044,74,71,1,0,n55,9.16276,8.0
9.916667,0.31640625,49,64,1,0,n56,9.16276,8.0
10.178386,0.48177084,71,66,1,0,n57,9.16276,8.0
10.188802,0.22135417,50,57,1,0,n58,10.183594,9.0
10.425781,0.36328125,54,53,1,0,n59,10.183594,9.0
10.6744795,0.52473956,66,56,1,0,n60,10.183594,9.0
10.688802,0.25520834,47,46,1,0,n61,10.183594,9.0
10.933594,0.26953125,50,53,1,0,n62,10.183594,9.0
11.208333,0.3268229,49,56,1,0,n63,11.208333,10.0
11.4609375,0.21614583,54,64,1,0,n64,11.208333,10.0
11.703125,0.10546875,55,58,1,0,n65,11.208333,10.0
11.707031,0.69921875,76,73,1,0,n66,11.208333,10.0
11.8307295,0.09375,54,65,1,0,n67,11.208333,10.0
11.938802,0.13932292,53,68,1,0,n68,11.208333,10.0
12.083333,0.16145833,54,74,1,0,n69,11.208333,10.0
12.2005205,0.60286456,73,78,1,0,n70,11.208333,10.0
12.239583,0.22135417,58,70,1,0,n71,12.220052,11.0
12.464844,0.2734375,54,68,1,0,n72,12.220052,11.0
12.7473955,0.51171875,66,57,1,0,n73,12.220052,11.0
12.751302,0.24088542,61,53,1,0,n74,12.220052,11.0
12.9765625,0.33984375,52,56,1,0,n75,12.220052,11.0
13.270833,0.22005208,50,63,1,0,n76,13.270833,12.0
13.514323,0.51953125,54,66,1,0,n77,13.270833,12.0
13.772136,0.77994794,78,81,1,0,n78,13.270833,12.0
13.790364,0.4856771,47,52,1,0,n79,13.270833,12.0
14.032552,0.27604166,49,60,1,0,n80,13.270833,12.0
14.28125,0.24348958,50,61,1,0,n81,14.28125,13.0
14.535156,0.09375,76,63,1,0,n82,14.28125,13.0
14.541667,0.49739584,54,58,1,0,n83,14.28125,13.0
14.654948,0.102864586,74,68,1,0,n84,14.28125,13.0
14.770833,0.5390625,47,53,1,0,n85,14.28125,13.0
14.770833,0.16927083,76,73,1,0,n86,14.28125,13.0
14.8776045,0.14453125,74,74,1,0,n87,14.28125,13.0
14.9817705,0.115885414,73,73,1,0,n88,14.28125,13.0
15.0078125,0.27083334,50,54,1,0,n89,14.28125,13.0
15.092448,0.040364582,71,75,1,0,n90,14.28125,13.0
15.2421875,0.44010416,71,71,1,0,n91,14.28125,13.0
15.264323,0.2109375,49,50,1,0,n92,15.253256,14.0
15.511719,0.2578125,54,55,1,0,n93,15.253256,14.0
15.725261,0.053385418,70,60,1,0,n94,15.253256,14.0
15.7369795,0.22526042,49,45,1,0,n95,15.253256,14.0
15.821614,0.04296875,71,63,1,0,n96,15.253256,14.0
15.8880205,0.040364582,70,67,1,0,n97,15.253256,14.0
15.951823,0.06640625,71,75,1,0,n98,15.253256,14.0
15.958333,0.2421875,46,45,1,0,n99,15.253256,14.0
16.042969,0.8046875,70,72,1,0,n100,15.253256,14.0
16.255209,0.59244794,42,50,1,0,n101,16.255207,15.0
16.529947,0.31770834,64,55,1,0,n102,16.255207,15.0
16.63151,0.21614583,62,57,1,0,n103,16.255207,15.0
16.757812,0.13671875,61,60,1,0,n104,16.255207,15.0
16.785156,0.5338542,58,49,1,0,n105,16.255207,15.0
16.90625,0.140625,62,55,1,0,n106,16.255207,15.0
17.050781,0.21744792,64,63,1,0,n107,16.255207,15.0
17.330729,0.23697917,62,50,1,0,n108,16.255207,15.0
17.342447,0.453125,47,39,1,0,n109,17.33659,16.0
17.608072,0.21354167,71,59,1,0,n110,17.33659,16.0
17.722656,0.108072914,73,63,1,0,n111,17.33659,16.0
17.830729,0.60286456,59,45,1,0,n112,17.33659,16.0
17.84375,0.114583336,74,63,1,0,n113,17.33659,16.0
17.941406,0.12890625,73,78,1,0,n114,17.33659,16.0
18.074219,0.69140625,71,74,1,0,n115,17.33659,16.0
18.342447,0.7239583,61,71,1,0,n116,18.342447,17.0
18.614584,0.5911458,78,80,1,0,n117,18.342447,17.0
18.886719,0.54036456,63,60,1,0,n118,18.342447,17.0
19.138021,0.4596354,69,67,1,0,n119,18.342447,17.0
19.41276,0.48046875,64,59,1,0,n120,19.41276,18.0
19.632812,0.1015625,71,57,1,0,n121,19.41276,18.0
19.730469,0.079427086,69,58,1,0,n122,19.41276,18.0
19.847656,0.10546875,68,59,1,0,n123,19.41276,18.0
19.884115,0.57161456,52,42,1,0,n124,19.41276,18.0
19.96875,0.13020833,69,55,1,0,n125,19.41276,18.0
20.098959,0.5130208,71,62,1,0,n126,19.41276,18.0
20.373697,0.51432294,54,47,1,0,n127,20.373697,19.0
20.634115,0.44791666,62,46,1,0,n128,20.373697,19.0
20.891928,0.48958334,56,40,1,0,n129,20.373697,19.0
21.135416,0.24609375,71,52,1,0,n130,20.373697,19.0
21.410156,0.44921875,45,38,1,0,n131,20.373697,19.0
21.411459,0.21354167,61,48,1,0,n132,21.410807,20.0
21.658854,0.16015625,69,49,1,0,n133,21.410807,20.0
21.753906,0.125,71,58,1,0,n134,21.410807,20.0
21.872396,0.17838542,73,76,1,0,n135,21.410807,20.0
21.908854,0.5208333,57,54,1,0,n136,21.410807,20.0
22.003906,0.12760417,71,74,1,0,n137,21.410807,20.0
22.11849,1.078125,69,73,1,0,n138,21.410807,20.0
22.376303,0.80338544,59,62,1,0,n139,22.376303,21.0
22.644531,0.5963542,76,77,1,0,n140,22.376303,21.0
22.907553,0.51692706,61,63,1,0,n141,22.376303,21.0
23.174479,0.48958334,67,69,1,0,n142,22.376303,21.0
23.432291,0.43359375,62,54,1,0,n143,22.376303,21.0
23.686197,0.12890625,69,57,1,0,n144,23.432293,22.0
23.813803,0.07421875,67,61,1,0,n145,23.432293,22.0
23.872396,0.7005208,50,48,1,0,n146,23.432293,22.0
23.91276,0.12630208,66,66,1,0,n147,23.432293,22.0
24.052084,0.102864586,67,63,1,0,n148,23.432293,22.0
24.157553,0.52473956,69,60,1,0,n149,23.432293,22.0
24.417969,0.53255206,52,45,1,0,n150,24.417969,23.0
24.682291,0.53255206,61,51,1,0,n151,24.417969,23.0
24.941406,0.6953125,54,45,1,0,n152,24.417969,23.0
25.220053,0.62369794,69,43,1,0,n153,24.417969,23.0
25.561197,0.5182292,59,35,1,0,n154,24.417969,23.0
25.563803,0.671875,43,22,1,0,n155,25.5625,24.0
25.876303,0.4934896,66,50,1,0,n156,25.5625,24.0
26.132812,0.61067706,47,38,1,0,n157,25.5625,24.0
26.369791,0.5729167,69,54,1,0,n158,25.5625,24.0
26.635416,0.59244794,50,45,1,0,n159,25.5625,24.0
26.877604,0.06640625,67,43,1,0,n160,26.635418,25.0
