xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	58	2.050207627083333
n3-1	n1	1	0	58	2.16345515625
n4-1	n2	1	0	58	2.2841812958333336
n5-1	n3	1	0	58	2.423069775
n8-1	n6	1	0	54	2.768154227083333
n6-1	n4	1	0	57	2.5405907958333334
n7-1	n5	1	0	58	2.662385308333333
n9-1	n7	1	0	54	2.886743620833333
n10-1	n8	1	0	57	3.0085381333333325
n11-1	n9	1	0	58	3.126059154166666
n15-1	n12	1	0	56	3.4519128937499994
n13-1	deletion
n12-1	n10	1	0	61	3.237169937499999
n16-1	n13	1	0	56	3.553408320833333
n17-1	n14	1	0	56	3.678407952083333
n18-1	n15	1	0	56	3.780971752083333
n19-1	n16	1	0	53	3.889945789583333
n20-1	n17	1	0	54	4.003193318749999
n21-1	n18	1	0	56	4.1185775937499995
n24-1	n21	1	0	53	4.459388554166666
n23-1	n20	1	0	56	4.346141025
n22-1	n19	1	0	58	4.228620004166666
n26-1	n22	1	0	58	4.8963530770833295
n27-1	n23	1	0	58	5.039515047916663
n28-1	n24	1	0	58	5.1570360687499965
n29-1	n25	1	0	58	5.26814685208333
n32-1	n28	1	0	54	5.590795472916663
n30-1	n26	1	0	57	5.379257635416663
n31-1	n27	1	0	58	5.48930004583333
n33-1	n29	1	0	54	5.724342087499997
n34-1	n30	1	0	57	5.82904263333333
n35-1	n31	1	0	58	5.926264568749996
n39-1	n34	1	0	56	6.260665291666664
n37-1	deletion
n36-1	n32	1	0	61	6.0437855895833295
n40-1	n35	1	0	56	6.36429746458333
n41-1	n36	1	0	56	6.488228722916663
n42-1	n37	1	0	56	6.599339506249996
n43-1	n38	1	0	53	6.693356322916663
n44-1	n39	1	0	54	6.8140824624999965
n45-1	n40	1	0	56	6.92519324583333
n48-1	n43	1	0	53	7.286303291666663
n47-1	n42	1	0	56	7.160235287499996
n46-1	n41	1	0	58	7.029893791666663
n50-1	n44	1	0	54	7.689079881249993
n51-1	n45	1	0	54	7.808737647916661
n52-1	n46	1	0	57	7.94014751666666
n53-1	n47	1	0	58	8.018138739583327
n54-1	n48	1	0	58	8.144206743749992
n55-1	n49	1	0	60	8.264932883333325
