onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.97083336,0.04375,58,97,1,0,n0,0.970833,0.0
1.0979167,0.036458332,58,79,1,0,n1,0.970833,0.0
1.2270833,0.039583333,58,87,1,0,n2,0.970833,0.0
1.3458333,0.041666668,58,98,1,0,n3,1.345833,3.0
1.46875,0.057291668,57,80,1,0,n4,1.345833,3.0
1.5791667,0.048958335,58,87,1,0,n5,1.345833,3.0
1.7041667,0.038541667,54,97,1,0,n6,1.345833,3.0
1.8270833,0.046875,54,83,1,0,n7,1.704167,6.0
1.9489583,0.04375,57,85,1,0,n8,1.704167,6.0
2.0541666,0.044791665,58,98,1,0,n9,1.704167,6.0
2.1697917,0.058333334,61,85,1,0,n10,2.054167,9.0
2.2791667,0.047916666,60,86,1,0,n11,2.054167,9.0
2.3864584,0.035416666,56,96,1,0,n12,2.386458,12.0
2.5010417,0.041666668,56,86,1,0,n13,2.386458,12.0
2.6239583,0.061458334,56,83,1,0,n14,2.386458,12.0
2.7395833,0.041666668,56,94,1,0,n15,2.739583,15.0
2.8604167,0.09375,53,78,1,0,n16,2.739583,15.0
2.9583333,0.047916666,54,85,1,0,n17,2.739583,15.0
3.0802083,0.035416666,56,99,1,0,n18,3.080208,18.0
3.2020833,0.05,58,86,1,0,n19,3.080208,18.0
3.3114583,0.04375,56,89,1,0,n20,3.080208,18.0
3.4364583,0.25104168,53,105,1,0,n21,3.436458,21.0
3.884375,0.027083334,58,69,1,0,n22,3.884375,24.0
4.007292,0.032291666,58,52,1,0,n23,3.884375,24.0
4.240625,0.021875,58,71,1,0,n24,4.240625,27.0
4.3489585,0.038541667,57,56,1,0,n25,4.240625,27.0
4.4625,0.030208332,58,57,1,0,n26,4.240625,27.0
4.5833335,0.027083334,54,68,1,0,n27,4.583333,30.0
4.7229166,0.029166667,54,57,1,0,n28,4.583333,30.0
4.8302083,0.029166667,57,62,1,0,n29,4.583333,30.0
4.940625,0.034375,58,74,1,0,n30,4.940625,33.0
5.05,0.035416666,61,68,1,0,n31,4.940625,33.0
5.1520834,0.0375,60,66,1,0,n32,4.940625,33.0
5.264583,0.03125,56,75,1,0,n33,5.264583,36.0
5.365625,0.032291666,56,77,1,0,n34,5.264583,36.0
5.496875,0.034375,56,69,1,0,n35,5.264583,36.0
5.602083,0.032291666,56,80,1,0,n36,5.602083,39.0
5.7458334,0.039583333,53,60,1,0,n37,5.602083,39.0
5.852083,0.036458332,54,60,1,0,n38,5.602083,39.0
5.9625,0.029166667,56,67,1,0,n39,5.9625,42.0
6.0739584,0.030208332,58,59,1,0,n40,5.9625,42.0
6.16875,0.039583333,56,56,1,0,n41,5.9625,42.0
6.309375,0.05625,53,77,1,0,n42,6.309375,45.0
6.727083,0.041666668,54,104,1,0,n43,6.727083,48.0
6.836458,0.048958335,54,79,1,0,n44,6.727083,48.0
6.971875,0.0375,57,82,1,0,n45,6.727083,48.0
7.0677085,0.046875,58,101,1,0,n46,7.067708,51.0
7.186458,0.041666668,58,84,1,0,n47,7.067708,51.0
7.305208,0.052083332,60,87,1,0,n48,7.067708,51.0
7.415625,0.045833334,63,98,1,0,n49,7.415625,54.0
7.5364585,0.042708334,63,87,1,0,n50,7.415625,54.0
7.664583,0.039583333,61,89,1,0,n51,7.415625,54.0
7.766667,0.040625,60,97,1,0,n52,7.766667,57.0
7.883333,0.046875,60,85,1,0,n53,7.766667,57.0
7.99375,0.045833334,58,86,1,0,n54,7.766667,57.0
8.096875,0.047916666,56,93,1,0,n55,8.096875,60.0
8.2125,0.042708334,56,82,1,0,n56,8.096875,60.0
8.325,0.04375,56,80,1,0,n57,8.096875,60.0
8.4375,0.044791665,61,98,1,0,n58,8.4375,63.0
8.548959,0.051041666,61,83,1,0,n59,8.4375,63.0
8.682292,0.040625,60,83,1,0,n60,8.4375,63.0
8.8,0.040625,58,94,1,0,n61,8.8,66.0
8.909375,0.04375,56,81,1,0,n62,8.8,66.0
9.023958,0.03125,58,86,1,0,n63,8.8,66.0
9.152083,0.24583334,53,99,1,0,n64,9.152083,69.0
9.56875,0.035416666,54,72,1,0,n65,9.56875,72.0
9.705209,0.034375,54,65,1,0,n66,9.56875,72.0
9.821875,0.036458332,57,66,1,0,n67,9.56875,72.0
9.930208,0.034375,58,74,1,0,n68,9.930208,75.0
10.046875,0.036458332,58,69,1,0,n69,9.930208,75.0
10.166667,0.036458332,60,63,1,0,n70,9.930208,75.0
10.276042,0.034375,63,73,1,0,n71,10.276042,78.0
10.397917,0.032291666,63,70,1,0,n72,10.276042,78.0
10.508333,0.035416666,61,69,1,0,n73,10.276042,78.0
10.617708,0.0375,60,76,1,0,n74,10.617708,81.0
10.735416,0.042708334,60,58,1,0,n75,10.617708,81.0
10.842709,0.040625,58,67,1,0,n76,10.617708,81.0
10.957292,0.032291666,56,73,1,0,n77,10.957292,84.0
11.06875,0.036458332,56,71,1,0,n78,10.957292,84.0
11.1875,0.036458332,56,68,1,0,n79,10.957292,84.0
11.290625,0.03125,61,76,1,0,n80,11.290625,87.0
11.4,0.041666668,61,58,1,0,n81,11.290625,87.0
11.515625,0.034375,60,67,1,0,n82,11.290625,87.0
11.623959,0.055208333,58,68,1,0,n83,11.623958,90.0
11.767709,0.03125,56,58,1,0,n84,11.623958,90.0
11.878125,0.029166667,58,55,1,0,n85,11.623958,90.0
12.004167,0.040625,53,60,1,0,n86,12.004167,93.0
12.441667,0.026041666,66,86,1,0,n87,12.004167,93.0
12.44375,0.028125,56,78,1,0,n88,12.44375,96.0
12.444792,0.041666668,70,94,1,0,n89,12.44375,96.0
12.564584,0.03125,70,70,1,0,n90,12.44375,96.0
12.565625,0.033333335,66,74,1,0,n91,12.44375,96.0
12.71875,0.022916667,66,72,1,0,n92,12.44375,96.0
12.727083,0.03125,70,66,1,0,n93,12.44375,96.0
12.8125,0.41458333,56,94,1,0,n94,12.44375,96.0
12.819792,0.14270833,66,94,1,0,n95,12.44375,96.0
12.822917,0.415625,49,85,1,0,n96,12.821354,99.0
12.830209,0.14583333,70,93,1,0,n97,12.821354,99.0
12.965625,0.08125,65,80,1,0,n98,12.821354,99.0
13.086458,0.092708334,66,82,1,0,n99,12.821354,99.0
13.086458,0.09583333,70,78,1,0,n100,12.821354,99.0
13.198958,0.07604167,62,80,1,0,n101,13.198958,102.0
13.303125,0.0625,63,79,1,0,n102,13.198958,102.0
13.3125,0.090625,66,72,1,0,n103,13.198958,102.0
13.420834,0.053125,65,79,1,0,n104,13.198958,102.0
13.515625,0.33854166,49,70,1,0,n105,13.198958,102.0
13.527083,0.32708332,66,77,1,0,n106,13.198958,102.0
13.532291,0.321875,70,69,1,0,n107,13.529688,105.0
13.533334,0.32083333,37,41,1,0,n108,13.529688,105.0
13.638541,0.215625,73,76,1,0,n109,13.529688,105.0
13.759375,0.094791666,72,78,1,0,n110,13.529688,105.0
13.777083,0.077083334,68,74,1,0,n111,13.529688,105.0
13.865625,0.026041666,68,92,1,0,n112,13.529688,105.0
13.866667,0.048958335,65,78,1,0,n113,13.529688,105.0
13.882292,0.041666668,56,66,1,0,n114,13.87448,108.0
13.884375,0.035416666,61,64,1,0,n115,13.87448,108.0
13.99375,0.032291666,68,67,1,0,n116,13.87448,108.0
13.996875,0.028125,65,57,1,0,n117,13.87448,108.0
14.104167,0.028125,65,84,1,0,n118,13.87448,108.0
14.125,0.035416666,68,69,1,0,n119,13.87448,108.0
14.214583,0.32395834,56,88,1,0,n120,13.87448,108.0
14.217709,0.34270832,49,82,1,0,n121,13.87448,108.0
14.21875,0.077083334,65,97,1,0,n122,14.218229,111.0
14.230208,0.1,68,90,1,0,n123,14.218229,111.0
14.364583,0.14270833,61,77,1,0,n124,14.218229,111.0
14.478125,0.083333336,66,77,1,0,n125,14.218229,111.0
14.480208,0.0375,63,80,1,0,n126,14.218229,111.0
14.551042,0.040625,67,38,1,0,n127,14.218229,111.0
14.583333,0.088541664,65,79,1,0,n128,14.583333,114.0
14.714583,0.09166667,66,86,1,0,n129,14.583333,114.0
14.725,0.096875,70,74,1,0,n130,14.583333,114.0
14.817708,0.055208333,65,80,1,0,n131,14.583333,114.0
14.930208,0.41770834,49,70,1,0,n132,14.583333,114.0
14.933333,0.41458333,65,90,1,0,n133,14.583333,114.0
14.934375,0.41354167,37,61,1,0,n134,14.933854,117.0
14.942708,0.40520832,61,89,1,0,n135,14.933854,117.0
15.370833,0.03125,66,58,1,0,n136,14.933854,117.0
15.373959,0.040625,56,62,1,0,n137,15.373958,120.0
15.373959,0.03125,70,77,1,0,n138,15.373958,120.0
15.403125,0.0375,61,22,1,0,n139,15.373958,120.0
15.494792,0.029166667,66,59,1,0,n140,15.373958,120.0
15.514584,0.032291666,70,41,1,0,n141,15.373958,120.0
15.626041,0.05,66,53,1,0,n142,15.373958,120.0
15.672916,0.053125,70,38,1,0,n143,15.373958,120.0
15.74375,0.3625,56,46,1,0,n144,15.373958,120.0
