xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	0	0	58	1.5077442187500003
n3-1	n1	0	0	58	1.7841862499999999
n4-1	n2	0	0	58	1.9070493749999997
n5-1	n3	0	0	58	2.0352543749999996
n8-1	n6	0	0	54	2.3798053124999994
n6-1	n4	0	0	57	2.1647948437499998
n7-1	n5	0	0	58	2.267625937499999
n9-1	n7	0	0	54	2.4853073437499997
n10-1	n8	0	0	57	2.6001576562499995
n11-1	n9	0	0	58	2.7150079687499997
n15-1	n12	0	0	56	3.04086234375
n13-1	deletion
n12-1	n10	0	0	61	2.8124971875
n16-1	n13	0	0	56	3.1543771875
n17-1	n14	0	0	56	3.2732339062499998
n18-1	n15	0	0	56	3.3733940624999996
n19-1	n16	0	0	53	3.4882443749999994
n20-1	n17	0	0	54	3.6057656249999996
n21-1	n18	0	0	56	3.7192804687499996
n24-1	n21	0	0	53	4.0745151562499995
n23-1	n20	0	0	56	3.947645625
n22-1	n19	0	0	58	3.82878890625
n26-1	n22	0	0	58	5.141554687500004
n27-1	n23	0	0	58	5.296469062500005
n28-1	n24	0	0	58	5.415325781250006
n29-1	n25	0	0	58	5.527505156250007
n32-1	n28	0	0	54	5.861372343750007
n30-1	n26	0	0	57	5.6223234375000075
n31-1	n27	0	0	58	5.7585412500000075
n33-1	n29	0	0	54	5.980229062500007
n34-1	n30	0	0	57	6.092408437500008
n35-1	n31	0	0	58	6.196575000000008
n39-1	n34	0	0	56	6.5411259375000075
n37-1	deletion
n36-1	n32	0	0	61	6.315431718750008
n40-1	n35	0	0	56	6.662653593750007
n41-1	n36	0	0	56	6.789523125000007
n42-1	n37	0	0	56	6.924405468750006
n43-1	n38	0	0	53	7.039255781250006
n44-1	n39	0	0	54	7.186157343750006
n45-1	n40	0	0	56	7.2903239062500065
n48-1	n43	0	0	53	7.765750781250007
n47-1	n42	0	0	56	7.561424062500007
n46-1	n41	0	0	58	7.4265417187500065
n50-1	n44	0	0	54	8.428143281250016
n51-1	n45	0	0	54	8.563025625000016
n52-1	n46	0	0	57	8.691230625000015
n53-1	n47	0	0	58	8.822106562500016
n54-1	n48	0	0	58	8.948976093750018
n55-1	n49	0	0	60	9.063826406250017
n56-1	n50	0	0	63	9.182683125000016
n59-1	n53	0	0	60	9.527234062500016
n58-1	n52	0	0	61	9.412383750000016
n57-1	n51	0	0	63	9.301539843750016
n63-1	n57	0	0	56	9.883804218750017
n61-1	n56	0	0	58	9.763612031250016
n60-1	n54	0	0	60	9.640748906250016
n64-1	n58	0	0	56	9.985299843750017
n65-1	n59	0	0	56	10.112169375000018
n66-1	n60	0	0	61	10.223013281250017
n69-1	n63	0	0	58	10.580918906250018
n68-1	n62	0	0	60	10.450042968750019
n67-1	n61	0	0	61	10.345876406250017
n72-1	n66	0	0	53	11.03631375000002
n70-1	n64	0	0	56	10.706452968750018
n71-1	n65	0	0	58	10.829316093750016
n74-1	n67	0	0	54	11.467670156250028
n75-1	n68	0	0	54	11.606558906250028
n76-1	n69	0	0	57	11.725415625000027
n77-1	n70	0	0	58	11.864304375000026
n78-1	n71	0	0	58	11.981825625000026
n79-1	n72	0	0	60	12.126056250000026
n80-1	n73	0	0	63	12.248919375000026
n83-1	n76	0	0	60	12.641547187500025
n82-1	n75	0	0	61	12.517348593750025
n81-1	n74	0	0	63	12.374453437500026
n87-1	n79	0	0	56	13.094271093750024
n85-1	n78	0	0	58	12.939356718750023
n84-1	n77	0	0	60	12.784442343750024
n88-1	n80	0	0	56	13.250520937500024
n89-1	deletion
n90-1	n81	0	0	61	13.518950156250025
n93-1	n84	0	0	58	13.970338593750025
