xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	58	2.0058740624999998
n3-1	n1	1	0	58	2.1180534374999995
n4-1	n2	1	0	58	2.2275618749999997
n5-1	n3	1	0	58	2.3357348437499996
n8-1	n6	1	0	54	2.6762793749999996
n6-1	n4	1	0	57	2.4626043749999997
n7-1	n5	1	0	58	2.569441875
n9-1	n7	1	0	54	2.7670912499999996
n10-1	n8	1	0	57	2.8779351562499995
n11-1	n9	1	0	58	2.9874435937499992
n15-1	n12	1	0	56	3.319975312499999
n13-1	deletion
n12-1	n10	1	0	61	3.092945624999999
n16-1	n13	1	0	56	3.416129062499999
n17-1	n14	1	0	56	3.518960156249999
n18-1	n15	1	0	56	3.627133124999999
n19-1	n16	1	0	53	3.735306093749999
n20-1	n17	1	0	54	3.8381371874999988
n21-1	n18	1	0	56	3.9302845312499994
n24-1	n21	1	0	53	4.24812609375
n23-1	n20	1	0	56	4.1199210937499995
n22-1	n19	1	0	58	4.0291092187499995
n26-1	n22	1	0	58	4.598018906250001
n27-1	n23	1	0	58	4.690166250000001
n28-1	n24	1	0	58	4.794332812500001
n29-1	n25	1	0	58	4.890486562500001
n32-1	n28	1	0	54	5.216340937500001
n30-1	n26	1	0	57	5.010678750000001
n31-1	n27	1	0	58	5.098819687500001
n33-1	n29	1	0	54	5.307152812500001
n34-1	n30	1	0	57	5.4300159375
n35-1	n31	1	0	58	5.52483421875
n39-1	n34	1	0	56	5.826650156249999
n37-1	deletion
n36-1	n32	1	0	61	5.631671718749999
n40-1	n35	1	0	56	5.921468437499999
n41-1	n36	1	0	56	6.0256349999999985
n42-1	n37	1	0	56	6.131137031249999
n43-1	n38	1	0	53	6.236639062499999
n44-1	n39	1	0	54	6.327450937499999
n45-1	n40	1	0	56	6.416927343749999
n48-1	n43	1	0	53	6.737439843749999
n47-1	n42	1	0	56	6.6092348437499995
n46-1	n41	1	0	58	6.527771249999999
n50-1	n44	1	0	54	7.0846617187500005
n51-1	n45	1	0	54	7.184821875000001
n52-1	n46	1	0	57	7.295665781250001
n53-1	n47	1	0	58	7.399832343750001
n54-1	n48	1	0	58	7.499992500000002
n55-1	n49	1	0	60	7.601488125000003
n56-1	n50	1	0	63	7.715002968750003
n59-1	n53	1	0	60	8.019489843750003
n58-1	n52	1	0	61	7.916658750000003
n57-1	n51	1	0	63	7.829853281250004
n63-1	n56	1	0	56	8.331989531250004
n61-1	n55	1	0	58	8.230493906250004
n60-1	n54	1	0	60	8.128998281250004
n64-1	n57	1	0	56	8.434820625000004
n65-1	n58	1	0	56	8.534980781250002
n66-1	n59	1	0	61	8.655172968750003
n69-1	n63	1	0	58	8.951647031250005
n68-1	n62	1	0	60	8.831454843750006
n67-1	n61	1	0	61	8.740642968750004
n72-1	n66	1	0	53	9.282843281250004
n70-1	n64	1	0	56	9.057149062500004
n71-1	n65	1	0	58	9.157309218750004
n74-1	n67	1	0	54	9.65143265625001
n75-1	n68	1	0	54	9.74758640625001
n76-1	n69	1	0	57	9.85308843750001
n77-1	n70	1	0	58	9.95324859375001
n78-1	n71	1	0	58	10.05340875000001
n79-1	n72	1	0	60	10.15623984375001
n80-1	n73	1	0	63	10.275096562500009
n83-1	n76	1	0	60	10.57290609375001
n82-1	n75	1	0	61	10.47675234375001
n81-1	n74	1	0	63	10.376592187500009
n87-1	n79	1	0	56	10.866709218750012
n85-1	n78	1	0	58	10.77322640625001
n84-1	n77	1	0	60	10.67440171875001
n88-1	n80	1	0	56	10.964198437500013
n89-1	n81	1	0	56	11.079048750000013
n90-1	n82	1	0	61	11.185886250000014
n93-1	n85	1	0	58	11.513076093750012
n92-1	n84	1	0	60	11.391548437500013
n91-1	n83	1	0	61	11.288717343750013
n96-1	n88	1	0	53	11.929742343750014
n94-1	n86	1	0	56	11.627926406250012
n95-1	n87	1	0	58	11.716067343750012
n120-1	n92	1	0	56	12.325041093750013
n121-1	n91	1	0	61	12.314357343750013
n109-1	n89	1	0	66	12.309015468750014
n97-1	n90	1	0	70	12.311686406250013
n124-1	n100	1	0	49	12.694965937500012
n125-1	n99	1	0	56	12.686953125000011
n110-1	n94	1	0	66	12.45191062500001
n111-1	n95	1	0	66	12.550735312500011
n112-1	n97	1	0	66	12.67894031250001
n98-1	n93	1	0	70	12.43989140625001
n99-1	n96	1	0	70	12.552070781250011
n100-1	n98	1	0	70	12.67894031250001
n115-1	n104	1	0	62	13.01681390625001
n113-1	n101	1	0	65	12.79111968750001
n114-1	n103	1	0	66	12.90730546875001
n102-1	n102	1	0	70	12.90062812500001
n126-1	n111	1	0	37	13.353352031250008
n127-1	n110	1	0	49	13.349345625000009
n116-1	n105	1	0	63	13.119645000000009
n117-1	n107	1	0	65	13.241172656250008
n104-1	n106	1	0	66	13.124986875000008
n118-1	n108	1	0	66	13.335990937500009
n106-1	n109	1	0	70	13.34533921875001
n150-1	n118	1	0	56	13.667187187500009
n151-1	n119	1	0	61	13.671193593750008
n140-1	n117	1	0	65	13.665851718750009
n119-1	n115	1	0	68	13.551001406250007
n130-1	n116	1	0	68	13.659174375000008
n108-1	n114	1	0	72	13.542988593750007
n107-1	n112	1	0	73	13.456183125000008
n154-1	n127	1	0	49	14.007731718750009
n155-1	n126	1	0	56	13.999718906250008
n141-1	n121	1	0	65	13.790050312500009
n142-1	n123	1	0	65	13.880862187500009
n143-1	n125	1	0	65	13.997047968750008
n131-1	n120	1	0	68	13.770018281250008
n132-1	n122	1	0	68	13.87685578125001
n133-1	n124	1	0	68	13.993041562500009
n144-1	n128	1	0	61	14.11991109375001
n145-1	n129	1	0	63	14.229419531250013
n146-1	n131	1	0	65	14.329579687500015
