xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	58	0.6002604166666666
n3-1	n1	1	0	58	0.7070312499999999
n4-1	n2	1	0	58	0.8111979166666666
n5-1	n3	1	0	58	0.9231770833333333
n8-1	n6	1	0	54	1.2486979166666667
n6-1	n4	1	0	57	1.0286458333333333
n7-1	n5	1	0	58	1.1302083333333335
n9-1	n7	1	0	54	1.34375
n10-1	n8	1	0	57	1.453125
n11-1	n9	1	0	58	1.5598958333333333
n15-1	n12	1	0	56	1.8697916666666667
n13-1	deletion
n12-1	n10	1	0	61	1.6588541666666667
n16-1	n13	1	0	56	1.9661458333333335
n17-1	n14	1	0	56	2.0638020833333335
n18-1	n15	1	0	56	2.166666666666667
n19-1	n16	1	0	53	2.2890625000000004
n20-1	n17	1	0	54	2.385416666666667
n21-1	n18	1	0	56	2.4804687499999996
n24-1	n21	1	0	53	2.7864583333333335
n23-1	n20	1	0	56	2.6861979166666665
n22-1	n19	1	0	58	2.598958333333333
n26-1	n22	1	0	58	3.1223958333333335
n27-1	n23	1	0	58	3.2200520833333335
n28-1	n24	1	0	58	3.3385416666666665
n29-1	n25	1	0	58	3.4869791666666665
n32-1	n28	1	0	54	3.7643229166666665
n30-1	n26	1	0	57	3.555989583333333
n31-1	n27	1	0	58	3.6588541666666665
n33-1	n29	1	0	54	3.8580729166666665
n34-1	n30	1	0	57	3.9648437499999996
n35-1	n31	1	0	58	4.072916666666666
n39-1	n34	1	0	56	4.388020833333332
n37-1	deletion
n36-1	n32	1	0	61	4.179687499999999
n40-1	n35	1	0	56	4.496093749999999
n41-1	n36	1	0	56	4.582031249999999
n42-1	n37	1	0	56	4.684895833333332
n43-1	n38	1	0	53	4.792968749999998
n44-1	n39	1	0	54	4.874999999999998
n45-1	n40	1	0	56	4.972656249999998
n48-1	n43	1	0	53	5.296874999999998
n47-1	n42	1	0	56	5.169270833333332
n46-1	n41	1	0	58	5.083333333333332
n50-1	n44	1	0	54	5.643229166666665
n51-1	n45	1	0	54	5.747395833333331
n52-1	n46	1	0	57	5.847656249999997
n53-1	n47	1	0	58	5.955729166666664
n54-1	n48	1	0	58	6.054687499999997
n55-1	n49	1	0	60	6.154947916666663
n56-1	n50	1	0	63	6.28255208333333
n59-1	n53	1	0	60	6.5898437499999964
n58-1	n52	1	0	61	6.4804687499999964
n57-1	n51	1	0	63	6.38411458333333
n63-1	n56	1	0	56	6.898437499999996
n61-1	n55	1	0	58	6.7903645833333295
n60-1	n54	1	0	60	6.7005208333333295
n64-1	n57	1	0	56	7.011718749999995
n65-1	n58	1	0	56	7.109374999999994
n66-1	n59	1	0	61	7.223958333333327
n69-1	n62	1	0	58	7.548177083333325
n68-1	n61	1	0	60	7.428385416666659
n67-1	n60	1	0	61	7.33463541666666
n72-1	n65	1	0	53	7.869791666666658
n70-1	n63	1	0	56	7.641927083333325
n71-1	n64	1	0	58	7.747395833333325
n74-1	n66	1	0	54	8.212239583333325
n75-1	n67	1	0	54	8.319010416666659
n76-1	n68	1	0	57	8.419270833333325
n77-1	n69	1	0	58	8.535156249999991
n78-1	n70	1	0	58	8.656249999999991
n79-1	n71	1	0	60	8.738281249999991
n80-1	n72	1	0	63	8.861979166666657
n83-1	n75	1	0	60	9.171874999999991
n82-1	n74	1	0	61	9.057291666666657
n81-1	n73	1	0	63	8.973958333333323
n87-1	n78	1	0	56	9.486979166666659
n85-1	n77	1	0	58	9.380208333333325
