onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.60026044,0.046875,58,103,1,0,n0,0.60026,0.0
0.70703125,0.033854168,58,84,1,0,n1,0.60026,0.0
0.81119794,0.12630208,58,92,1,0,n2,0.60026,0.0
0.92317706,0.045572918,58,99,1,0,n3,0.923177,3.0
1.0286459,0.16666667,57,86,1,0,n4,0.923177,3.0
1.1302084,0.065104164,58,94,1,0,n5,0.923177,3.0
1.2486979,0.045572918,54,99,1,0,n6,0.923177,3.0
1.34375,0.21875,54,78,1,0,n7,1.248698,6.0
1.453125,0.109375,57,95,1,0,n8,1.248698,6.0
1.5598959,0.049479168,58,103,1,0,n9,1.248698,6.0
1.6588541,0.19791667,61,90,1,0,n10,1.559896,9.0
1.7604166,0.096354164,60,96,1,0,n11,1.559896,9.0
1.8697916,0.045572918,56,102,1,0,n12,1.559896,9.0
1.9661459,0.1875,56,82,1,0,n13,1.869792,12.0
2.063802,0.08984375,56,90,1,0,n14,1.869792,12.0
2.1666667,0.04296875,56,99,1,0,n15,1.869792,12.0
2.2890625,0.171875,53,88,1,0,n16,2.166667,15.0
2.3854167,0.075520836,54,91,1,0,n17,2.166667,15.0
2.4804688,0.052083332,56,108,1,0,n18,2.166667,15.0
2.5989583,0.08203125,58,92,1,0,n19,2.480469,18.0
2.686198,0.23046875,56,96,1,0,n20,2.480469,18.0
2.7864583,0.13020833,53,98,1,0,n21,2.786458,21.0
3.1223958,0.02734375,58,81,1,0,n22,2.786458,21.0
3.220052,0.049479168,58,74,1,0,n23,3.122396,24.0
3.3385417,0.041666668,58,68,1,0,n24,3.122396,24.0
3.4869792,0.0234375,58,54,1,0,n25,3.486979,27.0
3.5559895,0.055989582,57,73,1,0,n26,3.486979,27.0
3.6588542,0.04296875,58,66,1,0,n27,3.486979,27.0
3.764323,0.02734375,54,80,1,0,n28,3.764323,30.0
3.858073,0.061197918,54,72,1,0,n29,3.764323,30.0
3.9648438,0.032552082,57,76,1,0,n30,3.764323,30.0
4.0729165,0.02734375,58,82,1,0,n31,3.764323,30.0
4.1796875,0.048177082,61,69,1,0,n32,4.072917,33.0
4.2799478,0.029947916,60,73,1,0,n33,4.072917,33.0
4.388021,0.033854168,56,80,1,0,n34,4.388021,36.0
4.4960938,0.024739584,56,66,1,0,n35,4.388021,36.0
4.5820312,0.036458332,56,72,1,0,n36,4.388021,36.0
4.684896,0.024739584,56,95,1,0,n37,4.684896,39.0
4.7929688,0.044270832,53,69,1,0,n38,4.684896,39.0
4.875,0.032552082,54,72,1,0,n39,4.684896,39.0
4.9726562,0.029947916,56,88,1,0,n40,4.972656,42.0
5.0833335,0.0625,58,77,1,0,n41,4.972656,42.0
5.169271,0.048177082,56,69,1,0,n42,4.972656,42.0
5.296875,0.072916664,53,88,1,0,n43,5.296875,45.0
5.643229,0.34895834,54,103,1,0,n44,5.643229,48.0
5.747396,0.24479167,54,92,1,0,n45,5.643229,48.0
5.8476562,0.14453125,57,85,1,0,n46,5.643229,48.0
5.955729,0.046875,58,110,1,0,n47,5.955729,51.0
6.0546875,0.2643229,58,84,1,0,n48,5.955729,51.0
6.1549478,0.1640625,60,89,1,0,n49,5.955729,51.0
6.2825522,0.04296875,63,104,1,0,n50,6.282552,54.0
6.3841147,0.2513021,63,89,1,0,n51,6.282552,54.0
