xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	58	1.20592828125
n3-1	n1	1	0	58	1.3100948437500002
n4-1	n2	1	0	58	1.4249451562500002
n5-1	n3	1	0	58	1.5251053125
n8-1	n6	1	0	54	1.853630625
n6-1	n4	1	0	57	1.64129109375
n7-1	n5	1	0	58	1.7454576562500002
n9-1	n7	1	0	54	1.9684809375
n10-1	n8	1	0	57	2.0779893750000005
n11-1	n9	1	0	58	2.1821559375000006
n15-1	n12	1	0	56	2.4959910937500003
n13-1	deletion
n12-1	n10	1	0	61	2.2849870312500005
n16-1	n13	1	0	56	2.6068350000000002
n17-1	n14	1	0	56	2.7016532812500005
n18-1	n15	1	0	56	2.8165035937500003
n19-1	n16	1	0	53	2.9286829687500004
n20-1	n17	1	0	54	3.0355204687500006
n21-1	n18	1	0	56	3.1410225000000005
n24-1	n21	1	0	53	3.4601995312500007
n23-1	n20	1	0	56	3.3453492187500005
n22-1	n19	1	0	58	3.2411826562500003
n26-1	n22	1	0	58	3.8127632812500014
n27-1	n23	1	0	58	3.9249426562500016
n28-1	n24	1	0	58	4.029109218750001
n29-1	n25	1	0	58	4.135946718750001
n32-1	n28	1	0	54	4.423072500000001
n30-1	n26	1	0	57	4.226758593750001
n31-1	n27	1	0	58	4.330925156250001
n33-1	n29	1	0	54	4.532580937500001
n34-1	n30	1	0	57	4.63274109375
n35-1	n31	1	0	58	4.73423671875
n39-1	n34	1	0	56	5.05474921875
n37-1	deletion
n36-1	n32	1	0	61	4.8397387499999995
n40-1	n35	1	0	56	5.1682640625
n41-1	n36	1	0	56	5.2590759375
n42-1	n37	1	0	56	5.3619070312499995
n43-1	n38	1	0	53	5.475421874999999
n44-1	n39	1	0	54	5.567569218749999
n45-1	n40	1	0	56	5.669064843749999
n48-1	n43	1	0	53	5.990912812499999
n47-1	n42	1	0	56	5.841340312499999
n46-1	n41	1	0	58	5.761212187499999
n50-1	n44	1	0	54	6.334128281249999
n51-1	n45	1	0	54	6.416927343749999
n52-1	n46	1	0	57	6.52910671875
n53-1	n47	1	0	58	6.643957031249999
n54-1	n48	1	0	58	6.754800937499999
n55-1	n49	1	0	60	6.874993124999999
n56-1	n50	1	0	63	6.979159687499998
n59-1	n53	1	0	60	7.301007656249997
n58-1	n52	1	0	61	7.191499218749997
n57-1	n51	1	0	63	7.095345468749998
n63-1	n56	1	0	56	7.609500937499997
n61-1	n55	1	0	58	7.505334374999997
n60-1	n54	1	0	60	7.417193437499997
n64-1	n57	1	0	56	7.723015781249997
n65-1	n58	1	0	56	7.823175937499997
n66-1	n59	1	0	61	7.9380262499999965
n69-1	n62	1	0	58	8.241177656249995
n68-1	n61	1	0	60	8.149030312499995
n67-1	n60	1	0	61	8.042192812499996
n72-1	n65	1	0	53	8.551006406249995
