onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.2059283,0.029380312,58,79,1,0,n0,1.205928,0.0
1.3100948,0.05208328,58,75,1,0,n1,1.205928,0.0
1.4249451,0.034722187,58,64,1,0,n2,1.205928,0.0
1.5251054,0.034722187,58,98,1,0,n3,1.525105,3.0
1.6412911,0.080128126,57,80,1,0,n4,1.525105,3.0
1.7454576,0.034722187,58,70,1,0,n5,1.525105,3.0
1.8536307,0.037393127,54,97,1,0,n6,1.525105,3.0
1.968481,0.065437965,54,79,1,0,n7,1.853631,6.0
2.0779893,0.036057655,57,75,1,0,n8,1.853631,6.0
2.1821558,0.03071578,58,98,1,0,n9,1.853631,6.0
2.284987,0.056089688,61,76,1,0,n10,2.182156,9.0
2.375799,0.03205125,60,70,1,0,n11,2.182156,9.0
2.495991,0.02270297,56,94,1,0,n12,2.495991,12.0
2.606835,0.03338672,56,76,1,0,n13,2.495991,12.0
2.7016532,0.03205125,56,83,1,0,n14,2.495991,12.0
2.8165035,0.03071578,56,98,1,0,n15,2.495991,12.0
2.928683,0.09081188,53,82,1,0,n16,2.816504,15.0
3.0355206,0.029380312,54,78,1,0,n17,2.816504,15.0
3.1410224,0.028044844,56,96,1,0,n18,2.816504,15.0
3.2411826,0.058760624,58,79,1,0,n19,3.141023,18.0
3.3453493,0.036057655,56,74,1,0,n20,3.141023,18.0
3.4601996,0.038728595,53,95,1,0,n21,3.141023,18.0
3.8127632,0.03338672,58,74,1,0,n22,3.812763,24.0
3.9249427,0.026709376,58,62,1,0,n23,3.812763,24.0
4.029109,0.03338672,58,74,1,0,n24,3.812763,24.0
4.1359468,0.03071578,58,72,1,0,n25,3.812763,24.0
4.2267585,0.07345078,57,75,1,0,n26,4.135947,27.0
4.330925,0.04139953,58,67,1,0,n27,4.135947,27.0
4.4230723,0.034722187,54,76,1,0,n28,4.135947,27.0
4.532581,0.04139953,54,66,1,0,n29,4.423073,30.0
4.632741,0.037393127,57,65,1,0,n30,4.423073,30.0
4.7342367,0.036057655,58,72,1,0,n31,4.423073,30.0
4.839739,0.05475422,61,67,1,0,n32,4.734237,33.0
4.9425697,0.026709376,60,60,1,0,n33,4.734237,33.0
