onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5064087,0.026709376,58,93,0,0,n0,-10.0,-10.0
1.626601,0.042735,58,51,0,0,n1,1.506409,0.0
1.7601478,0.038728595,58,87,0,0,n2,1.506409,0.0
1.88034,0.028044844,58,99,0,0,n3,1.88034,3.0
2.0032032,0.040064063,57,77,0,0,n4,1.88034,3.0
2.1233952,0.03071578,58,88,0,0,n5,1.88034,3.0
2.2435875,0.025373906,54,101,0,0,n6,1.88034,3.0
2.3517604,0.08146359,54,42,0,0,n7,2.243588,6.0
2.498662,0.037393127,57,82,0,0,n8,2.243588,6.0
2.612177,0.026709376,58,98,0,0,n9,2.612177,9.0
2.7337046,0.03338672,61,83,0,0,n10,2.612177,9.0
2.8538966,0.03338672,60,88,0,0,n11,2.612177,9.0
2.9821017,0.024038438,56,95,0,0,n12,2.612177,9.0
3.0956166,0.034722187,56,80,0,0,n13,2.982102,12.0
3.2184796,0.03071578,56,91,0,0,n14,2.982102,12.0
3.341343,0.03071578,56,87,0,0,n15,3.341343,15.0
3.4722188,0.03338672,53,81,0,0,n16,3.341343,15.0
3.5830626,0.03205125,54,86,0,0,n17,3.341343,15.0
3.700584,0.026709376,56,96,0,0,n18,3.700584,18.0
3.8114278,0.0013354687,56,32,0,0,n19,3.700584,18.0
3.8140988,0.03205125,58,78,0,0,n20,3.700584,18.0
3.9182653,0.037393127,56,92,0,0,n21,3.700584,18.0
4.047806,0.22302328,53,100,0,0,n22,4.047806,21.0
4.4885106,0.026709376,58,65,0,0,n23,4.48851,24.0
4.61538,0.0013354687,58,31,0,0,n24,4.48851,24.0
4.718211,0.03205125,58,53,0,0,n25,4.48851,24.0
4.8237133,0.03071578,58,84,0,0,n26,4.823713,27.0
4.939899,0.037393127,57,63,0,0,n27,4.823713,27.0
5.0467362,0.037393127,58,55,0,0,n28,4.823713,27.0
5.1762767,0.024038438,54,74,0,0,n29,4.823713,27.0
5.28445,0.034722187,54,67,0,0,n30,5.176277,30.0
5.3993,0.03205125,57,74,0,0,n31,5.176277,30.0
5.5341825,0.03071578,58,82,0,0,n32,5.176277,30.0
5.6543746,0.040064063,61,64,0,0,n33,5.534183,33.0
5.7598767,0.02270297,60,74,0,0,n34,5.534183,33.0
5.892088,0.038728595,56,76,0,0,n35,5.892088,36.0
5.9989257,0.034722187,56,73,0,0,n36,5.892088,36.0
6.1151114,0.040064063,56,69,0,0,n37,5.892088,36.0
6.248658,0.03071578,56,73,0,0,n38,6.248658,39.0
6.372857,0.040064063,53,62,0,0,n39,6.248658,39.0
6.49572,0.029380312,54,65,0,0,n40,6.248658,39.0
6.609235,0.03338672,56,73,0,0,n41,6.609235,42.0
6.7240853,0.025373906,58,65,0,0,n42,6.609235,42.0
6.832258,0.040064063,56,64,0,0,n43,6.609235,42.0
6.971147,0.24973266,53,82,0,0,n44,6.971147,45.0
7.36511,0.040064063,54,97,0,0,n45,7.36511,48.0
7.489309,0.0641025,54,80,0,0,n46,7.36511,48.0
7.620185,0.037393127,57,82,0,0,n47,7.36511,48.0
7.720345,0.03338672,58,98,0,0,n48,7.720345,51.0
7.8445435,0.037393127,58,90,0,0,n49,7.720345,51.0
7.9634004,0.037393127,60,94,0,0,n50,7.720345,51.0
8.0742445,0.026709376,63,103,0,0,n51,8.074244,54.0
8.187758,0.04540594,63,92,0,0,n52,8.074244,54.0
8.303945,0.03338672,61,89,0,0,n53,8.074244,54.0
8.412118,0.036057655,60,97,0,0,n54,8.412118,57.0
8.536316,0.042735,60,90,0,0,n55,8.412118,57.0
8.640483,0.034722187,58,89,0,0,n56,8.412118,57.0
8.756669,0.029380312,56,95,0,0,n57,8.756669,60.0
8.858164,0.034722187,56,84,0,0,n58,8.756669,60.0
8.978356,0.03338672,56,88,0,0,n59,8.756669,60.0
9.097213,0.026709376,61,101,0,0,n60,9.097213,63.0
9.206721,0.03338672,61,89,0,0,n61,9.097213,63.0
9.326914,0.03338672,60,94,0,0,n62,9.097213,63.0
9.453783,0.028044844,58,95,0,0,n63,9.453783,66.0
9.569969,0.03338672,56,88,0,0,n64,9.453783,66.0
9.680813,0.04540594,58,94,0,0,n65,9.453783,66.0
9.82905,0.2697647,53,99,0,0,n66,9.82905,69.0
10.225684,0.026709376,54,68,0,0,n67,10.225684,72.0
10.343205,0.038728595,54,41,0,0,n68,10.225684,72.0
10.455385,0.028044844,57,59,0,0,n69,10.225684,72.0
10.576913,0.03338672,58,79,0,0,n70,10.576913,75.0
10.71313,0.05208328,58,16,0,0,n71,10.576913,75.0
10.811955,0.03205125,60,71,0,0,n72,10.576913,75.0
10.9161215,0.034722187,63,77,0,0,n73,10.576913,75.0
11.032308,0.040064063,63,64,0,0,n74,10.916122,78.0
11.148493,0.024038438,61,68,0,0,n75,10.916122,78.0
11.264679,0.03205125,60,74,0,0,n76,11.264679,81.0
11.362168,0.05475422,60,72,0,0,n77,11.264679,81.0
11.491709,0.034722187,58,70,0,0,n78,11.264679,81.0
11.617243,0.026709376,56,66,0,0,n79,11.617243,84.0
11.718739,0.037393127,56,72,0,0,n80,11.617243,84.0
11.963129,0.03338672,61,76,0,0,n81,11.963129,87.0
12.06329,0.040064063,61,67,0,0,n82,11.963129,87.0
12.182146,0.028044844,60,73,0,0,n83,11.963129,87.0
12.302339,0.037393127,58,70,0,0,n84,12.302338,90.0
12.433214,0.026709376,56,62,0,0,n85,12.302338,90.0
12.542723,0.029380312,58,57,0,0,n86,12.302338,90.0
12.706985,0.3285253,53,63,0,0,n87,12.706985,93.0
13.1343355,0.03338672,61,77,0,0,n88,12.706985,93.0
13.138342,0.03205125,56,76,0,0,n89,12.706985,93.0
13.145019,0.026709376,66,90,0,0,n90,13.141681,96.0
13.145019,0.03338672,70,91,0,0,n91,13.141681,96.0
13.249186,0.049412344,66,86,0,0,n92,13.141681,96.0
13.254527,0.036057655,70,88,0,0,n93,13.141681,96.0
13.393416,0.037393127,70,89,0,0,n94,13.141681,96.0
13.394752,0.03205125,66,87,0,0,n95,13.141681,96.0
13.520286,0.056089688,66,89,0,0,n96,13.141681,96.0
