onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0065104,0.03125,58,91,1,0,n0,1.00651,0.0
1.1276041,0.041666668,58,76,1,0,n1,1.00651,0.0
1.2565104,0.04296875,58,84,1,0,n2,1.00651,0.0
1.4166666,0.037760418,58,90,1,0,n3,1.00651,0.0
1.5533854,0.04296875,57,74,1,0,n4,1.416667,3.0
1.6796875,0.055989582,58,83,1,0,n5,1.416667,3.0
1.8177084,0.048177082,54,92,1,0,n6,1.817708,6.0
1.9518229,0.069010414,54,85,1,0,n7,1.817708,6.0
2.0755208,0.069010414,57,90,1,0,n8,1.817708,6.0
2.2083333,0.05859375,58,99,1,0,n9,2.208333,9.0
2.3346355,0.07421875,61,93,1,0,n10,2.208333,9.0
2.4713542,0.069010414,60,94,1,0,n11,2.208333,9.0
2.610677,0.049479168,56,102,1,0,n12,2.610677,12.0
2.7291667,0.053385418,56,87,1,0,n13,2.610677,12.0
2.8554688,0.06640625,56,96,1,0,n14,2.610677,12.0
3.001302,0.040364582,56,97,1,0,n15,3.001302,15.0
3.123698,0.055989582,53,93,1,0,n16,3.001302,15.0
3.2591145,0.067708336,54,96,1,0,n17,3.001302,15.0
3.3997395,0.04296875,56,98,1,0,n18,3.001302,15.0
3.5377605,0.05859375,58,92,1,0,n19,3.39974,18.0
3.6640625,0.0546875,56,93,1,0,n20,3.39974,18.0
3.8085938,0.4296875,53,101,1,0,n21,3.39974,18.0
4.4335938,0.028645834,58,61,1,0,n22,3.808594,21.0
4.5559897,0.041666668,58,64,1,0,n23,4.433594,24.0
4.6822915,0.04296875,58,70,1,0,n24,4.433594,24.0
4.8190103,0.0390625,58,65,1,0,n25,4.81901,27.0
4.9570312,0.036458332,57,56,1,0,n26,4.81901,27.0
5.1197915,0.013020833,58,23,1,0,n27,4.81901,27.0
5.1992188,0.04296875,54,60,1,0,n28,4.81901,27.0
5.341146,0.05078125,54,59,1,0,n29,5.199219,30.0
5.481771,0.041666668,57,57,1,0,n30,5.199219,30.0
5.596354,0.037760418,58,73,1,0,n31,5.596354,33.0
5.7330728,0.044270832,61,56,1,0,n32,5.596354,33.0
