idx,matchtype,partid,ppartid
0,0,n12-1,n4
1,0,n13-1,n6
2,0,n14-1,n7
3,0,n3-1,n2
4,0,n2-1,n1
5,0,n4-1,n3
6,0,n1-1,n0
7,0,n6-1,n5
8,0,n15-1,n8
9,0,n17-1,n12
10,0,n16-1,n10
11,0,n18-1,n13
12,0,n10-1,n14
13,0,n9-1,n11
14,0,n11-1,n15
15,0,n8-1,n9
16,0,n25-1,n16
17,0,n26-1,n18
18,0,n27-1,n19
19,0,n19-1,n17
20,0,n28-1,n22
21,0,n30-1,n25
22,0,n29-1,n20
23,0,n31-1,n26
24,0,n23-1,n24
25,0,n22-1,n23
26,0,n24-1,n27
27,0,n21-1,n21
28,0,n40-1,n29
29,0,n41-1,n31
30,0,n42-1,n32
31,0,n34-1,n33
32,0,n33-1,n30
33,0,n35-1,n34
34,0,n32-1,n28
35,0,n43-1,n36
36,0,n44-1,n38
37,0,n45-1,n40
38,0,n38-1,n39
39,0,n37-1,n37
40,0,n39-1,n41
41,0,n36-1,n35
42,0,n49-1,n43
43,0,n50-1,n44
44,0,n51-1,n45
45,0,n46-1,n42
46,0,n52-1,n47
47,0,n54-1,n50
48,0,n53-1,n48
49,0,n55-1,n51
50,0,n47-1,n46
51,0,n48-1,n49
52,0,n65-1,n54
53,0,n66-1,n57
54,0,n67-1,n59
55,0,n59-1,n58
56,0,n56-1,n52
57,0,n57-1,n53
58,0,n60-1,n56
59,0,n58-1,n55
60,0,n68-1,n60
61,0,n70-1,n65
62,0,n69-1,n61
63,0,n71-1,n66
64,0,n61-1,n62
65,0,n63-1,n67
66,0,n62-1,n63
67,0,n64-1,n64
68,0,n81-1,n70
69,0,n82-1,n73
70,0,n83-1,n74
71,0,n75-1,n75
72,0,n72-1,n68
73,0,n73-1,n69
74,0,n76-1,n72
75,0,n74-1,n71
76,0,n84-1,n78
77,0,n86-1,n81
78,0,n85-1,n79
79,0,n87-1,n80
80,1,n99-1,undefined
81,0,n77-1,n76
82,0,n79-1,n83
83,0,n78-1,n77
84,0,n80-1,n82
85,0,n97-1,n87
86,0,n98-1,n91
87,0,n91-1,n90
88,0,n88-1,n85
89,0,n89-1,n86
90,0,n92-1,n89
91,0,n90-1,n88
92,0,n100-1,n94
93,0,n101-1,n97
94,0,n95-1,n96
95,0,n93-1,n93
96,0,n96-1,n95
97,0,n94-1,n92
98,0,n103-1,n99
99,0,n102-1,n98
100,0,n3-2,n102
101,0,n2-2,n101
102,0,n4-2,n103
103,0,n1-2,n100
104,0,n12-2,n105
105,0,n13-2,n106
106,0,n14-2,n107
107,0,n6-2,n104
108,0,n15-2,n109
109,0,n17-2,n113
110,0,n16-2,n110
111,0,n18-2,n114
112,0,n10-2,n112
113,0,n9-2,n111
114,0,n11-2,n115
115,0,n8-2,n108
116,0,n25-2,n117
117,0,n26-2,n118
118,0,n27-2,n119
119,0,n19-2,n116
120,0,n28-2,n122
121,0,n30-2,n124
122,0,n29-2,n121
123,0,n31-2,n126
124,0,n23-2,n125
125,0,n22-2,n123
126,0,n24-2,n127
127,0,n21-2,n120
128,0,n40-2,n128
129,0,n41-2,n131
130,0,n42-2,n132
131,0,n34-2,n133
132,0,n33-2,n130
133,0,n35-2,n134
134,0,n32-2,n129
135,0,n43-2,n136
136,0,n44-2,n139
137,0,n45-2,n140
138,0,n38-2,n138
139,0,n37-2,n137
140,0,n39-2,n141
141,0,n36-2,n135
142,0,n49-2,n143
143,0,n50-2,n144
144,0,n51-2,n145
145,0,n46-2,n142
146,0,n52-2,n147
147,0,n54-2,n150
148,0,n53-2,n148
149,0,n55-2,n151
150,0,n47-2,n146
151,0,n48-2,n149
152,0,n65-2,n153
153,0,n66-2,n156
154,0,n67-2,n157
155,0,n59-2,n158
156,0,n56-2,n152
157,0,n57-2,n154
158,0,n60-2,n159
159,0,n58-2,n155
160,0,n68-2,n160
161,0,n70-2,n165
162,0,n69-2,n162
163,0,n71-2,n166
164,0,n61-2,n163
165,0,n63-2,n167
166,0,n62-2,n161
167,0,n64-2,n164
168,0,n81-2,n170
169,0,n82-2,n173
170,0,n83-2,n175
171,0,n75-2,n174
172,0,n72-2,n168
173,0,n73-2,n169
174,0,n76-2,n172
175,0,n74-2,n171
176,0,n84-2,n179
177,0,n86-2,n182
178,0,n85-2,n178
179,0,n87-2,n180
180,1,n99-2,undefined
181,0,n77-2,n177
182,0,n79-2,n183
183,0,n78-2,n176
184,0,n80-2,n181
185,0,n97-2,n186
186,0,n98-2,n190
187,0,n91-2,n189
188,0,n88-2,n184
189,0,n89-2,n185
190,0,n92-2,n188
191,0,n90-2,n187
192,0,n100-2,n193
193,0,n101-2,n195
194,0,n95-2,n196
195,0,n93-2,n192
196,0,n96-2,n194
197,0,n94-2,n191
198,0,n103-2,n198
199,0,n102-2,n197
200,0,n104-1,n200
201,0,n106-1,n202
202,0,n105-1,n199
203,0,n107-1,n201
204,0,n117-1,n205
205,0,n118-1,n208
206,0,n109-1,n203
207,0,n111-1,n207
208,0,n110-1,n204
209,0,n112-1,n206
210,0,n119-1,n210
211,0,n120-1,n213
212,0,n116-1,n214
213,0,n115-1,n212
214,0,n114-1,n211
215,0,n113-1,n209
216,0,n128-1,n215
217,0,n127-1,n219
218,0,n126-1,n217
219,0,n121-1,n216
220,0,n122-1,n220
221,0,n124-1,n223
222,0,n123-1,n221
223,0,n125-1,n222
224,0,n138-1,n226
225,0,n139-1,n229
226,0,n130-1,n225
227,0,n132-1,n228
228,0,n131-1,n224
229,0,n133-1,n227
230,0,n140-1,n230
231,0,n141-1,n233
232,0,n137-1,n235
233,0,n136-1,n234
234,0,n135-1,n232
235,0,n134-1,n231
236,0,n148-1,n236
237,0,n142-1,n238
238,0,n143-1,n237
239,0,n144-1,n240
240,0,n146-1,n242
241,0,n145-1,n239
242,0,n147-1,n241
243,0,n158-1,n245
244,0,n159-1,n248
245,0,n150-1,n244
246,0,n152-1,n246
247,0,n151-1,n243
248,0,n153-1,n247
249,0,n160-1,n249
250,0,n161-1,n252
251,0,n157-1,n254
252,0,n156-1,n253
253,0,n155-1,n251
254,0,n154-1,n250
255,0,n169-1,n255
256,0,n168-1,n258
257,0,n167-1,n257
258,0,n162-1,n256
259,0,n163-1,n260
260,0,n165-1,n262
261,0,n164-1,n259
262,0,n166-1,n261
263,0,n179-1,n263
264,0,n180-1,n268
265,0,n171-1,n265
266,0,n173-1,n267
267,0,n172-1,n264
268,0,n174-1,n266
269,0,n181-1,n270
270,0,n182-1,n273
271,0,n178-1,n274
272,0,n177-1,n272
273,0,n176-1,n271
274,0,n175-1,n269
275,0,n189-1,n276
276,0,n183-1,n277
277,0,n184-1,n275
278,0,n187-1,n280
279,0,n186-1,n279
280,0,n188-1,n281
281,0,n185-1,n278
282,0,n197-1,n283
283,0,n198-1,n284
284,0,n199-1,n285
285,0,n191-1,n282
286,0,n200-1,n287
287,0,n202-1,n291
288,0,n201-1,n288
289,0,n203-1,n292
290,0,n195-1,n290
291,0,n194-1,n289
292,0,n196-1,n293
293,0,n193-1,n286
294,0,n210-1,n294
295,0,n211-1,n296
296,0,n212-1,n297
297,0,n204-1,n295
298,0,n213-1,n300
299,0,n215-1,n302
300,0,n214-1,n298
301,0,n216-1,n304
302,0,n208-1,n303
303,0,n207-1,n301
304,0,n209-1,n305
305,0,n206-1,n299
306,0,n225-1,n307
307,0,n226-1,n309
308,0,n227-1,n311
309,0,n219-1,n310
310,0,n218-1,n308
311,0,n220-1,n312
312,0,n217-1,n306
313,0,n228-1,n314
314,0,n229-1,n316
315,0,n230-1,n318
316,0,n223-1,n317
317,0,n222-1,n315
318,0,n224-1,n319
319,0,n221-1,n313
320,0,n234-1,n321
321,0,n235-1,n322
322,0,n236-1,n323
323,0,n231-1,n320
324,0,n237-1,n324
325,0,n239-1,n327
326,0,n238-1,n326
327,0,n240-1,n328
328,0,n232-1,n325
329,0,n233-1,n329
330,0,n245-1,n330
331,0,n246-1,n334
332,0,n247-1,n332
333,0,n242-1,n333
334,0,n241-1,n331
335,0,n248-1,n336
336,0,n249-1,n338
337,0,n250-1,n339
338,0,n244-1,n337
339,0,n243-1,n335
340,0,n255-1,n340
341,0,n256-1,n343
342,0,n257-1,n344
343,0,n252-1,n342
344,0,n251-1,n341
345,0,n258-1,n345
346,0,n259-1,n347
347,0,n260-1,n349
348,0,n254-1,n348
349,0,n253-1,n346
350,0,n271-1,n351
351,0,n273-1,n353
352,0,n272-1,n352
353,0,n274-1,n354
354,0,n261-1,n350
355,0,n265-1,n355
356,0,n267-1,n359
357,1,n269-1,undefined
358,0,n275-1,n356
359,0,n277-1,n360
360,0,n276-1,n357
361,0,n278-1,n361
362,0,n263-1,n363
363,0,n266-1,n358
364,0,n268-1,n362
365,0,n264-1,n364
366,1,n270-1,undefined
367,1,n262-1,undefined
368,0,n280-1,n365
369,0,n281-1,n366
370,0,n279-1,n367
