velocity,timing,articulation,id
0.0,0.0,0.0,n1-1
0.0,0.0,0.0,n2-1
0.0,0.0,0.0,n3-1
0.0,0.0,0.0,n4-1
0.0,0.0,0.0,n12-1
0.0,0.0,0.0,n6-1
0.0,0.0,0.0,n13-1
0.0,0.0,0.0,n14-1
0.0,0.0,0.0,n15-1
0.0,0.0,0.0,n16-1
0.0,0.0,0.0,n8-1
0.0,0.0,0.0,n9-1
0.0,0.0,0.0,n17-1
0.0,0.0,0.0,n18-1
0.0,0.0,0.0,n10-1
0.0,0.0,0.0,n11-1
0.0,0.0,0.0,n25-1
0.0,0.0,0.0,n19-1
0.0,0.0,0.0,n26-1
0.0,0.0,0.0,n27-1
0.0,0.0,0.0,n28-1
0.0,0.0,0.0,n29-1
0.0,0.0,0.0,n21-1
0.0,0.0,0.0,n22-1
0.0,0.0,0.0,n30-1
0.0,0.0,0.0,n31-1
0.0,0.0,0.0,n23-1
0.0,0.0,0.0,n24-1
0.0,0.0,0.0,n40-1
0.0,0.0,0.0,n32-1
0.0,0.0,0.0,n33-1
0.0,0.0,0.0,n41-1
0.0,0.0,0.0,n42-1
0.0,0.0,0.0,n34-1
0.0,0.0,0.0,n35-1
0.0,0.0,0.0,n43-1
0.0,0.0,0.0,n36-1
0.0,0.0,0.0,n37-1
0.0,0.0,0.0,n44-1
0.0,0.0,0.0,n45-1
0.0,0.0,0.0,n38-1
0.0,0.0,0.0,n39-1
0.0,0.0,0.0,n49-1
0.0,0.0,0.0,n46-1
0.0,0.0,0.0,n50-1
0.0,0.0,0.0,n51-1
0.0,0.0,0.0,n52-1
0.0,0.0,0.0,n53-1
0.0,0.0,0.0,n47-1
0.0,0.0,0.0,n54-1
0.0,0.0,0.0,n55-1
0.0,0.0,0.0,n48-1
0.0,0.0,0.0,n65-1
0.0,0.0,0.0,n56-1
0.0,0.0,0.0,n57-1
0.0,0.0,0.0,n58-1
0.0,0.0,0.0,n66-1
0.0,0.0,0.0,n67-1
0.0,0.0,0.0,n59-1
0.0,0.0,0.0,n60-1
0.0,0.0,0.0,n68-1
0.0,0.0,0.0,n69-1
0.0,0.0,0.0,n61-1
0.0,0.0,0.0,n62-1
0.0,0.0,0.0,n70-1
0.0,0.0,0.0,n71-1
0.0,0.0,0.0,n63-1
0.0,0.0,0.0,n64-1
0.0,0.0,0.0,n81-1
0.0,0.0,0.0,n72-1
0.0,0.0,0.0,n73-1
0.0,0.0,0.0,n74-1
0.0,0.0,0.0,n82-1
0.0,0.0,0.0,n83-1
0.0,0.0,0.0,n75-1
0.0,0.0,0.0,n76-1
0.0,0.0,0.0,n84-1
0.0,0.0,0.0,n85-1
0.0,0.0,0.0,n77-1
0.0,0.0,0.0,n78-1
0.0,0.0,0.0,n86-1
0.0,0.0,0.0,n87-1
0.0,0.0,0.0,n79-1
0.0,0.0,0.0,n80-1
0.0,0.0,0.0,n97-1
0.0,0.0,0.0,n88-1
0.0,0.0,0.0,n89-1
0.0,0.0,0.0,n90-1
0.0,0.0,0.0,n98-1
0.0,0.0,0.0,n99-1
0.0,0.0,0.0,n91-1
0.0,0.0,0.0,n92-1
0.0,0.0,0.0,n100-1
0.0,0.0,0.0,n93-1
0.0,0.0,0.0,n94-1
0.0,0.0,0.0,n101-1
0.0,0.0,0.0,n95-1
0.0,0.0,0.0,n96-1
0.0,0.0,0.0,n103-1
0.0,0.0,0.0,n102-1
0.0,0.0,0.0,n1-2
0.0,0.0,0.0,n2-2
0.0,0.0,0.0,n3-2
0.0,0.0,0.0,n4-2
0.0,0.0,0.0,n12-2
0.0,0.0,0.0,n6-2
0.0,0.0,0.0,n13-2
0.0,0.0,0.0,n14-2
0.0,0.0,0.0,n15-2
0.0,0.0,0.0,n16-2
0.0,0.0,0.0,n8-2
0.0,0.0,0.0,n9-2
0.0,0.0,0.0,n17-2
0.0,0.0,0.0,n18-2
0.0,0.0,0.0,n10-2
0.0,0.0,0.0,n11-2
0.0,0.0,0.0,n25-2
0.0,0.0,0.0,n19-2
0.0,0.0,0.0,n26-2
0.0,0.0,0.0,n27-2
0.0,0.0,0.0,n28-2
0.0,0.0,0.0,n29-2
0.0,0.0,0.0,n21-2
0.0,0.0,0.0,n22-2
0.0,0.0,0.0,n30-2
0.0,0.0,0.0,n31-2
0.0,0.0,0.0,n23-2
0.0,0.0,0.0,n24-2
0.0,0.0,0.0,n40-2
0.0,0.0,0.0,n32-2
0.0,0.0,0.0,n33-2
0.0,0.0,0.0,n41-2
0.0,0.0,0.0,n42-2
0.0,0.0,0.0,n34-2
0.0,0.0,0.0,n35-2
0.0,0.0,0.0,n43-2
0.0,0.0,0.0,n36-2
0.0,0.0,0.0,n37-2
0.0,0.0,0.0,n44-2
0.0,0.0,0.0,n45-2
0.0,0.0,0.0,n38-2
0.0,0.0,0.0,n39-2
0.0,0.0,0.0,n49-2
0.0,0.0,0.0,n46-2
0.0,0.0,0.0,n50-2
0.0,0.0,0.0,n51-2
0.0,0.0,0.0,n52-2
0.0,0.0,0.0,n53-2
0.0,0.0,0.0,n47-2
0.0,0.0,0.0,n54-2
0.0,0.0,0.0,n55-2
0.0,0.0,0.0,n48-2
0.0,0.0,0.0,n65-2
0.0,0.0,0.0,n56-2
0.0,0.0,0.0,n57-2
0.0,0.0,0.0,n58-2
0.0,0.0,0.0,n66-2
0.0,0.0,0.0,n67-2
0.0,0.0,0.0,n59-2
0.0,0.0,0.0,n60-2
0.0,0.0,0.0,n68-2
0.0,0.0,0.0,n69-2
0.0,0.0,0.0,n61-2
0.0,0.0,0.0,n62-2
0.0,0.0,0.0,n70-2
0.0,0.0,0.0,n71-2
0.0,0.0,0.0,n63-2
0.0,0.0,0.0,n64-2
0.0,0.0,0.0,n81-2
0.0,0.0,0.0,n72-2
0.0,0.0,0.0,n73-2
0.0,0.0,0.0,n74-2
0.0,0.0,0.0,n82-2
0.0,0.0,0.0,n83-2
0.0,0.0,0.0,n75-2
0.0,0.0,0.0,n76-2
0.0,0.0,0.0,n84-2
0.0,0.0,0.0,n85-2
0.0,0.0,0.0,n77-2
0.0,0.0,0.0,n78-2
0.0,0.0,0.0,n86-2
0.0,0.0,0.0,n87-2
0.0,0.0,0.0,n79-2
0.0,0.0,0.0,n80-2
0.0,0.0,0.0,n97-2
0.0,0.0,0.0,n88-2
0.0,0.0,0.0,n89-2
0.0,0.0,0.0,n90-2
0.0,0.0,0.0,n98-2
0.0,0.0,0.0,n99-2
0.0,0.0,0.0,n91-2
0.0,0.0,0.0,n92-2
0.0,0.0,0.0,n100-2
