onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-1.0,0.25,-1.0,0.25,0,2,71,1,n1-1,-1.0,2.0219
-0.75,0.25,-0.75,0.25,2,2,69,1,n2-1,-1.0,2.0219
-0.5,0.25,-0.5,0.25,4,2,68,1,n3-1,-1.0,2.0219
-0.25,0.25,-0.25,0.25,6,2,69,1,n4-1,-1.0,2.0219
0.0,0.5,0.0,0.5,8,4,57,5,n12-1,0.0,2.461269
0.0,0.5,0.0,0.5,8,4,72,1,n6-1,0.0,2.461269
0.5,0.5,0.5,0.5,12,4,60,5,n13-1,0.0,2.461269
0.5,0.5,0.5,0.5,12,4,64,5,n14-1,0.0,2.461269
1.0,0.5,1.0,0.5,16,4,60,5,n15-1,1.0,2.863245
1.0,0.5,1.0,0.5,16,4,64,5,n16-1,1.0,2.863245
1.0,0.25,1.0,0.25,16,2,74,1,n8-1,1.0,2.863245
1.25,0.25,1.25,0.25,18,2,72,1,n9-1,1.0,2.863245
1.5,0.5,1.5,0.5,20,4,60,5,n17-1,1.0,2.863245
1.5,0.5,1.5,0.5,20,4,64,5,n18-1,1.0,2.863245
1.5,0.25,1.5,0.25,20,2,71,1,n10-1,1.0,2.863245
1.75,0.25,1.75,0.25,22,2,72,1,n11-1,1.0,2.863245
2.0,0.5,2.0,0.5,24,4,57,5,n25-1,2.0,3.271231
2.0,0.5,2.0,0.5,24,4,76,1,n19-1,2.0,3.271231
2.5,0.5,2.5,0.5,28,4,60,5,n26-1,2.0,3.271231
2.5,0.5,2.5,0.5,28,4,64,5,n27-1,2.0,3.271231
3.0,0.5,3.0,0.5,32,4,60,5,n28-1,3.0,3.655178
3.0,0.5,3.0,0.5,32,4,64,5,n29-1,3.0,3.655178
3.0,0.25,3.0,0.25,32,2,77,1,n21-1,3.0,3.655178
3.25,0.25,3.25,0.25,34,2,76,1,n22-1,3.0,3.655178
3.5,0.5,3.5,0.5,36,4,60,5,n30-1,3.0,3.655178
3.5,0.5,3.5,0.5,36,4,64,5,n31-1,3.0,3.655178
3.5,0.25,3.5,0.25,36,2,75,1,n23-1,3.0,3.655178
3.75,0.25,3.75,0.25,38,2,76,1,n24-1,3.0,3.655178
